id,name,position_id,position,label,start_date,end_date,ordinal
Q912542,Brian Lenihan Snr,Q912542-46739C90-35B4-4FA4-872E-5BA20BB13CC4,Q6865816,Minister for Education and Skills,1968-03-26,1969-07-02,0
Q912542,Brian Lenihan Snr,Q912542-e233166c-4005-e638-6b7f-836cead83def,Q6865853,Minister for Foreign Affairs and Trade,1973-01-03,1973-03-14,0
Q912542,Brian Lenihan Snr,Q912542-605041c6-4916-070d-e331-0e3813327f5f,Q6865853,Minister for Foreign Affairs and Trade,1979-12-12,1981-06-30,0
Q912542,Brian Lenihan Snr,Q912542-2BAC75CD-7475-4B40-B604-2CE8926B6264,Q6865853,Minister for Foreign Affairs and Trade,1987-03-10,1989-07-12,0
Q912542,Brian Lenihan Snr,Q912542-6660077C-72D6-48BA-835E-F99FBE507AD6,Q6865904,Minister for Justice and Equality,1964-11-03,1968-03-26,0
Q912542,Brian Lenihan Snr,Q912542-56E8B6FB-6DA2-4502-ACD5-D031412366A0,Q6865981,"Minister for Transport, Tourism and Sport",1969-07-02,1973-01-03,0
Q920195,Eamon Ryan,Q920195-f1d3dccf-45b7-ce4b-a8eb-fc02f45cb322,Q6865770,"Minister for Communications, Energy and Natural Resources",2007-06-14,2011-01-23,0
Q920403,Micheál Martin,Q920403-72F613FC-F572-4F95-81A3-6A74E3BF4EF1,Q6865816,Minister for Education and Skills,1997-06-26,2000-01-27,0
Q920403,Micheál Martin,Q920403-7154A6D0-D5BF-4550-AB85-C280627E1FA9,Q6865853,Minister for Foreign Affairs and Trade,2008-05-07,2011-01-18,0
Q920403,Micheál Martin,Q920403-52F59E64-8653-454F-84E3-E7D739CCDCF2,Q6865864,Minister for Health,2000-01-27,2004-09-29,0
Q920403,Micheál Martin,Q920403-DFD60E55-AB91-4665-B660-3591F89F7C38,Q6865902,"Minister for Jobs, Enterprise and Innovation",2004-09-29,2008-05-07,0
Q945705,Thomas Derrig,Q945705-CC9806D3-73BE-4D28-84E1-A13F96CDFC77,Q11781521,Minister for Posts and Telegraphs,1939-09-08,1939-09-27,0
Q945705,Thomas Derrig,Q945705-6e5eb1ed-4cec-4d28-0eb5-de8f18285d48,Q6865770,"Minister for Communications, Energy and Natural Resources",1939-09-08,1943-07-02,0
Q945705,Thomas Derrig,Q945705-E1679544-C67B-4427-9C83-E41DF9138699,Q6865770,"Minister for Communications, Energy and Natural Resources",1951-06-13,1954-06-02,0
Q945705,Thomas Derrig,Q945705-c0b34896-46de-cf75-5f05-20028287d5d5,Q6865816,Minister for Education and Skills,1932-03-09,1939-09-08,0
Q945705,Thomas Derrig,Q945705-381B0DF0-42C0-44C4-A0F7-BA868461A039,Q6865816,Minister for Education and Skills,1940-06-18,1948-02-18,0
Q955529,Patrick O'Donnell,Q955529-7163a55b-4ee1-34fd-a0ad-d4113136dd65,Q6866004,"Minister for Housing, Planning and Local Government",1954-06-02,1957-03-20,0
Q963914,Kevin O'Higgins,Q963914-fa521507-4023-ff33-f9a2-61cf9b2a4bbe,Q6865853,Minister for Foreign Affairs and Trade,1927-06-23,1927-07-10,0
Q963914,Kevin O'Higgins,Q963914-091FE1A0-9727-47F3-A091-46E425910102,Q6865904,Minister for Justice and Equality,1922-08-30,1927-07-10,0
Q964365,Seán MacEntee,Q964365-CC90F2FC-BDB8-45C1-88C6-0AFA219B40D8,Q1146214,Tánaiste,1959-06-23,1965-04-21,0
Q964365,Seán MacEntee,Q964365-3377f9a4-4bf0-968b-1bdc-63c64f200844,Q4294945,Minister for Finance,1932-03-09,1939-09-16,0
Q964365,Seán MacEntee,Q964365-B5F59D9B-6733-435C-B1DA-E944AF0CBD62,Q4294945,Minister for Finance,1951-06-13,1954-06-02,0
Q964365,Seán MacEntee,Q964365-2D4DBAD5-C242-48E8-8FAE-F0084074D0FA,Q6865864,Minister for Health,1957-03-20,1965-04-21,0
Q964365,Seán MacEntee,Q964365-3CCE2F79-E969-4BE0-897F-4E944D58F396,Q6865902,"Minister for Jobs, Enterprise and Innovation",1939-09-16,1941-08-18,0
Q964365,Seán MacEntee,Q964365-3AD42F86-77E8-4F39-A2B6-D8CB1EAB47C0,Q6865958,Minister for Social Protection,1957-11-27,1961-10-12,0
Q964365,Seán MacEntee,Q964365-7E6549E1-26ED-4474-89B8-231507149017,Q6866004,"Minister for Housing, Planning and Local Government",1941-08-18,1948-02-18,0
Q964439,Robert Barton,Q964439-60bcc38f-495f-6477-a726-c88ffd99df27,Q6865750,"Minister for Agriculture, Food and the Marine",1919-04-02,1921-08-26,0
Q968439,Seán Moylan,Q968439-993E0F18-5F5F-4DD4-9FBD-DAD2A06E02C6,Q6865750,"Minister for Agriculture, Food and the Marine",1957-05-16,1957-11-16,0
Q968439,Seán Moylan,Q968439-1E67C822-320D-44E9-ABC5-66C0D7B03F0D,Q6865770,"Minister for Communications, Energy and Natural Resources",1943-07-02,1948-02-18,0
Q968439,Seán Moylan,Q968439-7E6C9C11-D405-4F50-8804-F89CB76B9DCE,Q6865816,Minister for Education and Skills,1951-06-13,1954-06-02,0
Q974143,Dermot Ahern,Q974143-7D9AE8DB-16EE-4CBE-B90E-C4657A2080E9,Q6865770,"Minister for Communications, Energy and Natural Resources",2002-06-06,2004-09-29,0
Q974143,Dermot Ahern,Q974143-5F3474AC-57B6-4664-A17D-6523F852E3EF,Q6865853,Minister for Foreign Affairs and Trade,2004-09-29,2008-05-07,0
Q974143,Dermot Ahern,Q974143-126E3AC3-DED4-473E-A37B-4DF2312B878B,Q6865904,Minister for Justice and Equality,2008-05-07,2011-01-19,0
Q974143,Dermot Ahern,Q974143-99A331DA-E9BB-454A-9486-E083F7399235,Q6865958,Minister for Social Protection,1997-06-26,2002-06-06,0
Q981847,Richard Bruton,Q981847-8064b0e4-451e-10a8-c0f1-472076aa22d6,Q6865816,Minister for Education and Skills,2016-05-06,"",0
Q981847,Richard Bruton,Q981847-73427157-8E7E-4043-A510-E656970F9662,Q6865902,"Minister for Jobs, Enterprise and Innovation",1994-12-15,1997-06-26,0
Q981847,Richard Bruton,Q981847-c711ec37-44cc-9b87-cc11-3ee57a3d191c,Q6865902,"Minister for Jobs, Enterprise and Innovation",2011-03-09,2016-05-06,0
Q981985,John O'Donoghue,Q981985-F5CD8996-418B-46F3-9D15-5A9B4C6A3646,Q6865747,"Minister for Arts, Heritage and the Gaeltacht",2002-06-06,2007-06-14,0
Q981985,John O'Donoghue,Q981985-0FD295C8-D898-4CD6-A44B-E03C011B7CF9,Q6865904,Minister for Justice and Equality,1997-06-26,2002-06-06,0
Q982225,Eamon Gilmore,Q982225-A2FA6479-4889-40BE-A179-67D69A29D64E,Q1146214,Tánaiste,2011-03-09,2014-07-04,0
Q982225,Eamon Gilmore,Q982225-C05BFABB-4DA6-42E1-B322-A392844DC931,Q6865853,Minister for Foreign Affairs and Trade,2011-03-09,2014-07-11,0
