id,name,constituency,party,image,term,source
belmonte-k,"Belmonte, Jose Christopher Y.","Quezon City, 6th District","",http://www.congress.gov.ph/members/images/16th/belmonte-k.jpg,16,http://www.congress.gov.ph/members/search.php?id=belmonte-k
belmonte-v,"Belmonte, Vicente Jr. F.","Iligan City, Lone District","",http://www.congress.gov.ph/members/images/16th/belmonte-v.jpg,16,http://www.congress.gov.ph/members/search.php?id=belmonte-v
benitez-a,"Benitez, Alfredo ""Albee"" B.","Negros Occidental, 3rd District","",http://www.congress.gov.ph/members/images/16th/benitez-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=benitez-a
bernos-m,"Bernos, Maria Jocelyn V.","Abra, Lone District","",http://www.congress.gov.ph/members/images/16th/bernos-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=bernos-m
biazon-r,"Biazon, Rodolfo G.","Muntinlupa City, Lone District","",http://www.congress.gov.ph/members/images/16th/biazon-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=biazon-r
bichara-a,"Bichara, Al Francis C.","Albay, 2nd District","",http://www.congress.gov.ph/members/images/16th/bichara-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=bichara-a
binay-a,"Binay, Mar-Len Abigail S.","Makati City, 2nd District","",http://www.congress.gov.ph/members/images/16th/binay-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=binay-a
biron-h,"Biron, Hernan Jr. G.","Iloilo, 4th District","",http://www.congress.gov.ph/members/images/16th/biron-h.jpg,16,http://www.congress.gov.ph/members/search.php?id=biron-h
bondoc-j,"Bondoc, Juan Pablo ""Rimpy"" P.","Pampanga, 4th District","",http://www.congress.gov.ph/members/images/16th/bondoc-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=bondoc-j
bonoan-david,"Bonoan, Ma. Theresa ""Trisha"" B.","Manila, 4th District","",http://www.congress.gov.ph/members/images/16th/bonoan-david.jpg,16,http://www.congress.gov.ph/members/search.php?id=bonoan-david
bravo-a,"Bravo, Anthony M., Ph.D.","",COOP NATCCO,http://www.congress.gov.ph/members/images/16th/bravo-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=bravo-a
bravo-m,"Bravo, Maria Vida E.","Masbate, 1st District","",http://www.congress.gov.ph/members/images/16th/bravo-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=bravo-m
briones-n,"Briones, Nicanor M.","",AGAP,http://www.congress.gov.ph/members/images/16th/briones-n.jpg,16,http://www.congress.gov.ph/members/search.php?id=briones-n
begtang-e,"Bulut-Begtang, Eleanor C.","Apayao, Lone District","",http://www.congress.gov.ph/members/images/16th/begtang-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=begtang-e
cabilao-b,"Cabilao, Belma A.","Zamboanga Sibugay, 1st District","",http://www.congress.gov.ph/members/images/16th/cabilao-b.jpg,16,http://www.congress.gov.ph/members/search.php?id=cabilao-b
cagas-m,"Cagas, Mercedes C.","Davao Del Sur, 1st District","",http://www.congress.gov.ph/members/images/16th/cagas-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=cagas-m
calalay-f,"Calalay, Francisco Jr. A.","Quezon City, 1st District","",http://www.congress.gov.ph/members/images/16th/calalay-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=calalay-f
calixtorubiano-i,"Calixto-Rubiano, Emi G.","Pasay City, Lone District","",http://www.congress.gov.ph/members/images/16th/calixtorubiano-i.jpg,16,http://www.congress.gov.ph/members/search.php?id=calixtorubiano-i
caminero-w,"Caminero, Wilfredo S.","Cebu, 2nd District","",http://www.congress.gov.ph/members/images/16th/caminero-w.jpg,16,http://www.congress.gov.ph/members/search.php?id=caminero-w
cari-j,"Cari, Jose Carlos L.","Leyte, 5th District","",http://www.congress.gov.ph/members/images/16th/cari-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=cari-j
castelo-w,"Castelo, Winston ""Winnie""","Quezon City, 2nd District","",http://www.congress.gov.ph/members/images/16th/castelo-w.jpg,16,http://www.congress.gov.ph/members/search.php?id=castelo-w
castro-f,"Castro, Fredenil H.","Capiz, 2nd District","",http://www.congress.gov.ph/members/images/16th/castro-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=castro-f
catamco-n,"Catamco, Nancy A.","North Cotabato, 2nd District","",http://www.congress.gov.ph/members/images/16th/catamco-n.jpg,16,http://www.congress.gov.ph/members/search.php?id=catamco-n
cayetano-l,"Cayetano, Lino S.","Taguig City, 2nd District","",http://www.congress.gov.ph/members/images/16th/cayetano-l.jpg,16,http://www.congress.gov.ph/members/search.php?id=cayetano-l
celeste-j,"Celeste, Jesus ""Boying"" F.","Pangasinan, 1st District","",http://www.congress.gov.ph/members/images/16th/celeste-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=celeste-j
cerafica-a,"Cerafica, Arnel M.","Taguig City, 1st District","",http://www.congress.gov.ph/members/images/16th/cerafica-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=cerafica-a
cerilles-a,"Cerilles, Aurora Enerio","Zamboanga Del Sur, 2nd District","",http://www.congress.gov.ph/members/images/16th/cerilles-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=cerilles-a
chipeco-j,"Chipeco, Joaquin Jr. M.","Laguna, 2nd District","",http://www.congress.gov.ph/members/images/16th/chipeco-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=chipeco-j
co-c,"Co, Christopher S.","",AKO BICOL,http://www.congress.gov.ph/members/images/16th/co-c.jpg,16,http://www.congress.gov.ph/members/search.php?id=co-c
cojuangco-e,"Cojuangco, Enrique M.","Tarlac, 1st District","",http://www.congress.gov.ph/members/images/16th/cojuangco-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=cojuangco-e
cojuangco-k,"Cojuangco, Kimi S.","Pangasinan, 5th District","",http://www.congress.gov.ph/members/images/16th/cojuangco-k.jpg,16,http://www.congress.gov.ph/members/search.php?id=cojuangco-k
collantes-n,"Collantes, Sonny P.","Batangas, 3rd District","",http://www.congress.gov.ph/members/images/16th/collantes-n.jpg,16,http://www.congress.gov.ph/members/search.php?id=collantes-n
colmenares-n,"Colmenares, Neri J.","",BAYAN MUNA,http://www.congress.gov.ph/members/images/16th/colmenares-n.jpg,16,http://www.congress.gov.ph/members/search.php?id=colmenares-n
cortuna-j,"Cortuna, Julieta R.","",A TEACHER,http://www.congress.gov.ph/members/images/16th/cortuna-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=cortuna-j
cosalan-r,"Cosalan, Ronald M.","Benguet, Lone District","",http://www.congress.gov.ph/members/images/16th/cosalan-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=cosalan-r
cruzgonzales-c,"Cruz-Gonzales, Cinchona","",CIBAC,http://www.congress.gov.ph/members/images/16th/cruzgonzales-c.jpg,16,http://www.congress.gov.ph/members/search.php?id=cruzgonzales-c
cua-d,"Cua, Dakila Carlo E.","Quirino, Lone District","",http://www.congress.gov.ph/members/images/16th/cua-d.jpg,16,http://www.congress.gov.ph/members/search.php?id=cua-d
cueva-l,"Cueva, Leo Rafael M.","Negros Occidental, 2nd District","",http://www.congress.gov.ph/members/images/16th/cueva-l.jpg,16,http://www.congress.gov.ph/members/search.php?id=cueva-l
dalog-m,"Dalog, Maximo B.","Mountain Province, Lone District","",http://www.congress.gov.ph/members/images/16th/dalog-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=dalog-m
dayanghirang-n,"Dayanghirang, Nelson L.","Davao Oriental, 1st District","",http://www.congress.gov.ph/members/images/16th/dayanghirang-n.jpg,16,http://www.congress.gov.ph/members/search.php?id=dayanghirang-n
dejesus-e,"De Jesus, Emmi A.","",GABRIELA,http://www.congress.gov.ph/members/images/16th/dejesus-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=dejesus-e
devenecia-g,"De Venecia, Gina P.","Pangasinan, 4th District","",http://www.congress.gov.ph/members/images/16th/devenecia-g.jpg,16,http://www.congress.gov.ph/members/search.php?id=devenecia-g
defensor-a,"Defensor, Arthur Jr. R.","Iloilo, 3rd District","",http://www.congress.gov.ph/members/images/16th/defensor-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=defensor-a
delmar-r,"Del Mar, Raul V.","Cebu City, 1st District","",http://www.congress.gov.ph/members/images/16th/delmar-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=delmar-r
delrosario-agr,"Del Rosario, Anthony G.","Davao Del Norte, 1st District","",http://www.congress.gov.ph/members/images/16th/delrosario-agr.jpg,16,http://www.congress.gov.ph/members/search.php?id=delrosario-agr
delrosario-t,"Del Rosario, Antonio A.","Capiz, 1st District","",http://www.congress.gov.ph/members/images/16th/delrosario-t.jpg,16,http://www.congress.gov.ph/members/search.php?id=delrosario-t
delacruz-j,"Dela Cruz, Jonathan A.","",ABAKADA,http://www.congress.gov.ph/members/images/16th/delacruz-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=delacruz-j
delosomontalla-c,"Deloso-Montalla, Cheryl P.","Zambales, 2nd District","",http://www.congress.gov.ph/members/images/16th/delosomontalla-c.jpg,16,http://www.congress.gov.ph/members/search.php?id=delosomontalla-c
dimaporo-a,"Dimaporo, Abdullah D.","Lanao Del Norte, 2nd District","","",16,http://www.congress.gov.ph/members/search.php?id=dimaporo-a
dimaporo-i,"Dimaporo, Imelda Quibranza","Lanao Del Norte, 1st District","",http://www.congress.gov.ph/members/images/16th/dimaporo-i.jpg,16,http://www.congress.gov.ph/members/search.php?id=dimaporo-i
duavit-j,"Duavit, Joel Roy R.","Rizal, 1st District","",http://www.congress.gov.ph/members/images/16th/duavit-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=duavit-j
durano-j,"Durano, Joseph ""Ace"" H.","Cebu, 5th District","",http://www.congress.gov.ph/members/images/16th/durano-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=durano-j
dy-n,"Dy, Napoleon S.","Isabela, 3rd District","",http://www.congress.gov.ph/members/images/16th/dy-n.jpg,16,http://www.congress.gov.ph/members/search.php?id=dy-n
echiverri-e,"Echiverri, Enrico ""Recom""","Caloocan City, 1st District","",http://www.congress.gov.ph/members/images/16th/echiverri-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=echiverri-e
enverga-m,"Enverga, Mark M.","Quezon, 1st District","",http://www.congress.gov.ph/members/images/16th/enverga-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=enverga-m
erice-e,"Erice, Edgar R.","Caloocan City, 2nd District","",http://www.congress.gov.ph/members/images/16th/erice-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=erice-e
eriguel-e,"Eriguel, Eufranio ""Franny"" C., M.D.","La Union, 2nd District","",http://www.congress.gov.ph/members/images/16th/eriguel-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=eriguel-e
ermitabuhain-e,"Ermita-Buhain, Elenita Milagros ""Eileen""","Batangas, 1st District","",http://www.congress.gov.ph/members/images/16th/ermitabuhain-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=ermitabuhain-e
escudero-e,"Escudero, Evelina G.","Sorsogon, 1st District","",http://www.congress.gov.ph/members/images/16th/escudero-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=escudero-e
espina-r,"Espina, Rogelio J.,M.D.","Biliran, Lone District","",http://www.congress.gov.ph/members/images/16th/espina-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=espina-r
estrella-c,"Estrella, Conrado III M.","",ABONO,http://www.congress.gov.ph/members/images/16th/estrella-c.jpg,16,http://www.congress.gov.ph/members/search.php?id=estrella-c
evardone-b,"Evardone, Ben P.","Eastern Samar, Lone District","",http://www.congress.gov.ph/members/images/16th/evardone-b.jpg,16,http://www.congress.gov.ph/members/search.php?id=evardone-b
farinas-r,"Fariñas, Rodolfo C.","Ilocos Norte, 1st District","",http://www.congress.gov.ph/members/images/16th/farinas-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=farinas-r
fernandez-d,"Fernandez, Dan S.","Laguna, 1st District","",http://www.congress.gov.ph/members/images/16th/fernandez-d.jpg,16,http://www.congress.gov.ph/members/search.php?id=fernandez-d
ferrer-j,"Ferrer, Jeffrey P.","Negros Occidental, 4th District","",http://www.congress.gov.ph/members/images/16th/ferrer-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=ferrer-j
ferrer-l,"Ferrer, Luis ""Jon-Jon"" IV A.","Cavite, 6th District","",http://www.congress.gov.ph/members/images/16th/ferrer-l.jpg,16,http://www.congress.gov.ph/members/search.php?id=ferrer-l
ferriol-a,"Ferriol-Pascual, Abigail Faye C.","",KALINGA,http://www.congress.gov.ph/members/images/16th/ferriol-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=ferriol-a
flores-f,"Flores, Florencio Jr. T., M.D.","Bukidnon, 2nd District","",http://www.congress.gov.ph/members/images/16th/flores-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=flores-f
fortun-l,"Fortun, Lawrence Lemuel H.","Agusan Del Norte, 1st District","",http://www.congress.gov.ph/members/images/16th/fortun-l.jpg,16,http://www.congress.gov.ph/members/search.php?id=fortun-l
fortuno-s,"Fortuno, Salvio B.","Camarines Sur, 5th District","",http://www.congress.gov.ph/members/images/16th/fortuno-s.jpg,16,http://www.congress.gov.ph/members/search.php?id=fortuno-s
fuentebella-f,"Fuentebella, Felix William B.","Camarines Sur, 4th District","",http://www.congress.gov.ph/members/images/16th/fuentebella-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=fuentebella-f
garay-f,"Garay, Florencio C.","Surigao Del Sur, 2nd District","",http://www.congress.gov.ph/members/images/16th/garay-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=garay-f
garcia-e,"Garcia, Enrique Jr. T.","Bataan, 2nd District","",http://www.congress.gov.ph/members/images/16th/garcia-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=garcia-e
garcia-g,"Garcia, Gwendolyn F.","Cebu, 3rd District","",http://www.congress.gov.ph/members/images/16th/garcia-g.jpg,16,http://www.congress.gov.ph/members/search.php?id=garcia-g
garcia-m,"Garcia-Albano, Mylene J.","Davao City, 2nd District","",http://www.congress.gov.ph/members/images/16th/garcia-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=garcia-m
garin-r,"Garin, Oscar  ""Richard"" Jr. S.","Iloilo, 1st District","",http://www.congress.gov.ph/members/images/16th/garin-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=garin-r
garin-s,"Garin, Sharon S.","",AAMBIS-OWA,http://www.congress.gov.ph/members/images/16th/garin-s.jpg,16,http://www.congress.gov.ph/members/search.php?id=garin-s
gatchalian-s,"Gatchalian, Sherwin T.","Valenzuela City, 1st District","",http://www.congress.gov.ph/members/images/16th/gatchalian-s.jpg,16,http://www.congress.gov.ph/members/search.php?id=gatchalian-s
gatchalian-w,"Gatchalian, Wes","",ALAY BUHAY,http://www.congress.gov.ph/members/images/16th/gatchalian-w.jpg,16,http://www.congress.gov.ph/members/search.php?id=gatchalian-w
geron-r,"Geron, Rico B.","",AGAP,http://www.congress.gov.ph/members/images/16th/geron-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=geron-r
robredo-m,"Gerona-Robredo, Leni","Camarines Sur, 3rd District","",http://www.congress.gov.ph/members/images/16th/robredo-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=robredo-m
go-ac,"Go, Ana Cristina Siquian","Isabela, 2nd District","",http://www.congress.gov.ph/members/images/16th/go-ac.jpg,16,http://www.congress.gov.ph/members/search.php?id=go-ac
go-af,"Go, Arnulfo F.","Sultan Kudarat, 2nd District","",http://www.congress.gov.ph/members/images/16th/go-af.jpg,16,http://www.congress.gov.ph/members/search.php?id=go-af
gomez-l,"Gomez, Lucy T.","Leyte, 4th District","",http://www.congress.gov.ph/members/images/16th/gomez-l.jpg,16,http://www.congress.gov.ph/members/search.php?id=gomez-l
gonzales-n,"Gonzales, Neptali II M.","Mandaluyong City, Lone District","",http://www.congress.gov.ph/members/images/16th/gonzales-n.jpg,16,http://www.congress.gov.ph/members/search.php?id=gonzales-n
gonzalez-f,"Gonzalez, Fernando V.","Albay, 3rd District","",http://www.congress.gov.ph/members/images/16th/gonzalez-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=gonzalez-f
gorriceta-a,"Gorriceta, Arcadio H.","Iloilo, 2nd District","",http://www.congress.gov.ph/members/images/16th/gorriceta-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=gorriceta-a
guanlao-a,"Guanlao, Agapito H.","",BUTIL,http://www.congress.gov.ph/members/images/16th/guanlao-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=guanlao-a
guiao-j,"Guiao, Joseller ""Yeng"" M.","Pampanga, 1st District","",http://www.congress.gov.ph/members/images/16th/guiao-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=guiao-j
gullas-g,"Gullas, Gerald Anthony Jr. V.","Cebu, 1st District","",http://www.congress.gov.ph/members/images/16th/gullas-g.jpg,16,http://www.congress.gov.ph/members/search.php?id=gullas-g
gunigundo-m,"Gunigundo, Magtanggol I T.","Valenzuela City, 2nd District","",http://www.congress.gov.ph/members/images/16th/gunigundo-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=gunigundo-m
gutierrez-i,"Gutierrez, Ibarra ""Barry"" M. III","",AKBAYAN,http://www.congress.gov.ph/members/images/16th/gutierrez-i.jpg,16,http://www.congress.gov.ph/members/search.php?id=gutierrez-i
hagedorn-d,"Hagedorn, Douglas S.","Palawan, 3rd District","",http://www.congress.gov.ph/members/images/16th/hagedorn-d.jpg,16,http://www.congress.gov.ph/members/search.php?id=hagedorn-d
haresco-t,"Haresco, Teodorico Jr. T.","Aklan, Lone District","",http://www.congress.gov.ph/members/images/16th/haresco-t.jpg,16,http://www.congress.gov.ph/members/search.php?id=haresco-t
hataman-salliman,"Hataman-Salliman, Jim","Basilan, Lone District","",http://www.congress.gov.ph/members/images/16th/hataman-salliman.jpg,16,http://www.congress.gov.ph/members/search.php?id=hataman-salliman
hernandez-f,"Hernandez, Ferdinand L.","South Cotabato, 2nd District","",http://www.congress.gov.ph/members/images/16th/hernandez-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=hernandez-f
hicap-f,"Hicap, Fernando ""Ka Pando"" L.","",ANAKPAWIS,http://www.congress.gov.ph/members/images/16th/hicap-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=hicap-f
hofer-d,"Hofer, Ann K.","Zamboanga Sibugay, 2nd District","",http://www.congress.gov.ph/members/images/16th/hofer-d.jpg,16,http://www.congress.gov.ph/members/search.php?id=hofer-d
ilagan-l,"Ilagan, Luzviminda C.","",GABRIELA,http://www.congress.gov.ph/members/images/16th/ilagan-l.jpg,16,http://www.congress.gov.ph/members/search.php?id=ilagan-l
iway-m,"Iway, Manuel M.","Negros Oriental, 1st District","",http://www.congress.gov.ph/members/images/16th/iway-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=iway-m
jalosjos-s,"Jalosjos, Seth Frederick P.","Zamboanga Del Norte, 1st District","",http://www.congress.gov.ph/members/images/16th/jalosjos-s.jpg,16,http://www.congress.gov.ph/members/search.php?id=jalosjos-s
