id,name,name_el,constituency,party,party_id,term,start_date,start_reason,source,end_date,name__el,identifier__hellenic_parliament
601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,Achmet Ilchan,Αχμέτ Σαμπρή Ιλχάν,Rodopi,TO POTAMI (The River),topotami,17,2015-09-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,2017-01-12,Αχμέτ Σαμπρή Ιλχάν,601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b
601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,Achmet Ilchan,Αχμέτ Σαμπρή Ιλχάν,Rodopi,N.D. (New Democracy),nd,11,2004-03-07,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,,Αχμέτ Σαμπρή Ιλχάν,601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b
88007ed2-b9b7-4324-bd8d-9379c83c4647,Aivaliotis Konstantinos,Αϊβαλιώτης Ιωάννη Κωνσταντίνος,Athens B,LA.O.S.,laos,13,2009-10-04,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=88007ed2-b9b7-4324-bd8d-9379c83c4647,,Αϊβαλιώτης Ιωάννη Κωνσταντίνος,88007ed2-b9b7-4324-bd8d-9379c83c4647
88007ed2-b9b7-4324-bd8d-9379c83c4647,Aivaliotis Konstantinos,Αϊβαλιώτης Ιωάννη Κωνσταντίνος,Athens B,LA.O.S.,laos,12,2007-09-16,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=88007ed2-b9b7-4324-bd8d-9379c83c4647,,Αϊβαλιώτης Ιωάννη Κωνσταντίνος,88007ed2-b9b7-4324-bd8d-9379c83c4647
90083bd9-4752-4866-954a-a43400d2b6cc,Akriotis Georgios,Ακριώτης Κυριάκου Γεώργιος,Evia,SYRIZA (Coalition of the Radical Left),syriza,17,2015-09-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=90083bd9-4752-4866-954a-a43400d2b6cc,,Ακριώτης Κυριάκου Γεώργιος,90083bd9-4752-4866-954a-a43400d2b6cc
90083bd9-4752-4866-954a-a43400d2b6cc,Akriotis Georgios,Ακριώτης Κυριάκου Γεώργιος,Evia,SYRIZA (Coalition of the Radical Left),syriza,16,2015-01-25,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=90083bd9-4752-4866-954a-a43400d2b6cc,,Ακριώτης Κυριάκου Γεώργιος,90083bd9-4752-4866-954a-a43400d2b6cc
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Αδαμόπουλος Αθανασίου Γεώργιος,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,9,1996-09-22,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,917622ea-9d47-49b1-aa2b-616923f247e6
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Αδαμόπουλος Αθανασίου Γεώργιος,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,8,1993-10-10,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,917622ea-9d47-49b1-aa2b-616923f247e6
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Αδαμόπουλος Αθανασίου Γεώργιος,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,7,1990-04-08,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,917622ea-9d47-49b1-aa2b-616923f247e6
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Αδαμόπουλος Αθανασίου Γεώργιος,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,6,1989-11-05,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,917622ea-9d47-49b1-aa2b-616923f247e6
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Αδαμόπουλος Αθανασίου Γεώργιος,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,917622ea-9d47-49b1-aa2b-616923f247e6
98f4d133-dcb5-4c88-97ae-aef90845de32,Aidonis Christos,Αηδόνης Ευαγγέλου Χρήστος,Drama,ANEXARTITOI DIMOKRATIKOI VOULEFTES,anexartitoidimokratikoivouleftes,15,2013-11-06,Accession/ re-affiliation to Parliamentary Group,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=98f4d133-dcb5-4c88-97ae-aef90845de32,,Αηδόνης Ευαγγέλου Χρήστος,98f4d133-dcb5-4c88-97ae-aef90845de32
98f4d133-dcb5-4c88-97ae-aef90845de32,Aidonis Christos,Αηδόνης Ευαγγέλου Χρήστος,Drama,INDEPENDENT,independent,15,2013-01-10,Became Independent,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=98f4d133-dcb5-4c88-97ae-aef90845de32,2013-11-05,Αηδόνης Ευαγγέλου Χρήστος,98f4d133-dcb5-4c88-97ae-aef90845de32
98f4d133-dcb5-4c88-97ae-aef90845de32,Aidonis Christos,Αηδόνης Ευαγγέλου Χρήστος,Drama,PA.SO.K. (Panhellenic Socialist Movement),pasok,15,2012-06-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=98f4d133-dcb5-4c88-97ae-aef90845de32,2013-01-09,Αηδόνης Ευαγγέλου Χρήστος,98f4d133-dcb5-4c88-97ae-aef90845de32
98f4d133-dcb5-4c88-97ae-aef90845de32,Aidonis Christos,Αηδόνης Ευαγγέλου Χρήστος,Drama,PA.SO.K. (Panhellenic Socialist Movement),pasok,14,2012-05-06,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=98f4d133-dcb5-4c88-97ae-aef90845de32,,Αηδόνης Ευαγγέλου Χρήστος,98f4d133-dcb5-4c88-97ae-aef90845de32
98f4d133-dcb5-4c88-97ae-aef90845de32,Aidonis Christos,Αηδόνης Ευαγγέλου Χρήστος,Drama,PA.SO.K. (Panhellenic Socialist Movement),pasok,13,2009-10-04,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=98f4d133-dcb5-4c88-97ae-aef90845de32,,Αηδόνης Ευαγγέλου Χρήστος,98f4d133-dcb5-4c88-97ae-aef90845de32
98f4d133-dcb5-4c88-97ae-aef90845de32,Aidonis Christos,Αηδόνης Ευαγγέλου Χρήστος,Drama,PA.SO.K. (Panhellenic Socialist Movement),pasok,12,2007-09-16,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=98f4d133-dcb5-4c88-97ae-aef90845de32,,Αηδόνης Ευαγγέλου Χρήστος,98f4d133-dcb5-4c88-97ae-aef90845de32
98f4d133-dcb5-4c88-97ae-aef90845de32,Aidonis Christos,Αηδόνης Ευαγγέλου Χρήστος,Drama,PA.SO.K. (Panhellenic Socialist Movement),pasok,11,2004-03-07,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=98f4d133-dcb5-4c88-97ae-aef90845de32,,Αηδόνης Ευαγγέλου Χρήστος,98f4d133-dcb5-4c88-97ae-aef90845de32
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,Αδρακτάς Φωτίου Παναγιώτης,Athens B,N.D. (New Democracy),nd,7,1990-04-08,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cd9f3107-520b-4e25-8b79-0825797bca7a,,Αδρακτάς Φωτίου Παναγιώτης,cd9f3107-520b-4e25-8b79-0825797bca7a
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,Αδρακτάς Φωτίου Παναγιώτης,Athens B,N.D. (New Democracy),nd,6,1989-11-05,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cd9f3107-520b-4e25-8b79-0825797bca7a,,Αδρακτάς Φωτίου Παναγιώτης,cd9f3107-520b-4e25-8b79-0825797bca7a
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,Αδρακτάς Φωτίου Παναγιώτης,Athens B,N.D. (New Democracy),nd,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cd9f3107-520b-4e25-8b79-0825797bca7a,,Αδρακτάς Φωτίου Παναγιώτης,cd9f3107-520b-4e25-8b79-0825797bca7a
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,Αδρακτάς Φωτίου Παναγιώτης,Ileia,N.D. (New Democracy),nd,12,2007-09-16,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cd9f3107-520b-4e25-8b79-0825797bca7a,,Αδρακτάς Φωτίου Παναγιώτης,cd9f3107-520b-4e25-8b79-0825797bca7a
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,Αδρακτάς Φωτίου Παναγιώτης,Ileia,N.D. (New Democracy),nd,11,2004-03-07,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cd9f3107-520b-4e25-8b79-0825797bca7a,,Αδρακτάς Φωτίου Παναγιώτης,cd9f3107-520b-4e25-8b79-0825797bca7a
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,Αδρακτάς Φωτίου Παναγιώτης,Ileia,N.D. (New Democracy),nd,10,2000-04-09,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cd9f3107-520b-4e25-8b79-0825797bca7a,,Αδρακτάς Φωτίου Παναγιώτης,cd9f3107-520b-4e25-8b79-0825797bca7a
ecc1d9aa-cff3-46df-98b7-90b95739929a,Agorastos Konstantinos,Αγοραστός Αναστασίου Κωνσταντίνος,Larissa,N.D. (New Democracy),nd,12,2007-09-16,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=ecc1d9aa-cff3-46df-98b7-90b95739929a,,Αγοραστός Αναστασίου Κωνσταντίνος,ecc1d9aa-cff3-46df-98b7-90b95739929a
ecc1d9aa-cff3-46df-98b7-90b95739929a,Agorastos Konstantinos,Αγοραστός Αναστασίου Κωνσταντίνος,Larissa,N.D. (New Democracy),nd,11,2004-03-07,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=ecc1d9aa-cff3-46df-98b7-90b95739929a,,Αγοραστός Αναστασίου Κωνσταντίνος,ecc1d9aa-cff3-46df-98b7-90b95739929a
f67ef9d3-a65b-4439-b133-d84d14810aff,Agorastis Vasileios,Αγοράστης Αθανασίου Βασίλειος,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,4,1985-06-02,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=f67ef9d3-a65b-4439-b133-d84d14810aff,,Αγοράστης Αθανασίου Βασίλειος,f67ef9d3-a65b-4439-b133-d84d14810aff
f67ef9d3-a65b-4439-b133-d84d14810aff,Agorastis Vasileios,Αγοράστης Αθανασίου Βασίλειος,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,3,1981-10-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=f67ef9d3-a65b-4439-b133-d84d14810aff,,Αγοράστης Αθανασίου Βασίλειος,f67ef9d3-a65b-4439-b133-d84d14810aff
f67ef9d3-a65b-4439-b133-d84d14810aff,Agorastis Vasileios,Αγοράστης Αθανασίου Βασίλειος,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,2,1977-11-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=f67ef9d3-a65b-4439-b133-d84d14810aff,,Αγοράστης Αθανασίου Βασίλειος,f67ef9d3-a65b-4439-b133-d84d14810aff
