id,type,name__en,name__mr,name__hi,name__or,name__ar,name__pa,name__ta,name__as,name__bn,name__nl,identifier__quora,name__mai,name__zh_hant,name__zh_cn,name__it,name__fr,name__zh,start_date,name__te,name__ur,end_date,name__zh_hans,name__pt,name__es,name__de,name__ru,name__ko,name__ja,name__gu,name__kn,replaces,name__sa,identifier__lcauth,name__fa,name__ml,identifier__viaf,name__ne,name__ms,name__en_ca,name__en_gb,name__ca,identifier__britannica,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__eo,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,replaced_by,name__bho,identifier__geonames,identifier__bnf,identifier__gnd
Q12418931,Lok Sabha constituency,Kancheepuram Lok Sabha constituency,कांचीपुरम (लोकसभा मतदारसंघ),कांचीपुरम लोक सभा निर्वाचन क्षेत्र,କାଞ୍ଚୀପୁରମ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,காஞ்சிபுரம்,,,,,,,,,,,,,,,,,,Lok-Sabha-Wahlkreis Kanchipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12419668,Lok Sabha constituency,Kishanganj Lok Sabha constituency,किशनगंज (लोकसभा मतदारसंघ),किशनगंज लोक सभा निर्वाचन क्षेत्र,କିଶାନଗଞ୍ଜ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,கிசன்கஞ்சு,,কিশানগঞ্জ লোকসভা কেন্দ্র,Kishanganj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12420304,Lok Sabha constituency,Kushi Nagar Lok Sabha constituency,,कुशीनगर लोक सभा निर्वाचन क्षेत्र,କୁଶୀନଗର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,ਕੁਸ਼ੀਨਗਰ ਲੋਕ ਸਭਾ ਹਲਕਾ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12420818,Lok Sabha constituency,Kairana Lok Sabha constituency,कैराना (लोकसभा मतदारसंघ),कैराना लोक सभा निर्वाचन क्षेत्र,କୈରାନା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,ਕੈਰਾਨਾ ਲੋਕ ਸਭਾ ਹਲਕਾ,கைரானா மக்களவைத் தொகுதி,,,Kairana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12423118,Lok Sabha constituency,Gadchiroli-Chimur Lok Sabha constituency,गडचिरोली-चिमूर (लोकसभा मतदारसंघ),गढ़चिरौली-चिमूर लोक सभा निर्वाचन क्षेत्र,ଗଡ଼ଚିରୋଲୀ-ଚିମୂର (ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ),,,கட்சிரோலி-சிமூர் மக்களவைத் தொகுதி,,,Gadchiroli-Chimur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12424329,Lok Sabha constituency,Gonda Lok Sabha constituency,गोंदा (लोकसभा मतदारसंघ),गोंडा लोक सभा निर्वाचन क्षेत्र,ଗୋଣ୍ଡା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,ਗੋਂਡਾ ਲੋਕ ਸਭਾ ਹਲਕਾ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12428079,Lok Sabha constituency,Jamui Lok Sabha constituency,,जमुई लोक सभा निर्वाचन क्षेत्र,ଜମୁଇ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ஜமுய் மக்களவைத் தொகுதி,,,Jamui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12428505,Lok Sabha constituency,Jahanabad Lok Sabha constituency,जहानाबाद,जहानाबाद लोक सभा निर्वाचन क्षेत्र,ଜହାନାବାଦ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ஜஹானாபாத் மக்களவைத் தொகுதி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12428678,Lok Sabha constituency,Jadavpur Lok Sabha constituency,जादवपूर,यादवपुर,ଯାଦବପୁର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ஜாதவ்பூர் மக்களவைத் தொகுதி,,যাদবপুর,,,,,,,Jadavpur,,,జాదవ్‍పూర్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12429782,Lok Sabha constituency,Jhalawar Lok Sabha constituency,झालावाड (लोकसभा मतदारसंघ),झालावाड़ लोक सभा निर्वाचन क्षेत्र,ଝାଲାବାଡ଼ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12433303,Lok Sabha constituency,Damoh Lok Sabha constituency,दामोह (लोकसभा मतदारसंघ),दमोह लोक सभा निर्वाचन क्षेत्र,ଦମୋଃ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12434696,Lok Sabha constituency,Dhaurahra Lok Sabha constituency,,धौरहरा लोक सभा निर्वाचन क्षेत्र,ଧୌରହରା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,ਧੌਰਹਰਾ ਲੋਕ ਸਭਾ ਹਲਕਾ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12446106,Lok Sabha constituency,Mahasamund Lok Sabha constituency,महासमुंद (लोकसभा मतदारसंघ),महासमुन्द लोक सभा निर्वाचन क्षेत्र,ମହାସମୁନ୍ଦ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12446954,Lok Sabha constituency,Mumbai South Lok Sabha constituency,दक्षिण मुंबई (लोकसभा मतदारसंघ),मुंबई - दक्षिण लोक सभा निर्वाचन क्षेत्र,ମୁମ୍ବାଇ - ଦକ୍ଷିଣ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,مومباي الجنوبية لوك سابها,,தெற்கு மும்பை,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12447565,Lok Sabha constituency,Meerut Lok Sabha constituency,मेरठ (लोकसभा मतदारसंघ),मेरठ लोक सभा निर्वाचन क्षेत्र,ମୀରଟ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,ਮੇਰਠ ਲੋਕ ਸਭਾ ਹਲਕਾ,மீரட் மக்களவைத் தொகுதி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12448769,constituency,Ratnagiri-Sindhudurg Lok Sabha constituency,रत्नागिरी-सिंधुदुर्ग (लोकसभा मतदारसंघ),रत्नागिरि-सिंधुदुर्ग लोक सभा निर्वाचन क्षेत्र,ରତ୍ନଗିରି-ସିନ୍ଧୁଦୁର୍ଗ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ரத்னகிரி-சிந்துதுர்க் மக்களவைத் தொகுதி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12449852,Lok Sabha constituency,Raiganj Lok Sabha constituency,रायगंज (लोकसभा मतदारसंघ),रायगंज लोक सभा निर्वाचन क्षेत्र,ରାୟଗଞ୍ଜ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,রায়গঞ্জ,Raiganj,,,,,,,,1962,రాయ్‍గంజ్,,,,,,,,,,,,West Dinajpur Lok Sabha constituency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12449885,Lok Sabha constituency,Raipur Lok Sabha constituency,रायपूर,रायपुर लोक सभा निर्वाचन क्षेत्र,ରାୟପୁର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ராய்ப்பூர்,,,Raipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12453868,Lok Sabha constituency,Shahdol Lok Sabha constituency,शाडोल,शहडोल लोक सभा निर्वाचन क्षेत्र,ଶହଦୋଳ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12455246,Lok Sabha constituency,Satna Lok Sabha constituency,सतना,सतना,ସତନା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12457988,Lok Sabha constituency,Supaul Lok Sabha constituency,,सुपौल लोक सभा निर्वाचन क्षेत्र,ସୁପୌଲ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,சுபவுல் மக்களவைத் தொகுதி,,সুপৌল লোকসভা কেন্দ্র,Supaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12460207,Lok Sabha constituency,Hatkanangle Lok Sabha constituency,हातकणंगले,हातकणंगले लोक सभा निर्वाचन क्षेत्र,ହାତକାନଙ୍ଗଲ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ஹாத்கணங்கலே மக்களவைத் தொகுதி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12460611,Lok Sabha constituency,Hisar Lok Sabha constituency,हिस्सार (लोकसभा मतदारसंघ),हिसार लोक सभा निर्वाचन क्षेत्र,ହିସାର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12460669,Lok Sabha constituency,Hooghly Lok Sabha constituency,हूगळी (लोकसभा मतदारसंघ),हुगली लोक सभा निर्वाचन क्षेत्र,ହୁଗଳୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ஹூக்ளி,,হুগলী,Hooghly,,,,,,,,,హుగ్లీ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13116983,Lok Sabha constituency,Godhra Lok Sabha constituency,गोधरा (लोकसभा मतदारसंघ),,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13117035,Lok Sabha constituency,Ghatampur Lok Sabha constituency,घटमपूर (लोकसभा मतदारसंघ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13117723,Lok Sabha constituency,Tarn Taran Lok Sabha constituency,तरन तारन (लोकसभा मतदारसंघ),,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13118215,Lok Sabha constituency,New Delhi Lok Sabha constituency,नवी दिल्ली (लोकसभा मतदारसंघ),नई दिल्ली लोकसभा निर्वाचन क्षेत्र,ନୂଆ ଦିଲ୍ଲୀ ଲୋକସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,புது தில்லி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13512172,Lok Sabha constituency,Kolhapur Lok Sabha constituency,कोल्हापूर (लोकसभा मतदारसंघ),कोल्हापुर लोक सभा निर्वाचन क्षेत्र,କୋଲ୍ହାପୁର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,கோலாப்பூர் மக்களவைத் தொகுதி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13512175,Lok Sabha constituency,Kheri Lok Sabha Constituency,खेरी,खीरी लोक सभा निर्वाचन क्षेत्र,ଖେରୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,ਖੀਰੀ ਲੋਕ ਸਭਾ ਹਲਕਾ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14475720,Lok Sabha constituency,Sawai Madhopur Lok Sabha constituency,सवाई माधोपूर,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15649259,Lok Sabha constituency,Dewas Lok Sabha constituency,देवास (लोकसभा मतदारसंघ),देवास लोक सभा निर्वाचन क्षेत्र,ଦେବାସ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1606595,Lok Sabha constituency,Nowgong Lok Sabha constituency,नौगाँग,नौगांव लोक सभा निर्वाचन क्षेत्र,ନୌଗାଆଁ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,நகாமோ மக்களவைத் தொகுதி,নগাঁও,নগাঁও লোকসভা কেন্দ্র,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1606606,Lok Sabha constituency,Barpeta Lok Sabha constituency,बारपेटा,बारपेटा लोक सभा निर्वाचन क्षेत्र,ବାରପେଟା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,বৰপেটা,বরপেটা লোকসভা কেন্দ্র,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1606616,Lok Sabha constituency,Dhubri Lok Sabha constituency,धुब्री,धुबरी लोक सभा निर्वाचन क्षेत्र,ଧୁବରୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,ধুবুৰী,ধুবড়ী লোকসভা কেন্দ্র,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1606626,Lok Sabha constituency,Silchar Lok Sabha constituency,सिलचर,सिल्चर लोक सभा निर्वाचन क्षेत्र,ସିଲ୍‌ଚର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,শিলচৰ,শিলচর লোকসভা কেন্দ্র,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1606633,Lok Sabha constituency,Gauhati Lok Sabha constituency,गुवाहाटी,गुवाहाटी लोक सभा निर्वाचन क्षेत्र,ଗୋହାଟୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,গুৱাহাটী,গৌহাটী লোকসভা কেন্দ্র,Gauhati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1606642,Lok Sabha constituency,Kaliabor Lok Sabha constituency,कलियाबोर,कलियाबोर लोक सभा निर्वाचन क्षेत्र,କାଳିଆବୋର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,কলিয়াবৰ,কলিয়াবর লোকসভা কেন্দ্র,,Kaliabor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
