id,position,label,description,start_date,constituency,term,election,end_date,replaced_by,replaces
Q16194549,Q42509330,Member of the 15th Lok Sabha,"",2009,Firozepur Lok Sabha constituency,,,,,Zora Singh Maan
Q16194629,Q24529702,Member of the Madhya Pradesh Legislative Assembly,political position in India,"",,,,,,
Q16194629,Q42509248,Member of the 16th Lok Sabha,"","",Bastar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bastar Lok Sabha constituency,,,
Q16194629,Q42509330,Member of the 15th Lok Sabha,"",2011-05,Bastar Lok Sabha constituency,,,,,Baliram Kashyap
Q16195334,Q42509248,Member of the 16th Lok Sabha,"","",Aurangabad Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Aurangabad Lok Sabha constituency,,,
Q16195334,Q56051771,Member of the 17th Lok Sabha,"","",Aurangabad Lok Sabha constituency,17th Lok Sabha,,,,
Q16195799,Q42509248,Member of the 16th Lok Sabha,"","",Agra Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Agra Lok Sabha constituency,,,
Q16195799,Q42509330,Member of the 15th Lok Sabha,"","",Agra Lok Sabha constituency,,,,,
Q16195799,Q56051771,Member of the 17th Lok Sabha,"","",Etawah Lok Sabha constituency,17th Lok Sabha,,,,
Q16196374,Q13119774,Member of the Maharashtra Legislative Assembly,political position in India,"",,,,,,
Q16196374,Q24529704,Member of the Maharashtra Legislature,"","",,,,,,
Q16196374,Q42509248,Member of the 16th Lok Sabha,"","",Satara Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Satara Lok Sabha constituency,,,
Q16196374,Q42509330,Member of the 15th Lok Sabha,"","",Satara Lok Sabha constituency,,,,,
Q16196374,Q56051771,Member of the 17th Lok Sabha,"","",Satara Lok Sabha constituency,17th Lok Sabha,,,,
Q16196721,Q42509248,Member of the 16th Lok Sabha,"","",Bangalore Rural Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bangalore Rural Lok Sabha constituency,,,
Q16196721,Q56051771,Member of the 17th Lok Sabha,"","",Bangalore Rural Lok Sabha constituency,17th Lok Sabha,,,,
Q16204971,Q42509248,Member of the 16th Lok Sabha,"","",Kokrajhar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kokrajhar Lok Sabha constituency,,,
Q16204971,Q56051771,Member of the 17th Lok Sabha,"","",Kokrajhar Lok Sabha constituency,17th Lok Sabha,,,,
Q16213761,Q42509248,Member of the 16th Lok Sabha,"","",Guna Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Guna Lok Sabha constituency,,,
Q16213761,Q42509330,Member of the 15th Lok Sabha,"","",Guna Lok Sabha constituency,,,,,
Q16214853,Q42509248,Member of the 16th Lok Sabha,"","",East Delhi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in East Delhi Lok Sabha constituency,,,
Q16214853,Q42509330,Member of the 15th Lok Sabha,"","",East Delhi Lok Sabha constituency,,,,,
Q16215503,Q24340546,Member of the Puducherry Legislative Assembly,political position in India,"",,,,,,
Q16215503,Q42509248,Member of the 16th Lok Sabha,"","",Puducherry Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Puducherry Lok Sabha constituency,,,
Q16215999,Q42509248,Member of the 16th Lok Sabha,"","",Bansgaon Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bansgaon Lok Sabha constituency,,,
Q16215999,Q42509330,Member of the 15th Lok Sabha,"","",Bansgaon Lok Sabha constituency,,,,,
Q16215999,Q56051771,Member of the 17th Lok Sabha,"","",Bansgaon Lok Sabha constituency,17th Lok Sabha,,,,
Q16221747,Q42509248,Member of the 16th Lok Sabha,"","",Kaliabor Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kaliabor Lok Sabha constituency,,,
Q16221747,Q56051771,Member of the 17th Lok Sabha,"","",Kaliabor Lok Sabha constituency,17th Lok Sabha,,,,
Q16237847,Q42509248,Member of the 16th Lok Sabha,"","",Saharanpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Saharanpur Lok Sabha constituency,,,
Q16247654,Q42509248,Member of the 16th Lok Sabha,"","",Karnal Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Karnal Lok Sabha constituency,,,
Q16275112,Q17582810,Member of the Gujarat Legislative Assembly,political position in India,"",,,,,,
Q16275112,Q42509248,Member of the 16th Lok Sabha,"","",Bhavnagar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bhavnagar Lok Sabha constituency,,,
Q16275112,Q56051771,Member of the 17th Lok Sabha,"","",Bhavnagar Lok Sabha constituency,17th Lok Sabha,,,,
Q163225,Q42509248,Member of the 16th Lok Sabha,"","",Rae Bareli Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Rae Bareli Lok Sabha constituency,,,
Q163225,Q42510875,Member of the 13th Lok Sabha,"","",Amethi Lok Sabha constituency,,,,,
Q163225,Q56051771,Member of the 17th Lok Sabha,"","",Rae Bareli Lok Sabha constituency,17th Lok Sabha,,,,
Q163225,Q6508539,Leader of the Opposition,parliamentary position of the Parliament of India,1998-03-19,,,,2004-05-22,Lal Krishna Advani,Sharad Pawar
Q163225,Q7241327,President of the Indian National Congress,head of INC,1998-03-14,,,,2017-12-16,Rahul Gandhi,Sitaram Kesri
Q16466358,Q24497178,Member of the Haryana Legislative Assembly,political position in India,"",,,,,,
Q16466358,Q42509248,Member of the 16th Lok Sabha,"","",Kurukshetra Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kurukshetra Lok Sabha constituency,,,
Q16466363,Q42509248,Member of the 16th Lok Sabha,"","",Hoshangabad Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Hoshangabad Lok Sabha constituency,,,
Q16466363,Q56051771,Member of the 17th Lok Sabha,"","",Hoshangabad Lok Sabha constituency,17th Lok Sabha,,,,
Q16466511,Q42509248,Member of the 16th Lok Sabha,"",2014-05-26,Singhbhum Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Singhbhum Lok Sabha constituency,,,Madhu Koda
Q16466511,Q42510875,Member of the 13th Lok Sabha,"","",Singhbhum Lok Sabha constituency,,,,,
Q1652493,Q17324844,member of the Rajya Sabha,"",1990,,,,,,
Q1652493,Q1790154,Chief Minister of Delhi,"head of government of the National Capital Territory of Delhi, India",1998-10-13,,,,1998-12-03,Sheila Dikshit,Sahib Singh Verma
Q1652493,Q24461612,Member of the Delhi Legislative Assembly,political position in India,1998-11,,,,,,
Q1652493,Q24497178,Member of the Haryana Legislative Assembly,political position in India,1977,Ambala Cantonment Vidhan Sabha constituency,,,1982,,
Q1652493,Q313465,Minister of External Affairs,"",2014-05-26,,,,,,Salman Khurshid
Q1652493,Q42509248,Member of the 16th Lok Sabha,"",2014-05,Vidisha Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Vidisha Lok Sabha constituency,,,
Q1652493,Q42509330,Member of the 15th Lok Sabha,"","",Vidisha Lok Sabha constituency,,,,,
Q1652493,Q42513698,Member of the 12th Lok Sabha,"","",South Delhi Lok Sabha constituency,,,,,
