name,image,dpto,dip,id,party,type,term,source,area,area_id
Francisco Cuellar Rios,http://www.diputados.bo/script/imagenes/Chuquisaca/cuellar.rf.jpg,Chuquisaca,Uninominal C - 2,cuellar.rf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,C - 2
Carmen Rosa Dominguez Arias,http://www.diputados.bo/script/imagenes/Chuquisaca/dominguez.ac.jpg,Chuquisaca,Plurinominal,dominguez.ac,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,
Luis Felipe Dorado Middagh,http://www.diputados.bo/script/imagenes/Santa%20Cruz/dorado.ml.jpg,Santa Cruz,Uninominal C - 45,dorado.ml,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 45
Franklin Duran Lopez,http://www.diputados.bo/script/imagenes/La%20Paz/duran.lf.jpg,La Paz,Plurinominal,duran.lf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Orlando Egüez Algarañaz,http://www.diputados.bo/script/imagenes/Beni/eguez.ao.jpg,Beni,Uninominal C - 60,eguez.ao,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,C - 60
Sabelio Estrada Soliz,http://www.diputados.bo/script/imagenes/Santa%20Cruz/estrada.ss.jpg,Santa Cruz,Uninominal C - 48,estrada.ss,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 48
Miguel Angel Feeney Parada,http://www.diputados.bo/script/imagenes/Santa%20Cruz/feeney.pm.jpg,Santa Cruz,Plurinominal,feeney.pm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Margarita del Carmen Fernandez Claure,http://www.diputados.bo/script/imagenes/Beni/fernandez.cm.jpg,Beni,Plurinominal,fernandez.cm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,
Eusebia Fernández Montes,http://www.diputados.bo/script/imagenes/Santa%20Cruz/fernandez.me.jpg,Santa Cruz,Uninominal C - 56,fernandez.me,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 56
Franklin Richard Flores Cordova,http://www.diputados.bo/script/imagenes/La%20Paz/flores.cf.jpg,La Paz,Uninominal C - 18,flores.cf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 18
Shirley Franco Rodriguez,http://www.diputados.bo/script/imagenes/Cochabamba/franco.rs.jpg,Cochabamba,Plurinominal,franco.rs,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,
Alcides Andrés Gallardo Ibarra,http://www.diputados.bo/script/imagenes/Santa%20Cruz/gallardo.ia.jpg,Santa Cruz,Uninominal C - 47,gallardo.ia,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 47
Lucio Gomez Lojo,http://www.diputados.bo/script/imagenes/Cochabamba/gomez.ll.jpg,Cochabamba,Plurinominal,gomez.ll,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,
Mario Guerrero Gonzales,http://www.diputados.bo/script/imagenes/Santa%20Cruz/guerrero.gm.jpg,Santa Cruz,Plurinominal,guerrero.gm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Victor Alonzo Gutierrez Flores,http://www.diputados.bo/script/imagenes/Cochabamba/gutierrez.fv.jpg,Cochabamba,Uninominal C - 20,gutierrez.fv,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,C - 20
Bernard Osvaldo Gutierrez Sanz,http://www.diputados.bo/script/imagenes/Cochabamba/gutierrez.sb.jpg,Cochabamba,Plurinominal,gutierrez.sb,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,
Alvaro Rodrigo Guzman Collao,http://www.diputados.bo/script/imagenes/Beni/guzman.ca.jpg,Beni,Uninominal C - 58,guzman.ca,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,C - 58
Eleuterio Huallpa Janco,http://www.diputados.bo/script/imagenes/Oruro/huallpa.je.jpg,Oruro,Uninominal C - 31,huallpa.je,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,C - 31
Julio Grover Huanca Nina,http://www.diputados.bo/script/imagenes/Potosi/huanca.nj.jpg,Potosi,Plurinominal,huanca.nj,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,
Julio Huaraya Cabrera,http://www.diputados.bo/script/imagenes/La%20Paz/huaraya.cj.jpg,La Paz,Uninominal C - 15,huaraya.cj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 15
Leoncio Jancko Quispe,http://www.diputados.bo/script/imagenes/Cochabamba/jancko.ql.jpg,Cochabamba,Uninominal C - 22,jancko.ql,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,C - 22
Julio Sabas Jimenez Llanque,http://www.diputados.bo/script/imagenes/Cochabamba/jimenez.lj.jpg,Cochabamba,Uninominal C - 23,jimenez.lj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,C - 23
Jhovana Margarett Jordan Antonio,http://www.diputados.bo/script/imagenes/La%20Paz/jordan.aj.jpg,La Paz,Plurinominal,jordan.aj,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Norman Rene Lazarte Calizaya,http://www.diputados.bo/script/imagenes/Tarija/lazarte.cn.jpg,Tarija,Plurinominal,lazarte.cn,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,
Ascencio Lazo,http://www.diputados.bo/script/imagenes/Potosi/lazo.a.jpg,Potosi,Uninominal C - 36,lazo.a,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,C - 36
Irma Herminia Ledezma Tambo,http://www.diputados.bo/script/imagenes/Beni/ledezma.ti.jpg,Beni,Uninominal C - 61,ledezma.ti,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,C - 61
Nelly Lenz Roso,http://www.diputados.bo/script/imagenes/Tarija/lenz.rn.jpg,Tarija,Uninominal C - 42,lenz.rn,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,C - 42
Esteban López Fernández,http://www.diputados.bo/script/imagenes/Potosi/lopez.fe.jpg,Potosi,Plurinominal,lopez.fe,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,
Felipa Malaga Mamani,http://www.diputados.bo/script/imagenes/Chuquisaca/malaga.mf.jpg,Chuquisaca,Uninominal C - 3,malaga.mf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,C - 3
Claudia Mallon Vargas,http://www.diputados.bo/script/imagenes/Cochabamba/mallon.vc.jpg,Cochabamba,Plurinominal,mallon.vc,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,
Martiriano Mamani Cari,http://www.diputados.bo/script/imagenes/Santa%20Cruz/mamani.cm.jpg,Santa Cruz,Uninominal C - 53,mamani.cm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 53
Manuel Mamani Quispe,http://www.diputados.bo/script/imagenes/Cochabamba/mamani.qm.jpg,Cochabamba,Uninominal C - 27,mamani.qm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,C - 27
Kary Mariscal Guzmán,http://www.diputados.bo/script/imagenes/Santa%20Cruz/mariscal.gk.jpg,Santa Cruz,Uninominal C - 54,mariscal.gk,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 54
Lindaura Lourdes Millares Rios,http://www.diputados.bo/script/imagenes/Chuquisaca/millares.rl.jpg,Chuquisaca,Plurinominal,millares.rl,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,
Isabel Jaqueline Miranda Alanez,http://www.diputados.bo/script/imagenes/Santa%20Cruz/miranda.ai.jpg,Santa Cruz,Plurinominal,miranda.ai,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Mario Mita Daza,http://www.diputados.bo/script/imagenes/Chuquisaca/mita.dm.jpg,Chuquisaca,Plurinominal,mita.dm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,
Tomas Xavier Monasterio Romay,http://www.diputados.bo/script/imagenes/Santa%20Cruz/monasterio.rt.jpg,Santa Cruz,Uninominal C - 46,monasterio.rt,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 46
Carol Mireya Montaño Rocha,http://www.diputados.bo/script/imagenes/La%20Paz/montanio.rc.jpg,La Paz,Uninominal C - 11,montanio.rc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 11
Edgar Montaño Rojas,http://www.diputados.bo/script/imagenes/Santa%20Cruz/montanio.re.jpg,Santa Cruz,Uninominal C - 50,montanio.re,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 50
Lilly Gabriela Montaño Viaña,http://www.diputados.bo/script/imagenes/Santa%20Cruz/montanio.vl.jpg,Santa Cruz,Plurinominal,montanio.vl,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Erik Morón Osinaga,http://www.diputados.bo/script/imagenes/Santa%20Cruz/moron.oe.jpg,Santa Cruz,Plurinominal,moron.oe,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Ramona Moye Camaconi,http://www.diputados.bo/script/imagenes/Beni/moye.cr.jpg,Beni,Especial,moye.cr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,
Trifonia Griselda Muñoz Colque,http://www.diputados.bo/script/imagenes/Santa%20Cruz/munioz.ct.jpg,Santa Cruz,Uninominal C - 51,munioz.ct,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 51
Alicia Natte Rosendi,http://www.diputados.bo/script/imagenes/La%20Paz/natte.ra.jpg,La Paz,Especial,natte.ra,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Miguel Santa Lucia Ojopi Sosa,http://www.diputados.bo/script/imagenes/Pando/ojopi.sm.jpg,Pando,Plurinominal,ojopi.sm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,
Concepcion Ortiz,http://www.diputados.bo/script/imagenes/La%20Paz/ortiz.c.jpg,La Paz,Uninominal C - 16,ortiz.c,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 16
Santos Paredes Mamani,http://www.diputados.bo/script/imagenes/Oruro/paredes.ms.jpg,Oruro,Especial,paredes.ms,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,
Maida Paz Callau,http://www.diputados.bo/script/imagenes/Santa%20Cruz/paz.cm.jpg,Santa Cruz,Plurinominal,paz.cm,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Romina Guadalupe Perez Ramos,http://www.diputados.bo/script/imagenes/Cochabamba/perez.rr.jpg,Cochabamba,Plurinominal,perez.rr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,
Norma Alicia Pierola Valdez,http://www.diputados.bo/script/imagenes/Cochabamba/pierola.vn.jpg,Cochabamba,Plurinominal,pierola.vn,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,
Edmundo Gaston Polo Ariñez,http://www.diputados.bo/script/imagenes/La%20Paz/polo.ae.jpg,La Paz,Plurinominal,polo.ae,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Toribia Pomacusi Chipana,http://www.diputados.bo/script/imagenes/La%20Paz/pomacusi.ct.jpg,La Paz,Plurinominal,pomacusi.ct,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Horacio Poppe Inch,http://www.diputados.bo/script/imagenes/Chuquisaca/poppe.ih.jpg,Chuquisaca,Uninominal C - 1,poppe.ih,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,C - 1
Brigida Virginia Quiroga Ramos,http://www.diputados.bo/script/imagenes/La%20Paz/quiroga.rb.jpg,La Paz,Plurinominal,quiroga.rb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Nora Quisbert Tito,http://www.diputados.bo/script/imagenes/Tarija/quisbert.tn.jpg,Tarija,Plurinominal,quisbert.tn,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,
Juana Quispe Ari,http://www.diputados.bo/script/imagenes/Cochabamba/quispe.aj.jpg,Cochabamba,Uninominal C - 24,quispe.aj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,C - 24
Francisco Quispe Flores,http://www.diputados.bo/script/imagenes/Oruro/quispe.ff.jpg,Oruro,Plurinominal,quispe.ff,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,
Saturnino Javier Quispe Poma,http://www.diputados.bo/script/imagenes/La%20Paz/quispe.ps.jpg,La Paz,Uninominal C - 10,quispe.ps,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 10
Maura Quispe Quispe,http://www.diputados.bo/script/imagenes/Potosi/quispe.qm.jpg,Potosi,Uninominal C - 37,quispe.qm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,C - 37
Victor Marcian Ramirez Medina,http://www.diputados.bo/script/imagenes/La%20Paz/ramirez.mv.jpg,La Paz,Plurinominal,ramirez.mv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
David Ramos Mamani,http://www.diputados.bo/script/imagenes/Potosi/ramos.md.jpg,Potosi,Plurinominal,ramos.md,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,
Edgar Rendon Rios,http://www.diputados.bo/script/imagenes/Tarija/rendon.re.jpg,Tarija,Plurinominal,rendon.re,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,
Susana Rivero Guzman,http://www.diputados.bo/script/imagenes/Beni/rivero.gs.jpg,Beni,Plurinominal,rivero.gs,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,
Raul Rocha Ayala,http://www.diputados.bo/script/imagenes/Oruro/rocha.ar.jpg,Oruro,Plurinominal,rocha.ar,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,
Trinidad Rojas Bellido,http://www.diputados.bo/script/imagenes/Potosi/rojas.bt.jpg,Potosi,Plurinominal,rojas.bt,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,
Elvira Silvana Rojas Orellana,http://www.diputados.bo/script/imagenes/Cochabamba/rojas.oe.jpg,Cochabamba,Uninominal C - 25,rojas.oe,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,C - 25
Walter Roque Gomez,http://www.diputados.bo/script/imagenes/Beni/roque.gw.jpg,Beni,Plurinominal,roque.gw,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,
Helmuth Vladimir Salinas Iñiguez,http://www.diputados.bo/script/imagenes/La%20Paz/salinas.ih.jpg,La Paz,Plurinominal,salinas.ih,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Rose Marie Sandoval Farfan,http://www.diputados.bo/script/imagenes/Santa%20Cruz/sandoval.fr.jpg,Santa Cruz,Plurinominal,sandoval.fr,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Fernanda Elena San Martin Carrasco,http://www.diputados.bo/script/imagenes/La%20Paz/sanmartin.cf.jpg,La Paz,Plurinominal,sanmartin.cf,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Wilson Pedro Santamaria Choque,http://www.diputados.bo/script/imagenes/La%20Paz/santamaria.cw.jpg,La Paz,Plurinominal,santamaria.cw,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Cinthia Sequeiros Rivero,http://www.diputados.bo/script/imagenes/Santa%20Cruz/sequeiros.rc.jpg,Santa Cruz,Plurinominal,sequeiros.rc,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Ignacio Soruco Grandchant,http://www.diputados.bo/script/imagenes/Tarija/soruco.gi.jpg,Tarija,Uninominal C - 40,soruco.gi,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,C - 40
Benita Suarez Barba,http://www.diputados.bo/script/imagenes/Santa%20Cruz/suarez.bb.jpg,Santa Cruz,Uninominal C - 57,suarez.bb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 57
Modesta Supo Tallacahua,http://www.diputados.bo/script/imagenes/La%20Paz/supo.tm.jpg,La Paz,Uninominal C - 14,supo.tm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 14
Virginia Terceros Pinto,http://www.diputados.bo/script/imagenes/Cochabamba/terceros.pv.jpg,Cochabamba,Plurinominal,terceros.pv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,
Sebastian Texeira Rojas,http://www.diputados.bo/script/imagenes/Pando/texeira.rs.jpg,Pando,Uninominal C - 62,texeira.rs,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,C - 62
Army Claudia Torrez Diez,http://www.diputados.bo/script/imagenes/Pando/torrez.da.jpg,Pando,Uninominal C - 63,torrez.da,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,C - 63
Ginna Maria Torrez Saracho,http://www.diputados.bo/script/imagenes/Tarija/torrez.sg.jpg,Tarija,Uninominal C - 41,torrez.sg,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,C - 41
Avilio Vaca Achico,http://www.diputados.bo/script/imagenes/Santa%20Cruz/vaca.aa.jpg,Santa Cruz,Especial,vaca.aa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Freddy Vargas Terceros,http://www.diputados.bo/script/imagenes/Cochabamba/vargas.tf.jpg,Cochabamba,Uninominal C - 26,vargas.tf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,C - 26
Clery Vargas Villca,http://www.diputados.bo/script/imagenes/La%20Paz/vargas.vc.jpg,La Paz,Uninominal C - 13,vargas.vc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 13
Juan Vasquez Collque,http://www.diputados.bo/script/imagenes/Cochabamba/vasquez.cj.jpg,Cochabamba,Plurinominal,vasquez.cj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,
Marcela Vasquez,http://www.diputados.bo/script/imagenes/Tarija/vasquez.m.jpg,Tarija,Uninominal C - 43,vasquez.m,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,C - 43
Jacinto Vega Rivero,http://www.diputados.bo/script/imagenes/Tarija/vega.rj.jpg,Tarija,Especial,vega.rj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,
Tito Veizaga Cossio,http://www.diputados.bo/script/imagenes/La%20Paz/veizaga.ct.jpg,La Paz,Uninominal C - 17,veizaga.ct,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 17
Bacilio Velasquez Salazar,http://www.diputados.bo/script/imagenes/Chuquisaca/velasquez.sb.jpg,Chuquisaca,Uninominal C - 4,velasquez.sb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,C - 4
Ana Vidal Velasco,http://www.diputados.bo/script/imagenes/Beni/vidal.va.jpg,Beni,Uninominal C - 59,vidal.va,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,C - 59
Alicia Villarpando Flores,http://www.diputados.bo/script/imagenes/Chuquisaca/villarpando.fa.jpg,Chuquisaca,Uninominal C - 5,villarpando.fa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,C - 5
