name,image,area,id,party,type,term,source,dpto,dip,area_id
Alicia Canqui Condori,http://www.diputados.bo/script/imagenes/Chuquisaca/canqui.ca.jpg,Chuquisaca,canqui.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,Plurinominal,
Beatriz Eliane Capobianco Sandoval,http://www.diputados.bo/script/imagenes/Santa%20Cruz/capobianco.sb.jpg,Santa Cruz,capobianco.sb,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Juan Lino Cardenas Ortega,http://www.diputados.bo/script/imagenes/Tarija/cardenas.oj.jpg,Tarija,cardenas.oj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,Plurinominal,
Sandra Cartagena Lopez,http://www.diputados.bo/script/imagenes/Cochabamba/cartagena.ls.jpg,Cochabamba,cartagena.ls,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Uninominal C - 21,C - 21
Elisa Catari Méndez,http://www.diputados.bo/script/imagenes/Potosi/catari.me.jpg,Potosi,catari.me,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Uninominal C - 35,C - 35
Ruben Chambi Mollericona,http://www.diputados.bo/script/imagenes/La%20Paz/chambi.mr.jpg,La Paz,chambi.mr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 19,C - 19
Patricia Chavez Noe,http://www.diputados.bo/script/imagenes/Cochabamba/chavez.np.jpg,Cochabamba,chavez.np,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Especial,
Pura Leny Chavez Vaca,http://www.diputados.bo/script/imagenes/Santa%20Cruz/chavez.vp.jpg,Santa Cruz,chavez.vp,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 44,C - 44
Aniceto Choque Chino,http://www.diputados.bo/script/imagenes/Oruro/choque.ca.jpg,Oruro,choque.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,Plurinominal,
Simon Sergio Choque Siñani,http://www.diputados.bo/script/imagenes/La%20Paz/choque.ss.jpg,La Paz,choque.ss,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 12,C - 12
Otilia Choque Veliz,http://www.diputados.bo/script/imagenes/Oruro/choque.vo.jpg,Oruro,choque.vo,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,Plurinominal,
Rosa Ines Chuquimia Tarquino,http://www.diputados.bo/script/imagenes/La%20Paz/chuquimia.tr.jpg,La Paz,chuquimia.tr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 9,C - 9
Zacarias Colque Matias,http://www.diputados.bo/script/imagenes/Potosi/colque.mz.jpg,Potosi,colque.mz,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Uninominal C - 38,C - 38
Fidel Colque Pascual,http://www.diputados.bo/script/imagenes/Potosi/colque.pf.jpg,Potosi,colque.pf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Plurinominal,
Ana Jimena Costa Benavides,http://www.diputados.bo/script/imagenes/La%20Paz/costa.ba.jpg,La Paz,costa.ba,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Julio Hermogenes Costas Gonzales,http://www.diputados.bo/script/imagenes/Santa%20Cruz/costas.gj.jpg,Santa Cruz,costas.gj,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Francisco Cuellar Rios,http://www.diputados.bo/script/imagenes/Chuquisaca/cuellar.rf.jpg,Chuquisaca,cuellar.rf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,Uninominal C - 2,C - 2
Carmen Rosa Dominguez Arias,http://www.diputados.bo/script/imagenes/Chuquisaca/dominguez.ac.jpg,Chuquisaca,dominguez.ac,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,Plurinominal,
Luis Felipe Dorado Middagh,http://www.diputados.bo/script/imagenes/Santa%20Cruz/dorado.ml.jpg,Santa Cruz,dorado.ml,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 45,C - 45
Franklin Duran Lopez,http://www.diputados.bo/script/imagenes/La%20Paz/duran.lf.jpg,La Paz,duran.lf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Orlando Egüez Algarañaz,http://www.diputados.bo/script/imagenes/Beni/eguez.ao.jpg,Beni,eguez.ao,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,Uninominal C - 60,C - 60
Sabelio Estrada Soliz,http://www.diputados.bo/script/imagenes/Santa%20Cruz/estrada.ss.jpg,Santa Cruz,estrada.ss,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 48,C - 48
Miguel Angel Feeney Parada,http://www.diputados.bo/script/imagenes/Santa%20Cruz/feeney.pm.jpg,Santa Cruz,feeney.pm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Margarita del Carmen Fernandez Claure,http://www.diputados.bo/script/imagenes/Beni/fernandez.cm.jpg,Beni,fernandez.cm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,Plurinominal,
Eusebia Fernández Montes,http://www.diputados.bo/script/imagenes/Santa%20Cruz/fernandez.me.jpg,Santa Cruz,fernandez.me,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 56,C - 56
Franklin Richard Flores Cordova,http://www.diputados.bo/script/imagenes/La%20Paz/flores.cf.jpg,La Paz,flores.cf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 18,C - 18
Shirley Franco Rodriguez,http://www.diputados.bo/script/imagenes/Cochabamba/franco.rs.jpg,Cochabamba,franco.rs,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Plurinominal,
Alcides Andrés Gallardo Ibarra,http://www.diputados.bo/script/imagenes/Santa%20Cruz/gallardo.ia.jpg,Santa Cruz,gallardo.ia,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 47,C - 47
Lucio Gomez Lojo,http://www.diputados.bo/script/imagenes/Cochabamba/gomez.ll.jpg,Cochabamba,gomez.ll,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Plurinominal,
Mario Guerrero Gonzales,http://www.diputados.bo/script/imagenes/Santa%20Cruz/guerrero.gm.jpg,Santa Cruz,guerrero.gm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Victor Alonzo Gutierrez Flores,http://www.diputados.bo/script/imagenes/Cochabamba/gutierrez.fv.jpg,Cochabamba,gutierrez.fv,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Uninominal C - 20,C - 20
Bernard Osvaldo Gutierrez Sanz,http://www.diputados.bo/script/imagenes/Cochabamba/gutierrez.sb.jpg,Cochabamba,gutierrez.sb,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Plurinominal,
Alvaro Rodrigo Guzman Collao,http://www.diputados.bo/script/imagenes/Beni/guzman.ca.jpg,Beni,guzman.ca,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,Uninominal C - 58,C - 58
Eleuterio Huallpa Janco,http://www.diputados.bo/script/imagenes/Oruro/huallpa.je.jpg,Oruro,huallpa.je,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,Uninominal C - 31,C - 31
Julio Grover Huanca Nina,http://www.diputados.bo/script/imagenes/Potosi/huanca.nj.jpg,Potosi,huanca.nj,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Plurinominal,
Julio Huaraya Cabrera,http://www.diputados.bo/script/imagenes/La%20Paz/huaraya.cj.jpg,La Paz,huaraya.cj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 15,C - 15
Leoncio Jancko Quispe,http://www.diputados.bo/script/imagenes/Cochabamba/jancko.ql.jpg,Cochabamba,jancko.ql,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Uninominal C - 22,C - 22
Julio Sabas Jimenez Llanque,http://www.diputados.bo/script/imagenes/Cochabamba/jimenez.lj.jpg,Cochabamba,jimenez.lj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Uninominal C - 23,C - 23
Jhovana Margarett Jordan Antonio,http://www.diputados.bo/script/imagenes/La%20Paz/jordan.aj.jpg,La Paz,jordan.aj,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Norman Rene Lazarte Calizaya,http://www.diputados.bo/script/imagenes/Tarija/lazarte.cn.jpg,Tarija,lazarte.cn,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,Plurinominal,
Ascencio Lazo,http://www.diputados.bo/script/imagenes/Potosi/lazo.a.jpg,Potosi,lazo.a,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Uninominal C - 36,C - 36
Irma Herminia Ledezma Tambo,http://www.diputados.bo/script/imagenes/Beni/ledezma.ti.jpg,Beni,ledezma.ti,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,Uninominal C - 61,C - 61
Nelly Lenz Roso,http://www.diputados.bo/script/imagenes/Tarija/lenz.rn.jpg,Tarija,lenz.rn,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,Uninominal C - 42,C - 42
Esteban López Fernández,http://www.diputados.bo/script/imagenes/Potosi/lopez.fe.jpg,Potosi,lopez.fe,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Plurinominal,
Felipa Malaga Mamani,http://www.diputados.bo/script/imagenes/Chuquisaca/malaga.mf.jpg,Chuquisaca,malaga.mf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,Uninominal C - 3,C - 3
Claudia Mallon Vargas,http://www.diputados.bo/script/imagenes/Cochabamba/mallon.vc.jpg,Cochabamba,mallon.vc,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Plurinominal,
Martiriano Mamani Cari,http://www.diputados.bo/script/imagenes/Santa%20Cruz/mamani.cm.jpg,Santa Cruz,mamani.cm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 53,C - 53
Manuel Mamani Quispe,http://www.diputados.bo/script/imagenes/Cochabamba/mamani.qm.jpg,Cochabamba,mamani.qm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Uninominal C - 27,C - 27
Kary Mariscal Guzmán,http://www.diputados.bo/script/imagenes/Santa%20Cruz/mariscal.gk.jpg,Santa Cruz,mariscal.gk,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 54,C - 54
Lindaura Lourdes Millares Rios,http://www.diputados.bo/script/imagenes/Chuquisaca/millares.rl.jpg,Chuquisaca,millares.rl,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,Plurinominal,
Isabel Jaqueline Miranda Alanez,http://www.diputados.bo/script/imagenes/Santa%20Cruz/miranda.ai.jpg,Santa Cruz,miranda.ai,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Mario Mita Daza,http://www.diputados.bo/script/imagenes/Chuquisaca/mita.dm.jpg,Chuquisaca,mita.dm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,Plurinominal,
Tomas Xavier Monasterio Romay,http://www.diputados.bo/script/imagenes/Santa%20Cruz/monasterio.rt.jpg,Santa Cruz,monasterio.rt,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 46,C - 46
Carol Mireya Montaño Rocha,http://www.diputados.bo/script/imagenes/La%20Paz/montanio.rc.jpg,La Paz,montanio.rc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 11,C - 11
Edgar Montaño Rojas,http://www.diputados.bo/script/imagenes/Santa%20Cruz/montanio.re.jpg,Santa Cruz,montanio.re,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 50,C - 50
Lilly Gabriela Montaño Viaña,http://www.diputados.bo/script/imagenes/Santa%20Cruz/montanio.vl.jpg,Santa Cruz,montanio.vl,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Erik Morón Osinaga,http://www.diputados.bo/script/imagenes/Santa%20Cruz/moron.oe.jpg,Santa Cruz,moron.oe,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Ramona Moye Camaconi,http://www.diputados.bo/script/imagenes/Beni/moye.cr.jpg,Beni,moye.cr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,Especial,
Trifonia Griselda Muñoz Colque,http://www.diputados.bo/script/imagenes/Santa%20Cruz/munioz.ct.jpg,Santa Cruz,munioz.ct,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 51,C - 51
Alicia Natte Rosendi,http://www.diputados.bo/script/imagenes/La%20Paz/natte.ra.jpg,La Paz,natte.ra,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Especial,
Miguel Santa Lucia Ojopi Sosa,http://www.diputados.bo/script/imagenes/Pando/ojopi.sm.jpg,Pando,ojopi.sm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,Plurinominal,
Concepcion Ortiz,http://www.diputados.bo/script/imagenes/La%20Paz/ortiz.c.jpg,La Paz,ortiz.c,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 16,C - 16
Santos Paredes Mamani,http://www.diputados.bo/script/imagenes/Oruro/paredes.ms.jpg,Oruro,paredes.ms,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,Especial,
Maida Paz Callau,http://www.diputados.bo/script/imagenes/Santa%20Cruz/paz.cm.jpg,Santa Cruz,paz.cm,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Romina Guadalupe Perez Ramos,http://www.diputados.bo/script/imagenes/Cochabamba/perez.rr.jpg,Cochabamba,perez.rr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Plurinominal,
Norma Alicia Pierola Valdez,http://www.diputados.bo/script/imagenes/Cochabamba/pierola.vn.jpg,Cochabamba,pierola.vn,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Plurinominal,
Edmundo Gaston Polo Ariñez,http://www.diputados.bo/script/imagenes/La%20Paz/polo.ae.jpg,La Paz,polo.ae,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Toribia Pomacusi Chipana,http://www.diputados.bo/script/imagenes/La%20Paz/pomacusi.ct.jpg,La Paz,pomacusi.ct,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Horacio Poppe Inch,http://www.diputados.bo/script/imagenes/Chuquisaca/poppe.ih.jpg,Chuquisaca,poppe.ih,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,Uninominal C - 1,C - 1
Brigida Virginia Quiroga Ramos,http://www.diputados.bo/script/imagenes/La%20Paz/quiroga.rb.jpg,La Paz,quiroga.rb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Nora Quisbert Tito,http://www.diputados.bo/script/imagenes/Tarija/quisbert.tn.jpg,Tarija,quisbert.tn,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,Plurinominal,
Juana Quispe Ari,http://www.diputados.bo/script/imagenes/Cochabamba/quispe.aj.jpg,Cochabamba,quispe.aj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Uninominal C - 24,C - 24
Francisco Quispe Flores,http://www.diputados.bo/script/imagenes/Oruro/quispe.ff.jpg,Oruro,quispe.ff,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,Plurinominal,
Saturnino Javier Quispe Poma,http://www.diputados.bo/script/imagenes/La%20Paz/quispe.ps.jpg,La Paz,quispe.ps,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 10,C - 10
Maura Quispe Quispe,http://www.diputados.bo/script/imagenes/Potosi/quispe.qm.jpg,Potosi,quispe.qm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Uninominal C - 37,C - 37
Victor Marcian Ramirez Medina,http://www.diputados.bo/script/imagenes/La%20Paz/ramirez.mv.jpg,La Paz,ramirez.mv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
David Ramos Mamani,http://www.diputados.bo/script/imagenes/Potosi/ramos.md.jpg,Potosi,ramos.md,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Plurinominal,
Edgar Rendon Rios,http://www.diputados.bo/script/imagenes/Tarija/rendon.re.jpg,Tarija,rendon.re,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,Plurinominal,
Susana Rivero Guzman,http://www.diputados.bo/script/imagenes/Beni/rivero.gs.jpg,Beni,rivero.gs,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,Plurinominal,
Raul Rocha Ayala,http://www.diputados.bo/script/imagenes/Oruro/rocha.ar.jpg,Oruro,rocha.ar,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,Plurinominal,
Trinidad Rojas Bellido,http://www.diputados.bo/script/imagenes/Potosi/rojas.bt.jpg,Potosi,rojas.bt,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Plurinominal,
Elvira Silvana Rojas Orellana,http://www.diputados.bo/script/imagenes/Cochabamba/rojas.oe.jpg,Cochabamba,rojas.oe,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Uninominal C - 25,C - 25
Walter Roque Gomez,http://www.diputados.bo/script/imagenes/Beni/roque.gw.jpg,Beni,roque.gw,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,Plurinominal,
Helmuth Vladimir Salinas Iñiguez,http://www.diputados.bo/script/imagenes/La%20Paz/salinas.ih.jpg,La Paz,salinas.ih,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Rose Marie Sandoval Farfan,http://www.diputados.bo/script/imagenes/Santa%20Cruz/sandoval.fr.jpg,Santa Cruz,sandoval.fr,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Fernanda Elena San Martin Carrasco,http://www.diputados.bo/script/imagenes/La%20Paz/sanmartin.cf.jpg,La Paz,sanmartin.cf,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Wilson Pedro Santamaria Choque,http://www.diputados.bo/script/imagenes/La%20Paz/santamaria.cw.jpg,La Paz,santamaria.cw,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Cinthia Sequeiros Rivero,http://www.diputados.bo/script/imagenes/Santa%20Cruz/sequeiros.rc.jpg,Santa Cruz,sequeiros.rc,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Carmen Muriel Cruz Claros,http://www.diputados.bo/script/imagenes/sinfoto.jpg,Santa Cruz,sinfoto,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Ignacio Soruco Grandchant,http://www.diputados.bo/script/imagenes/Tarija/soruco.gi.jpg,Tarija,soruco.gi,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,Uninominal C - 40,C - 40
Benita Suarez Barba,http://www.diputados.bo/script/imagenes/Santa%20Cruz/suarez.bb.jpg,Santa Cruz,suarez.bb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 57,C - 57
Modesta Supo Tallacahua,http://www.diputados.bo/script/imagenes/La%20Paz/supo.tm.jpg,La Paz,supo.tm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 14,C - 14
Virginia Terceros Pinto,http://www.diputados.bo/script/imagenes/Cochabamba/terceros.pv.jpg,Cochabamba,terceros.pv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Plurinominal,
Sebastian Texeira Rojas,http://www.diputados.bo/script/imagenes/Pando/texeira.rs.jpg,Pando,texeira.rs,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,Uninominal C - 62,C - 62
Army Claudia Torrez Diez,http://www.diputados.bo/script/imagenes/Pando/torrez.da.jpg,Pando,torrez.da,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,Uninominal C - 63,C - 63
Ginna Maria Torrez Saracho,http://www.diputados.bo/script/imagenes/Tarija/torrez.sg.jpg,Tarija,torrez.sg,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,Uninominal C - 41,C - 41
Avilio Vaca Achico,http://www.diputados.bo/script/imagenes/Santa%20Cruz/vaca.aa.jpg,Santa Cruz,vaca.aa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Especial,
Freddy Vargas Terceros,http://www.diputados.bo/script/imagenes/Cochabamba/vargas.tf.jpg,Cochabamba,vargas.tf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Uninominal C - 26,C - 26
Clery Vargas Villca,http://www.diputados.bo/script/imagenes/La%20Paz/vargas.vc.jpg,La Paz,vargas.vc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 13,C - 13
Juan Vasquez Collque,http://www.diputados.bo/script/imagenes/Cochabamba/vasquez.cj.jpg,Cochabamba,vasquez.cj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Plurinominal,
Marcela Vasquez,http://www.diputados.bo/script/imagenes/Tarija/vasquez.m.jpg,Tarija,vasquez.m,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,Uninominal C - 43,C - 43
Jacinto Vega Rivero,http://www.diputados.bo/script/imagenes/Tarija/vega.rj.jpg,Tarija,vega.rj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,Especial,
Tito Veizaga Cossio,http://www.diputados.bo/script/imagenes/La%20Paz/veizaga.ct.jpg,La Paz,veizaga.ct,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 17,C - 17
Bacilio Velasquez Salazar,http://www.diputados.bo/script/imagenes/Chuquisaca/velasquez.sb.jpg,Chuquisaca,velasquez.sb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,Uninominal C - 4,C - 4
Ana Vidal Velasco,http://www.diputados.bo/script/imagenes/Beni/vidal.va.jpg,Beni,vidal.va,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Beni,Uninominal C - 59,C - 59
Alicia Villarpando Flores,http://www.diputados.bo/script/imagenes/Chuquisaca/villarpando.fa.jpg,Chuquisaca,villarpando.fa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,Uninominal C - 5,C - 5
