id,position,label,description,start_date,term,election,constituency,end_date,replaced_by,replaces,of
Q220909,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q220909,Q282907,Minister of Defence of Hungary,Hungary's national defense and armed forces minister,2010-05-29,,,,2015-09-07,István Simicskó,Imre Szekeres,
Q23561873,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q23561959,Q17590876,member of the National Assembly of Hungary,"",2014-06-30,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q252267,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Borsod-Abaúj-Zemplén County 05,,,,
Q264055,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q264055,Q23644987,Minister of Transport and Water Management,Hungarian cabinet position,2000-10-01,,,,2002-05-27,Csillag István,,
Q264055,Q736559,Secretary of State,minister or senior civil servant in the government of a state,"",,,,,,,
Q26802740,Q17590876,member of the National Assembly of Hungary,"",2016-09-12,2014–2018 legislative term,,,,,,
Q269131,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q28722039,Q17590876,member of the National Assembly of Hungary,"",2015-09-21,2014–2018 legislative term,,,,,,
Q28722225,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q28722252,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q28722365,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q28745275,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q29861529,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Pest County 08,,,,
Q30093130,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q30093134,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q30093138,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
