id,position,label,description,start_date,term,election,constituency,end_date,replaced_by,replaces,of
Q465476,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q465476,Q468879,Speaker of the National Assembly of Hungary,position,"",,,,,,,
Q465476,Q470760,Minister of Civilian Intelligence Services,Wikimedia list article,"",,,,,,,
Q465476,Q520765,President of Hungary,position,2012-04-02,,,,2012-05-09,János Áder,Pál Schmitt,
Q4759767,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Pest County 01,,,,
Q4818401,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q4853187,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q5005010,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Békés County 02,,,,
Q516102,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,2016-09-05,Ákos Hadházy,,
Q549568,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Jász-Nagykun-Szolnok County 03,,,,
Q549568,Q50586594,Minister of Agriculture of Hungary,in Hungary,2010-05-29,,,,,,,
Q5550584,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q555669,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q55574,Q17590876,member of the National Assembly of Hungary,"","",2010-2014 legislative term,,,,,,
Q55574,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q55574,Q30575843,Minister Without Portfolio for National Policy,Hungary Government position,"",,,,,,,
Q55574,Q30575843,Minister Without Portfolio for National Policy,Hungary Government position,2010-05-29,,,,,,,
Q55574,Q877955,deputy prime minister,civil servant position,2010-06-01,,,,,,,
Q5625635,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q5625722,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q5625744,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q5625744,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q57641,Q17590876,member of the National Assembly of Hungary,"","",2010-2014 legislative term,,,,,,
Q57641,Q17590876,member of the National Assembly of Hungary,"",1990-05-02,1990-1994 legislative term,,,1994,,,
Q57641,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014","",,,,
Q57641,Q3315094,Prime Minister of Hungary,"",1998-07-08,,,,2002-05-27,Péter Medgyessy,Gyula Horn,
Q57641,Q3315094,Prime Minister of Hungary,"",2010-05-29,,,,,,Gordon Bajnai,
Q579127,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q589138,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q5997346,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Jász-Nagykun-Szolnok County 01,,,,
Q604812,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q604812,Q736559,Secretary of State,minister or senior civil servant in the government of a state,"",,,,,,,
