name,wikiname,area,area_id,party,term,source,end_date,start_date,replaced,source
"Kamuta Latasi","Kamuta Latasi",Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,
"Kamuta Latasi","Kamuta Latasi",Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Kausea Natano","Kausea Natano",Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,
"Kausea Natano","Kausea Natano",Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,
"Kausea Natano","Kausea Natano",Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Leneuoti Maatusi","Leneuoti Maatusi",Nui,ocd-division/country:tv/constituency:nui,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2013-09-10,"Taom Tanukale",
"Lotoala Metia","Lotoala Metia",Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,
"Lotoala Metia","Lotoala Metia",Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2013-06-28,,,
"Maatia Toafa","Maatia Toafa",Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,
"Maatia Toafa","Maatia Toafa",Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,
"Maatia Toafa","Maatia Toafa",Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Mackenzie Kiritome","Mackenzie Kiritome",Nui,ocd-division/country:tv/constituency:nui,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Monise Lafai","Monise Lafai",Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,
"Monise Lafai","Monise Lafai",Nanumanga,ocd-division/country:tv/constituency:nanumanga,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Namoliki Sualiki","Namoliki Sualiki",Nukulaelae,ocd-division/country:tv/constituency:nukulaelae,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,
"Namoliki Sualiki","Namoliki Sualiki",Nukulaelae,ocd-division/country:tv/constituency:nukulaelae,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,
"Namoliki Sualiki","Namoliki Sualiki",Nukulaelae,ocd-division/country:tv/constituency:nukulaelae,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Otinielu Tausi","Otinielu Tausi",Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,
"Otinielu Tausi","Otinielu Tausi",Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2014-01-14,"Falesa Pitoi",
"Otinielu Tausi","Otinielu Tausi",Nanumanga,ocd-division/country:tv/constituency:nanumanga,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Pelenike Isaia","Pelenike Isaia",Nui,ocd-division/country:tv/constituency:nui,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2011-08-24,"Isaia Italeli",
"Puakena Boreham","Puakena Boreham",Nui,ocd-division/country:tv/constituency:nui,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Samuelu Teo","Samuelu Teo",Niutao,ocd-division/country:tv/constituency:niutao,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Satini Manuella","Satini Manuella",Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2014-09-19,"Willy Telavi",
"Satini Manuella","Satini Manuella",Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Taom Tanukale","Taom Tanukale",Nui,ocd-division/country:tv/constituency:nui,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2013-09-10,,,
"Taukelina Finikaso","Taukelina Finikaso",Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,
"Taukelina Finikaso","Taukelina Finikaso",Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,
"Taukelina Finikaso","Taukelina Finikaso",Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,
"Tavau Teii","Tavau Teii",Niutao,ocd-division/country:tv/constituency:niutao,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,
"Tomu Sione","Tomu Sione",Niutao,ocd-division/country:tv/constituency:niutao,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,
"Vete Sakaio","Vete Sakaio",Niutao,ocd-division/country:tv/constituency:niutao,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,
"Willy Telavi","Willy Telavi",Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,
"Willy Telavi","Willy Telavi",Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2014-09-19,,,
