id,name
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:kyadondo_north,Kyadondo North
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:kyadondo_south,Kyadondo South
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:makindye-ssabagabo,Makindye-Ssabagabo
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:nansana_municipality,Nansana municipality
ocd-division/country:ug/region:eastern,Eastern
ocd-division/country:ug/region:eastern/subregion:bugisu,Bugisu
ocd-division/country:ug/region:eastern/subregion:bugisu/district:bududa,Bududa
ocd-division/country:ug/region:eastern/subregion:bugisu/district:bududa/constituency:lutseshe_county,Lutseshe County
ocd-division/country:ug/region:eastern/subregion:bugisu/district:bududa/constituency:manjiya_county,Manjiya County
ocd-division/country:ug/region:eastern/subregion:bugisu/district:bulambuli,Bulambuli
ocd-division/country:ug/region:eastern/subregion:bugisu/district:bulambuli/constituency:bulambuli_county,Bulambuli County
ocd-division/country:ug/region:eastern/subregion:bugisu/district:bulambuli/constituency:elgon_county,Elgon county
ocd-division/country:ug/region:eastern/subregion:bugisu/district:manafwa,Manafwa
ocd-division/country:ug/region:eastern/subregion:bugisu/district:manafwa/constituency:bubulo_east,Bubulo East
ocd-division/country:ug/region:eastern/subregion:bugisu/district:manafwa/constituency:bubulo_west,Bubulo West
ocd-division/country:ug/region:eastern/subregion:bugisu/district:manafwa/constituency:bubulo_west,Bubulo west
ocd-division/country:ug/region:eastern/subregion:bugisu/district:mbale,Mbale
ocd-division/country:ug/region:eastern/subregion:bugisu/district:mbale/constituency:bungokho_north,Bungokho North
ocd-division/country:ug/region:eastern/subregion:bugisu/district:mbale/constituency:bungokho_south,Bungokho South
ocd-division/country:ug/region:eastern/subregion:bugisu/district:mbale/constituency:mbale_municipality,Mbale Municipality
ocd-division/country:ug/region:eastern/subregion:bugisu/district:sironko,Sironko
ocd-division/country:ug/region:eastern/subregion:bugisu/district:sironko/constituency:budadiri_east,Budadiri East
ocd-division/country:ug/region:eastern/subregion:bugisu/district:sironko/constituency:budadiri_east,BudadirI East
ocd-division/country:ug/region:eastern/subregion:bugisu/district:sironko/constituency:budadiri_west,Budadiri West
ocd-division/country:ug/region:eastern/subregion:bukedi,Bukedi
ocd-division/country:ug/region:eastern/subregion:bukedi/district:budaka,Budaka
ocd-division/country:ug/region:eastern/subregion:bukedi/district:budaka/constituency:budaka_county,Budaka County
ocd-division/country:ug/region:eastern/subregion:bukedi/district:budaka/constituency:iki_iki_county,Iki Iki County
ocd-division/country:ug/region:eastern/subregion:bukedi/district:busia,Busia
ocd-division/country:ug/region:eastern/subregion:bukedi/district:busia/constituency:busia_municipality,Busia Municipality
ocd-division/country:ug/region:eastern/subregion:bukedi/district:busia/constituency:samia_bugwe_north,Samia Bugwe North
ocd-division/country:ug/region:eastern/subregion:bukedi/district:busia/constituency:samia_bugwe_south,Samia Bugwe South
ocd-division/country:ug/region:eastern/subregion:bukedi/district:butaleja,Butaleja
ocd-division/country:ug/region:eastern/subregion:bukedi/district:butaleja/constituency:bunyole_east,Bunyole East
ocd-division/country:ug/region:eastern/subregion:bukedi/district:butaleja/constituency:bunyole_west,Bunyole West
ocd-division/country:ug/region:eastern/subregion:bukedi/district:kibuku,Kibuku
ocd-division/country:ug/region:eastern/subregion:bukedi/district:kibuku/constituency:kabweri_county,Kabweri County
ocd-division/country:ug/region:eastern/subregion:bukedi/district:kibuku/constituency:kibuku_county,Kibuku County
ocd-division/country:ug/region:eastern/subregion:bukedi/district:kibuku/constituency:kibuku_county,Kibuku county
ocd-division/country:ug/region:eastern/subregion:bukedi/district:pallisa,Pallisa
ocd-division/country:ug/region:eastern/subregion:bukedi/district:pallisa/constituency:agule_county,Agule County
ocd-division/country:ug/region:eastern/subregion:bukedi/district:pallisa/constituency:butebo_county,Butebo County
ocd-division/country:ug/region:eastern/subregion:bukedi/district:pallisa/constituency:kibale_county,Kibale County
ocd-division/country:ug/region:eastern/subregion:bukedi/district:pallisa/constituency:pallisa_county,Pallisa County
ocd-division/country:ug/region:eastern/subregion:bukedi/district:tororo,Tororo
ocd-division/country:ug/region:eastern/subregion:bukedi/district:tororo/constituency:tororo_county,Tororo County
ocd-division/country:ug/region:eastern/subregion:bukedi/district:tororo/constituency:tororo_county_north,Tororo County North
ocd-division/country:ug/region:eastern/subregion:bukedi/district:tororo/constituency:tororo_municipality,Tororo Municipality
ocd-division/country:ug/region:eastern/subregion:bukedi/district:tororo/constituency:tororo_south,Tororo South
ocd-division/country:ug/region:eastern/subregion:bukedi/district:tororo/constituency:west_budama_north,West Budama North
ocd-division/country:ug/region:eastern/subregion:bukedi/district:tororo/constituency:west_budama_south,West Budama South
ocd-division/country:ug/region:eastern/subregion:busoga,Busoga
ocd-division/country:ug/region:eastern/subregion:busoga/district:bugiri,Bugiri
ocd-division/country:ug/region:eastern/subregion:busoga/district:bugiri/constituency:bukooli_central,Bukooli Central
ocd-division/country:ug/region:eastern/subregion:busoga/district:bugiri/constituency:bukooli_island,Bukooli Island
ocd-division/country:ug/region:eastern/subregion:busoga/district:bugiri/constituency:bukooli_north,Bukooli North
ocd-division/country:ug/region:eastern/subregion:busoga/district:bugiri/constituency:bukooli_south,Bukooli South
ocd-division/country:ug/region:eastern/subregion:busoga/district:buyende,Buyende
ocd-division/country:ug/region:eastern/subregion:busoga/district:buyende/constituency:budiope_east,Budiope East
ocd-division/country:ug/region:eastern/subregion:busoga/district:buyende/constituency:budiope_west,Budiope West
ocd-division/country:ug/region:eastern/subregion:busoga/district:iganga,Iganga
ocd-division/country:ug/region:eastern/subregion:busoga/district:iganga/constituency:bugweri_county,Bugweri County
ocd-division/country:ug/region:eastern/subregion:busoga/district:iganga/constituency:iganga_municipality,Iganga Municipality
ocd-division/country:ug/region:eastern/subregion:busoga/district:iganga/constituency:kigulu_north,Kigulu North
ocd-division/country:ug/region:eastern/subregion:busoga/district:iganga/constituency:kigulu_south,Kigulu South
ocd-division/country:ug/region:eastern/subregion:busoga/district:jinja,Jinja
ocd-division/country:ug/region:eastern/subregion:busoga/district:jinja,JINJA
ocd-division/country:ug/region:eastern/subregion:busoga/district:jinja/constituency:butembe_county,Butembe County
ocd-division/country:ug/region:eastern/subregion:busoga/district:jinja/constituency:jinja_municipality_east,Jinja Municipality East
ocd-division/country:ug/region:eastern/subregion:busoga/district:jinja/constituency:jinja_west_municipality,Jinja West Municipality
ocd-division/country:ug/region:eastern/subregion:busoga/district:jinja/constituency:kagoma_county,Kagoma County
ocd-division/country:ug/region:eastern/subregion:busoga/district:kaliro,Kaliro
ocd-division/country:ug/region:eastern/subregion:busoga/district:kaliro/constituency:bulamogi_county,Bulamogi County
ocd-division/country:ug/region:eastern/subregion:busoga/district:kaliro/constituency:bulamogi_north_west,Bulamogi North West
ocd-division/country:ug/region:eastern/subregion:busoga/district:kamuli,Kamuli
ocd-division/country:ug/region:eastern/subregion:busoga/district:kamuli/constituency:bugabula_north,Bugabula North
ocd-division/country:ug/region:eastern/subregion:busoga/district:kamuli/constituency:bugabula_south,Bugabula South
ocd-division/country:ug/region:eastern/subregion:busoga/district:kamuli/constituency:buzaya_county,Buzaya County
ocd-division/country:ug/region:eastern/subregion:busoga/district:kamuli/constituency:kamuli_municipality,Kamuli Municipality
ocd-division/country:ug/region:eastern/subregion:busoga/district:luuka,Luuka
ocd-division/country:ug/region:eastern/subregion:busoga/district:luuka/constituency:luuka_county,Luuka County
ocd-division/country:ug/region:eastern/subregion:busoga/district:luuka/constituency:luuka_county_north,Luuka county North
ocd-division/country:ug/region:eastern/subregion:busoga/district:luuka/constituency:luuka_county_south,Luuka county south
ocd-division/country:ug/region:eastern/subregion:busoga/district:mayuge,Mayuge
ocd-division/country:ug/region:eastern/subregion:busoga/district:mayuge/constituency:bunya_east,Bunya East
ocd-division/country:ug/region:eastern/subregion:busoga/district:mayuge/constituency:bunya_south,Bunya South
ocd-division/country:ug/region:eastern/subregion:busoga/district:mayuge/constituency:bunya_west,Bunya West
ocd-division/country:ug/region:eastern/subregion:busoga/district:namayingo,Namayingo
ocd-division/country:ug/region:eastern/subregion:busoga/district:namayingo/constituency:bukooli_island,Bukooli Island
ocd-division/country:ug/region:eastern/subregion:busoga/district:namayingo/constituency:bukooli_south,Bukooli South
ocd-division/country:ug/region:eastern/subregion:busoga/district:namutumba,Namutumba
ocd-division/country:ug/region:eastern/subregion:busoga/district:namutumba/constituency:bukono_county,Bukono County
ocd-division/country:ug/region:eastern/subregion:busoga/district:namutumba/constituency:busiki_county,Busiki County
ocd-division/country:ug/region:eastern/subregion:karamoja,Karamoja
ocd-division/country:ug/region:eastern/subregion:karamoja/district:abim,Abim
ocd-division/country:ug/region:eastern/subregion:karamoja/district:amudat,Amudat
ocd-division/country:ug/region:eastern/subregion:karamoja/district:amudat/constituency:upe_county,Upe County
ocd-division/country:ug/region:eastern/subregion:sebbei,Sebbei
ocd-division/country:ug/region:eastern/subregion:sebbei/district:bukwo,Bukwo
ocd-division/country:ug/region:eastern/subregion:sebbei/district:bukwo/constituency:kongasis_county,Kongasis County
ocd-division/country:ug/region:eastern/subregion:sebbei/district:kapchorwa,Kapchorwa
ocd-division/country:ug/region:eastern/subregion:sebbei/district:kapchorwa/constituency:kapchorwa_municipality,Kapchorwa Municipality
ocd-division/country:ug/region:eastern/subregion:sebbei/district:kapchorwa/constituency:tingey_county,Tingey County
ocd-division/country:ug/region:eastern/subregion:sebbei/district:kween,Kween
ocd-division/country:ug/region:eastern/subregion:sebbei/district:kween/constituency:kween_county,Kween County
ocd-division/country:ug/region:eastern/subregion:sebei,Sebei
ocd-division/country:ug/region:eastern/subregion:sebei/district:bukwo,Bukwo
ocd-division/country:ug/region:eastern/subregion:sebei/district:kapchorwa,Kapchorwa
ocd-division/country:ug/region:eastern/subregion:sebei/district:kween,Kween
ocd-division/country:ug/region:eastern/subregion:teso,Teso
ocd-division/country:ug/region:eastern/subregion:teso/district:amudat,Amudat
ocd-division/country:ug/region:eastern/subregion:teso/district:amudat/constituency:upe_county,Upe county
ocd-division/country:ug/region:eastern/subregion:teso/district:amuria,Amuria
ocd-division/country:ug/region:eastern/subregion:teso/district:amuria/constituency:amuria_county,Amuria County
ocd-division/country:ug/region:eastern/subregion:teso/district:amuria/constituency:kapelebyong_county,Kapelebyong County
ocd-division/country:ug/region:eastern/subregion:teso/district:amuria/constituency:orungo_county,Orungo County
ocd-division/country:ug/region:eastern/subregion:teso/district:bukedea,Bukedea
ocd-division/country:ug/region:eastern/subregion:teso/district:bukedea/constituency:bukedea_county,Bukedea County
ocd-division/country:ug/region:eastern/subregion:teso/district:bukedea/constituency:kachumbala_county,Kachumbala County
ocd-division/country:ug/region:eastern/subregion:teso/district:kaberamaido,Kaberamaido
ocd-division/country:ug/region:eastern/subregion:teso/district:kaberamaido/constituency:kaberamaido_county,Kaberamaido County
ocd-division/country:ug/region:eastern/subregion:teso/district:kaberamaido/constituency:kalaki_county,Kalaki county
ocd-division/country:ug/region:eastern/subregion:teso/district:kaberamaido/constituency:kalaki_county,Kalaki County
ocd-division/country:ug/region:eastern/subregion:teso/district:katakwi,Katakwi
ocd-division/country:ug/region:eastern/subregion:teso/district:katakwi/constituency:toroma_county,Toroma County
ocd-division/country:ug/region:eastern/subregion:teso/district:katakwi/constituency:usuk_county,Usuk County
ocd-division/country:ug/region:eastern/subregion:teso/district:kumi,Kumi
ocd-division/country:ug/region:eastern/subregion:teso/district:kumi/constituency:kanyum_county,Kanyum County
ocd-division/country:ug/region:eastern/subregion:teso/district:kumi/constituency:kumi_county,Kumi County
ocd-division/country:ug/region:eastern/subregion:teso/district:kumi/constituency:kumi_municipality,Kumi Municipality
ocd-division/country:ug/region:eastern/subregion:teso/district:ngora,Ngora
ocd-division/country:ug/region:eastern/subregion:teso/district:ngora/constituency:ngora_county,Ngora County
ocd-division/country:ug/region:eastern/subregion:teso/district:serere,Serere
ocd-division/country:ug/region:eastern/subregion:teso/district:serere/constituency:kasilo_county,Kasilo County
ocd-division/country:ug/region:eastern/subregion:teso/district:serere/constituency:serere_county,Serere County
ocd-division/country:ug/region:eastern/subregion:teso/district:soroti,Soroti
ocd-division/country:ug/region:eastern/subregion:teso/district:soroti/constituency:dakabela_county,Dakabela County
ocd-division/country:ug/region:eastern/subregion:teso/district:soroti/constituency:soroti_county,Soroti County
ocd-division/country:ug/region:eastern/subregion:teso/district:soroti/constituency:soroti_municipality,Soroti Municipality
ocd-division/country:ug/region:national,National
ocd-division/country:ug/region:northern,Northern
ocd-division/country:ug/region:northern/subregion:acholi,Acholi
ocd-division/country:ug/region:northern/subregion:acholi/district:agago,Agago
ocd-division/country:ug/region:northern/subregion:acholi/district:agago/constituency:agago_county,Agago County
ocd-division/country:ug/region:northern/subregion:acholi/district:agago/constituency:agago_north,Agago North
ocd-division/country:ug/region:northern/subregion:acholi/district:amuru,Amuru
ocd-division/country:ug/region:northern/subregion:acholi/district:amuru/constituency:kilak_county,Kilak County
ocd-division/country:ug/region:northern/subregion:acholi/district:amuru/constituency:kilak_north,Kilak North
ocd-division/country:ug/region:northern/subregion:acholi/district:amuru/constituency:kilak_south,Kilak South
ocd-division/country:ug/region:northern/subregion:acholi/district:gulu,Gulu
ocd-division/country:ug/region:northern/subregion:acholi/district:gulu/constituency:aswa_county,Aswa County
ocd-division/country:ug/region:northern/subregion:acholi/district:gulu/constituency:gulu_municipality,Gulu Municipality
ocd-division/country:ug/region:northern/subregion:acholi/district:gulu/constituency:omoro_county,Omoro County
ocd-division/country:ug/region:northern/subregion:acholi/district:gulu/constituency:tochi_county,Tochi County
ocd-division/country:ug/region:northern/subregion:acholi/district:kitgum,Kitgum
ocd-division/country:ug/region:northern/subregion:acholi/district:kitgum/constituency:chua_west_county,Chua West County
ocd-division/country:ug/region:northern/subregion:acholi/district:kitgum/constituency:chwa_east,Chwa East
ocd-division/country:ug/region:northern/subregion:acholi/district:kitgum/constituency:kitgum_municipality,Kitgum Municipality
ocd-division/country:ug/region:northern/subregion:acholi/district:lamwo,Lamwo
ocd-division/country:ug/region:northern/subregion:acholi/district:lamwo/constituency:lamwo_county,Lamwo County
ocd-division/country:ug/region:northern/subregion:acholi/district:nwoya,Nwoya
ocd-division/country:ug/region:northern/subregion:acholi/district:nwoya/constituency:nwoya_county,Nwoya County
ocd-division/country:ug/region:northern/subregion:acholi/district:pader,Pader
ocd-division/country:ug/region:northern/subregion:acholi/district:pader/constituency:aruu_county,Aruu County
ocd-division/country:ug/region:northern/subregion:acholi/district:pader/constituency:aruu_county_north,Aruu County North
ocd-division/country:ug/region:northern/subregion:karamoja,Karamoja
ocd-division/country:ug/region:northern/subregion:karamoja/district:abim,Abim
ocd-division/country:ug/region:northern/subregion:karamoja/district:abim/constituency:labwor_county,Labwor County
ocd-division/country:ug/region:northern/subregion:karamoja/district:kaabong,Kaabong
ocd-division/country:ug/region:northern/subregion:karamoja/district:kaabong/constituency:dodoth_east,Dodoth East
ocd-division/country:ug/region:northern/subregion:karamoja/district:kaabong/constituency:dodoth_west,Dodoth West
ocd-division/country:ug/region:northern/subregion:karamoja/district:kabong,Kabong
ocd-division/country:ug/region:northern/subregion:karamoja/district:kabong/constituency:ik_county,Ik County
ocd-division/country:ug/region:northern/subregion:karamoja/district:kotido,Kotido
ocd-division/country:ug/region:northern/subregion:karamoja/district:kotido/constituency:jie_county,Jie County
ocd-division/country:ug/region:northern/subregion:karamoja/district:moroto,Moroto
ocd-division/country:ug/region:northern/subregion:karamoja/district:moroto/constituency:matheniko,Matheniko
ocd-division/country:ug/region:northern/subregion:karamoja/district:moroto/constituency:matheniko_county,Matheniko County
ocd-division/country:ug/region:northern/subregion:karamoja/district:moroto/constituency:moroto_municipality,Moroto Municipality
ocd-division/country:ug/region:northern/subregion:karamoja/district:moroto/constituency:tepeth_county,Tepeth County
ocd-division/country:ug/region:northern/subregion:karamoja/district:nakapiripirit,Nakapiripirit
ocd-division/country:ug/region:northern/subregion:karamoja/district:nakapiripirit/constituency:chekwii_county,Chekwii County
ocd-division/country:ug/region:northern/subregion:karamoja/district:nakapiripirit/constituency:pian_county,Pian County
ocd-division/country:ug/region:northern/subregion:karamoja/district:napak,Napak
ocd-division/country:ug/region:northern/subregion:karamoja/district:napak/constituency:bokora_county,Bokora County
ocd-division/country:ug/region:northern/subregion:lango,Lango
ocd-division/country:ug/region:northern/subregion:lango/district:agago,Agago
ocd-division/country:ug/region:northern/subregion:lango/district:alebtong,Alebtong
ocd-division/country:ug/region:northern/subregion:lango/district:alebtong/constituency:ajuri_county,Ajuri County
ocd-division/country:ug/region:northern/subregion:lango/district:alebtong/constituency:moroto_county,Moroto County
ocd-division/country:ug/region:northern/subregion:lango/district:amolatar,Amolatar
ocd-division/country:ug/region:northern/subregion:lango/district:amolatar/constituency:kioga_county,Kioga County
ocd-division/country:ug/region:northern/subregion:lango/district:apac,Apac
ocd-division/country:ug/region:northern/subregion:lango/district:apac/constituency:kwania_county,Kwania County
ocd-division/country:ug/region:northern/subregion:lango/district:apac/constituency:maruzi_county,Maruzi County
ocd-division/country:ug/region:northern/subregion:lango/district:dokolo,Dokolo
ocd-division/country:ug/region:northern/subregion:lango/district:dokolo/constituency:dokolo_north,Dokolo North
ocd-division/country:ug/region:northern/subregion:lango/district:dokolo/constituency:dokolo_south,Dokolo South
ocd-division/country:ug/region:northern/subregion:lango/district:kole,Kole
ocd-division/country:ug/region:northern/subregion:lango/district:kole/constituency:kole_county,Kole County
ocd-division/country:ug/region:northern/subregion:lango/district:kole/constituency:kole_north,Kole North
ocd-division/country:ug/region:northern/subregion:lango/district:kole/constituency:kole_south,Kole South
ocd-division/country:ug/region:northern/subregion:lango/district:lira,Lira
ocd-division/country:ug/region:northern/subregion:lango/district:lira/constituency:erute_north,Erute North
ocd-division/country:ug/region:northern/subregion:lango/district:lira/constituency:erute_south,Erute South
ocd-division/country:ug/region:northern/subregion:lango/district:lira/constituency:lira_municipality,Lira Municipality
ocd-division/country:ug/region:northern/subregion:lango/district:otuke,Otuke
ocd-division/country:ug/region:northern/subregion:lango/district:otuke/constituency:otuke_county,Otuke County
