id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image
54c6931d808848fe5d74a0cf,Jonas Dahl,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931d808848fe5d74a0f0,Julie Skovsby,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a100,Karen Ellemann,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a108,Karen Klint,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a116,Karin Gaardsted,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a11c,Karin Nødgaard,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a124,Karina Adsbøl,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a12e,Karina Lorentzen,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931d808848fe5d74a143,Karsten Lauritzen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a149,Karsten Nonbo,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a16c,Kim Andersen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a172,Kim Christiansen,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a17b,Kirsten Brosbøl,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a1b3,Kristian Jensen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a1b9,Kristian Pihl Lorentzen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a1c1,Kristian Thulesen Dahl,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a1da,Lars Barfoed,,,Conservative People‘s Party,C,,Folketing,2011,,,
54c6931d808848fe5d74a1e3,Lars Chr. Lilleholt,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a1ee,Lars Løkke Rasmussen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a208,Leif Lahn,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a20a,Leif Mikkelsen,,,Liberal Alliance,I,,Folketing,2011,,,
54c6931d808848fe5d74a215,Lennart Damsbo-Andersen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a21e,Lisbeth Bech Poulsen,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931d808848fe5d74a22c,Liselott Blixt,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a232,Liv Holm Andersen,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d74a238,Lone Loklindt,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d74a23e,Lotte Rod,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d74a247,Louise Schack Elholm,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a25b,Mads Rørvig,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a261,Magnus Heunicke,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a267,Mai Mercado,,,Conservative People‘s Party,C,,Folketing,2011,,,
54c6931d808848fe5d74a280,Manu Sareen,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d74a291,Marianne Jelved,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d74a299,Marie Krarup,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a2ad,Marlene Borst Hansen,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d74a2b9,Martin Geertsen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a2bf,Martin Henriksen,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a2dd,Merete Riisager,,,Liberal Alliance,I,,Folketing,2011,,,
54c6931d808848fe5d74a2ee,Mette Bock,,,Liberal Alliance,I,,Folketing,2011,,,
54c6931d808848fe5d74a2f4,Mette Frederiksen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a2f9,Mette Gjerskov,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a301,Mette Hjermind Dencker,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a306,Mette Reissmann,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a313,Michael Aastrup Jensen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a330,Mike Legarth,,,Conservative People‘s Party,C,,Folketing,2011,,,
54c6931d808848fe5d74a33a,Mikkel Dencker,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a348,Mogens Jensen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a34e,Mogens Lykketoft,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a356,Morten Bødskov,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a369,Morten Marinus,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a374,Morten Østergaard,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d74a385,Nick Hækkerup,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a38b,Nicolai Wammen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a3a7,Nikolaj Villumsen,,,Red–Green Alliance,Ø,,Folketing,2011,,,
54c6931d808848fe5d74a3b1,Ole Birk Olesen,,,Liberal Alliance,I,,Folketing,2011,,,
54c6931d808848fe5d74a3ba,Ole Hækkerup,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a3c6,Orla Hav,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a410,Pernille Rosenkrantz-Theil,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a41a,Pernille Skipper,,,Red–Green Alliance,Ø,,Folketing,2011,,,
54c6931e808848fe5d74a425,Peter Christensen,,,Venstre,V,,Folketing,2011,,,
54c6931e808848fe5d74a42d,Peter Juel Jensen,,,Venstre,V,,Folketing,2011,,,
54c6931e808848fe5d74a447,Peter Skaarup,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931e808848fe5d74a44f,Pia Adelsteen,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931e808848fe5d74a458,Pia Kjærsgaard,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931e808848fe5d74a45e,Pia Olsen Dyhr,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931e808848fe5d74a46e,Preben Bang Henriksen,,,Venstre,V,,Folketing,2011,,,
54c6931e808848fe5d74a477,Rasmus Helveg Petersen,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931e808848fe5d74a47d,Rasmus Horn Langhoff,,,Social Democrats,A,,Folketing,2011,,,
54c6931e808848fe5d74a48c,Rasmus Prehn,,,Social Democrats,A,,Folketing,2011,,,
54c6931e808848fe5d74a494,René Christensen,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931e808848fe5d74a4a9,Rosa Lund,,,Red–Green Alliance,Ø,,Folketing,2011,,,
54c6931e808848fe5d74a4d5,Sanne Rubinke,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931e808848fe5d74a4f0,Simon Emil Ammitzbøll,,,Liberal Alliance,I,,Folketing,2011,,,
54c6931e808848fe5d74a4f6,Simon Kollerup,,,Social Democrats,A,,Folketing,2011,,,
54c6931e808848fe5d74a50d,Sofie Carsten Nielsen,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931e808848fe5d74a51a,Sophie Løhde,,,Venstre,V,,Folketing,2011,,,
54c6931e808848fe5d74a546,Steen Gade,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931e808848fe5d74a556,Stine Brix,,,Red–Green Alliance,Ø,,Folketing,2011,,,
54c6931e808848fe5d74a524,Søren Espersen,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931e808848fe5d74a536,Søren Pind,,,Venstre,V,,Folketing,2011,,,
54c6931e808848fe5d74a579,Thomas Danielsen,,,Venstre,V,,Folketing,2011,,,
54c6931e808848fe5d74a581,Thomas Jensen,,,Social Democrats,A,,Folketing,2011,,,
54c6931e808848fe5d74a59a,Thyra Frank,,,Liberal Alliance,I,,Folketing,2011,,,
54c6931e808848fe5d74a5a8,Tina Nedergaard,,,Venstre,V,,Folketing,2011,,,
54c6931e808848fe5d74a5c9,Torsten Schack Pedersen,,,Venstre,V,,Folketing,2011,,,
54c6931e808848fe5d74a5d2,Trine Bramsen,,,Social Democrats,A,,Folketing,2011,,,
54c6931e808848fe5d74a5d8,Trine Mach,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931e808848fe5d74a5e4,Troels Lund Poulsen,,,Venstre,V,,Folketing,2011,,,
54c6931e808848fe5d74a5eb,Troels Ravn,,,Social Democrats,A,,Folketing,2011,,,
54c6931e808848fe5d74a5ff,Villum Christensen,,,Liberal Alliance,I,,Folketing,2011,,,
54c6931e808848fe5d74a60a,Zenia Stampe,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d74a3d0,Özlem Sara Cekic,,,Socialist People‘s Party,F,,Folketing,2011,,,
