id,name,birth_date,gender,area,source,term,image
Truong-Hoa-Binh,Trương Hòa Bình,1955-04-13,male,Long An,http://dbqh.na.gov.vn/daibieu/38/2089/Truong-Hoa-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2089.jpg
Nguyen-Quoc-Binh,Nguyễn Quốc Bình,1959-06-22,male,TP Hà Nội,http://dbqh.na.gov.vn/daibieu/23/2826/Nguyen-Quoc-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2826.jpg
%C4%90ao-Van-Binh,Đào Văn Bình,1956-11-11,male,TP Hà Nội,http://dbqh.na.gov.vn/daibieu/23/2769/%C4%90ao-Van-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2769.jpg
Nguyen-Van-Binh,Nguyễn Văn Bình,1957-04-18,male,TP Hải Phòng,http://dbqh.na.gov.vn/daibieu/28/2305/Nguyen-Van-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2305.jpg
Nguyen-Thanh-Bo,Nguyễn Thành Bộ,1956-12-20,male,Thanh Hoá,http://dbqh.na.gov.vn/daibieu/56/2547/Nguyen-Thanh-Bo.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2547.jpg
Nguyen-Van-Canh,Nguyễn Văn Cảnh,1977-12-07,male,Bình Định,http://dbqh.na.gov.vn/daibieu/8/2660/Nguyen-Van-Canh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2660.jpg
Huynh-Minh-Chac,Huỳnh Minh Chắc,1955-07-30,male,Hậu Giang,http://dbqh.na.gov.vn/daibieu/84/2542/Huynh-Minh-Chac.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2542.jpg
Pham-%C4%90uc-Chau,Phạm Đức Châu,1959-01-04,male,Quảng Trị,http://dbqh.na.gov.vn/daibieu/49/2319/Pham-%C4%90uc-Chau.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2319.jpg
%C4%90ang-Thi-Kim-Chi,Đặng Thị Kim Chi,1963-05-23,female,Phú Yên,http://dbqh.na.gov.vn/daibieu/44/2947/%C4%90ang-Thi-Kim-Chi.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2947.jpg
%C4%90o-Van-Chien,Đỗ Văn Chiến,1962-11-10,male,Yên Bái,http://dbqh.na.gov.vn/daibieu/62/2123/%C4%90o-Van-Chien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2123.jpg
Vo-Minh-Chien,Võ Minh Chiến,1956-06-22,male,Sóc Trăng,http://dbqh.na.gov.vn/daibieu/51/2588/Vo-Minh-Chien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2588.jpg
Ha-Ngoc-Chien,Hà Ngọc Chiến,1957-12-11,male,Cao Bằng,http://dbqh.na.gov.vn/daibieu/15/2256/Ha-Ngoc-Chien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2256.jpg
%C4%90inh-Huy-Chien,Đinh Huy Chiến,1966-04-08,male,Thái Nguyên,http://dbqh.na.gov.vn/daibieu/54/2754/%C4%90inh-Huy-Chien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2754.jpg
Truong-Minh-Chien,Trương Minh Chiến,1955-05-15,male,Bạc Liêu,http://dbqh.na.gov.vn/daibieu/83/2280/Truong-Minh-Chien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2280.jpg
Nguyen-Van-Chien,Nguyễn Văn Chiến,1957-03-02,male,Bắc Ninh,http://dbqh.na.gov.vn/daibieu/7/2999/Nguyen-Van-Chien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2999.jpg
Tran-Quang-Chieu,Trần Quang Chiểu,1958-12-29,male,Nam Định,http://dbqh.na.gov.vn/daibieu/39/2013/Tran-Quang-Chieu.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2013.jpg
Giang-A-Chu,Giàng A Chu,1959-11-26,male,Yên Bái,http://dbqh.na.gov.vn/daibieu/62/2004/Giang-A-Chu.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2004.jpg
Chu-Le-Chu,Chu Lé Chừ (Chu Lê Chinh),1966-05-04,male,Lai Châu,http://dbqh.na.gov.vn/daibieu/37/2829/Chu-Le-Chu.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2829.jpg
Nguyen-%C4%90uc-Chung,Nguyễn Đức Chung,1967-08-03,male,TP Hà Nội,http://dbqh.na.gov.vn/daibieu/23/2807/Nguyen-%C4%90uc-Chung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2807.jpg
Bui-Ngoc-Chuong,Bùi Ngọc Chương,1960-09-04,male,Cà Mau,http://dbqh.na.gov.vn/daibieu/13/2122/Bui-Ngoc-Chuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2122.jpg
Luu-Thanh-Cong,Lưu Thành Công,1961-05-14,male,Vĩnh Long,http://dbqh.na.gov.vn/daibieu/60/2772/Luu-Thanh-Cong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2772.jpg
Le-Thi-Cong,Lê Thị Công,1964-03-08,female,Bà Rịa - Vũng Tàu,http://dbqh.na.gov.vn/daibieu/3/2630/Le-Thi-Cong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2630.jpg
Ma-%C4%90ien-Cu,Mã Điền Cư,1954-01-25,male,Quảng Ngãi,http://dbqh.na.gov.vn/daibieu/47/1969/Ma-%C4%90ien-Cu.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1969.jpg
Vo-Kim-Cu,Võ Kim Cự,1957-05-19,male,Hà Tĩnh,http://dbqh.na.gov.vn/daibieu/26/2549/Vo-Kim-Cu.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2549.jpg
Nguyen-Sy-Cuong,Nguyễn Sỹ Cương,1961-11-03,male,Ninh Thuận,http://dbqh.na.gov.vn/daibieu/42/1971/Nguyen-Sy-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1971.jpg
Pham-Bien-Cuong,Phạm Biên Cương,1960-07-10,male,An Giang,http://dbqh.na.gov.vn/daibieu/2/2423/Pham-Bien-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2423.jpg
Bui-Van-Cuong,Bùi Văn Cường,1965-06-18,male,Gia Lai,http://dbqh.na.gov.vn/daibieu/20/1972/Bui-Van-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1972.jpg
Ha-Hung-Cuong,Hà Hùng Cường,1953-08-11,male,Quảng Bình,http://dbqh.na.gov.vn/daibieu/45/2058/Ha-Hung-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2058.jpg
Nguyen-Manh-Cuong,Nguyễn Mạnh Cường,1967-01-14,male,Quảng Bình,http://dbqh.na.gov.vn/daibieu/45/1936/Nguyen-Manh-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1936.jpg
Linh-muc-Tran-Manh-Cuong,Linh mục Trần Mạnh Cường,1942-10-25,male,Đắc Lắk,http://dbqh.na.gov.vn/daibieu/17/2006/Linh-muc-Tran-Manh-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2006.jpg
Nguyen-Quoc-Cuong,Nguyễn Quốc Cường,1952-05-06,male,Bắc Giang,http://dbqh.na.gov.vn/daibieu/5/2045/Nguyen-Quoc-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2045.jpg
Pham-Van-Cuong,Phạm Văn Cường,1957-01-10,male,Lào Cai,http://dbqh.na.gov.vn/daibieu/35/2496/Pham-Van-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2496.jpg
Nguyen-Quang-Cuong,Nguyễn Quang Cường,1965-01-26,male,TP Hải Phòng,http://dbqh.na.gov.vn/daibieu/28/2308/Nguyen-Quang-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2308.jpg
Doan-The-Cuong,Doãn Thế Cường,1958-03-03,male,Hưng Yên,http://dbqh.na.gov.vn/daibieu/21/2358/Doan-The-Cuong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2358.jpg
Thach-Thi-Dan,Thạch Thị Dân,1970-06-12,female,Trà Vinh,http://dbqh.na.gov.vn/daibieu/58/2153/Thach-Thi-Dan.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2153.jpg
Pham-Truong-Dan,Phạm Trường Dân,1956-04-01,male,Quảng Nam,http://dbqh.na.gov.vn/daibieu/46/2639/Pham-Truong-Dan.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2639.jpg
Huynh-Ngoc-%C4%90ang,Huỳnh Ngọc Đáng,1958-04-26,male,Bình Dương,http://dbqh.na.gov.vn/daibieu/9/2404/Huynh-Ngoc-%C4%90ang.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2404.jpg
Phung-Khac-%C4%90ang,Phùng Khắc Đăng,1945-08-15,male,Sơn La,http://dbqh.na.gov.vn/daibieu/50/2071/Phung-Khac-%C4%90ang.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2071.jpg
Nguyen-Van-Danh,Nguyễn Văn Danh,1962-05-15,male,Tiền Giang,http://dbqh.na.gov.vn/daibieu/57/2967/Nguyen-Van-Danh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2967.jpg
Nguyen-Thi-Phuong-%C4%90ao,Nguyễn Thị Phương Đào,1962-12-01,female,Bến Tre,http://dbqh.na.gov.vn/daibieu/12/2791/Nguyen-Thi-Phuong-%C4%90ao.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2791.jpg
Ho-Thi-Cam-%C4%90ao,Hồ Thị Cẩm Đào,1972-06-12,female,Sóc Trăng,http://dbqh.na.gov.vn/daibieu/51/2593/Ho-Thi-Cam-%C4%90ao.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2593.jpg
Huynh-Thanh-%C4%90at,Huỳnh Thành Đạt,1962-08-26,male,TP Hồ Chí Minh,http://dbqh.na.gov.vn/daibieu/29/2727/Huynh-Thanh-%C4%90at.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2727.jpg
Nguyen-Tan-%C4%90at,Nguyễn Tấn Đạt,1949-07-06,male,An Giang,http://dbqh.na.gov.vn/daibieu/2/2436/Nguyen-Tan-%C4%90at.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2436.jpg
A-%C4%90e,A Đe (Đinh Hồng Đe),1947-10-20,male,Kon Tum,http://dbqh.na.gov.vn/daibieu/33/2218/A-%C4%90e.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2218.jpg
Le-Dien,Lê Diễn,1960-04-16,male,Đắk Nông,http://dbqh.na.gov.vn/daibieu/82/2495/Le-Dien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2495.jpg
Tran-Minh-Dieu,Trần Minh Diệu,1958-10-07,male,Quảng Bình,http://dbqh.na.gov.vn/daibieu/45/2935/Tran-Minh-Dieu.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2935.jpg
Le-Cong-%C4%90inh,Lê Công Đỉnh,1981-08-20,male,Long An,http://dbqh.na.gov.vn/daibieu/38/2253/Le-Cong-%C4%90inh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2253.jpg
Tran-Van-%C4%90o,Trần Văn Độ (Trần Thọ Độ),1954-10-20,male,An Giang,http://dbqh.na.gov.vn/daibieu/2/2082/Tran-Van-%C4%90o.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2082.jpg
Nguyen-Thi-Doan,Nguyễn Thị Doan,1951-01-11,female,Hà Nam,http://dbqh.na.gov.vn/daibieu/24/2043/Nguyen-Thi-Doan.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2043.jpg
Ha-Sy-%C4%90ong,Hà Sỹ Đồng,1964-01-18,male,Quảng Trị,http://dbqh.na.gov.vn/daibieu/49/2335/Ha-Sy-%C4%90ong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2335.jpg
Thach-Du,Thạch Dư,1957-08-25,male,Trà Vinh,http://dbqh.na.gov.vn/daibieu/58/2155/Thach-Du.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2155.jpg
Ngo-Van-Du,Ngô Văn Dụ,1947-12-21,male,Vĩnh Phúc,http://dbqh.na.gov.vn/daibieu/61/2036/Ngo-Van-Du.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2036.jpg
Le-Huu-%C4%90uc,Lê Hữu Đức,1955-02-14,male,Khánh Hoà,http://dbqh.na.gov.vn/daibieu/31/2102/Le-Huu-%C4%90uc.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2102.jpg
Nguyen-Huu-%C4%90uc,Nguyễn Hữu Đức,1966-02-20,male,Đồng Tháp,http://dbqh.na.gov.vn/daibieu/19/2284/Nguyen-Huu-%C4%90uc.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2284.jpg
Ya-Duck,Ya Duck,1940-05-05,male,Lâm Đồng,http://dbqh.na.gov.vn/daibieu/34/2050/Ya-Duck.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2050.jpg
Vo-Thi-Dung,Võ Thị Dung,1960-06-02,female,TP Hồ Chí Minh,http://dbqh.na.gov.vn/daibieu/29/2589/Vo-Thi-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2589.jpg
Tran-Thi-Dung,Trần Thị Dung,1961-10-21,female,Điện Biên,http://dbqh.na.gov.vn/daibieu/64/2171/Tran-Thi-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2171.jpg
Phan-Xuan-Dung,Phan Xuân Dũng,1960-05-20,male,Ninh Thuận,http://dbqh.na.gov.vn/daibieu/42/2107/Phan-Xuan-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2107.jpg
Bui-Tri-Dung,Bùi Trí Dũng,1957-05-20,male,An Giang,http://dbqh.na.gov.vn/daibieu/2/2427/Bui-Tri-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2427.jpg
Nguyen-Anh-Dung,Nguyễn Anh Dũng,1959-10-21,male,Bắc Giang,http://dbqh.na.gov.vn/daibieu/5/2354/Nguyen-Anh-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2354.jpg
Bui-%C4%90ang-Dung,Bùi Đặng Dũng,1960-10-20,male,Kiên Giang,http://dbqh.na.gov.vn/daibieu/32/1992/Bui-%C4%90ang-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1992.jpg
Tran-Tri-Dung,Trần Trí Dũng,1959-03-20,male,Trà Vinh,http://dbqh.na.gov.vn/daibieu/58/2157/Tran-Tri-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2157.jpg
Nguyen-Tan-Dung,Nguyễn Tấn Dũng (Ba Dũng),1949-11-17,male,TP Hải Phòng,http://dbqh.na.gov.vn/daibieu/28/2090/Nguyen-Tan-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2090.jpg
Hoang-Ngoc-Dung,Hoàng Ngọc Dũng,1961-07-01,male,Sơn La,http://dbqh.na.gov.vn/daibieu/50/2924/Hoang-Ngoc-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2924.jpg
Tran-Tien-Dung,Trần Tiến Dũng,1954-08-25,male,Hà Tĩnh,http://dbqh.na.gov.vn/daibieu/26/2556/Tran-Tien-Dung.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2556.jpg
Huynh-Tuan-Duong,Huỳnh Tuấn Dương,1962-01-27,male,Hải Dương,http://dbqh.na.gov.vn/daibieu/27/2998/Huynh-Tuan-Duong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2998.jpg
%C4%90o-Van-%C4%90uong,Đỗ Văn Đương,1960-10-10,male,TP Hồ Chí Minh,http://dbqh.na.gov.vn/daibieu/29/2041/%C4%90o-Van-%C4%90uong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2041.jpg
Pham-Xuan-%C4%90uong,Phạm Xuân Đương,1956-10-01,male,Thái Nguyên,http://dbqh.na.gov.vn/daibieu/54/2736/Pham-Xuan-%C4%90uong.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2736.jpg
Khuc-Thi-Duyen,Khúc Thị Duyền,1961-05-28,female,Thái Bình,http://dbqh.na.gov.vn/daibieu/53/2419/Khuc-Thi-Duyen.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2419.jpg
Nguyen-Van-Giau,Nguyễn Văn Giàu,1957-12-08,male,An Giang,http://dbqh.na.gov.vn/daibieu/2/2054/Nguyen-Van-Giau.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2054.jpg
Pham-Van-Gon,Phạm Văn Gòn,1956-04-20,male,TP Hồ Chí Minh,http://dbqh.na.gov.vn/daibieu/29/2717/Pham-Van-Gon.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2717.jpg
Pham-Van-Ha,Phạm Văn Hà,1960-09-01,male,Nghệ An,http://dbqh.na.gov.vn/daibieu/40/2131/Pham-Van-Ha.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2131.jpg
Nguyen-Thi-Hong-Ha,Nguyễn Thị Hồng Hà,1959-06-28,female,TP Hà Nội,http://dbqh.na.gov.vn/daibieu/23/2753/Nguyen-Thi-Hong-Ha.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2753.jpg
Chu-Son-Ha,Chu Sơn Hà,1956-08-25,male,TP Hà Nội,http://dbqh.na.gov.vn/daibieu/23/2759/Chu-Son-Ha.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2759.jpg
Lam-Le-Ha,Lâm Lệ Hà,1965-10-20,female,Kiên Giang,http://dbqh.na.gov.vn/daibieu/32/2650/Lam-Le-Ha.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2650.jpg
Nguyen-Vinh-Ha,Nguyễn Vinh Hà,1960-08-01,male,Kon Tum,http://dbqh.na.gov.vn/daibieu/33/2118/Nguyen-Vinh-Ha.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2118.jpg
Vu-Hai-Ha,Vũ Hải Hà,1969-03-01,male,Đồng Nai,http://dbqh.na.gov.vn/daibieu/18/1986/Vu-Hai-Ha.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1986.jpg
Tran-Hong-Ha,Trần Hồng Hà,1966-08-02,male,Vĩnh Phúc,http://dbqh.na.gov.vn/daibieu/61/3035/Tran-Hong-Ha.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/3035.jpg
Pham-Hong-Ha,Phạm Hồng Hà,1958-01-20,male,Nam Định,http://dbqh.na.gov.vn/daibieu/39/2962/Pham-Hong-Ha.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2962.jpg
Nguyen-%C4%90uc-Hai,Nguyễn Đức Hải,1961-07-29,male,Quảng Nam,http://dbqh.na.gov.vn/daibieu/46/2121/Nguyen-%C4%90uc-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2121.jpg
Nguyen-Thanh-Hai,Nguyễn Thanh Hải,1970-10-02,female,Hoà Bình,http://dbqh.na.gov.vn/daibieu/30/1983/Nguyen-Thanh-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1983.jpg
Tran-Thanh-Hai,Trần Thanh Hải,1963-10-20,male,TP Hồ Chí Minh,http://dbqh.na.gov.vn/daibieu/29/2609/Tran-Thanh-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2609.jpg
Pham-Thi-Hai,Phạm Thị Hải,1959-12-12,female,Đồng Nai,http://dbqh.na.gov.vn/daibieu/18/2510/Pham-Thi-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2510.jpg
Le-Thanh-Hai,Lê Thanh Hải (Hai Nhựt),1950-02-20,male,TP Hồ Chí Minh,http://dbqh.na.gov.vn/daibieu/29/2546/Le-Thanh-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2546.jpg
Nguyen-Thi-Hai,Nguyễn Thị Hải,1973-01-09,female,Nghệ An,http://dbqh.na.gov.vn/daibieu/40/2132/Nguyen-Thi-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2132.jpg
Nguyen-Ngoc-Hai,Nguyễn Ngọc Hải,1965-12-03,male,Hà Giang,http://dbqh.na.gov.vn/daibieu/22/2386/Nguyen-Ngoc-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2386.jpg
Hoang-Trung-Hai,Hoàng Trung Hải,1959-09-27,male,Thái Bình,http://dbqh.na.gov.vn/daibieu/53/2085/Hoang-Trung-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2085.jpg
Vu-Hai,Vũ Hải,1959-08-18,male,Bình Thuận,http://dbqh.na.gov.vn/daibieu/11/2065/Vu-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2065.jpg
%C4%90inh-Trinh-Hai,Đinh Trịnh Hải,1956-12-09,male,Ninh Bình,http://dbqh.na.gov.vn/daibieu/41/1957/%C4%90inh-Trinh-Hai.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1957.jpg
Tran-Van-Hang,Trần Văn Hằng,1953-03-04,male,Nghệ An,http://dbqh.na.gov.vn/daibieu/40/2070/Tran-Van-Hang.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2070.jpg
%C4%90o-Thi-Thu-Hang,Đỗ Thị Thu Hằng,1971-06-07,female,Đồng Nai,http://dbqh.na.gov.vn/daibieu/18/2490/%C4%90o-Thi-Thu-Hang.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2490.jpg
Nguyen-Thi-Thu-Hang,Nguyễn Thị Thu Hằng,1968-10-07,female,Nam Định,http://dbqh.na.gov.vn/daibieu/39/2968/Nguyen-Thi-Thu-Hang.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2968.jpg
Ton-Thi-Ngoc-Hanh,Tôn Thị Ngọc Hạnh,1968-12-18,female,Đắk Nông,http://dbqh.na.gov.vn/daibieu/82/2500/Ton-Thi-Ngoc-Hanh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2500.jpg
Bui-%C4%90uc-Hanh,Bùi Đức Hạnh,1960-11-03,male,Lào Cai,http://dbqh.na.gov.vn/daibieu/35/2504/Bui-%C4%90uc-Hanh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2504.jpg
Cu-Thi-Hau,Cù Thị Hậu,1944-10-01,female,Hưng Yên,http://dbqh.na.gov.vn/daibieu/21/2119/Cu-Thi-Hau.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2119.jpg
Nguyen-%C4%90uc-Hien,Nguyễn Đức Hiền,1955-08-03,male,Nghệ An,http://dbqh.na.gov.vn/daibieu/40/1952/Nguyen-%C4%90uc-Hien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1952.jpg
Tran-Thi-Hien,Trần Thị Hiền,1974-12-22,female,Hà Nam,http://dbqh.na.gov.vn/daibieu/24/2238/Tran-Thi-Hien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2238.jpg
Le-Minh-Hien,Lê Minh Hiền,1963-07-21,female,Khánh Hoà,http://dbqh.na.gov.vn/daibieu/31/2499/Le-Minh-Hien.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2499.jpg
