id,position,label,description,start_date,end_date,replaces,replaced_by,constituency
Q10799851,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799879,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799895,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799902,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799904,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799911,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799923,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799928,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799956,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799971,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799978,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799980,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800002,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800025,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800073,Q1043568,Prime Minister of Vietnam,Head of Government of Vietnam,2016-04-07,,Nguyen Tan Dung,,
Q10800073,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800081,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800082,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800083,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800117,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800149,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800157,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800166,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800171,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800176,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800181,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800188,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800356,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800364,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800402,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800420,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800421,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10800447,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10801467,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10801990,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10801991,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805106,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805117,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805122,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805128,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805139,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805156,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805838,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805845,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805854,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10805869,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806303,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806890,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806892,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806909,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806918,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806920,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806921,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806932,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806947,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10806985,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807018,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807020,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807023,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807024,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807028,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807032,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807034,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807041,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807042,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807048,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807051,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807059,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807062,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807064,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807074,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807083,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807090,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807094,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807096,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807097,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10807108,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10809896,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10825627,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10825872,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10825873,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10825888,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10826145,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10826209,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10827663,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828159,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828165,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828192,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828704,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828733,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828734,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828738,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828741,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828747,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828748,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828749,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10828764,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829246,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829289,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829295,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829301,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829326,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829338,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829350,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829377,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829383,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829387,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829406,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829407,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829408,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829434,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829462,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829474,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829504,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829506,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829507,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829524,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829546,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829553,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829576,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829579,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829589,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829594,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829602,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829634,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829635,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829651,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829656,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829668,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829671,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829870,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829871,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829885,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829895,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10829901,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10831212,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10831252,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10832258,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10833255,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10833274,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10833289,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10833777,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10833804,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10833904,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10833913,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10833932,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10833941,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10836760,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10836765,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10836779,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10840090,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10840102,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10840140,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10840149,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10840160,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10840220,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10840477,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10840482,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10841540,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10841542,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10841555,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10841571,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10841571,Q5354130,Vice President of Vietnam,"",2016-04-08,,Nguyen Thi Doan,,
Q10841571,Q866680,President of Vietnam,De jure Head of State of Vietnam,2018-09-21,,Trần Đại Quang,,
Q10841593,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10842107,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10842131,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10842166,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10842188,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10842192,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16157398,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16157439,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16157478,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16157797,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16157808,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16157961,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16158630,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16158847,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16159022,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16480033,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16480319,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16480852,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q16481342,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q2595973,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q318458,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q318458,Q428110,Chairman of the National Assembly of Vietnam,position,2006-06-26,2011-07-23,,,
Q318458,Q848786,General Secretary of the Communist Party of Vietnam,De facto Leader of Vietnam,2011-01-19,,,,
Q4120045,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q4120045,Q428110,Chairman of the National Assembly of Vietnam,position,"",,,,
Q4120045,Q5261077,Deputy Prime Minister of Vietnam,"",2006-06-28,2011-07-25,,,
Q485476,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q5215946,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q5278305,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q57407,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q57407,Q866680,President of Vietnam,De jure Head of State of Vietnam,2011-07-25,,Nguyen Minh Triet,,
Q5974373,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q6507069,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q6507069,Q23644849,Executive Secretary of the Secretariat,Secretariat of the Communist Party of Vietnam,"",,,,
Q7022460,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q7022967,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q7022967,Q5354130,Vice President of Vietnam,"","",,,,
Q7022980,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q7180375,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q7810975,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q7820947,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q7833292,Q16481261,Minister of Public Security,cabinet position in Vietnam,2011-08-03,2016-04-08,Le Hong Anh,Tô Lâm,
Q7833292,Q17593571,member of the National Assembly of Vietnam,"",2016-05-22,2018-09-21,Truong Tan Sang,,Ho Chi Minh City
Q7833292,Q866680,President of Vietnam,De jure Head of State of Vietnam,2016-04-02,2018-09-21,Truong Tan Sang,Đặng Thị Ngọc Thịnh,
Q7847999,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q7943286,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q94392,Q17593571,member of the National Assembly of Vietnam,"","",,,,
