old_id,id,name,birth_date,gender,area,term,source,image
Vu-Hai,2065,Vũ Hải,1959-08-18,male,Bình Thuận,13,http://dbqh.na.gov.vn/daibieu/11/2065/Vu-Hai.aspx,http://dbqh.na.gov.vn/data/images/XIII/2065.jpg
Tran-Van-Hang,2070,Trần Văn Hằng,1953-03-04,male,Nghệ An,13,http://dbqh.na.gov.vn/daibieu/40/2070/Tran-Van-Hang.aspx,http://dbqh.na.gov.vn/data/images/XIII/2070.jpg
Phung-Khac-%C4%90ang,2071,Phùng Khắc Đăng,1945-08-15,male,Sơn La,13,http://dbqh.na.gov.vn/daibieu/50/2071/Phung-Khac-%C4%90ang.aspx,http://dbqh.na.gov.vn/data/images/XIII/2071.jpg
Nguyen-Thi-Thanh-Hoa,2072,Nguyễn Thị Thanh Hòa,1954-11-03,female,Bắc Ninh,13,http://dbqh.na.gov.vn/daibieu/7/2072/Nguyen-Thi-Thanh-Hoa.aspx,http://dbqh.na.gov.vn/data/images/XIII/2072.jpg
Pham-Hong-Huong,2080,Phạm Hồng Hương,1959-05-10,male,Hải Dương,13,http://dbqh.na.gov.vn/daibieu/27/2080/Pham-Hong-Huong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2080.jpg
Le-Van-Hoang,2081,Lê Văn Hoàng,1959-10-20,male,TP Đà Nẵng,13,http://dbqh.na.gov.vn/daibieu/16/2081/Le-Van-Hoang.aspx,http://dbqh.na.gov.vn/data/images/XIII/2081.jpg
Tran-Van-%C4%90o,2082,Trần Văn Độ (Trần Thọ Độ),1954-10-20,male,An Giang,13,http://dbqh.na.gov.vn/daibieu/2/2082/Tran-Van-%C4%90o.aspx,http://dbqh.na.gov.vn/data/images/XIII/2082.jpg
%C4%90inh-The-Huynh,2084,Đinh Thế Huynh,1953-05-15,male,Hoà Bình,13,http://dbqh.na.gov.vn/daibieu/30/2084/%C4%90inh-The-Huynh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2084.jpg
Hoang-Trung-Hai,2085,Hoàng Trung Hải,1959-09-27,male,Thái Bình,13,http://dbqh.na.gov.vn/daibieu/53/2085/Hoang-Trung-Hai.aspx,http://dbqh.na.gov.vn/data/images/XIII/2085.jpg
Nguyen-Sinh-Hung,2087,Nguyễn Sinh Hùng,1946-01-18,male,Hà Tĩnh,13,http://dbqh.na.gov.vn/daibieu/26/2087/Nguyen-Sinh-Hung.aspx,http://dbqh.na.gov.vn/data/images/XIII/2087.jpg
Truong-Hoa-Binh,2089,Trương Hòa Bình,1955-04-13,male,Long An,13,http://dbqh.na.gov.vn/daibieu/38/2089/Truong-Hoa-Binh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2089.jpg
Nguyen-Tan-Dung,2090,Nguyễn Tấn Dũng (Ba Dũng),1949-11-17,male,TP Hải Phòng,13,http://dbqh.na.gov.vn/daibieu/28/2090/Nguyen-Tan-Dung.aspx,http://dbqh.na.gov.vn/data/images/XIII/2090.jpg
Ngo-Xuan-Lich,2096,Ngô Xuân Lịch,1954-04-20,male,Bình Phước,13,http://dbqh.na.gov.vn/daibieu/10/2096/Ngo-Xuan-Lich.aspx,http://dbqh.na.gov.vn/data/images/XIII/2096.jpg
Ngo-Ngoc-Binh,2101,Ngô Ngọc Bình,1957-12-10,male,TP Hồ Chí Minh,13,http://dbqh.na.gov.vn/daibieu/29/2101/Ngo-Ngoc-Binh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2101.jpg
Le-Huu-%C4%90uc,2102,Lê Hữu Đức,1955-02-14,male,Khánh Hoà,13,http://dbqh.na.gov.vn/daibieu/31/2102/Le-Huu-%C4%90uc.aspx,http://dbqh.na.gov.vn/data/images/XIII/2102.jpg
Ngo-Van-Hung,2103,Ngô Văn Hùng,1956-05-21,male,Lào Cai,13,http://dbqh.na.gov.vn/daibieu/35/2103/Ngo-Van-Hung.aspx,http://dbqh.na.gov.vn/data/images/XIII/2103.jpg
Phan-Xuan-Dung,2107,Phan Xuân Dũng,1960-05-20,male,Ninh Thuận,13,http://dbqh.na.gov.vn/daibieu/42/2107/Phan-Xuan-Dung.aspx,http://dbqh.na.gov.vn/data/images/XIII/2107.jpg
Mai-Xuan-Hung,2110,Mai Xuân Hùng,1955-04-08,male,Hậu Giang,13,http://dbqh.na.gov.vn/daibieu/84/2110/Mai-Xuan-Hung.aspx,http://dbqh.na.gov.vn/data/images/XIII/2110.jpg
Nguyen-Huu-%C4%90uc,2112,Nguyễn Hữu Đức,1971-08-28,male,Bình Định,13,http://dbqh.na.gov.vn/daibieu/8/2112/Nguyen-Huu-%C4%90uc.aspx,http://dbqh.na.gov.vn/data/images/XIII/2112.jpg
Nguyen-Huu-Hung,2113,Nguyễn Hữu Hùng,1954-11-28,male,Tiền Giang,13,http://dbqh.na.gov.vn/daibieu/57/2113/Nguyen-Huu-Hung.aspx,http://dbqh.na.gov.vn/data/images/XIII/2113.jpg
Ngo-Thi-Minh,2114,Ngô Thị Minh,1964-01-26,female,Quảng Ninh,13,http://dbqh.na.gov.vn/daibieu/48/2114/Ngo-Thi-Minh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2114.jpg
Nguyen-Thi-Kha,2116,Nguyễn Thị Khá (Tám Khá),1955-07-16,female,Trà Vinh,13,http://dbqh.na.gov.vn/daibieu/58/2116/Nguyen-Thi-Kha.aspx,http://dbqh.na.gov.vn/data/images/XIII/2116.jpg
Le-Bo-Linh,2117,Lê Bộ Lĩnh,1958-09-10,male,An Giang,13,http://dbqh.na.gov.vn/daibieu/2/2117/Le-Bo-Linh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2117.jpg
Nguyen-Vinh-Ha,2118,Nguyễn Vinh Hà,1960-08-01,male,Kon Tum,13,http://dbqh.na.gov.vn/daibieu/33/2118/Nguyen-Vinh-Ha.aspx,http://dbqh.na.gov.vn/data/images/XIII/2118.jpg
Cu-Thi-Hau,2119,Cù Thị Hậu,1944-10-01,female,Hưng Yên,13,http://dbqh.na.gov.vn/daibieu/21/2119/Cu-Thi-Hau.aspx,http://dbqh.na.gov.vn/data/images/XIII/2119.jpg
Nguyen-%C4%90uc-Hai,2121,Nguyễn Đức Hải,1961-07-29,male,Quảng Nam,13,http://dbqh.na.gov.vn/daibieu/46/2121/Nguyen-%C4%90uc-Hai.aspx,http://dbqh.na.gov.vn/data/images/XIII/2121.jpg
Bui-Ngoc-Chuong,2122,Bùi Ngọc Chương,1960-09-04,male,Cà Mau,13,http://dbqh.na.gov.vn/daibieu/13/2122/Bui-Ngoc-Chuong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2122.jpg
%C4%90o-Van-Chien,2123,Đỗ Văn Chiến,1962-11-10,male,Yên Bái,13,http://dbqh.na.gov.vn/daibieu/62/2123/%C4%90o-Van-Chien.aspx,http://dbqh.na.gov.vn/data/images/XIII/2123.jpg
Vu-Xuan-Hong,2124,Vũ Xuân Hồng,1950-01-04,male,Phú Thọ,13,http://dbqh.na.gov.vn/daibieu/43/2124/Vu-Xuan-Hong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2124.jpg
Nguyen-Hoi,2125,Nguyễn Hội (Hòa thượng Thích Chơn Thiện),1942-12-01,male,Thừa Thiên - Huế,13,http://dbqh.na.gov.vn/daibieu/79/2125/Nguyen-Hoi.aspx,http://dbqh.na.gov.vn/data/images/XIII/2125.jpg
Vu-Tien-Loc,2126,Vũ Tiến Lộc,1960-01-01,male,Thái Bình,13,http://dbqh.na.gov.vn/daibieu/53/2126/Vu-Tien-Loc.aspx,http://dbqh.na.gov.vn/data/images/XIII/2126.jpg
Pham-Van-Ha,2131,Phạm Văn Hà,1960-09-01,male,Nghệ An,13,http://dbqh.na.gov.vn/daibieu/40/2131/Pham-Van-Ha.aspx,http://dbqh.na.gov.vn/data/images/XIII/2131.jpg
Nguyen-Thi-Hai,2132,Nguyễn Thị Hải,1973-01-09,female,Nghệ An,13,http://dbqh.na.gov.vn/daibieu/40/2132/Nguyen-Thi-Hai.aspx,http://dbqh.na.gov.vn/data/images/XIII/2132.jpg
Au-Thi-Mai,2133,Âu Thị Mai,1978-03-25,female,Tuyên Quang,13,http://dbqh.na.gov.vn/daibieu/59/2133/Au-Thi-Mai.aspx,http://dbqh.na.gov.vn/data/images/XIII/2133.jpg
Nguyen-Sy-Hoi,2134,Nguyễn Sỹ Hội,1960-05-19,male,Nghệ An,13,http://dbqh.na.gov.vn/daibieu/40/2134/Nguyen-Sy-Hoi.aspx,http://dbqh.na.gov.vn/data/images/XIII/2134.jpg
Nguyen-Minh-Hong,2136,Nguyễn Minh Hồng,1944-03-03,male,Nghệ An,13,http://dbqh.na.gov.vn/daibieu/40/2136/Nguyen-Minh-Hong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2136.jpg
Vi-Thi-Huong,2143,Vi Thị Hương,1970-02-22,female,Nghệ An,13,http://dbqh.na.gov.vn/daibieu/40/2143/Vi-Thi-Huong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2143.jpg
Thach-Thi-Dan,2153,Thạch Thị Dân,1970-06-12,female,Trà Vinh,13,http://dbqh.na.gov.vn/daibieu/58/2153/Thach-Thi-Dan.aspx,http://dbqh.na.gov.vn/data/images/XIII/2153.jpg
Thach-Du,2155,Thạch Dư,1957-08-25,male,Trà Vinh,13,http://dbqh.na.gov.vn/daibieu/58/2155/Thach-Du.aspx,http://dbqh.na.gov.vn/data/images/XIII/2155.jpg
Tran-Tri-Dung,2157,Trần Trí Dũng,1959-03-20,male,Trà Vinh,13,http://dbqh.na.gov.vn/daibieu/58/2157/Tran-Tri-Dung.aspx,http://dbqh.na.gov.vn/data/images/XIII/2157.jpg
Tran-Thi-Dung,2171,Trần Thị Dung,1961-10-21,female,Điện Biên,13,http://dbqh.na.gov.vn/daibieu/64/2171/Tran-Thi-Dung.aspx,http://dbqh.na.gov.vn/data/images/XIII/2171.jpg
Vi-Thi-Huong,2173,Vi Thị Hương,1983-01-23,female,Điện Biên,13,http://dbqh.na.gov.vn/daibieu/64/2173/Vi-Thi-Huong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2173.jpg
Sung-A-Hong,2177,Sùng A Hồng,1962-12-05,male,Điện Biên,13,http://dbqh.na.gov.vn/daibieu/64/2177/Sung-A-Hong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2177.jpg
Nguyen-Thu-Anh,2190,Nguyễn Thu Anh,1974-08-28,female,Lâm Đồng,13,http://dbqh.na.gov.vn/daibieu/34/2190/Nguyen-Thu-Anh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2190.jpg
%C4%90ong-Huu-Mao,2209,Đồng Hữu Mạo,1954-03-01,male,Thừa Thiên - Huế,13,http://dbqh.na.gov.vn/daibieu/79/2209/%C4%90ong-Huu-Mao.aspx,http://dbqh.na.gov.vn/data/images/XIII/2209.jpg
A-%C4%90e,2218,A Đe (Đinh Hồng Đe),1947-10-20,male,Kon Tum,13,http://dbqh.na.gov.vn/daibieu/33/2218/A-%C4%90e.aspx,http://dbqh.na.gov.vn/data/images/XIII/2218.jpg
Nguyen-Hoa-Binh,2228,Nguyễn Hòa Bình,1958-05-24,male,Quảng Ngãi,13,http://dbqh.na.gov.vn/daibieu/47/2228/Nguyen-Hoa-Binh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2228.jpg
%C4%90inh-Thi-Phuong-Lan,2232,Đinh Thị Phương Lan,1976-06-05,female,Quảng Ngãi,13,http://dbqh.na.gov.vn/daibieu/47/2232/%C4%90inh-Thi-Phuong-Lan.aspx,http://dbqh.na.gov.vn/data/images/XIII/2232.jpg
Tran-Thi-Hien,2238,Trần Thị Hiền,1974-12-22,female,Hà Nam,13,http://dbqh.na.gov.vn/daibieu/24/2238/Tran-Thi-Hien.aspx,http://dbqh.na.gov.vn/data/images/XIII/2238.jpg
Tran-Xuan-Hoa,2239,Trần Xuân Hoà,1954-05-23,male,Quảng Ninh,13,http://dbqh.na.gov.vn/daibieu/48/2239/Tran-Xuan-Hoa.aspx,http://dbqh.na.gov.vn/data/images/XIII/2239.jpg
Tran-Xuan-Hung,2241,Trần Xuân Hùng,1959-12-25,male,Hà Nam,13,http://dbqh.na.gov.vn/daibieu/24/2241/Tran-Xuan-Hung.aspx,http://dbqh.na.gov.vn/data/images/XIII/2241.jpg
%C4%90o-Thi-Hoang,2245,Đỗ Thị Hoàng,1958-08-24,female,Quảng Ninh,13,http://dbqh.na.gov.vn/daibieu/48/2245/%C4%90o-Thi-Hoang.aspx,http://dbqh.na.gov.vn/data/images/XIII/2245.jpg
Le-Cong-%C4%90inh,2253,Lê Công Đỉnh,1981-08-20,male,Long An,13,http://dbqh.na.gov.vn/daibieu/38/2253/Le-Cong-%C4%90inh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2253.jpg
Ha-Ngoc-Chien,2256,Hà Ngọc Chiến,1957-12-11,male,Cao Bằng,13,http://dbqh.na.gov.vn/daibieu/15/2256/Ha-Ngoc-Chien.aspx,http://dbqh.na.gov.vn/data/images/XIII/2256.jpg
%C4%90inh-Thi-Mai-Lan,2260,Đinh Thị Mai Lan,1979-02-22,female,Cao Bằng,13,http://dbqh.na.gov.vn/daibieu/15/2260/%C4%90inh-Thi-Mai-Lan.aspx,http://dbqh.na.gov.vn/data/images/XIII/2260.jpg
%C4%90inh-Thi-Phuong-Khanh,2267,Đinh Thị Phương Khanh,1978-09-30,female,Long An,13,http://dbqh.na.gov.vn/daibieu/38/2267/%C4%90inh-Thi-Phuong-Khanh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2267.jpg
