name,name_mn,party,constituency,term,wikipedia,source
Tserenpiliin Davaasüren,Цэрэнпилийн Даваасүрэн,Independent,Khövsgöl,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Badmaanyambuugiin Bat-Erdene,Бадмаанямбуугийн Бат-Эрдэнэ,Mongolian People's Party,Khentii,2012,http://en.wikipedia.org/wiki/Badmaanyambuugiin_Bat-Erdene,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Batkhüügiin Garamgaibaatar,Батхүүгийн Гарамгайбаатар,Democratic Party,Khentii,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Sainkhüügiin Ganbaatar,Сайнхүүгийн Ганбаатар,Independent,Darkhan-Uul,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Damdingiin Khayankhyarvaa,Дамдингийн Хаянхярваа,Mongolian People's Party,Darkhan-Uul,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Otgonbilegiin Sodbileg,Отгонбилэгийн Содбилэг,Mongolian People's Party,Orkhon,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Logiin Tsog,Логийн Цог,Justice Coalition,Orkhon,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Tsedevdambyn Oyuungerel,Цэдэвдамбын Оюунгэрэл,Democratic Party,Ulan Bator — Baganuur•Bagakhangai•Khan-Uul,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Luvsanvandangiin Bold,Лувсанвандангийн Болд,Democratic Party,Ulan Bator — Baganuur•Bagakhangai•Khan-Uul,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Jalbasürengiin Batzandan,Жалбасүрэнгийн Батзандан,Democratic Party,Ulan Bator — Bayanzürkh•Nalaikh,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Davaajavyn Gankhuyag,Даваажавын Ганхуяг,Democratic Party,Ulan Bator — Bayanzürkh•Nalaikh,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Dashjamtsyn Arvin,Дашжамцын Арвин,Democratic Party,Ulan Bator — Bayanzürkh•Nalaikh,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Luvsannyamyn Gantömör,Лувсаннямын Гантөмөр,Democratic Party,Ulan Bator — Sükhbaatar,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Rinchinnyamyn Amarjargal,Ринчиннямын Амаржаргал,Democratic Party,Ulan Bator — Sükhbaatar,2012,http://en.wikipedia.org/wiki/Rinchinnyamyn_Amarjargal,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Sodnomzunduin Erdene,Содномзундуйн Эрдэнэ,Democratic Party,Ulan Bator — Bayangol,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Saldangiin Odontuyaa,Салдангийн Одонтуяа,Democratic Party,Ulan Bator — Bayangol,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Luvsangiin Erdenechimeg,Лувсангийн Эрдэнэчимэг,Democratic Party,Ulan Bator — Songino Khairkhan,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Dolgorsürengiin Sumyaabazar,Долгорсүрэнгийн Сумъяабазар,Mongolian People's Party,Ulan Bator — Songino Khairkhan,2012,http://en.wikipedia.org/wiki/Dolgors%C3%BCrengiin_Sumyaabazar,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Gantömöriin Uyanga,Гантөмөрийн Уянга,Justice Coalition,Ulan Bator — Chingeltei,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Garidkhüügiin Bayarsaikhan,Гарьдхүүгийн Баярсайхан,Democratic Party,Ulan Bator — Chingeltei,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Norovyn Altankhuyag,Норовын Алтанхуяг,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Migeddorjiin Batchimeg,Мигэддоржийн Батчимэг,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Radnaagiin Burmaa,Раднаагийн Бурмаа,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Radnaasümbereliin Gonchigdorj,Раднаасүмбэрэлийн Гончигдорж,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Chimediin Saikhanbileg,Чимэдийн Сайханбилэг,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Khishigdembereliin Temüüjin,Хишигдэмбэрэлийн Тэмүүжин,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Sharavdorjiin Tüvdendorj,Шаравдоржийн Түвдэндорж,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Zandaakhüügiin Enkhbold,Зандаахүүгийн Энхболд,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Dondogdorjiin Erdenebat,Дондогдоржийн Эрдэнэбат,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Tsevelmaagiin Bayarsaikhan,Цэвэлмаагийн Баярсайхан,Democratic Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Damdingiin Demberel,Дамдингийн Дэмбэрэл,Mongolian People's Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Nyamaagiin Enkhbold,Нямаагийн Энхболд,Mongolian People's Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Sunduin Batbold,Сундуйн Батболд,Mongolian People's Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Danzangiin Lündeejantsan,Данзангийн Лүндээжанцан,Mongolian People's Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Tsendiin Nyamdorj,Цэндийн Нямдорж,Mongolian People's Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Yangugiin Sodbaatar,Янгугийн Содбаатар,Mongolian People's Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Ukhnaagiin Xürelsükh,Ухнаагийн Хүрэлсүх,Mongolian People's Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Jadambyn Enkhbayar,Жадамбын Энхбаяр,Mongolian People's Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Ölziisaikhany Enkhtüvshin,Өлзийсайханы Энхтүвшин,Mongolian People's Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Mishigiin Sonompil,Мишигийн Сономпил,Justice Coalition,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Namdagiin Battsereg,Намдагийн Батцэрэг,Justice Coalition,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Zangadyn Bayanselenge,Зангадын Баянсэлэнгэ,Justice Coalition,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Dendeviin Terbishdagva,Дэндэвийн Тэрбишдагва,Justice Coalition,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Chültemiin Ulaan,Чүлтэмийн Улаан,Justice Coalition,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Tserendashiin Tsolmon,Цэрэндашийн Цолмон,Justice Coalition,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Oktyabriin Baasankhüü,Октябрийн Баасанхүү,Justice Coalition,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Tserendashiin Oyuunbaatar,Цэрэндашийн Оюунбаатар,Justice Coalition,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Sanjaasürengiin Oyuun,Санжаасүрэнгийн Оюун,Civil Will-Green Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Sambuugiin Demberel,Самбуугийн Дэмбэрэл,Civil Will-Green Party,n/a,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Nyamjavyn Batbayar,Нямжавын Батбаяр,Democratic Party,Arkhangai,2008,http://en.wikipedia.org/wiki/Nyamjavyn_Batbayar,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Radnaasümbereliin Gonchigdorj,Раднаасүмбэрэлийн Гончигдорж,Democratic Party,Arkhangai,2008,http://en.wikipedia.org/wiki/Radnaas%C3%BCmbereliin_Gonchigdorj,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Sambuugiin Lambaa,Самбуугийн Ламбаа,Democratic Party,Arkhangai,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Khalidoldain Jekei,Халидолдайн Жекей,Mongolian People's Party,Bayan-Ölgii,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Almalikyn Tleikhan,Алмаликын Тлейхан,Mongolian People's Party,Bayan-Ölgii,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Khavdislamyn Badyelkhan,Хавдисламын Баделхан,Mongolian People's Party,Bayan-Ölgii,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Gombojavyn Zandanshatar,Гомбожавын Занданшатар,Mongolian People's Party,Bayankhongor,2008,http://en.wikipedia.org/wiki/Gombojavyn_Zandanshatar,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Batjargalyn Batbayar,Батжаргалын Батбаяр,Democratic Party,Bayankhongor,2008,http://en.wikipedia.org/wiki/Batjargalyn_Batbayar,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Khaltmaagiin Battulga,Халтмаагийн Баттулга,Democratic Party,Bayankhongor,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Enebishiin Mönkh-Ochir,Энэбишийн Мөнх-Очир,Mongolian People's Party,Bulgan,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tsegmidiin Tsengel,Цэгмидийн Цэнгэл,Mongolian People's Party,Bulgan,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tsedeviin Dashdorj,Цэдэвийн Дашдорж,Mongolian People's Party,Govi-Altai,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Jadambyn Enkhbayar,Жадамбын Энхбаяр,Mongolian People's Party,Govi-Altai,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Jamyansürengiin Batsuuri,Жамъянсүрэнгийн Батсуурь,Mongolian People's Party,Govisümber•Dornogovi,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Yaichiliin Batsuuri,Яйчилийн Батсуурь,Democratic Party,Govisümber•Dornogovi,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dorjiin Odbayar,Доржийн Одбаяр,Mongolian People's Party,Dornod,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tsendiin Shinebayar,Цэндийн Шинэбаяр,Mongolian People's Party,Dornod,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Püreviin Altangerel,Пүрэвийн Алтангэрэл,Democratic Party,Dornod,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Khalzkhüügiin Narankhüü,Халзхүүгийн Наранхүү,Mongolian People's Party,Dundgovi,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Radnaabazaryn Rash,Раднаабазарын Раш,Mongolian People's Party,Dundgovi,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dogsomjavyn Baldan-Ochir,Догсомжавын Балдан-Очир,Mongolian People's Party,Zavkhan,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dulamsürengiin Oyuunkhorol,Дуламсүрэнгийн Оюунхорол,Mongolian People's Party,Zavkhan,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Shinensambuugiin Saikhansambuu,Шинэнсамбуугийн Сайхансамбуу,Mongolian People's Party,Zavkhan,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Danzangiin Lündeejantsan,Данзангийн Лүндээжанцан,Mongolian People's Party,Övörkhangai,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Gavaagiin Batkhüü,Гаваагийн Батхүү,Democratic Party,Övörkhangai,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dashzevegiin Zorigt,Дашзэвэгийн Зоригт,Democratic Party,Övörkhangai,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Zandaakhüügiin Enkhbold,Зандаахүүгийн Энхболд,Democratic Party,Övörkhangai,2008,http://en.wikipedia.org/wiki/Zandaakh%C3%BC%C3%BCgiin_Enkhbold,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Khookhoryn Badamsüren,Хоохорын Бадамсүрэн,Mongolian People's Party,Ömnögovi,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tsevelmaagiin Bayarsaikhan,Цэвэлмаагийн Баярсайхан,Democratic Party,Ömnögovi,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Chültemiin Ulaan,Чүлтэмийн Улаан,Mongolian People's Party,Sükhbaatar,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Rentsengiin Bud,Рэнцэнгийн Буд,Mongolian People's Party,Sükhbaatar,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Ochirbatyn Chuluunbat,Очирбатын Чулуунбат,Mongolian People's Party,Selenge,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Erdeniin Bat-Uul,Эрдэнийн Бат-Үүл,Democratic Party,Selenge,2008,http://en.wikipedia.org/wiki/Erdeniin_Bat-Uul,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Sangajavyn Bayartsogt,Сангажавын Баярцогт,Democratic Party,Selenge,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Sunduin Batbold,Сундуйн Батболд,Mongolian People's Party,Töv,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Doltsongiin Dondog,Долцонгийн Дондог,Mongolian People's Party,Töv,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Miyegombyn Enkhbold,Миеэгомбын Энхболд,Mongolian People's Party,Töv,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Nyamaagiin Enkhbold,Нямаагийн Энхболд,Mongolian People's Party,Töv,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Battogtokhyn Choijilsüren,Баттогтохын Чойжилсүрэн,Mongolian People's Party,Uvs,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tsendiin Nyamdorj,Цэндийн Нямдорж,Mongolian People's Party,Uvs,2008,http://en.wikipedia.org/wiki/Tsendiin_Nyamdorj,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Chimediin Khürelbaatar,Чимэдийн Хүрэлбаатар,Mongolian People's Party,Uvs,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Sandagiin Byambatsogt,Сандагийн Бямбацогт,Mongolian People's Party,Khovd,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Damdiny Demberel,Дамдины Дэмбэрэл,Mongolian People's Party,Khovd,2008,http://en.wikipedia.org/wiki/Damdiny_Demberel,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Rinchinnyamyn Amarjargal,Ринчиннямын Амаржаргал,Democratic Party,Khovd,2008,http://en.wikipedia.org/wiki/Rinchinnyamyn_Amarjargal,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tserenpiliin Davaasüren,Цэрэнпилийн Даваасүрэн,Mongolian People's Party,Khövsgöl,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Ölziisaikhany Enkhtüvshin,Өлзийсайханы Энхтүвшин,Mongolian People's Party,Khövsgöl,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Lamjavyn Gundalai,Ламжавын Гүндалай,Democratic Party,Khövsgöl,2008,http://en.wikipedia.org/wiki/Lamjavyn_Gundalai,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tserenbatyn Sedvanchig,Цэрэнбатын Сэдванчиг,Democratic Party,Khövsgöl,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dashjamtsyn Arvin,Дашжамцын Арвин,Mongolian People's Party,Khentii,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Badmaanyambuugiin Bat-Erdene,Бадмаанямбуугийн Бат-Эрдэнэ,Mongolian People's Party,Khentii,2008,http://en.wikipedia.org/wiki/Badmaanyambuugiin_Bat-Erdene,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Navaansamdangiin Ganbyamba,Наваансамдангийн Ганбямба,Mongolian People's Party,Khentii,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Jamyankhorloogiin Sükhbaatar,Жамъянхорлоогийн Сүхбаатар,Mongolian People's Party,Darkhan-Uul,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Damdiny Khayankhyarvaa,Дамдины Хаянхярваа,Mongolian People's Party,Darkhan-Uul,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Lüimediin Gansükh,Лүймэдийн Гансүх,Democratic Party,Darkhan-Uul,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dorjdambyn Damba-Ochir,Дорждамбын Дамба-Очир,Mongolian People's Party,Orkhon,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dürzeegiin Odkhüü,Дүрзээгийн Одхүү,Democratic Party,Orkhon,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Delegiin Zagdjav,Дэлэгийн Загджав,Mongolian People's Party,Ulan Bator — Baganuur•Bagakhangai•Khan-Uul,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
