name,name__mn,party,constituency,term,wikiname,source
Tserenpiliin Davaasüren,Цэрэнпилийн Даваасүрэн,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Luvsantserengiin Enkh-Amgalan,Лувсанцэрэнгийн Энх-Амгалан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Badmaanyambuugiin Bat-Erdene,Бадмаанямбуурийн Бат-Эрдэнэ,Mongolian People's Party,n/a,2016,Badmaanyambuugiin Bat-Erdene,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Luvsannamsarin Oyuun-Erdene,Лувсаннамсрайн Оюун-Эрдэнэ,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Dorjdugaryn Gantulga,Дорждугарын Гантулга,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Baagaagiin Battömör,Баагаагийн Баттөмөр,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Boldyn Javkhlan,Болдын Жавхлан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Damdiny Khayankhyarvaa,Дамдины Хаянхярваа,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Otgonbilegiin Sodbileg,Отгонбилэгийн Содбилэг,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Oktyabriin Baasankhüü,Октябрийн Баасанхүү,Mongolian People's Revolutionary Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Dorjdambyn Damba-Ochir,Дорждамбын Дамба-Очир,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Dulamsürengiin Oyuunkhorol,Дүламсүрэнгийн Оюунхорол,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Jadambyn Enkhbayar,Жадамбын Энхбаяр,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Batsükhiin Saranchimeg,Батсүхийн Саранчимэг,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Batjargalyn Batzorig,Батжаргалын Батзориг,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Jalbasürengiin Batzandan,Жалбасүрэнгийн Батзандан,Mongolian Democratic Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Samandyn Javkhlan,Самандын Жавхлан,Independent,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Davaajantsangiin Sarangerel,Даваажанцангийн Сарангэрэл,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Tsendiin Nyamdorj,Цэндийн Нямдорж,Mongolian People's Party,n/a,2016,Tsendiin Nyamdorj,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Luvsanvandangiin Bold,Лувсанвандангийн Болд,Mongolian Democratic Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Byambasürengiin Enkh-Amgalan,Бямбасүрэнгийн Энх-Амгалан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Damdiny Tsogtbaatar,Дамдины Цогтбаатар,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Tsendiin Mönkh-Orgil,Цэндийн Мөнх-Оргил,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Sükhbaataryn Batbold,Сүхбаатарын Батболд,Mongolian People's Party,n/a,2016,Sükhbaataryn Batbold,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Tsedenbalyn Tsogzolmaa,Цэдэнбалын Цогзолмаа,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Tömörbaataryn Ayuursaikhan,Төмөрбаатарын Аюурсайхан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Mönkhöögiin Oyuunchimeg,Мөнхөөгийн Оюунчимэг,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Ölziisaikhany Enkhtüvshin,Өлзийсайханы Энхтүвшин,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Davaagiin Ganbold,Даваагийн Ганболд,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Agvaanluvsangiin Undraa,Агваанлувсангийн Ундраа,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Jambalyn Ganbaatar,Жамбалын Ганбаатар,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Sodnomzunduin Erdene,Содномзундуйн Эрдэнэ,Mongolian Democratic Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Danzangiin Lündeejantsan,Данзангийн Лүндээжанцан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Tsedengiin Garamjav,Цэдэнгийн Гарамжав,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Nyam-Osoryn Uchral,Ням-Осорын Учрал,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Dolgorsürengiin Sumyaabazar,Долгорсүрэнгийн Сумъяабазар,Mongolian People's Party,n/a,2016,Dolgorsürengiin Sumyaabazar,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Dendeviin Terbishdagva,Дэндэвийн Тэрбишдагва,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Batbayaryn Undarmaa,Батбаярын Ундармаа,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Khishgeegiin Nyambaatar,Хишгээгийн Нямбаатар,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
