id,temp_name,twitter,image
221902171,laura boldrini,lauraboldrini,https://pbs.twimg.com/profile_images/648133833662025728/6rt63sAX.jpg
234844623,Francesco Laforgia,fralaforgia,https://pbs.twimg.com/profile_images/2745240266/8f8c06a3a6d7ca8da0eafe87856400ca.jpeg
236565724,GiuliaGrilloM5S,GiuliaGrilloM5S,https://pbs.twimg.com/profile_images/729657278576603136/-VREoDeU.jpg
238909679,Francesco D'Uva,F_DUva,https://pbs.twimg.com/profile_images/378800000074235916/cdb7682fe276c29dab5eb4a008e86684.png
248604737,Gian Mario Fragomeli,GianmarioFrago,https://pbs.twimg.com/profile_images/3010609429/e62b77a385d334e910ca9200c735a72e.jpeg
253262674,Barbara Saltamartini,BSaltamartini,https://pbs.twimg.com/profile_images/683036302032384001/PUkZ-Tsf.jpg
256163349,Alessia Rotta,alessiarotta,https://pbs.twimg.com/profile_images/688849374651224065/cq3AoEFQ.jpg
258861907,Ettore Rosato,Ettore_Rosato,https://pbs.twimg.com/profile_images/1567059538/ettore_rosato.jpg
261915070,Luca d'Alessandro,lucadalex,https://pbs.twimg.com/profile_images/1266664986/ld.jpg
262823808,Luca Frusone,lucafrusone,https://pbs.twimg.com/profile_images/463344602544492546/Z48zw75U.jpeg
277460126,Chiara Di Benedetto,Chiara_DiBe,https://pbs.twimg.com/profile_images/555391624503500803/llg0uqn2.jpeg
280491875,Paolo Petrini,PaoloPetrini,https://pbs.twimg.com/profile_images/3763560119/4bcc9f0233e7f92a9ea2d207cfb30764.jpeg
284706444,Andrea Romano,AndreaRomano9,https://pbs.twimg.com/profile_images/378800000384581036/aeb3efac33933b64e1700ca095e9be0a.jpeg
300262754,Emanuele Prataviera,EPrataviera,https://pbs.twimg.com/profile_images/534451172531531778/s5WVOe55.jpeg
301472434,Stefano Fassina,StefanoFassina,https://pbs.twimg.com/profile_images/1360937996/fassina.jpg
312837588,Michela Marzano,MichelaMarzano,https://pbs.twimg.com/profile_images/732181580484104193/DHKMH5dM.jpg
318437961,Giuseppe D'Ambrosio,GiuseppeDAmbro1,https://pbs.twimg.com/profile_images/611475425919901696/5OVi8HEV.png
321939235,Laura Garavini,LauraGaravini,https://pbs.twimg.com/profile_images/3388247269/765b5c5e061c51f43598171333635d50.jpeg
326888215,Filippo Piccone,FilippoPiccone,https://pbs.twimg.com/profile_images/1420594748/fil.jpg
327455219,Emanuele Fiano,emanuelefiano,https://pbs.twimg.com/profile_images/713049754989674501/j9Ey06Bt.jpg
328060514,Fausto Raciti,faustorac,https://pbs.twimg.com/profile_images/1541473028/IMG_0265.JPG
328671064,Eleonora Bechis,EleonoraBechis,https://pbs.twimg.com/profile_images/727057886665396224/Ex4zm-_4.jpg
331005596,Roberto Speranza,robersperanza,https://pbs.twimg.com/profile_images/378800000236267724/b2c1fa60cab7878aa88d2fe69e800931.jpeg
333214378,Paglia Giovanni,GiovanniPaglia,https://pbs.twimg.com/profile_images/378800000496574914/6f336cc4db09cf1391b35ffe6d8909c3.jpeg
334321591,Nunzia De Girolamo,N_DeGirolamo,https://pbs.twimg.com/profile_images/671400380664782849/04UClJzO.jpg
334611957,Giovanni Legnini,GiovanniLegnini,https://pbs.twimg.com/profile_images/586158384702849024/tFtgAh40.jpg
335970126,Bruno Censore,BrunoCensore,https://pbs.twimg.com/profile_images/631393851073298432/LgA_JmL4.jpg
336975968,Antonio Misiani,antoniomisiani,https://pbs.twimg.com/profile_images/528221767643697153/ZkR6udA-.jpeg
337171830,Angelo Tofalo,AngeloTofalo,https://pbs.twimg.com/profile_images/687266171800973312/WIcgUgBX.jpg
339672122,Pina Picierno,pinapic,https://pbs.twimg.com/profile_images/584665967747321856/pLVtprgN.jpg
356787601,Gianluca Buonanno,BuonannoG,https://pbs.twimg.com/profile_images/486804990871080960/Pc4pHpcb.jpeg
359555283,Gianpiero D'Alia,gianpierodalia,https://pbs.twimg.com/profile_images/690137770937970688/He9d6Nn6.jpg
359933447,walter rizzetto,w_rizzetto,https://pbs.twimg.com/profile_images/742383003410792448/pDLiwV8h.jpg
361373768,FedericaDaga,FedericaDaga,https://pbs.twimg.com/profile_images/3151771710/d88ba93cd3277d68ed2f9cd4e5462814.jpeg
368935338,Titti Di Salvo,titti_disalvo,https://pbs.twimg.com/profile_images/615438523265642496/3s6dRJKi.jpg
369177021,Francesco Cariello,CarielFr,https://pbs.twimg.com/profile_images/516275692867026944/7CAfMTAC.jpeg
373423842,Maurizio Lupi,Maurizio_Lupi,https://pbs.twimg.com/profile_images/725272181974904832/M9zc7s5N.jpg
373974686,achille totaro,TotaroAchille,https://pbs.twimg.com/profile_images/1761282748/foto2.jpg
378212883,Alessandro Bratti,alebratti,https://pbs.twimg.com/profile_images/1555147414/alebratti.jpeg
379256309,Giulia Di Vita,GiuliaDiVita,https://pbs.twimg.com/profile_images/498157385563664384/MpmUE08X.jpeg
379645871,Salvatore Cicu,SalvoCicu,https://pbs.twimg.com/profile_images/2386020263/image.jpg
380405533,Marietta tidei,Mariettatidei,https://pbs.twimg.com/profile_images/378800000507971207/ce668b26402f192ec4cde4f40075b89e.jpeg
380826306,Andrea Martella,andreamartella,https://pbs.twimg.com/profile_images/2238922847/image.jpg
