id,type,name__it,name__fr,name__ca,name__ro,start_date,name__en,name__lmo,name__fi,name__de
Q44050370,overseas constituency of the Italian Parliament,"ripartizione Africa, Asia, Oceania e Antartide","circonscription d'Afrique, Asie, Océanie et Antartique",,,,,,,
Q44050372,overseas constituency of the Italian Parliament,ripartizione America settentrionale e centrale,circonscription d'Amérique septentrionale et centrale,,,,,,,
Q44050374,overseas constituency of the Italian Parliament,ripartizione America meridionale,circonscription d'Amérique méridionale,,,,,,,
Q48075587,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Abruzzo - 01,,,,2017-12,Abruzzo - 01,,,
Q48078447,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Abruzzo - 02,,,,2017-12,Abruzzo - 02,,,
Q48078864,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Abruzzo - 03,,,,2017-12,Abruzzo - 03,,,
Q48079248,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 1 - 01,,,,2017-12,Piemonte 1 - 01,,,
Q48079254,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 1 - 02,,,,2017-12,Piemonte 1 - 02,,,
Q48079262,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 1 - 03,,,,2017-12,Piemonte 1 - 03,,,
Q48079269,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 1 - 04,,,,2017-12,Piemonte 1 - 04,,,
Q48079276,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 1 - 05,,,,2017-12,Piemonte 1 - 05,,,
Q48079283,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 1 - 06,,,,2017-12,Piemonte 1 - 06,,,
Q48079291,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 1 - 07,,,,2017-12,Piemonte 1 - 07,,,
Q48079299,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 1 - 08,,,,2017-12,Piemonte 1 - 08,,,
Q48079304,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 1 - 09,,,,2017-12,Piemonte 1 - 09,,,
Q48079311,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 2 - 01,,,,2017-12,Piemonte 2 - 01,,,
Q48079320,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 2 - 02,,,,2017-12,Piemonte 2 - 02,,,
Q48079327,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 2 - 03,,,,2017-12,Piemonte 2 - 03,,,
Q48079337,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 2 - 04,,,,2017-12,Piemonte 2 - 04,,,
Q48079346,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 2 - 05,,,,2017-12,Piemonte 2 - 05,,,
Q48079354,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 2 - 06,,,,2017-12,Piemonte 2 - 06,,,
Q48079359,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 2 - 07,,,,2017-12,Piemonte 2 - 07,,,
Q48079361,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Piemonte 2 - 08,,,,2017-12,Piemonte 2 - 08,,,
Q48079369,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Valle d'Aosta - 01,,,,2017-12,Valle d'Aosta/Vallée d'Aoste - 01,,,
Q48079376,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 01,,,,2017-12,Lombardia 1 - 01,,,
Q48079382,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 02,,,,2017-12,Lombardia 1 - 02,,,
Q48079387,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 03,,,,2017-12,Lombardia 1 - 03,,,
Q48079393,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 04,,,,2017-12,Lombardia 1 - 04,,,
Q48079401,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 05,,,,2017-12,Lombardia 1 - 05,,,
Q48079406,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 06,,,,2017-12,Lombardia 1 - 06,,,
Q48079414,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 07,,,,2017-12,Lombardia 1 - 07,,,
Q48079419,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 08,,,,2017-12,Lombardia 1 - 08,,,
Q48079425,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 09,,,,2017-12,Lombardia 1 - 09,,,
Q48079430,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 10,,,,2017-12,Lombardia 1 - 10,,,
Q48079438,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 11,,,,2017-12,Lombardia 1 - 11,,,
Q48079447,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 12,,,,2017-12,Lombardia 1 - 12,,,
Q48079457,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 13,,,,2017-12,Lombardia 1 - 13,,,
Q48079464,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 14,,,,2017-12,Lombardia 1 - 14,,,
Q48079470,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 1 - 15,,,,2017-12,Lombardia 1 - 15,,,
Q48079479,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 2 - 01,,,,2017-12,Lombardia 2 - 01,,,
Q48079484,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 2 - 02,,,,2017-12,Lombardia 2 - 02,,,
Q48079489,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 2 - 03,,,,2017-12,Lombardia 2 - 03,,,
Q48079497,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 2 - 04,,,,2017-12,Lombardia 2 - 04,,,
Q48079504,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 2 - 05,,,,2017-12,Lombardia 2 - 05,,,
Q48079511,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 2 - 06,,,,2017-12,Lombardia 2 - 06,,,
Q48079520,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 2 - 07,,,,2017-12,Lombardia 2 - 07,,,
Q48079528,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 2 - 08,,,,2017-12,Lombardia 2 - 08,,,
Q48079533,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 3 - 01,,,,2017-12,Lombardia 3 - 01,,,
Q48079542,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 3 - 02,,,,2017-12,Lombardia 3 - 02,,,
Q48079548,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 3 - 03,,,,2017-12,Lombardia 3 - 03,,,
Q48079557,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 3 - 04,,,,2017-12,Lombardia 3 - 04,,,
Q48079564,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 3 - 05,,,,2017-12,Lombardia 3 - 05,,,
Q48079572,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 3 - 06,,,,2017-12,Lombardia 3 - 06,,,
Q48079585,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 3 - 07,,,,2017-12,Lombardia 3 - 07,,,
Q48079591,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 3 - 08,,,,2017-12,Lombardia 3 - 08,,,
Q48079602,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 4 - 01,,,,2017-12,Lombardia 4 - 01,,,
Q48079613,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 4 - 02,,,,2017-12,Lombardia 4 - 02,,,
Q48079622,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 4 - 03,,,,2017-12,Lombardia 4 - 03,,,
Q48079633,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 4 - 04,,,,2017-12,Lombardia 4 - 04,,,
Q48079638,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 4 - 05,,,,2017-12,Lombardia 4 - 05,,,
Q48079645,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lombardia 4 - 06,,,,2017-12,Lombardia 4 - 06,,,
Q48079654,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Trentino-Alto Adige - 01,,,,2017-12,Trentino-Alto Adige/Südtirol - 01,,,
Q48079662,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Trentino-Alto Adige - 02,,,,2017-12,Trentino-Alto Adige/Südtirol - 02,,,
Q48079666,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Trentino-Alto Adige - 03,,,,2017-12,Trentino-Alto Adige/Südtirol - 03,,,
Q48079670,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Trentino-Alto Adige - 04,,,,2017-12,Trentino-Alto Adige/Südtirol - 04,,,
Q48079679,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Trentino-Alto Adige - 05,,,,2017-12,Trentino-Alto Adige/Südtirol - 05,,,
Q48079685,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Trentino-Alto Adige - 06,,,,2017-12,Trentino-Alto Adige/Südtirol - 06,,,
Q48079693,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 1 - 01,,,,2017-12,Veneto 1 - 01,,,
Q48079698,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 1 - 02,,,,2017-12,Veneto 1 - 02,,,
Q48079707,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 1 - 03,,,,2017-12,Veneto 1 - 03,,,
Q48079716,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 1 - 04,,,,2017-12,Veneto 1 - 04,,,
Q48079726,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 1 - 05,,,,2017-12,Veneto 1 - 05,,,
Q48079734,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 1 - 06,,,,2017-12,Veneto 1 - 06,,,
Q48079744,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 1 - 07,,,,2017-12,Veneto 1 - 07,,,
Q48079750,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 1 - 08,,,,2017-12,Veneto 1 - 08,,,
Q48079758,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 01,,,,2017-12,Veneto 2 - 01,,,
Q48079763,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 02,,,,2017-12,Veneto 2 - 02,,,
Q48079769,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 03,,,,2017-12,Veneto 2 - 03,,,
Q48079772,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 04,,,,2017-12,Veneto 2 - 04,,,
Q48079783,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 05,,,,2017-12,Veneto 2 - 05,,,
Q48079791,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 06,,,,2017-12,Veneto 2 - 06,,,
Q48079799,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 07,,,,2017-12,Veneto 2 - 07,,,
Q48079807,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 08,,,,2017-12,Veneto 2 - 08,,,
Q48079814,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 09,,,,2017-12,Veneto 2 - 09,,,
Q48079818,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 10,,,,2017-12,Veneto 2 - 10,,,
Q48079826,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Veneto 2 - 11,,,,2017-12,Veneto 2 - 11,,,
Q48079832,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Friuli-Venezia Giulia - 01,,,,2017-12,Friuli-Venezia Giulia - 01,,,
Q48079841,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Friuli-Venezia Giulia - 02,,,,2017-12,Friuli-Venezia Giulia - 02,,,
Q48079851,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Friuli-Venezia Giulia - 03,,,,2017-12,Friuli-Venezia Giulia - 03,,,
Q48079858,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Friuli-Venezia Giulia - 04,,,,2017-12,Friuli-Venezia Giulia - 04,,,
Q48079862,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Friuli-Venezia Giulia - 05,,,,2017-12,Friuli-Venezia Giulia - 05,,,
Q48079869,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Liguria - 01,,,,2017-12,Liguria - 01,,,
Q48079876,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Liguria - 02,,,,2017-12,Liguria - 02,,,
Q48079882,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Liguria - 03,,,,2017-12,Liguria - 03,,,
Q48079890,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Liguria - 04,,,,2017-12,Liguria - 04,,,
Q48079897,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Liguria - 05,,,,2017-12,Liguria - 05,,,
Q48079906,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Liguria - 06,,,,2017-12,Liguria - 06,,,
Q48079915,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 01,,,,2017-12,Emilia-Romagna - 01,,,
Q48079921,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 02,,,,2017-12,Emilia-Romagna - 02,,,
Q48079930,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 03,,,,2017-12,Emilia-Romagna - 03,,,
Q48079936,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 04,,,,2017-12,Emilia-Romagna - 04,,,
Q48079946,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 05,,,,2017-12,Emilia-Romagna - 05,,,
Q48079957,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 06,,,,2017-12,Emilia-Romagna - 06,,,
Q48079966,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 07,,,,2017-12,Emilia-Romagna - 07,,,
Q48079975,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 08,,,,2017-12,Emilia-Romagna - 08,,,
Q48079981,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 09,,,,2017-12,Emilia-Romagna - 09,,,
Q48079990,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 10,,,,2017-12,Emilia-Romagna - 10,,,
Q48080002,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 11,,,,2017-12,Emilia-Romagna - 11,,,
Q48080012,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 12,,,,2017-12,Emilia-Romagna - 12,,,
Q48080018,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 13,,,,2017-12,Emilia-Romagna - 13,,,
Q48080025,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 14,,,,2017-12,Emilia-Romagna - 14,,,
Q48080033,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 15,,,,2017-12,Emilia-Romagna - 15,,,
Q48080042,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 16,,,,2017-12,Emilia-Romagna - 16,,,
Q48080051,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Emilia-Romagna - 17,,,,2017-12,Emilia-Romagna - 17,,,
Q48080060,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 01,,,,2017-12,Toscana - 01,,,
Q48080065,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 02,,,,2017-12,Toscana - 02,,,
Q48080076,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 03,,Toscana - 03,,2017-12,Toscana - 03,,,
Q48080084,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 04,,,,2017-12,Toscana - 04,,,
Q48080095,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 05,,,,2017-12,Toscana - 05,,,
Q48080104,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 06,,,,2017-12,Toscana - 06,,,
Q48080110,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 07,,,,2017-12,Toscana - 07,,,
Q48080117,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 08,,,,2017-12,Toscana - 08,,,
Q48080123,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 09,,,,2017-12,Toscana - 09,,,
Q48080128,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 10,,,,2017-12,Toscana - 10,,,
Q48080138,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 11,,,,2017-12,Toscana - 11,,,
Q48080149,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 12,,,,2017-12,Toscana - 12,,,
Q48080159,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 13,,,,2017-12,Toscana - 13,,,
Q48080169,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Toscana - 14,,,,2017-12,Toscana - 14,,,
Q48080179,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Umbria - 01,,,,2017-12,Umbria - 01,,,
Q48080187,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Umbria - 02,,,,2017-12,Umbria - 02,,,
Q48080198,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Umbria - 03,,,,2017-12,Umbria - 03,,,
Q48080208,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Marche - 01,,,,2017-12,Marche - 01,,,
Q48080216,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Marche - 02,,,,2017-12,Marche - 02,,,
Q48080227,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Marche - 03,,,,2017-12,Marche - 03,,,
Q48080233,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Marche - 04,,,,2017-12,Marche - 04,,,
Q48080241,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Marche - 05,,,,2017-12,Marche - 05,,,
Q48080252,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Marche - 06,,,,2017-12,Marche - 06,,,
Q48080258,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 01,,,,2017-12,Lazio 1 - 01,,,
Q48080267,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 02,,,,2017-12,Lazio 1 - 02,,,
Q48080276,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 03,,,,2017-12,Lazio 1 - 03,,,
Q48080286,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 04,,,,2017-12,Lazio 1 - 04,,,
Q48080296,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 05,,,,2017-12,Lazio 1 - 05,,,
Q48080308,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 06,,,,2017-12,Lazio 1 - 06,,,
Q48080317,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 07,,,,2017-12,Lazio 1 - 07,,,
Q48080321,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 08,,,,2017-12,Lazio 1 - 08,,,
Q48080325,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 09,,,,2017-12,Lazio 1 - 09,,,
Q48080333,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 10,,,,2017-12,Lazio 1 - 10,,,
Q48080338,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 11,,,,2017-12,Lazio 1 - 11,,,
Q48080349,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 12,,,,2017-12,Lazio 1 - 12,,,
Q48080356,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 13,,,,2017-12,Lazio 1 - 13,,,
Q48080370,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 1 - 14,,,,2017-12,Lazio 1 - 14,,,
Q48080378,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 2 - 01,,,,2017-12,Lazio 2 - 01,,,
Q48080389,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 2 - 02,,,,2017-12,Lazio 2 - 02,,,
Q48080399,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 2 - 03,,,,2017-12,Lazio 2 - 03,,,
Q48080409,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 2 - 04,,,,2017-12,Lazio 2 - 04,,,
Q48080416,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 2 - 05,,,,2017-12,Lazio 2 - 05,,,
Q48080425,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 2 - 06,,,,2017-12,Lazio 2 - 06,,,
Q48080431,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Lazio 2 - 07,,,,2017-12,Lazio 2 - 07,,,
Q48080444,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Abruzzo - 04,,,,2017-12,Abruzzo - 04,,,
Q48080456,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Abruzzo - 05,,,,2017-12,Abruzzo - 05,,,
Q48080469,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Molise - 01,,,,2017-12,Molise - 01,,,
Q48080476,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Molise - 02,,,,2017-12,Molise - 02,,,
Q48080484,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 01,,,,2017-12,Campania 1 - 01,,,
Q48080497,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 02,,,,2017-12,Campania 1 - 02,,,
Q48080510,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 03,,,,2017-12,Campania 1 - 03,,,
Q48080518,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 04,,,,2017-12,Campania 1 - 04,,,
Q48080528,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 05,,,,2017-12,Campania 1 - 05,,,
Q48080537,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 06,,,,2017-12,Campania 1 - 06,,,
Q48080543,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 07,,,,2017-12,Campania 1 - 07,,,
Q48080553,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 08,,,,2017-12,Campania 1 - 08,,,
Q48080563,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 09,,,,2017-12,Campania 1 - 09,,,
Q48080571,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 10,,,,2017-12,Campania 1 - 10,,,
Q48080582,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 11,,,,2017-12,Campania 1 - 11,,,
Q48080590,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 1 - 12,,,,2017-12,Campania 1 - 12,,,
Q48080604,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 2 - 01,,,,2017-12,Campania 2 - 01,,,
Q48080610,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 2 - 02,,,,2017-12,Campania 2 - 02,,,
Q48080621,uninominal constituency of the Italian Chamber of Deputies,collegio uninominale Campania 2 - 03,,,,2017-12,Campania 2 - 03,,,
