id,party_id,name,wikipedia,constituency,party,term,start_date,end_date,source
jón_Þór_Ólafsson,pirate_party,Jón Þór Ólafsson,Jón Þór Ólafsson,Reykjavik Constituency South,Pirate Party,2013,,,
Óttarr_proppé,bright_future,Óttarr Proppé,Óttarr Proppé,Reykjavik Constituency South,Bright Future,2013,,,
bjarni_benediktsson,independence_party,Bjarni Benediktsson,Bjarni Benediktsson (born 1970),Southwest Constituency,Independence Party,2013,,,
eygló_harðardóttir,progressive_party,Eygló Harðardóttir,Eygló Harðardóttir,Southwest Constituency,Progressive Party,2013,,,
ragnheiður_ríkharðsdóttir,independence_party,Ragnheiður Ríkharðsdóttir,Ragnheiður Ríkharðsdóttir,Southwest Constituency,Independence Party,2013,,,
Árni_páll_Árnason,social_democratic_alliance,Árni Páll Árnason,Árni Páll Árnason,Southwest Constituency,Social Democratic Alliance,2013,,,
willum_Þór_Þórsson,progressive_party,Willum Þór Þórsson,Willum Þór Þórsson,Southwest Constituency,Progressive Party,2013,,,
jón_gunnarsson,independence_party,Jón Gunnarsson,Jón Gunnarsson,Southwest Constituency,Independence Party,2013,,,
guðmundur_steingrímsson,bright_future,Guðmundur Steingrímsson,Guðmundur Steingrímsson,Southwest Constituency,Bright Future,2013,,,
Ögmundur_jónasson,left-green_movement,Ögmundur Jónasson,Ögmundur Jónasson,Southwest Constituency,Left-Green Movement,2013,,,
vilhjálmur_bjarnason,independence_party,Vilhjálmur Bjarnason,,Southwest Constituency,Independence Party,2013,,,
Þorsteinn_sæmundsson,progressive_party,Þorsteinn Sæmundsson,,Southwest Constituency,Progressive Party,2013,,,
katrín_júlíusdóttir,social_democratic_alliance,Katrín Júlíusdóttir,Katrín Júlíusdóttir,Southwest Constituency,Social Democratic Alliance,2013,,,
birgitta_jónsdóttir,pirate_party,Birgitta Jónsdóttir,Birgitta Jónsdóttir,Southwest Constituency,Pirate Party,2013,,,
elín_hirst,independence_party,Elín Hirst,Elín Hirst,Southwest Constituency,Independence Party,2013,,,
gunnar_bragi_sveinsson,progressive_party,Gunnar Bragi Sveinsson,Gunnar Bragi Sveinsson,Northwest Constituency,Progressive Party,2013,,,
einar_k._guðfinnsson,independence_party,Einar K. Guðfinnsson,Einar K. Guðfinnsson,Northwest Constituency,Independence Party,2013,,,
Ásmundur_einar_daðason,progressive_party,Ásmundur Einar Daðason,Ásmundur Einar Daðason,Northwest Constituency,Progressive Party,2013,,,
haraldur_benediktsson,independence_party,Haraldur Benediktsson,,Northwest Constituency,Independence Party,2013,,,
guðbjartur_hannesson,social_democratic_alliance,Guðbjartur Hannesson,Guðbjartur Hannesson,Northwest Constituency,Social Democratic Alliance,2013,,,
elsa_lára_arnardóttir,progressive_party,Elsa Lára Arnardóttir,,Northwest Constituency,Progressive Party,2013,,,
jóhanna_m._sigmundsdóttir,progressive_party,Jóhanna M. Sigmundsdóttir,,Northwest Constituency,Progressive Party,2013,,,
lilja_r._magnúsdóttir,left-green_movement,Lilja R. Magnúsdóttir,Lilja Rafney Magnúsdóttir,Northwest Constituency,Left-Green Movement,2013,,,
sigmundur_d._gunnlaugsson,progressive_party,Sigmundur D. Gunnlaugsson,Sigmundur Davíð Gunnlaugsson,Northeast Constituency,Progressive Party,2013,,,
kristján_Þór_júlíusson,independence_party,Kristján Þór Júlíusson,Kristján Þór Júlíusson,Northeast Constituency,Independence Party,2013,,,
höskuldur_Þór_Þórhallsson,progressive_party,Höskuldur Þór Þórhallsson,Höskuldur Þór Þórhallsson,Northeast Constituency,Progressive Party,2013,,,
steingrímur_j._sigfússon,left-green_movement,Steingrímur J. Sigfússon,Steingrímur J. Sigfússon,Northeast Constituency,Left-Green Movement,2013,,,
líneik_anna_sævarsdóttir,progressive_party,Líneik Anna Sævarsdóttir,,Northeast Constituency,Progressive Party,2013,,,
valgerður_gunnarsdóttir,independence_party,Valgerður Gunnarsdóttir,Valgerður Gunnarsdóttir,Northeast Constituency,Independence Party,2013,,,
kristján_l._möller,social_democratic_alliance,Kristján L. Möller,Kristján L. Möller,Northeast Constituency,Social Democratic Alliance,2013,,,
Þórunn_egilsdóttir,progressive_party,Þórunn Egilsdóttir,,Northeast Constituency,Progressive Party,2013,,,
bjarkey_gunnarsdóttir,left-green_movement,Bjarkey Gunnarsdóttir,Bjarkey Gunnarsdóttir,Northeast Constituency,Left-Green Movement,2013,,,
brynhildur_pétursdóttir,bright_future,Brynhildur Pétursdóttir,,Northeast Constituency,Bright Future,2013,,,
sigurður_i._jóhannsson,progressive_party,Sigurður I. Jóhannsson,Sigurður Ingi Jóhannsson,South Constituency,Progressive Party,2013,,,
ragnheiður_e._Árnadóttir,independence_party,Ragnheiður E. Árnadóttir,Ragnheiður Elín Árnadóttir,South Constituency,Independence Party,2013,,,
silja_dögg_gunnarsdóttir,progressive_party,Silja Dögg Gunnarsdóttir,,South Constituency,Progressive Party,2013,,,
unnur_brá_konráðsdóttir,independence_party,Unnur Brá Konráðsdóttir,Unnur Brá Konráðsdóttir,South Constituency,Independence Party,2013,,,
páll_jóhann_pálsson,progressive_party,Páll Jóhann Pálsson,,South Constituency,Progressive Party,2013,,,
oddný_g._harðardóttir,social_democratic_alliance,Oddný G. Harðardóttir,Oddný G. Harðardóttir,South Constituency,Social Democratic Alliance,2013,,,
Ásmundur_friðriksson,independence_party,Ásmundur Friðriksson,,South Constituency,Independence Party,2013,,,
haraldur_einarsson,progressive_party,Haraldur Einarsson,,South Constituency,Progressive Party,2013,,,
vilhjálmur_Árnason,independence_party,Vilhjálmur Árnason,Vilhjálmur Árnason,South Constituency,Independence Party,2013,,,
páll_valur_björnsson,bright_future,Páll Valur Björnsson,,South Constituency,Bright Future,2013,,,
atli_gíslason,independent,Atli Gíslason,Atli Gíslason,South Constituency,Independent,2009,2011-03-21,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
birgir_Ármannsson,independence_party,Birgir Ármannsson,Birgir Ármannsson,Reykjavik Constituency South,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
birgitta_jónsdóttir,pirate_party,Birgitta Jónsdóttir,Birgitta Jónsdóttir,Reykjavik Constituency South,Pirate Party,2009,2012,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
birkir_jónsson,progressive_party,Birkir Jónsson,Birkir Jón Jónsson,Northeast Constituency,Progressive Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
bjarni_benediktsson,independence_party,Bjarni Benediktsson,"Bjarni Benediktsson, Jr.",Southwest Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
björgvin_sigurðsson,social_democratic_alliance,Björgvin Sigurðsson,Björgvin G. Sigurðsson,South Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
björn_gíslason,left-green_movement,Björn Gíslason,Björn Valur Gíslason,Northeast Constituency,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
einar_guðfinnsson,independence_party,Einar Guðfinnsson,Einar K. Guðfinnsson,Northwest Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
eygló_harðardóttir,progressive_party,Eygló Harðardóttir,Eygló Harðardóttir,South Constituency,Progressive Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
gunnar_sveinsson,progressive_party,Gunnar Sveinsson,Gunnar Bragi Sveinsson,Northwest Constituency,Progressive Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
guðbjartur_hannesson,social_democratic_alliance,Guðbjartur Hannesson,Guðbjartur Hannesson,Northwest Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
guðfríður_grétarsdóttir,left-green_movement,Guðfríður Grétarsdóttir,Guðfríður Lilja Grétarsdóttir,Southwest Constituency,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
guðlaugur_Þórðarson,independence_party,Guðlaugur Þórðarson,Guðlaugur Þór Þórðarson,Reykjavik Constituency South,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
guðmundur_steingrímsson,bright_future,Guðmundur Steingrímsson,Guðmundur Steingrímsson,Northwest Constituency,Bright Future,2009,2011-08-22,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
helgi_hjörvar,social_democratic_alliance,Helgi Hjörvar,Helgi Hjörvar,Reykjavik Constituency North,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
höskuldur_Þórhallsson,progressive_party,Höskuldur Þórhallsson,Höskuldur Þórhallsson,Northeast Constituency,Progressive Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
illugi_gunnarsson,independence_party,Illugi Gunnarsson,Illugi Gunnarsson,Reykjavik Constituency North,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
jóhanna_sigurðardóttir,social_democratic_alliance,Jóhanna Sigurðardóttir,Jóhanna Sigurðardóttir,Reykjavik Constituency North,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
jón_bjarnason,independent,Jón Bjarnason,Jón Bjarnason,Northwest Constituency,Independent,2009,2013-01-24,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
jón_gunnarsson,independence_party,Jón Gunnarsson,Jón Gunnarsson,Southwest Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
jónína_guðmundsdóttir,social_democratic_alliance,Jónína Guðmundsdóttir,Jónína Rós Guðmundsdóttir,Northeast Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
katrín_jakobsdóttir,left-green_movement,Katrín Jakobsdóttir,Katrín Jakobsdóttir,Reykjavik Constituency North,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
katrín_júlíusdóttir,social_democratic_alliance,Katrín Júlíusdóttir,Katrín Júlíusdóttir,Southwest Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
kristján_júlíusson,independence_party,Kristján Júlíusson,Kristján Þór Júlíusson,Northeast Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
kristján_möller,social_democratic_alliance,Kristján Möller,Kristján L. Möller,Northeast Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
lilja_magnúsdóttir,left-green_movement,Lilja Magnúsdóttir,Lilja Rafney Magnúsdóttir,Northwest Constituency,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
lilja_mósesdóttir,solidarity,Lilja Mósesdóttir,Lilja Mósesdóttir,Reykjavik Constituency South,Solidarity,2009,2011-03-21,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
magnús_schram,social_democratic_alliance,Magnús Schram,Magnús Orri Schram,Southwest Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
margrét_tryggvadóttir,citizens'_movement,Margrét Tryggvadóttir,Margrét Tryggvadóttir,South Constituency,Citizens' Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
oddný_harðardóttir,social_democratic_alliance,Oddný Harðardóttir,Oddný G. Harðardóttir,South Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
pétur_blöndal,independence_party,Pétur Blöndal,Pétur H. Blöndal,Reykjavik Constituency North,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
ragnheiður_Árnadóttir,independence_party,Ragnheiður Árnadóttir,Ragnheiður Elín Árnadóttir,South Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
ragnheiður_ríkharðsdóttir,independence_party,Ragnheiður Ríkharðsdóttir,Ragnheiður Ríkharðsdóttir,Southwest Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
róbert_marshall,bright_future,Róbert Marshall,Róbert Marshall,South Constituency,Bright Future,2009,2012-10-12,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
sigmundur_gunnlaugsson,progressive_party,Sigmundur Gunnlaugsson,Sigmundur Davíð Gunnlaugsson,Reykjavik Constituency North,Progressive Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
sigmundur_rúnarsson,social_democratic_alliance,Sigmundur Rúnarsson,Sigmundur Ernir Rúnarsson,Northeast Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
sigríður_ingadóttir,social_democratic_alliance,Sigríður Ingadóttir,Sigríður Ingibjörg Ingadóttir,Reykjavik Constituency South,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
sigurður_jóhannsson,progressive_party,Sigurður Jóhannsson,Sigurður Ingi Jóhannsson,South Constituency,Progressive Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
siv_friðleifsdóttir,progressive_party,Siv Friðleifsdóttir,Siv Friðleifsdóttir,Southwest Constituency,Progressive Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
skúli_helgason,social_democratic_alliance,Skúli Helgason,Skúli Helgason,Reykjavik Constituency South,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
steingrímur_sigfússon,left-green_movement,Steingrímur Sigfússon,Steingrímur J. Sigfússon,Northeast Constituency,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
steinunn_Óskarsdóttir,social_democratic_alliance,Steinunn Óskarsdóttir,Steinunn Valdís Óskarsdóttir,Reykjavik Constituency North,Social Democratic Alliance,2009,,2010,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
mörður_Árnason,social_democratic_alliance,Mörður Árnason,Mörður Árnason,Reykjavik Constituency North,Social Democratic Alliance,2009,2010,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
svandís_svavarsdóttir,left-green_movement,Svandís Svavarsdóttir,Svandís Svavarsdóttir,Reykjavik Constituency South,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
tryggvi_herbertsson,independence_party,Tryggvi Herbertsson,Tryggvi Þór Herbertsson,Northeast Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
unnur_konráðsdóttir,independence_party,Unnur Konráðsdóttir,Unnur Brá Konráðsdóttir,South Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
valgerður_bjarnadóttir,social_democratic_alliance,Valgerður Bjarnadóttir,Valgerður Bjarnadóttir,Reykjavik Constituency North,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
vigdís_hauksdóttir,progressive_party,Vigdís Hauksdóttir,Vigdís Hauksdóttir,Reykjavik Constituency South,Progressive Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Álfheiður_ingadóttir,left-green_movement,Álfheiður Ingadóttir,Álfheiður Ingadóttir,Reykjavik Constituency North,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Árni_Árnason,social_democratic_alliance,Árni Árnason,Árni Páll Árnason,Southwest Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Árni_johnsen,independence_party,Árni Johnsen,Árni Johnsen,South Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Árni_sigurðsson,left-green_movement,Árni Sigurðsson,Árni Þór Sigurðsson,Reykjavik Constituency North,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ásbjörn_Óttarsson,independence_party,Ásbjörn Óttarsson,Ásbjörn Óttarsson,Northwest Constituency,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ásmundur_daðason,progressive_party,Ásmundur Daðason,Ásmundur Einar Daðason,Northwest Constituency,Progressive Party,2009,2011-06-01,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ásta_jóhannesdóttir,social_democratic_alliance,Ásta Jóhannesdóttir,Ásta Ragnheiður Jóhannesdóttir,Reykjavik Constituency South,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ólína_Þorvarðardóttir,social_democratic_alliance,Ólína Þorvarðardóttir,Ólína Þorvarðardóttir,Northwest Constituency,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ólöf_nordal,independence_party,Ólöf Nordal,Ólöf Nordal,Reykjavik Constituency South,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ögmundur_jónasson,left-green_movement,Ögmundur Jónasson,Ögmundur Jónasson,Southwest Constituency,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Össur_skarphéðinsson,social_democratic_alliance,Össur Skarphéðinsson,Össur Skarphéðinsson,Reykjavik Constituency South,Social Democratic Alliance,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þorgerður_gunnarsdóttir,independence_party,Þorgerður Gunnarsdóttir,Þorgerður Katrín Gunnarsdóttir,Reykjavik Constituency South,Independence Party,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þráinn_bertelsson,left-green_movement,Þráinn Bertelsson,Þráinn Bertelsson,Reykjavik Constituency North,Left-Green Movement,2009,2009-08-14,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þuríður_backman,left-green_movement,Þuríður Backman,Þuríður Backman,Northeast Constituency,Left-Green Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þór_saari,citizens'_movement,Þór Saari,Þór Saari,Southwest Constituency,Citizens' Movement,2009,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þórunn_sveinbjarnardóttir,social_democratic_alliance,Þórunn Sveinbjarnardóttir,Þórunn Sveinbjarnardóttir,Southwest Constituency,Social Democratic Alliance,2009,,2011,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
lúðvík_geirsson,social_democratic_alliance,Lúðvík Geirsson,Lúðvík Geirsson,Southwest Constituency,Social Democratic Alliance,2009,2011,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
arnbjörg_sveinsdóttir,independence_party,Arnbjörg Sveinsdóttir,"",Northeast,Independence Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
atli_gíslason,left-green_movement,Atli Gíslason,Atli Gíslason,South,Left-Green Movement,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
birgir_Ármannsson,independence_party,Birgir Ármannsson,Birgir Ármannsson,Reykjavik South,Independence Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
birkir_jónsson,progressive_party,Birkir Jónsson,Birkir Jón Jónsson,Northeast,Progressive Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
bjarni_benediktsson,independence_party,Bjarni Benediktsson,Bjarni Benediktsson,Southwest,Independence Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
bjarni_harðarson,progressive_party,Bjarni Harðarson,Bjarni Harðarson,South,Progressive Party,2007,,2008,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
helga_harðardóttir,progressive_party,Helga Harðardóttir,,South,Progressive Party,2007,2008,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
björgvin_sigurðsson,social_democratic_alliance,Björgvin Sigurðsson,Björgvin G. Sigurðsson,South,Social Democratic Alliance,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
björk_guðjónsdóttir,independence_party,Björk Guðjónsdóttir,"",South,Independence Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
björn_bjarnason,independence_party,Björn Bjarnason,Björn Bjarnason,Reykjavik South,Independence Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
einar_guðfinnsson,independence_party,Einar Guðfinnsson,Einar Kristinn Guðfinnsson,Northwest,Independence Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
einar_sigurðsson,social_democratic_alliance,Einar Sigurðsson,"",Northeast,Social Democratic Alliance,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
ellert_schram,social_democratic_alliance,Ellert Schram,"",Reykjavik North,Social Democratic Alliance,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
geir_haarde,independence_party,Geir Haarde,Geir H. Haarde,Reykjavik South,Independence Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
grétar_jónsson,liberal_party,Grétar Jónsson,"",South,Liberal Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
gunnar_svavarsson,social_democratic_alliance,Gunnar Svavarsson,"",Southwest,Social Democratic Alliance,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
guðfinna_bjarnadóttir,independence_party,Guðfinna Bjarnadóttir,"",Reykjavik North,Independence Party,2007,,,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
