localid,id,name,constituency,website,photograph,party,source,term
17,2017,Md.Majibar Rahman,Lalmonirhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=665,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2017.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
18,2018,Ghulam Muhammed Quader,Lalmonirhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=666,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2018.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
19,2019,Hossain Makbul Shahrier,Rangpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=667,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2019.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
20,2020,Anisul Islam Mondol,Rangpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=668,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2020.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
21,2021,Raushan Ershad,Rangpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=669,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2021.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
22,2022,Tipu Munshi,Rangpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=670,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2022.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
23,2023,H.N. Ashequr Rahman,Rangpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=671,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2023.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
25,2025,A.K.M. Mostafizur Rahman,Kurigram,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=673,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2025.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
26,2026,Md. Zafar Ali,Kurigram,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=674,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2026.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
27,2027,A.K.M. Mayeedul Islam,Kurigram,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=675,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2027.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
28,2028,Md. Zakir Hossen,Kurigram,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=676,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2028.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
29,2029,Col. Dr. Md. Abdul Kader Khan (Retd.),Gaibandha,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=677,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2029.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
30,2030,Mahabub Ara Begum Gini,Gaibandha,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=678,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2030.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
31,2031,Dr.T.I.M. Fazlay Rabbi Chowdhury,Gaibandha,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=679,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2031.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
32,2032,Md. Monowar Hossian Chowdhury,Gaibandha,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=680,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2032.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
33,2033,Advocate Md. Fazle Rabbi Miah,Gaibandha,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=681,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2033.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
34,2034,Md. Mozahar Ali Prodhan,Jaipurhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=682,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2034.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
35,2035,Eng. Golam Mostafa,Jaipurhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=683,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2035.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
37,2037,A.K.M. Hafizur Rahman,Bogra,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=685,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2037.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
38,2038,Abdul Momin Talukder,Bogra,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=686,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2038.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
39,2039,Z.I.M. Mostofa Ali,Bogra,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=687,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2039.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
40,2040,Md. Habibar Rahman,Bogra,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=688,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2040.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
41,2041,Barrister Muhammad Jamiruddin Sircar,Bogra,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=689,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2041.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
42,2042,Barrister Moudud Ahmed,Bogra,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=690,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2042.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
43,2043,Brig. General Muhammad Enamul Huq (Retd.),Chapai Nawabganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=691,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2043.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
44,2044,Md. Ziaur Rahman,Chapai Nawabganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=692,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2044.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
46,2046,Sadhan Chandra Mazumder,Naogaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=694,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2046.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
47,2047,Md. Shahiduzzaman Sarker,Naogaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=695,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2047.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
48,2048,Dr. Md. Akram Hossian Chowdhury,Naogaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=696,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2048.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
49,2049,Md. Emaj Uddin Pramanik,Naogaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=697,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2049.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
50,--2050,Md. Abdul Malek,Naogaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/%23%2520index.php?option=com_content&view=article&id=698&Itemid=1209&lang=en,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/--2050.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
51,2051,Md. Israfil Alam,Naogaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=699,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2051.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
52,2052,Omor Faruk Chowdhury,Rajshahi,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=700,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2052.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
53,2053,Fazle Hossain Badsha,Rajshahi,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=701,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2053.jpg,Workers Party of Bangladesh,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
54,2054,Md. Meraj Uddin Mollah,Rajshahi,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=702,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2054.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
55,2055,Eng. Enamul Haque,Rajshahi,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=703,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2055.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
56,2056,Md. Abdul Wadud,Rajshahi,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=704,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2056.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
57,2057,Md. Shahriar Alam,Rajshahi,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=705,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2057.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
58,2058,Md.Abu Talha,Natore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=706,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2058.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
59,2059,Md. Ahad Ali Sarker,Natore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=707,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2059.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
60,2060,Zunaid Ahmed Palak,Natore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=708,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2060.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
61,2061,Md. Abdul Quddus,Natore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=709,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2061.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
62,2062,Tanvir Shakil Joy,Sirajganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=710,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2062.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
63,2063,Rumana Mahmood,sirajganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=711,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2063.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
64,2064,Md. Ishque Hossain Talukder,Sirajganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=712,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2064.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
65,2065,Md. Shafiqul Islam,Sirajganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=713,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2065.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
66,2066,Md. Abdul Latif Biswas,Sirajganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=714,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2066.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
67,2067,Chayan Islam,Sirajganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=715,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2067.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
68,2068,Md. Shamsul Hoque Tuku,Pabna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=716,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2068.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
69,2069,"Abdul Karim Khandakar, Bir Uttam",Pabna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=717,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2069.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
70,2070,Md. Mokbul Hossain,Pabna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=718,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2070.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
71,2071,Shamsur Rahman Sherif,Pabna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=719,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2071.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
72,2072,Golam Faruk Khandakar Prince,Pabna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=720,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2072.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
73,2073,Md.Jainal Abedin,Meherpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=721,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2073.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
74,2074,Md. Amzad Hossain,Meherpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=722,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2074.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
