uuid,female,male,other,skip,total
aa87c4b6-3dd1-4955-911a-92115fd18284,3,0,0,1,4
ac2cec77-5c97-41b1-8221-397b2a9d213a,16,0,0,0,16
ac6883a9-56e8-4f2b-8414-8fd53ac85809,0,5,0,2,7
add0e05c-2dae-418a-8074-7236be5e65f5,0,17,0,0,17
b0df7c54-463c-4e3a-94eb-73f21c135973,0,17,0,0,17
b204fbfd-27cd-47db-a116-f8b7a9902b66,17,0,0,0,17
b3849685-84bb-4a46-84ba-cf165f05a181,0,17,0,0,17
b3e3818b-ca48-4015-85f4-fb888df63c44,5,0,1,1,7
b43d2fbc-1407-4424-b48b-bc8891779aea,0,5,0,1,6
b44283bb-c7be-43e4-bbad-2591123f66ef,0,16,0,0,16
b47d0c42-8277-4e64-94bf-06a3432f9609,15,0,0,0,15
b619c18a-ca4e-4dfd-be00-7a1a656c982a,5,0,0,1,6
b6308bbe-e659-4247-824b-b671aebb55f7,16,0,0,0,16
b767f86f-46ab-48fb-a10c-a2f2732073cc,5,0,0,5,10
b768e423-c87a-4854-98b3-7bfe820c9fd1,5,0,0,1,6
b7956d5e-88d3-4f34-a02d-6221cb80774f,16,0,0,0,16
b7c12053-ba55-488c-abe0-7764dd737711,5,0,0,3,8
b84a7f0a-3c28-4c8d-9565-2486b2ff8eda,17,0,0,0,17
b9a4a1f5-b79c-4681-be95-e5296e27a795,0,6,1,0,7
be0bab07-000a-4779-9076-18beb60d5bf9,0,16,0,0,16
be58b2ac-1a36-4ac8-90b1-615ecd7ef979,16,0,0,0,16
c036962d-4012-4798-904c-5739f5295526,0,16,0,0,16
c25d292e-1303-497c-bf3d-f0ff26e6b082,0,16,1,0,17
c5ef0024-fcde-44eb-938f-eb1f4bc06774,0,16,0,0,16
c7c196e6-8ffa-4514-becd-87656f6b58ff,0,17,0,0,17
c8730814-3a69-43ad-a2c3-e29421946b01,0,16,0,0,16
c89b35d5-3b3d-472f-9b18-c26987c4ec8e,0,15,1,0,16
ca571861-2834-41f5-9a02-9c445829f695,0,15,0,2,17
ca7da72a-ec2b-4f7f-95ab-e5f6720b8412,0,16,0,0,16
ca981c06-7d5f-43d1-baed-e77f09559f49,11,2,0,4,17
caab9c44-c026-4755-95aa-203f97654858,0,16,0,0,16
cb3e631d-634b-4552-a4d1-feb02365edd3,0,16,1,0,17
