name,honorific_prefix,area_id,area,term
Hongkham Souvannavong,Dr,10,Vientiane Province,2016
Houmpheng Inthachak,Lt Col,5,Bokeo Province,2016
Idmany Chanthakhoun,Ms,7,Xayabouly province,2016
Kedmani Bandasack,Ms,1,Vientiane Capital,2016
Keson Sengyavong,Ms,3,Luangnamtha Province,2016
Ketkeo Sihalath,Dr,13,Savannakhet Province,2016
Khambai Khadtiya,Ms,15,Champasak Province,2016
Khambong Khonesavanh,Mr,10,Vientiane Province,2016
Khamchan Sotapaseth,Mr,18,Xaysomboun Province,2016
Khamchomphou Silitham,Dr,5,Bokeo Province,2016
Khamdeng Silavong,Mr,18,Xaysomboun Province,2016
Khamfong Phoumvongxay,Ms,1,Vientiane Capital,2016
Khamkhen Oudtama,Col,10,Vientiane Province,2016
Khamlar Lienpadith,Mr,6,Luangprabang Province,2016
Khamlar Philatom,Mr,3,Luangnamtha Province,2016
Khamphan Khounsavath,Mr,13,Savannakhet Province,2016
Khamphang Kongchanseng,Police Brigadier General,10,Vientiane Province,2016
Khampheng Vilaphan,Mr,6,Luangprabang Province,2016
Khampheng Vilaythong,Ms,13,Savannakhet Province,2016
Khamphet Manivong,Dr,12,Khammouane Province,2016
Khampheuy Phanthachone,Dr,13,Savannakhet Province,2016
Khampheuy Vongsakhamphoui,Mr,1,Vientiane Capital,2016
Khamphone Phimmachan,Ms,4,Oudomxay Province,2016
Khamphong Vichit,Colonel,4,Oudomxay Province,2016
Khamsai Phandanouvong,General,11,Bolikhamxay Province,2016
Khamsaphone Xayyavong,Mr,4,Oudomxay Province,2016
Khamsi Piengvorlavong,Mr,15,Champasak Province,2016
Khamsouk Bounyavong,Mr,2,Phongsaly Province,2016
Khamsouk Vi-inthavong,Colonel,7,Xayabouly province,2016
Khamtai Keoduangdi,Mr,15,Champasak Province,2016
Khamvone Bounthavong,Mr,8,Houaphanh Province,2016
Khenthong Nuanthasing,Mr,5,Bokeo Province,2016
Kongchi Yangchue,Mr,2,Phongsaly Province,2016
Kongphet Keobuapha,Mr,3,Luangnamtha Province,2016
Leeber Leebuapao,Dr,11,Bolikhamxay Province,2016
Let Xayyaphone,Mr,17,Attapue Province,2016
Linkham Duangsavanh,Vice-Prof Dr,1,Vientiane Capital,2016
Lom Phengsouk,Mr,11,Bolikhamxay Province,2016
Maisi Viengvilay,Dr,9,Xiengkhouang Province,2016
Maniso Samonty,Mr,17,Attapue Province,2016
Manivanh Yearpaoher,Ms,8,Houaphanh Province,2016
Manivong Saenlath,Mr,15,Champasak Province,2016
Meksavanh Phomphithak,Mr,15,Champasak Province,2016
Ouan Phommachak,Mr,7,Xayabouly province,2016
Paenkham Bouchanpheng,Lt Col,6,Luangprabang Province,2016
Pan Noymany,Mr,4,Oudomxay Province,2016
Pany Yathotou,Ms,6,Luangprabang Province,2016
Phavanh Bualuanglath,Ms,13,Savannakhet Province,2016
Phek Ondavong,Mr,7,Xayabouly province,2016
Phetkeo Heuangpanya,Mr,17,Attapue Province,2016
Phonemany Kienxayyavong,Ms,17,Attapue Province,2016
Phonephet Boubpha,Dr,1,Vientiane Capital,2016
Phonephet Khiewlavong,Mr,16,Xekong Province,2016
Phongsane Nyutitham,Mr,15,Champasak Province,2016
Phout Simmalavong,Vice-Prof Dr,1,Vientiane Capital,2016
Pingkham Lasasimma,Ms,15,Champasak Province,2016
Poumi Vandixay,Police Brigadier General,18,Xaysomboun Province,2016
Prachit Xayyavong,Mr,1,Vientiane Capital,2016
Saisamone Inthisaen,Mr,14,Saravan Province,2016
Saisamone Khomthavong,Mr,6,Luangprabang Province,2016
Saithong Keoduangdy,Mr,1,Vientiane Capital,2016
Saithong Xayyavong,Mr,15,Champasak Province,2016
Savanhkhone Lasamonti,Mr,14,Saravan Province,2016
Sengkham Songsana,Ms,9,Xiengkhouang Province,2016
Sengnoun Xayyalath,Lt Col,13,Savannakhet Province,2016
Sengsuvan Suyphasith,Ms,15,Champasak Province,2016
Sikhay Sipaseuth,Ms,11,Bolikhamxay Province,2016
Sinnava Souphanuvong,Dr,6,Luangprabang Province,2016
Siriphone Souphanthong,Ms,6,Luangprabang Province,2016
Somchai Phetsinoun,Mr,12,Khammouane Province,2016
Somchan Chitvongdeuan,Ms,4,Oudomxay Province,2016
Somchan Singthabouth,Ms,1,Vientiane Capital,2016
Somdy Keodalavin,Mr,10,Vientiane Province,2016
Somlet Chounlamany,Mr,14,Saravan Province,2016
Somlith Pueakkeo,Dr,7,Xayabouly province,2016
Somlith Siphavanh,Mr,5,Bokeo Province,2016
Somphanh Phaengkhammy,Mr,3,Luangnamtha Province,2016
Somphet Inthathilath,Mr,13,Savannakhet Province,2016
Somphone Sitthisombath,Lt Col,13,Savannakhet Province,2016
Somphou Douangsavanh,Dr,10,Vientiane Province,2016
Somxay Sihachak,Dr,15,Champasak Province,2016
Souksavanh Saysombath,Dr,13,Savannakhet Province,2016
Souksavanh Vilayvong,Dr,15,Champasak Province,2016
Sounthai Xayyaseng,Ms,14,Saravan Province,2016
Souvanhni Xaysana,Dr,11,Bolikhamxay Province,2016
Souvanpheng Bouphanouvong,Dr,13,Savannakhet Province,2016
Suansavanh Viyaket,Ms,14,Saravan Province,2016
Suayphet Thongsombat,Ms,8,Houaphanh Province,2016
Suban Savabud,Mr,15,Champasak Province,2016
Sunya Praseth,Mr,13,Savannakhet Province,2016
Sysai Leudethmounsone,Ms,11,Bolikhamxay Province,2016
Thanta Kongpaly,Mr,8,Houaphanh Province,2016
Thatsadaphone Saengsouliya,Ms,15,Champasak Province,2016
Thavisai Phasathan,Ms,15,Champasak Province,2016
Theo-ngen Samonty,Ms,10,Vientiane Province,2016
Thipphachan Phoxay,Mr,12,Khammouane Province,2016
Thongchan Manixay,Mr,6,Luangprabang Province,2016
Thongdi Chanthavong,Mr,14,Saravan Province,2016
Thongsalid Mangnormek,Vice-Prof Dr,1,Vientiane Capital,2016
Valy Vetsaphong,Ms,1,Vientiane Capital,2016
Vanhkham Inthichak,Mr,13,Savannakhet Province,2016
Vanhthone Sonthavong,Lt Col,9,Xiengkhouang Province,2016
Vanpheng Keonakhone,Ms,9,Xiengkhouang Province,2016
Viengmany Chanthanasin,Ms,12,Khammouane Province,2016
Viengthavisone Thepphachan,Mr,13,Savannakhet Province,2016
Vienvilay Deelaphan,Ms,6,Luangprabang Province,2016
Vilaivong Boutdakham,Dr,16,Xekong Province,2016
Vilaysouk Phimmasone,Mr,9,Xiengkhouang Province,2016
Vixay Thorphialuang,Lt Col,18,Xaysomboun Province,2016
Vongsavanh Xayyavong,Dr,4,Oudomxay Province,2016
Xayphon Khounsiiliheuang,Mr,3,Luangnamtha Province,2016
Xaysomphone Phomvihane,Dr,1,Vientiane Capital,2016
Xaysomseun Phothisan,Ms,13,Savannakhet Province,2016
