id,name,gender,faction,area,term,name__ja,name__ja_hira,faction__ja,area__ja,id
021,"ASO Taro",male,LDP,"Fukuoka 8th District",47,"麻生 太郎君","あそう たろう","自民","福岡8",
005,"AZUMI Jun",male,DP,"Miyagi 5th District",47,"安住 淳君","あずみ じゅん","民進","宮城5",
340,"BABA Nobuyuki",male,JIP,"Osaka 17th District",47,"馬場 伸幸君","ばば のぶゆき","維新","大阪17",
356,"BANNO Yutaka",male,DP,"Tokai Bloc",47,"伴野 豊君","ばんの ゆたか","民進","（比）東海",
294,"DOI Toru",male,LDP,"Miyagi 1st District",47,"土井 亨君","どい とおる","自民","宮城1",
071,"EDA Kenji",male,DP,"Kanagawa 8th District",47,"江田 憲司君","えだ けんじ","民進","神奈川8",
072,"EDA Yasuyuki",male,KM,"Kyushu Bloc",47,"江田 康幸君","えだ やすゆき","公明","（比）九州",
076,"EDANO Yukio",male,DP,"Saitama 5th District",47,"枝野 幸男君","えだの ゆきお","民進","埼玉5",
077,"ENDO Takashi",male,JIP,"Osaka 18th District",47,"遠藤 敬君","えんどう たかし","維新","大阪18",
078,"ENDO Toshiaki",male,LDP,"Yamagata 1st District",47,"遠藤 利明君","えんどう としあき","自民","山形1",
070,"ESAKI Tetsuma",male,LDP,"Aichi 10th District",47,"江崎 鐵磨君","えさき てつま","自民","愛知10",
073,"ETO Akinori",male,LDP,"Aomori 2nd District",47,"江渡 聡徳君","えと あきのり","自民","青森2",
075,"ETO Seishiro",male,LDP,"Oita 2nd District",47,"衛藤 征士郎君","えとう せいしろう","自民","大分2",
074,"ETO Taku",male,LDP,"Miyazaki 2nd District",47,"江藤 拓君","えとう たく","自民","宮崎2",
370,"FUJII Hisayuki",male,LDP,"Hyogo 4th District",47,"藤井 比早之君","ふじい ひさゆき","自民","兵庫4",
372,"FUJIMARU Satoshi",male,LDP,"Fukuoka 7th District",47,"藤丸 敏君","ふじまる さとし","自民","福岡7",
371,"FUJINO Yasufumi",male,JCP,"Hokuriku-Shinetsu Bloc",47,"藤野 保史君","ふじの やすふみ","共産","（比）北陸信越",
373,"FUJIWARA Takashi",male,LDP,"Tohoku Bloc",47,"藤原 崇君","ふじわら たかし","自民","（比）東北",
367,"FUKUDA Akio",male,DP,"Tochigi 2nd District",47,"福田 昭夫君","ふくだ あきお","民進","栃木2",
364,"FUKUDA Mineyuki",male,LDP,"Minami Kanto Bloc",47,"ふくだ 峰之君","ふくだ みねゆき","自民","（比）南関東",
368,"FUKUDA Tatsuo",male,LDP,"Gumma 4th District",47,"福田 達夫君","ふくだ たつお","自民","群馬4",
365,"FUKUI Teru",male,LDP,"Shikoku Bloc",47,"福井 照君","ふくい てる","自民","（比）四国",
366,"FUKUSHIMA Nobuyuki",male,DP,"Kita Kanto Bloc",47,"福島 伸享君","ふくしま のぶゆき","民進","（比）北関東",
369,"FUKUYAMA Mamoru",male,LDP,"Shikoku Bloc",47,"福山 守君","ふくやま まもる","自民","（比）四国",
374,"FUNADA Hajime",male,LDP,"Tochigi 1st District",47,"船田 元君","ふなだ はじめ","自民","栃木1",
375,"FURUKAWA Motohisa",male,DP,"Aichi 2nd District",47,"古川 元久君","ふるかわ もとひさ","民進","愛知2",
376,"FURUKAWA Yasushi",male,LDP,"Saga 2nd District",47,"古川 康君","ふるかわ やすし","自民","佐賀2",
377,"FURUKAWA Yoshihisa",male,LDP,"Miyazaki 3rd District",47,"古川 禎久君","ふるかわ よしひさ","自民","宮崎3",
379,"FURUMOTO Shinichiro",male,DP,"Aichi 11th District",47,"古本 伸一郎君","ふるもと しんいちろう","民進","愛知11",
378,"FURUTA Keiichi",male,LDP,"Chugoku Bloc",47,"古田 圭一君","ふるた けいいち","自民","（比）中国",
380,"FURUYA Keiji",male,LDP,"Gifu 5th District",47,"古屋 圭司君","ふるや けいじ","自民","岐阜5",
381,"FURUYA Noriko",female,KM,"Minami Kanto Bloc",47,"古屋 範子君","ふるや のりこ","公明","（比）南関東",
172,"GEMBA Koichiro",male,DP,"Fukushima 3rd District",47,"玄葉 光一郎君","げんば こういちろう","民進","福島3",
183,"GOTO Shigeyuki",male,LDP,"Nagano 4th District",47,"後藤 茂之君","ごとう しげゆき","自民","長野4",
184,"GOTO Yuichi",male,DP,"Kanagawa 16th District",47,"後藤 祐一君","ごとう ゆういち","民進","神奈川16",
185,"GOTODA Masazumi",male,LDP,"Tokushima 1st District",47,"後藤田 正純君","ごとうだ まさずみ","自民","徳島1",
341,"HAGIUDA Koichi",male,LDP,"Tokyo 24th District",47,"萩生田 光一君","はぎうだ こういち","自民","東京24",
350,"HAMACHI Masakazu",male,KM,"Kyushu Bloc",47,"浜地 雅一君","はまち まさかず","公明","（比）九州",
349,"HAMADA Yasukazu",male,LDP,"Chiba 12th District",47,"浜田 靖一君","はまだ やすかず","自民","千葉12",
351,"HAMAMURA Susumu",male,KM,"Kinki Bloc",47,"濱村 進君","はまむら すすむ","公明","（比）近畿",
339,"HANASHI Yasuhiro",male,LDP,"Ibaraki 3rd District",47,"葉梨 康弘君","はなし やすひろ","自民","茨城3",
354,"HARADA Kenji",male,LDP,"Osaka 9th District",47,"原田 憲治君","はらだ けんじ","自民","大阪9",
355,"HARADA Yoshiaki",male,LDP,"Fukuoka 5th District",47,"原田 義昭君","はらだ よしあき","自民","福岡5",
353,"HARAGUCHI Kazuhiro",male,DP,"Saga 1st District",47,"原口 一博君","はらぐち かずひろ","民進","佐賀1",
344,"HASE Hiroshi",male,LDP,"Ishikawa 1st District",47,"馳 浩君","はせ ひろし","自民","石川1",
342,"HASHIMOTO Gaku",male,LDP,"Okayama 4th District",47,"橋本 岳君","はしもと がく","自民","岡山4",
343,"HASHIMOTO Hidenori",male,LDP,"Tohoku Bloc",47,"橋本 英教君","はしもと ひでのり","自民","（比）東北",
345,"HATANO Kimie",female,JCP,"Minami Kanto Bloc",47,"畑野 君枝君","はたの きみえ","共産","（比）南関東",
346,"HATAYAMA Kazuya",male,JCP,"Hokkaido Bloc",47,"畠山 和也君","はたやま かずや","共産","（比）北海道",
506,"HATOYAMA Jiro",male,LDP,"Fukuoka 6th District",47,"鳩山 二郎君","はとやま じろう","自民","福岡6",
347,"HATSUSHIKA Akihiro",male,DP,"Tokyo Bloc",47,"初鹿 明博君","はつしか あきひろ","民進","（比）東京都",
352,"HAYASHI Motoo",male,LDP,"Chiba 10th District",47,"林 幹雄君","はやし もとお","自民","千葉10",
357,"HIGA Natsumi",female,LDP,"Kyushu Bloc",47,"比嘉 奈津美君","ひが なつみ","自民","（比）九州",
358,"HIGUCHI Naoya",male,KM,"Kinki Bloc",47,"樋口 尚也君","ひぐち なおや","公明","（比）近畿",
360,"HIRAGUCHI Hiroshi",male,LDP,"Hiroshima 2nd District",47,"平口 洋君","ひらぐち ひろし","自民","広島2",
359,"HIRAI Takuya",male,LDP,"Kagawa 1st District",47,"平井 たくや君","ひらい たくや","自民","香川1",
363,"HIRANO Hirofumi",male,DP,"Kinki Bloc",47,"平野 博文君","ひらの ひろふみ","民進","（比）近畿",
362,"HIRANUMA Takeo",male,LDP,"Okayama 3rd District",47,"平沼 赳夫君","ひらぬま たけお","自民","岡山3",
361,"HIRASAWA Katsuei",male,LDP,"Tokyo 17th District",47,"平沢 勝栄君","ひらさわ かつえい","自民","東京17",
386,"HORII Manabu",male,LDP,"Hokkaido 9th District",47,"堀井 学君","ほりい まなぶ","自民","北海道9",
388,"HORIUCHI Noriko",female,LDP,"Minami Kanto Bloc",47,"堀内 詔子君","ほりうち のりこ","自民","（比）南関東",
387,"HORIUCHI Terufumi",male,JCP,"Kinki Bloc",47,"堀内 照文君","ほりうち てるふみ","共産","（比）近畿",
382,"HOSHINO Tsuyoshi",male,LDP,"Kanagawa 12th District",47,"星野 剛士君","ほしの つよし","自民","神奈川12",
384,"HOSODA Hiroyuki",male,LDP,"Shimane 1st District",47,"細田 博之君","ほそだ ひろゆき","自民","島根1",
383,"HOSODA Kenichi",male,LDP,"Niigata 2nd District",47,"細田 健一君","ほそだ けんいち","自民","新潟2",
385,"HOSONO Goshi",male,DP,"Shizuoka 5th District",47,"細野 豪志君","ほその ごうし","民進","静岡5",
033,"IBAYASHI Tatsunori",male,LDP,"Shizuoka 2nd District",47,"井林 辰憲君","いばやし たつのり","自民","静岡2",
041,"IBUKI Bunmei",male,LDP,"Kyoto 1st District",47,"伊吹 文明君","いぶき ぶんめい","自民","京都1",
027,"IDE Yosei",male,DP,"Nagano 3rd District",47,"井出 庸生君","いで ようせい","民進","長野3",
043,"IKEDA Michitaka",male,LDP,"Chugoku Bloc",47,"池田 道孝君","いけだ みちたか","自民","（比）中国",
044,"IKEDA Yoshitaka",male,LDP,"Tokai Bloc",47,"池田 佳隆君","いけだ よしたか","自民","（比）東海",
042,"IKEUCHI Saori",female,JCP,"Tokyo Bloc",47,"池内 さおり君","いけうち さおり","共産","（比）東京都",
058,"IMAEDA Soichiro",male,LDP,"Aichi 14th District",47,"今枝 宗一郎君","いまえだ そういちろう","自民","愛知14",
057,"IMAI Masato",male,DP,"Tokai Bloc",47,"今井 雅人君","いまい まさと","民進","（比）東海",
060,"IMAMURA Masahiro",male,LDP,"Kyushu Bloc",47,"今村 雅弘君","いまむら まさひろ","自民","（比）九州",
059,"IMAZU Hiroshi",male,LDP,"Hokkaido Bloc",47,"今津 寛君","いまず ひろし","自民","（比）北海道",
055,"INADA Tomomi",female,LDP,"Fukui 1st District",47,"稲田 朋美君","いなだ ともみ","自民","福井1",
056,"INATSU Hisashi",male,KM,"Hokkaido 10th District",47,"稲津 久君","いなつ ひさし","公明","北海道10",
028,"INO Toshiro",male,LDP,"Gumma 2nd District",47,"井野 俊郎君","いの としろう","自民","群馬2",
031,"INOUE Hidetaka",male,JIP,"Osaka 1st District",47,"井上 英孝君","いのうえ ひでたか","維新","大阪1",
029,"INOUE Shinji",male,LDP,"Tokyo 25th District",47,"井上 信治君","いのうえ しんじ","自民","東京25",
030,"INOUE Takahiro",male,LDP,"Fukuoka 1st District",47,"井上 貴博君","いのうえ たかひろ","自民","福岡1",
032,"INOUE Yoshihisa",male,KM,"Tohoku Bloc",47,"井上 義久君","いのうえ よしひさ","公明","（比）東北",
034,"ISA Shinichi",male,KM,"Osaka 6th District",47,"伊佐 進一君","いさ しんいち","公明","大阪6",
026,"ISAKA Nobuhiko",male,DP,"Hyogo 1st District",47,"井坂 信彦君","いさか のぶひこ","民進","兵庫1",
051,"ISHIBA Shigeru",male,LDP,"Tottori 1st District",47,"石破 茂君","いしば しげる","自民","鳥取1",
050,"ISHIDA Masatoshi",male,LDP,"Wakayama 2nd District",47,"石田 真敏君","いしだ まさとし","自民","和歌山2",
049,"ISHIDA Noritoshi",male,KM,"Shikoku Bloc",47,"石田 祝稔君","いしだ のりとし","公明","（比）四国",
053,"ISHIHARA Hirotaka",male,LDP,"Tokyo 3rd District",47,"石原 宏高君","いしはら ひろたか","自民","東京3",
052,"ISHIHARA Nobuteru",male,LDP,"Tokyo 8th District",47,"石原 伸晃君","いしはら のぶてる","自民","東京8",
045,"ISHII Keiichi",male,KM,"Kita Kanto Bloc",47,"石井 啓一君","いしい けいいち","公明","（比）北関東",
046,"ISHIKAWA Akimasa",male,LDP,"Kita Kanto Bloc",47,"石川 昭政君","いしかわ あきまさ","自民","（比）北関東",
047,"ISHIZAKI Toru",male,LDP,"Niigata 1st District",47,"石崎 徹君","いしざき とおる","自民","新潟1",
048,"ISHIZEKI Takashi",male,DP,"Kita Kanto Bloc",47,"石関 貴史君","いしぜき たかし","民進","（比）北関東",
035,"ITO Nobuhisa",male,JIP,"Kinki Bloc",47,"伊東 信久君","いとう のぶひさ","維新","（比）近畿",
037,"ITO Shintaro",male,LDP,"Miyagi 4th District",47,"伊藤 信太郎君","いとう しんたろう","自民","宮城4",
038,"ITO Tadahiko",male,LDP,"Aichi 8th District",47,"伊藤 忠彦君","いとう ただひこ","自民","愛知8",
039,"ITO Tatsuya",male,LDP,"Tokyo 22nd District",47,"伊藤 達也君","いとう たつや","自民","東京22",
040,"ITO Wataru",male,KM,"Tokai Bloc",47,"伊藤 渉君","いとう わたる","公明","（比）東海",
036,"ITO Yoshitaka",male,LDP,"Hokkaido 7th District",47,"伊東 良孝君","いとう よしたか","自民","北海道7",
061,"IWATA Kazuchika",male,LDP,"Kyushu Bloc",47,"岩田 和親君","いわた かずちか","自民","（比）九州",
062,"IWAYA Takeshi",male,LDP,"Oita 3rd District",47,"岩屋 毅君","いわや たけし","自民","大分3",
503,"IZUMI Kenta",male,DP,"Kyoto 3rd District",47,"泉 健太君","いずみ けんた","民進","京都3",
127,"KADO Hirofumi",male,LDP,"Kinki Bloc",47,"門 博文君","かど ひろふみ","自民","（比）近畿",
128,"KADOYAMA Hiroaki",male,LDP,"Minami Kanto Bloc",47,"門山 宏哲君","かどやま ひろあき","自民","（比）南関東",
124,"KAJIYAMA Hiroshi",male,LDP,"Ibaraki 4th District",47,"梶山 弘志君","かじやま ひろし","自民","茨城4",
122,"KAKIZAWA Mito",male,DP,"Tokyo 15th District",47,"柿沢 未途君","かきざわ みと","民進","東京15",
139,"KAMEI Shizuka",male,Ind,"Hiroshima 6th District",47,"亀井 静香君","かめい しずか","無","広島6",
140,"KAMEOKA Yoshitami",male,LDP,"Fukushima 1st District",47,"亀岡 偉民君","かめおか よしたみ","自民","福島1",
135,"KAMIKAWA Yoko",female,LDP,"Shizuoka 1st District",47,"上川 陽子君","かみかわ ようこ","自民","静岡1",
136,"KAMITANI Noboru",male,LDP,"Kinki Bloc",47,"神谷 昇君","かみたに のぼる","自民","（比）近畿",
137,"KAMIYAMA Saichi",male,LDP,"Saitama 7th District",47,"神山 佐市君","かみやま さいち","自民","埼玉7",
138,"KAMIYAMA Yosuke",male,DP,"Minami Kanto Bloc",47,"神山 洋介君","かみやま ようすけ","民進","（比）南関東",
141,"KAMOSHITA Ichiro",male,LDP,"Tokyo 13th District",47,"鴨下 一郎君","かもした いちろう","自民","東京13",
147,"KAN Naoto",male,DP,"Tokyo Bloc",47,"菅 直人君","かん なおと","民進","（比）東京都",
146,"KANDA Kenji",male,LDP,"Tokai Bloc",47,"神田 憲次君","かんだ けんじ","自民","（比）東海",
134,"KANEDA Katsutoshi",male,LDP,"Akita 2nd District",47,"金田 勝年君","かねだ かつとし","自民","秋田2",
129,"KANEKO Emi",female,DP,"Tohoku Bloc",47,"金子 恵美君","かねこ えみ","民進","（比）東北",
130,"KANEKO Kazuyoshi",male,LDP,"Gifu 4th District",47,"金子 一義君","かねこ かずよし","自民","岐阜4",
131,"KANEKO Masuo",male,LDP,"Kagoshima 2nd District",47,"金子 万寿夫君","かねこ ますお","自民","鹿児島2",
132,"KANEKO Megumi",female,LDP,"Niigata 4th District",47,"金子 めぐみ君","かねこ めぐみ","自民","新潟4",
133,"KANEKO Yasushi",male,LDP,"Kumamoto 5th District",47,"金子 恭之君","かねこ やすし","自民","熊本5",
148,"KANKE Ichiro",male,LDP,"Tohoku Bloc",47,"菅家 一郎君","かんけ いちろう","自民","（比）東北",
123,"KASAI Akira",male,JCP,"Tokyo Bloc",47,"笠井 亮君","かさい あきら","共産","（比）東京都",
119,"KATO Ayuko",female,LDP,"Yamagata 3rd District",47,"加藤 鮎子君","かとう あゆこ","自民","山形3",
121,"KATO Kanji",male,LDP,"Nagasaki 2nd District",47,"加藤 寛治君","かとう かんじ","自民","長崎2",
120,"KATO Katsunobu",male,LDP,"Okayama 5th District",47,"加藤 勝信君","かとう かつのぶ","自民","岡山5",
126,"KATSUMATA Takaaki",male,LDP,"Tokai Bloc",47,"勝俣 孝明君","かつまた たかあき","自民","（比）東海",
125,"KATSUNUMA Shigeaki",male,LDP,"Tohoku Bloc",47,"勝沼 栄明君","かつぬま しげあき","自民","（比）東北",
002,"KAWABATA Tatsuo",male,Ind,"Kyushu Bloc",47,"川端 達夫君","かわばた たつお","無","（比）近畿",
143,"KAWAI Katsuyuki",male,LDP,"Kinki Bloc",47,"河井 克行君","かわい かつゆき","自民","広島3",
145,"KAWAMURA Takeo",male,LDP,"Yamaguchi 3rd District",47,"河村 建夫君","かわむら たけお","自民","山口3",
144,"KAWANO Masami",male,JIP,"Hiroshima 3rd District",47,"河野 正美君","かわの まさみ","維新","（比）九州",
142,"KAWASAKI Jiro",male,LDP,"Mie 1st District",47,"川崎 二郎君","かわさき じろう","自民","三重1",
153,"KIHARA Minoru",male,LDP,"Kumamoto 1st District",47,"木原 稔君","きはら みのる","自民","熊本1",
152,"KIHARA Seiji",male,LDP,"Tokyo 20th District",47,"木原 誠二君","きはら せいじ","自民","東京20",
159,"KIKAWADA Hitoshi",male,LDP,"Saitama 3rd District",47,"黄川田 仁志君","きかわだ ひとし","自民","埼玉3",
158,"KIKAWADA Toru",male,DP,"Iwate 3rd District",47,"黄川田 徹君","きかわだ とおる","民進","岩手3",
160,"KIKUTA Makiko",female,DP,"Hokuriku-Shinetsu Bloc",47,"菊田 真紀子君","きくた まきこ","民進","（比）北陸信越",
154,"KIMURA Taro",male,LDP,"Aomori 4th District",47,"木村 太郎君","きむら たろう","自民","青森4",
155,"KIMURA Yayoi",female,LDP,"Kita Kanto Bloc",47,"木村 弥生君","きむら やよい","自民","（比）北関東",
151,"KINOSHITA Tomohiko",male,JIP,"Kinki Bloc",47,"木下 智彦君","きのした ともひこ","維新","（比）近畿",
156,"KIRA Shuji",male,DP,"Oita 1st District",47,"吉良 州司君","きら しゅうじ","民進","大分1",
161,"KISHI Nobuo",male,LDP,"Yamaguchi 2nd District",47,"岸 信夫君","きし のぶお","自民","山口2",
162,"KISHIDA Fumio",male,LDP,"Hiroshima 1st District",47,"岸田 文雄君","きしだ ふみお","自民","広島1",
163,"KISHIMOTO Shuhei",male,DP,"Wakayama 1st District",47,"岸本 周平君","きしもと しゅうへい","民進","和歌山1",
502,"KITAGAMI Keiro",male,DP,"Kinki Bloc",47,"北神 圭朗君","きたがみ けいろう","民進","（比）近畿",
165,"KITAGAWA Kazuo",male,KM,"Osaka 16th District",47,"北側 一雄君","きたがわ かずお","公明","大阪16",
164,"KITAGAWA Tomokatsu",male,LDP,"Osaka 12th District",47,"北川 知克君","きたがわ ともかつ","自民","大阪12",
167,"KITAMURA Seigo",male,LDP,"Nagasaki 4th District",47,"北村 誠吾君","きたむら せいご","自民","長崎4",
166,"KITAMURA Shigeo",male,LDP,"Ishikawa 3rd District",47,"北村 茂男君","きたむら しげお","自民","石川3",
150,"KIUCHI Hitoshi",male,LDP,"Hokuriku-Shinetsu Bloc",47,"木内 均君","きうち ひとし","自民","（比）北陸信越",
157,"KIUCHI Minoru",male,LDP,"Shizuoka 7th District",47,"城内 実君","きうち みのる","自民","静岡7",
149,"KIUCHI Takatane",male,DP,"Tokyo Bloc",47,"木内 孝胤君","きうち たかたね","民進","（比）東京都",
178,"KOBAYASHI Fumiaki",male,LDP,"Hiroshima 7th District",47,"小林 史明君","こばやし ふみあき","自民","広島7",
177,"KOBAYASHI Takayuki",male,LDP,"Chiba 2nd District",47,"小林 鷹之君","こばやし たかゆき","自民","千葉2",
182,"KOGA Atsushi",male,LDP,"Fukuoka 3rd District",47,"古賀 篤君","こが あつし","自民","福岡3",
175,"KOIZUMI Ryuji",male,Ind,"Saitama 11th District",47,"小泉 龍司君","こいずみ りゅうじ","無","埼玉11",
174,"KOIZUMI Shinjiro",male,LDP,"Kanagawa 11th District",47,"小泉 進次郎君","こいずみ しんじろう","自民","神奈川11",
176,"KOJIMA Toshifumi",male,LDP,"Chugoku Bloc",47,"小島 敏文君","こじま としふみ","自民","（比）中国",
189,"KOKUBA Konosuke",male,LDP,"Kyushu Bloc",47,"國場 幸之助君","こくば こうのすけ","自民","（比）九州",
190,"KOKUTA Keiji",male,JCP,"Kinki Bloc",47,"穀田 恵二君","こくた けいじ","共産","（比）近畿",
179,"KOMATSU Yutaka",male,LDP,"Hokuriku-Shinetsu Bloc",47,"小松 裕君","こまつ ゆたか","自民","（比）北陸信越",
180,"KOMIYAMA Yasuko",female,DP,"Kita Kanto Bloc",47,"小宮山 泰子君","こみやま やすこ","民進","（比）北関東",
187,"KOMURA Masahiko",male,LDP,"Yamaguchi 1st District",47,"高村 正彦君","こうむら まさひこ","自民","山口1",
193,"KONDO Shoichi",male,DP,"Aichi 3rd District",47,"近藤 昭一君","こんどう しょういち","民進","愛知3",
194,"KONDO Yosuke",male,DP,"Tohoku Bloc",47,"近藤 洋介君","こんどう ようすけ","民進","（比）東北",
192,"KONNO Tomohiro",male,LDP,"Kita Kanto Bloc",47,"今野 智博君","こんの ともひろ","自民","（比）北関東",
186,"KONO Taro",male,LDP,"Kanagawa 15th District",47,"河野 太郎君","こうの たろう","自民","神奈川15",
188,"KORI Kazuko",female,DP,"Tohoku Bloc",47,"郡 和子君","こおり かずこ","民進","（比）東北",
191,"KOSHIMIZU Keiichi",male,KM,"Kita Kanto Bloc",47,"輿水 恵一君","こしみず けいいち","公明","（比）北関東",
181,"KOYAMA Nobuhiro",male,DP,"Tokai Bloc",47,"小山 展弘君","こやま のぶひろ","民進","（比）東海",
168,"KUDO Shozo",male,LDP,"Aichi 4th District",47,"工藤 彰三君","くどう しょうぞう","自民","愛知4",
170,"KUMADA Hiromichi",male,LDP,"Aichi 1st District",47,"熊田 裕通君","くまだ ひろみち","自民","愛知1",
169,"KUNISHIGE Toru",male,KM,"Osaka 5th District",47,"國重 徹君","くにしげ とおる","公明","大阪5",
171,"KUROIWA Takahiro",male,DP,"Niigata 3rd District",47,"黒岩 宇洋君","くろいわ たかひろ","民進","新潟3",
391,"MABUCHI Sumio",male,DP,"Nara 1st District",47,"馬淵 澄夫君","まぶち すみお","民進","奈良1",
393,"MAEDA Kazuo",male,LDP,"Hokkaido Bloc",47,"前田 一男君","まえだ かずお","自民","（比）北海道",
394,"MAEHARA Seiji",male,DP,"Kyoto 2nd District",47,"前原 誠司君","まえはら せいじ","民進","京都2",
392,"MAEKAWA Megumi",female,LDP,"Tokyo Bloc",47,"前川 恵君","まえかわ めぐみ","自民","（比）東京都",
389,"MAJIMA Shozo",male,JCP,"Kyushu Bloc",47,"真島 省三君","まじま しょうぞう","共産","（比）九州",
395,"MAKI Yoshio",male,DP,"Tokai Bloc",47,"牧 義夫君","まき よしお","民進","（比）東海",
397,"MAKIHARA Hideki",male,LDP,"Kita Kanto Bloc",47,"牧原 秀樹君","まきはら ひでき","自民","（比）北関東",
396,"MAKISHIMA Karen",female,LDP,"Kanagawa 17th District",47,"牧島 かれん君","まきしま かれん","自民","神奈川17",
411,"MARUYAMA Hodaka",male,JIP,"Osaka 19th District",47,"丸山 穂高君","まるやま ほだか","維新","大阪19",
398,"MASUTA Sekio",male,DP,"Tohoku Bloc",47,"升田 世喜男君","ますた せきお","民進","（比）東北",
399,"MASUYA Keigo",male,KM,"Chugoku Bloc",47,"桝屋 敬悟君","ますや けいご","公明","（比）中国",
406,"MATSUBARA Jin",male,DP,"Tokyo Bloc",47,"松原 仁君","まつばら じん","民進","（比）東京都",
402,"MATSUDA Naohisa",male,DP,"Tokai Bloc",47,"松田 直久君","まつだ なおひさ","民進","（比）東海",
400,"MATSUKI Kenko",male,DP,"Hokkaido Bloc",47,"松木けんこう君","まつき けんこう","民進","（比）北海道",
409,"MATSUMOTO Fumiaki",male,LDP,"Tokyo Bloc",47,"松本 文明君","まつもと ふみあき","自民","（比）東京都",
407,"MATSUMOTO Jun",male,LDP,"Kanagawa 1st District",47,"松本 純君","まつもと じゅん","自民","神奈川1",
408,"MATSUMOTO Takeaki",male,LDP,"Hyogo 11th District",47,"松本 剛明君","まつもと たけあき","自民","兵庫11",
410,"MATSUMOTO Yohei",male,LDP,"Tokyo 19th District",47,"松本 洋平君","まつもと ようへい","自民","東京19",
403,"MATSUNAMI Kenta",male,JIP,"Kinki Bloc",47,"松浪 健太君","まつなみ けんた","維新","（比）近畿",
404,"MATSUNO Hirokazu",male,LDP,"Chiba 3rd District",47,"松野 博一君","まつの ひろかず","自民","千葉3",
405,"MATSUNO Yorihisa",male,DP,"Kyushu Bloc",47,"松野 頼久君","まつの よりひさ","民進","（比）九州",
401,"MATSUSHIMA Midori",female,LDP,"Tokyo 14th District",47,"松島 みどり君","まつしま みどり","自民","東京14",
390,"MAYAMA Yuichi",male,KM,"Tohoku Bloc",47,"真山 祐一君","まやま ゆういち","公明","（比）東北",
414,"MIHARA Asahiko",male,LDP,"Fukuoka 9th District",47,"三原 朝彦君","みはら あさひこ","自民","福岡9",
416,"MINORIKAWA Nobuhide",male,LDP,"Akita 3rd District",47,"御法川 信英君","みのりかわ のぶひで","自民","秋田3",
415,"MITO Masashi",male,DP,"Minami Kanto Bloc",47,"水戸 将史君","みと まさし","民進","（比）南関東",
412,"MITSUBAYASHI Hiromi",male,LDP,"Saitama 14th District",47,"三ッ林 裕巳君","みつばやし ひろみ","自民","埼玉14",
413,"MITSUYA Norio",male,LDP,"Mie 5th District",47,"三ッ矢 憲生君","みつや のりお","自民","三重5",
418,"MIYAGAWA Noriko",female,LDP,"Minami Kanto Bloc",47,"宮川 典子君","みやがわ のりこ","自民","（比）南関東",
