name,party,area,term,start_date,end_date
Vincent Van Quickenborne,Open Vld,West-Vlaanderen,54,2014-06-19,
Véronique Caprasse,FDF,Brussel-Hoofdstad,54,2014-06-19,
Werner Janssen,N-VA,Limburg,54,2014-06-19,
Willy Demeyer,PS,Luik,54,2014-06-19,2017-11-09
Wim Van der Donckt,N-VA,Antwerpen,54,2017-03-09,
Wouter Beke,CD&V,Limburg,54,2014-06-19,
Wouter De Vriendt,Groen,West-Vlaanderen,54,2014-06-19,
Wouter Raskin,N-VA,Limburg,54,2014-10-14,
Yoleen Van Camp,N-VA,Antwerpen,54,2014-06-19,
Youro Casier,sp.a,West-Vlaanderen,54,2017-12-13,
Zakia Khattabi,Ecolo,Brussel-Hoofdstad,54,2014-06-19,2015-05-28
Zuhal Demir,N-VA,Antwerpen,54,2014-06-19,2017-03-09
Özlem Özen,PS,Henegouwen,54,2014-06-19,
