statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q17191473-6A622FFC-7CD0-4ABC-8FFE-231B51D09B5F,Q17191473,Yoleen Van Camp,Q1116,Antwerp,Q28982,New Flemish Alliance,"","",54
Q17350463-F2C55F5E-5A37-4283-A07D-B459DC7FF9D1,Q17350463,Nawal Ben Hamou,Q90870,Arrondissement of Brussels-Capital,Q645787,Socialist Party,"","",54
Q17350584-38FE29EF-E466-4CED-8234-F60BBF6ACF60,Q17350584,Gilles Foret,Q1127,Liège,Q533384,Reform Movement,"","",54
Q17350626-DF78FE29-7981-4C9D-932F-60A20EBCF60C,Q17350626,Gwenaëlle Grovonius,Q1125,Namur,Q645787,Socialist Party,"","",54
Q17350847-29456084-46B6-4DAC-B423-A2286155D0F7,Q17350847,Benoît Piedboeuf,Q1126,Luxembourg,Q533384,Reform Movement,"","",54
Q17428035-F75CB869-3853-457A-9038-83686853ED4B,Q17428035,Rita Bellens,Q1116,Antwerp,Q28982,New Flemish Alliance,"","",54
Q17428062-20C42337-2AE4-4C96-A073-97E857A05BA9,Q17428062,Emmanuel Burton,Q1122,Walloon Brabant,Q533384,Reform Movement,"","",54
Q17428066-6330DF68-88A1-4118-B3AF-F5F3B9575C26,Q17428066,Peter Buysrogge,Q1114,East Flanders,Q28982,New Flemish Alliance,"","",54
Q17428073-66386415-EC02-424B-A2FF-76F5C88FFD29,Q17428073,An Capoen,Q1113,West Flanders,Q28982,New Flemish Alliance,"","",54
Q17428129-572ED753-254E-4E03-9E91-E0AE033F80FC,Q17428129,Inez De Coninck,Q1118,Flemish Brabant,Q28982,New Flemish Alliance,"","",54
Q17428131-7EA40ED2-D915-4CFF-87B8-E5A86389475A,Q17428131,Anne Dedry,Q1118,Flemish Brabant,Q19850616,Ecolo-Groen,"","",54
Q17428138-3849514F-08DD-4AB6-8DA5-FF9D2E6137AF,Q17428138,Franky Demon,Q1113,West Flanders,Q750673,Christian Democratic and Flemish,"","",54
Q17428152-BE95E278-6663-4BEB-9C7B-5610EF6E88D0,Q17428152,Benoît Dispa,Q1125,Namur,Q840814,Humanist Democratic Centre,"","",54
Q17428224-7C5C0AF4-C09E-4757-9E2F-BCB2BE50F9DB,Q17428224,Rita Gantois,Q1113,West Flanders,Q28982,New Flemish Alliance,"","",54
Q17428394-0BACBB9C-B488-4155-BC17-39A4A1703EEA,Q17428394,Werner Janssen,Q1095,Limburg,Q28982,New Flemish Alliance,"","",54
Q17429217-BFBE2313-AD65-4C3F-9863-163C8508D5EF,Q17429217,Isabelle Poncelet,Q1126,Luxembourg,Q840814,Humanist Democratic Centre,"",2018-09-20,54
Q17429438-31DD1244-7989-49DC-B877-20188D78E702,Q17429438,Stéphanie Thoron,Q1125,Namur,Q533384,Reform Movement,"","",54
Q17429475-C6B57F50-58C4-46AB-8788-05F15FDB40AC,Q17429475,Goedele Uyttersprot,Q1114,East Flanders,Q28982,New Flemish Alliance,"","",54
Q17429494-A60D8AE2-99F6-4669-87EC-0102CE9A9464,Q17429494,Jan Vercammen,Q1113,West Flanders,Q28982,New Flemish Alliance,"","",54
Q17429594-F83DB202-2EDE-4568-B26F-36093E7A4F37,Q17429594,Evita Willaert,Q1114,East Flanders,Q19850616,Ecolo-Groen,"","",54
Q17639552-E25CDD59-2B3F-4546-A356-47DA64915E24,Q17639552,Stéphane Crusnière,Q1122,Walloon Brabant,Q645787,Socialist Party,2014-07-30,2018-10-04,54
Q17836281-80773a16-48a4-588b-868f-1512c73b1e67,Q17836281,Annick Lambrecht,Q1113,West Flanders,Q939354,Socialist Party Different,2017-01-12,"",54
Q1809481-5C099375-935F-4887-9DB6-2C36D86E860D,Q1809481,Veerle Heeren,Q1095,Limburg,Q750673,Christian Democratic and Flemish,"","",54
Q1817068-FD93A0B4-293D-4CF0-9140-9AA06C5413B4,Q1817068,Jan Penris,Q1116,Antwerp,Q682990,Flemish Interest,"","",54
Q1819614-C5D4A56D-8E9A-48A5-A01D-CB2E5593F013,Q1819614,Hendrik Bogaert,Q1113,West Flanders,Q750673,Christian Democratic and Flemish,"","",54
Q1820692-1583E516-510D-45DE-9349-A536FF3E6AE6,Q1820692,Meyrem Almaci,Q1116,Antwerp,Q19850616,Ecolo-Groen,"","",54
Q18285934-BFAA1EF8-B574-401D-A066-B5A4ECD14973,Q18285934,Renate Hufkens,Q1118,Flemish Brabant,Q28982,New Flemish Alliance,2014-10-14,"",54
Q18285969-52701398-A59F-4B06-9BC6-662D3818B0AC,Q18285969,Dirk Janssens,Q1118,Flemish Brabant,Q1160192,Open Flemish Liberals and Democrats,2014-10-14,"",54
Q18286545-93AC0A2A-CF12-44B6-8D7C-6A5C448400BA,Q18286545,Wouter Raskin,Q1095,Limburg,Q28982,New Flemish Alliance,2014-10-14,"",54
Q18365721-9612B95E-32CC-42D5-BC61-6EB78036C991,Q18365721,Aldo Carcaci,Q1127,Liège,Q929882,People's Party,"","",54
Q18433715-F4049222-8018-4DF1-A3D2-52A690A8E588,Q18433715,Johan Klaps,Q1116,Antwerp,Q28982,New Flemish Alliance,2014-10-14,"",54
Q18433796-9C74E089-DD0E-4017-91AC-EC0CE0F0741D,Q18433796,Katja Gabriëls,Q1114,East Flanders,Q1160192,Open Flemish Liberals and Democrats,2014-10-14,"",54
Q1866883-841980BA-5093-4361-9FEA-F81ECC1A2AE2,Q1866883,Sarah Smeyers,Q1114,East Flanders,Q28982,New Flemish Alliance,"","",54
Q1960865-4FB30E93-6C6B-4396-A90E-C5C0713AFCDA,Q1960865,Kristien Van Vaerenbergh,Q1118,Flemish Brabant,Q28982,New Flemish Alliance,"","",54
Q1974298-A99A7BBB-7D6E-4A0E-A1AC-317E2FDB5832,Q1974298,Jef Van den Bergh,Q1116,Antwerp,Q750673,Christian Democratic and Flemish,"","",54
Q2025218-33255A8E-EDE0-4438-A733-441A76031BDB,Q2025218,Stefaan Van Hecke,Q1114,East Flanders,Q19850616,Ecolo-Groen,"","",54
Q2032311-9281C9E4-5F4B-41C4-B8FC-32303977CE7D,Q2032311,Servais Verherstraeten,Q1116,Antwerp,Q750673,Christian Democratic and Flemish,"","",54
Q2064794-3F0A6F53-910E-49D5-94A7-51CE8364B839,Q2064794,Siegfried Bracke,Q1114,East Flanders,Q28982,New Flemish Alliance,"","",54
Q2081580-F3D65821-C884-4221-83F3-775F43657D45,Q2081580,Sabien Lahaye-Battheu,Q1113,West Flanders,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q2085408-67E4B598-6912-401F-A904-7B2B74A1F9BA,Q2085408,Veli Yüksel,Q1114,East Flanders,Q750673,Christian Democratic and Flemish,"","",54
Q20871279-9ae3de5b-40a4-6571-5526-ee12f83ad1d5,Q20871279,Gilles Vanden Burre,Q90870,Arrondissement of Brussels-Capital,Q19850616,Ecolo-Groen,2015-05-28,"",54
Q2107147-FCBBDF42-6096-4D05-B56A-0C96DF51736C,Q2107147,Jean-Marc Delizée,Q1125,Namur,Q645787,Socialist Party,"","",54
Q2112675-ff502f2e-4316-485f-6300-8c85d61631dc,Q2112675,Benoît Friart,Q1129,Hainaut,Q533384,Reform Movement,"","",54
Q21141795-6e2d1151-4f0f-c742-2e71-d22e9b54b47c,Q21141795,Gautier Calomne,Q90870,Arrondissement of Brussels-Capital,Q533384,Reform Movement,2015-10-13,"",54
Q2135858-d43f8b94-4208-7d2b-3981-aaecc02ee7fb,Q2135858,Veerle Wouters,Q1095,Limburg,Q28982,New Flemish Alliance,"","",54
Q2202667-1890068E-7E41-4C84-AFFF-E64D7F8E4765,Q2202667,Koenraad Degroote,Q1113,West Flanders,Q28982,New Flemish Alliance,"","",54
Q2238704-ca29ebd0-4bd1-c677-e64a-0043921e9a93,Q2238704,Zuhal Demir,,,Q28982,New Flemish Alliance,"",2017-03-09,54
Q2252488-2987DB59-3B88-4385-9CFC-7AAA2CF61C5D,Q2252488,Griet Smaers,Q1116,Antwerp,Q750673,Christian Democratic and Flemish,"","",54
Q2256410-90B17BDB-495B-4113-B2CD-6375F43B75F8,Q2256410,Nele Lijnen,Q1095,Limburg,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q2305667-FBCE2997-4E83-4F6A-9045-704F2C8514EF,Q2305667,Christoph D'Haese,Q1114,East Flanders,Q28982,New Flemish Alliance,"","",54
Q2344602-2424B9FE-D7C8-4815-ABDD-64F4618D6E0F,Q2344602,Maya Detiège,Q1116,Antwerp,Q939354,Socialist Party Different,"","",54
Q2359077-4C304025-5515-4A25-9EB9-C8D725D4575D,Q2359077,Karolien Grosemans,Q1095,Limburg,Q28982,New Flemish Alliance,"","",54
Q2415346-F7641135-C828-4454-AAA8-DB256F24BBFE,Q2415346,Peter Vanvelthoven,Q1095,Limburg,Q939354,Socialist Party Different,"","",54
Q2417142-52342873-FAEA-43A1-B276-15BC7545992B,Q2417142,Bert Wollants,Q1116,Antwerp,Q28982,New Flemish Alliance,"","",54
Q2503975-b974262b-215a-4fc8-954b-55e5fe461ea2,Q2503975,Monica De Coninck,Q1116,Antwerp,Q939354,Socialist Party Different,"","",54
Q2562437-C125C8A1-A743-4FD0-9157-87387A6A1796,Q2562437,Wouter De Vriendt,Q1113,West Flanders,Q19850616,Ecolo-Groen,"","",54
Q2580685-F2792BF9-F626-41AC-BA62-87020EFA77CB,Q2580685,Peter Dedecker,Q1114,East Flanders,Q28982,New Flemish Alliance,"","",54
Q2586065-9833F8DF-17A4-451A-81C1-1E2BCBAA6E03,Q2586065,Stefaan Vercamer,Q1114,East Flanders,Q750673,Christian Democratic and Flemish,"","",54
Q2608481-EBE8BB20-48A0-45DE-83B5-68B853D5B6F8,Q2608481,Jacques Chabot,Q1127,Liège,Q645787,Socialist Party,2017-11-09,"",54
Q2633390-45D2AB22-9A94-4B89-B838-759703F463D3,Q2633390,Kristof Calvo,Q1116,Antwerp,Q19850616,Ecolo-Groen,"","",54
Q2665838-90C6C562-4235-43A5-85C3-F8C58A5A407B,Q2665838,Laurent Devin,Q1129,Hainaut,Q645787,Socialist Party,"","",54
Q2757281-724682b3-42fe-ace3-932b-36150272586e,Q2757281,Daphné Dumery,Q1113,West Flanders,Q28982,New Flemish Alliance,"","",54
Q2757876-AC5BA06B-6C35-4B72-9DC9-A6CE015A9C3A,Q2757876,Meryame Kitir,Q1095,Limburg,Q939354,Socialist Party Different,"","",54
Q27826608-8b8d9c5c-4231-a600-bd85-7a81baeb0e09,Q27826608,Vincent Van Peteghem,Q1114,East Flanders,Q750673,Christian Democratic and Flemish,2016-11-10,"",54
Q2784190-adf6040c-4ed1-45fc-cd68-93f1b8ec95be,Q2784190,Rob Van de Velde,Q1116,Antwerp,Q28982,New Flemish Alliance,"","",54
Q2788852-67C3B48B-F19E-4556-8CF5-06B32B3E9F4D,Q2788852,Damien Thiéry,Q90870,Arrondissement of Brussels-Capital,Q533384,Reform Movement,"","",54
Q2788977-E4206612-AFE6-478D-9602-A191D00F5AE0,Q2788977,Frank Wilrycx,Q1116,Antwerp,Q1160192,Open Flemish Liberals and Democrats,2011-12-07,2014-05-25,54
Q2788977-598a8c9c-4fe1-81e0-186a-d95eaadf6d76,Q2788977,Frank Wilrycx,Q1116,Antwerp,Q1160192,Open Flemish Liberals and Democrats,2014-07-25,"",54
Q2835834-FBA32C7F-7391-4A11-AF8D-C26D13610C5A,Q2835834,Catherine Fonck,Q1129,Hainaut,Q840814,Humanist Democratic Centre,"","",54
Q2847784-6E414030-B814-4562-98CE-6DD87D46CC53,Q2847784,André Frédéric,Q1127,Liège,Q645787,Socialist Party,"","",54
Q2850746-ce53cf28-4de1-8a34-e94c-08e91f031bc6,Q2850746,Anne-Catherine Goffinet,,,Q840814,Humanist Democratic Centre,2018-09-20,"",54
Q2884009-2CCD72A7-BB91-4285-91D9-FA5BF7A690E2,Q2884009,Barbara Pas,Q1114,East Flanders,Q682990,Flemish Interest,"","",54
Q2888701-BFA37811-6E9B-47CF-8C92-505A0C895762,Q2888701,Éric Thiébaut,Q1129,Hainaut,Q645787,Socialist Party,"","",54
Q2896384-8ea683ac-4613-b610-74c6-db5e882b18da,Q2896384,Benoit Hellings,Q90870,Arrondissement of Brussels-Capital,Q19850616,Ecolo-Groen,"","",54
Q29051908-ebd73819-4ecd-61f6-384d-bd5230d528aa,Q29051908,Wim Van der Donckt,Q1116,Antwerp,Q28982,New Flemish Alliance,2017-03-09,"",54
Q2926869-F015C03D-E36C-4184-AC48-396CC79DCC90,Q2926869,Jean-Marc Nollet,Q1129,Hainaut,Q19850616,Ecolo-Groen,"","",54
Q2938795-D1DEE674-8215-4048-8B87-238156995B47,Q2938795,Carina Van Cauter,Q1114,East Flanders,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q2939974-9ACEC60E-FEBB-4B84-B4E6-F88F17E3591F,Q2939974,Caroline Cassart-Mailleux,Q1127,Liège,Q533384,Reform Movement,"","",54
Q2962167-7EF56EBD-F0CF-48C9-AEC3-07B2748A9535,Q2962167,Raf Terwingen,Q1095,Limburg,Q750673,Christian Democratic and Flemish,"","",54
Q2965092-40E373A7-483A-44AB-8F8A-56048B4B23B5,Q2965092,Christian Brotcorne,Q1129,Hainaut,Q840814,Humanist Democratic Centre,"","",54
Q3014674-639eaf07-42df-c195-c029-a55081ed8e3c,Q3014674,Daniel Senesael,Q1129,Hainaut,Q645787,Socialist Party,"","",54
Q3017667-C6416D16-E5DD-4E2F-9C4E-01A478630534,Q3017667,David Clarinval,Q1125,Namur,Q533384,Reform Movement,"","",54
Q3017951-E60D4C4F-06BF-4319-9671-5D11F34A7DA4,Q3017951,David Geerts,Q1116,Antwerp,Q939354,Socialist Party Different,"","",54
Q3029701-8DAF4249-277A-4F5D-A46C-71A6ACFD42F7,Q3029701,Dirk Van der Maelen,Q1114,East Flanders,Q939354,Socialist Party Different,"","",54
Q3051696-63D19296-F526-4FE4-B555-D3D2BDF6640F,Q3051696,Els Van Hoof,Q1118,Flemish Brabant,Q750673,Christian Democratic and Flemish,"",2014-10-14,54
Q3063712-6459D1AF-B3CD-4D68-BDC7-1A5266B5A48A,Q3063712,Fabienne Winckel,Q1129,Hainaut,Q645787,Socialist Party,"","",54
Q3086602-FCE8D873-B717-41A8-976A-FFF5F873BBF0,Q3086602,Françoise Schepmans,Q90870,Arrondissement of Brussels-Capital,Q533384,Reform Movement,"","",54
Q3102539-88F51B9D-9172-4415-8EE4-A0368F8DE8C2,Q3102539,Georges Dallemagne,Q90870,Arrondissement of Brussels-Capital,Q840814,Humanist Democratic Centre,2014-07-30,"",54
Q3102773-3D5DA6BA-BF45-47BA-BED9-4BF242604101,Q3102773,Georges Gilkinet,Q1125,Namur,Q19850616,Ecolo-Groen,"","",54
Q3126936-47DB07B3-FF0C-4ACD-9220-0A12627278B2,Q3126936,Hans Bonte,Q1118,Flemish Brabant,Q939354,Socialist Party Different,"","",54
Q3143147-1117DB33-08EC-4385-8ED8-217AE0587B34,Q3143147,Olivier Chastel,Q1129,Hainaut,Q533384,Reform Movement,"","",54
Q3150668-3CE62B9F-C3B9-4A76-B1DD-62D5A27694C2,Q3150668,Ine Somers,Q1114,East Flanders,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q3166258-AEF7364B-D405-45BC-AD63-2CB44B39FCAD,Q3166258,Jean-Jacques Flahaux,Q1129,Hainaut,Q533384,Reform Movement,"","",54
Q3189209-a6ca6d13-4237-3c04-8d1f-4aefbd056a3f,Q3189209,Julie Fernandez Fernandez,Q1127,Liège,Q645787,Socialist Party,"","",54
Q3193147-3b102d97-4e38-37e9-ab03-8ac189d83684,Q3193147,Karin Temmerman,Q1114,East Flanders,Q939354,Socialist Party Different,"","",54
Q3193290-A9329F54-FDAE-4558-BBFF-32597803DE09,Q3193290,Karine Jiroflée,Q1118,Flemish Brabant,Q939354,Socialist Party Different,"","",54
Q3193292-D0CBC3E1-DD15-4884-A15B-AC835209F821,Q3193292,Karine Lalieux,Q90870,Arrondissement of Brussels-Capital,Q645787,Socialist Party,"","",54
Q3228978-4AD96790-7DC0-4413-9A20-887C4D8E9BE9,Q3228978,Leen Dierick,Q1114,East Flanders,Q750673,Christian Democratic and Flemish,"","",54
Q3264833-5C8E06AD-4EE2-45D1-89BA-7EF4D41A1539,Q3264833,Luc Gustin,Q1127,Liège,Q533384,Reform Movement,2014-10-14,"",54
Q3266973-81456B84-5DF3-4519-A9E8-DB636A3C427D,Q3266973,Luk Van Biesen,Q1118,Flemish Brabant,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q3288800-F6D0DE17-A2C8-4D8E-B4B7-CF318FFBC6B4,Q3288800,Marcel Cheron,Q1122,Walloon Brabant,Q19850616,Ecolo-Groen,"","",54
Q3311180-e0590e45-5b8d-41d1-8a9c-97d06ad6d003,Q3311180,Michel de Lamotte,Q1127,Liège,Q840814,Humanist Democratic Centre,2015-04-23,"",54
Q3335143-58260B1F-603C-4FEF-8FE7-0B0A5D5779EC,Q3335143,Nahima Lanjri,Q1116,Antwerp,Q750673,Christian Democratic and Flemish,"","",54
Q3351089-D9AD5039-41F7-44FC-B2E1-A3E280161CBD,Q3351089,Olivier Henry,Q1129,Hainaut,Q645787,Socialist Party,2018-05-24,"",54
Q336599-EBBE64D0-3BA8-432B-A94A-6FC53FBB4E4C,Q336599,Bart De Wever,Q1116,Antwerp,Q28982,New Flemish Alliance,"","",54
Q3369088-2038829E-89FE-4DE2-83C7-E386F3AC4607,Q3369088,Patricia Ceysens,Q1118,Flemish Brabant,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q3370366-FC0CCFE4-5493-4C16-9377-A629D5312E1D,Q3370366,Paul-Olivier Delannois,Q1129,Hainaut,Q645787,Socialist Party,"","",54
Q3376731-D62DE8C5-BCB8-41CC-A596-98B711D48750,Q3376731,Peter Luykx,Q1095,Limburg,Q28982,New Flemish Alliance,"","",54
Q3379933-F03F47EA-C5F9-474A-A78D-4793005CB428,Q3379933,Philippe Goffin,Q1127,Liège,Q533384,Reform Movement,"","",54
Q3380542-6BF6CCF3-79E3-4380-8957-829C977D8155,Q3380542,Philippe Pivin,Q90870,Arrondissement of Brussels-Capital,Q533384,Reform Movement,"","",54
Q3431045-813bdd20-4a78-2f60-bb73-f2e5700b8b8b,Q3431045,Richard Miller,Q1129,Hainaut,Q533384,Reform Movement,2014-10-14,"",54
Q3438541-597F9836-BC43-42B4-BAE0-C7B46417B82D,Q3438541,Roel Deseyn,Q1113,West Flanders,Q750673,Christian Democratic and Flemish,"","",54
Q3490906-EB43691D-29C8-4CFC-B779-17794A2FCCE9,Q3490906,Sophie De Wit,Q1116,Antwerp,Q28982,New Flemish Alliance,"","",54
Q3506764-D914E939-5126-4044-A1E7-174B0159BE16,Q3506764,Sybille de Coster-Bauchau,Q1122,Walloon Brabant,Q533384,Reform Movement,"","",54
Q3509917-0C7B880A-E55F-4B0B-B937-B1C32E26DE00,Q3509917,Sébastian Pirlot,Q1126,Luxembourg,Q645787,Socialist Party,"","",54
Q3554546-9EE84E00-06B0-45AB-AB31-7BCC5D5B7123,Q3554546,Vanessa Matz,Q1127,Liège,Q840814,Humanist Democratic Centre,"","",54
Q3564292-2AB0E9E6-C13E-4058-BC7C-F37E994A3FAE,Q3564292,Véronique Caprasse,Q90870,Arrondissement of Brussels-Capital,Q1470087,DéFI,"","",54
Q3591262-e97d370d-4136-5c23-21de-4f0e3af1e69e,Q3591262,Éric Massin,,,Q645787,Socialist Party,2014-05-25,2018-05-24,54
Q3593705-FF5A4889-A81E-4293-A687-A27C9D7B6C08,Q3593705,Özlem Özen,Q1129,Hainaut,Q645787,Socialist Party,"","",54
Q38258739-dd7c4208-49c3-deac-267b-c2cbbfa152f8,Q38258739,Isabelle Galant,Q1129,Hainaut,Q533384,Reform Movement,2017-07-28,"",54
Q448224-86A912D8-E0E0-4E8D-B159-AF2CAB9D4013,Q448224,Laurette Onkelinx,Q90870,Arrondissement of Brussels-Capital,Q645787,Socialist Party,"","",54
Q45035973-c968ef0a-2ed3-4a75-8ec9-fc277de3a28b,Q45035973,Youro Casier,Q1113,West Flanders,Q939354,Socialist Party Different,2017-12-13,"",54
Q451040-53C2A770-D396-4BF9-A83B-094EE0A76DE4,Q451040,Eric Van Rompuy,Q1118,Flemish Brabant,Q750673,Christian Democratic and Flemish,"","",54
Q4532955-eed2d195-555c-490e-8634-0ecc9a0e0eee,Q4532955,Hendrik Vuye,Q1118,Flemish Brabant,Q28982,New Flemish Alliance,"","",54
Q5237918-E631271F-6775-4248-85DC-3622AC330685,Q5237918,Alain Top,Q1113,West Flanders,Q939354,Socialist Party Different,"","",54
Q524806-9F6BC705-6DA1-4FC3-92A2-B2E074CA2D94,Q524806,Nathalie Muylle,Q1113,West Flanders,Q750673,Christian Democratic and Flemish,"","",54
Q549887-1D99B974-F0D0-4BDF-AFEC-DCF1CEA96D7A,Q549887,Vincent Van Quickenborne,Q1113,West Flanders,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q568259-262bda6c-4c0a-90e8-144c-ac1bf73c7c72,Q568259,Ahmed Laaouej,Q90870,Arrondissement of Brussels-Capital,Q645787,Socialist Party,"","",54
Q56859458-1d14ed0e-28ec-46ab-8766-698369701168,Q56859458,Michel Corthouts,,,Q645787,Socialist Party,2018-10-04,"",54
Q587605-01233CD8-CF0D-452C-A09F-0ECBB52B571D,Q587605,Muriel Gerkens,Q1127,Liège,Q19850616,Ecolo-Groen,"","",54
Q607864-e074811b-43ab-3baf-d027-a433d46b2f22,Q607864,Sonja Becq,Q1118,Flemish Brabant,Q750673,Christian Democratic and Flemish,"","",54
Q678494-62c78e0d-4abd-cbd0-20cc-8c0f87a599f1,Q678494,Olivier Maingain,Q90870,Arrondissement of Brussels-Capital,Q1470087,DéFI,"","",54
Q679155-D3025947-CD85-409B-8F08-A6F1A79458A1,Q679155,Philippe Blanchart,Q1129,Hainaut,Q645787,Socialist Party,"","",54
Q704126-BD22E5AA-7FC8-4917-BA80-0BF9E307902A,Q704126,Benoît Lutgen,Q1126,Luxembourg,Q840814,Humanist Democratic Centre,"","",54
Q733266-48326CE7-BFD3-452D-A7E9-8B7CF6F676C8,Q733266,Kattrin Jadin,Q1127,Liège,Q533384,Reform Movement,"","",54
Q748338-67CECC8E-F938-4A80-BCA5-0428E59920E0,Q748338,Fatma Pehlivan,Q1114,East Flanders,Q939354,Socialist Party Different,"","",54
Q837981-C07D7FC1-9BF8-4F21-BA7F-80F3864B2024,Q837981,Dirk Van Mechelen,Q1116,Antwerp,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q961911-044F882B-F0C4-4857-8F1A-54A2004859EE,Q961911,Wouter Beke,Q1095,Limburg,Q750673,Christian Democratic and Flemish,"","",54
