id,name__th,name,wikipedia__th,original_wikiname,name__de,name__en,name__es,name__fr,wikipedia__de,wikipedia__en,gender,birth_date,identifier__freebase,name__it,wikipedia__es,identifier__VIAF,identifier__SUDOC,name__ko,wikipedia__ko,wikipedia__commons,image,name__nl,name__zh_hans,name__zh_hant,name__zh_hk,name__zh,wikipedia__zh,occupation,name__zh_tw,wikipedia__lo,name__lo,name__ru,name__ja,death_date,identifier__LCAuth,identifier__ISNI,identifier__FAST,name__uk,name__ast
Q13018640,ภิรมย์ กมลรัตนกุล,ภิรมย์ กมลรัตนกุล,ภิรมย์ กมลรัตนกุล,ภิรมย์ กมลรัตนกุล,,Pirom Kamolratkul,Pirom Kamolratkul,,,,male,1949-08-29,,,,,,,,,,,,,,,,politician,,,,Пиром Камолраткул,,,,,,,Pirom Kamolratkul
Q13019363,รัชตะ รัชตะนาวิน,รัชตะ รัชตะนาวิน,รัชตะ รัชตะนาวิน,รัชตะ รัชตะนาวิน,,,,,,,,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13020617,วัชรพล ประสารราชกิจ,วัชรพล ประสารราชกิจ,วัชรพล ประสารราชกิจ,วัชรพล ประสารราชกิจ,,,,,,,,1954,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13021037,วิชญ์ เทพหัสดิน ณ อยุธยา,วิชญ์ เทพหัสดิน ณ อยุธยา,วิชญ์ เทพหัสดิน ณ อยุธยา,วิชญ์ เทพหัสดิน ณ อยุธยา,,Wich Theamhasadin Na Ayuthaya,,,,,,1950-10-19,,,,,,,,,,,,,,,,politician,,,,Вич Теимасадин На Аютайя,,,,,,,Wich Theamhasadin Na Ayuthaya
Q13021063,วิทยา ผิวผ่อง,วิทยา ผิวผ่อง,วิทยา ผิวผ่อง,วิทยา ผิวผ่อง,,Withaya Piwpong,Withaya Piwpong,,,,male,1953-11-21,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0f/วิทยา_ผิวผ่อง.jpg,,,,,,,politician,,,,Витхая Пивпонг,,,,,,,Withaya Piwpong
Q13021312,วุฒิศักดิ์ ลาภเจริญทรัพย์,วุฒิศักดิ์ ลาภเจริญทรัพย์,วุฒิศักดิ์ ลาภเจริญทรัพย์,วุฒิศักดิ์ ลาภเจริญทรัพย์,,,,,,,,1949,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13022020,สม จาตุศรีพิทักษ์,สม จาตุศรีพิทักษ์,สม จาตุศรีพิทักษ์,สม จาตุศรีพิทักษ์,,,,,,,,1940,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13022032,สมคิด เลิศไพฑูรย์,สมคิด เลิศไพฑูรย์,สมคิด เลิศไพฑูรย์,สมคิด เลิศไพฑูรย์,,,,,,,male,1959,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,
Q13022036,สมชาย แสวงการ,สมชาย แสวงการ,สมชาย แสวงการ,สมชาย แสวงการ,,Somchai Sawaengkarn,Somchai Sawaengkarn,,,,male,1962,,,,,,,,Category:Somchai Sawaengkarn,https://upload.wikimedia.org/wikipedia/commons/b/b3/Somchai_Sawaengkarn.jpg,,,,,,,politician,,ສມຊາຍ ສະແຫວງການ,ສມຊາຍ ສະແຫວງການ,,,,,,,,Somchai Sawaengkarn
Q13022217,สมเจตน์ บุญถนอม,สมเจตน์ บุญถนอม,สมเจตน์ บุญถนอม,สมเจตน์ บุญถนอม,,Somjed Bunthanom,Somjed Bunthanom,,,,male,1948-11-02,,,,,,,,,,,,,,,,politician,,,,Сомджет Бунтханом,,,,,,,Somjed Bunthanom
Q13022901,สุรศักดิ์ หรุ่นเริงรมย์,สุรศักดิ์ หรุ่นเริงรมย์,สุรศักดิ์ หรุ่นเริงรมย์,สุรศักดิ์ หรุ่นเริงรมย์,,Surasak Harunreangrom,Surasak Harunreangrom,,,,male,1953,,,,,,,,,,,,,,,,politician,,,,Сурасак Харуньянгром,,,,,,Сурасак Харуньянгром,Surasak Harunreangrom
Q13023665,อภิรัชต์ คงสมพงษ์,อภิรัชต์ คงสมพงษ์,อภิรัชต์ คงสมพงษ์,อภิรัชต์ คงสมพงษ์,,Apirat Kongsompong,Apirat Kongsompong,,,Apirat Kongsompong,male,1960-03-23,,,,,,,,,,,,,,,,military officer,,,,Апират Конгсомпонг,,,,,,,Apirat Kongsompong
Q13024079,อินทรัตน์ ยอดบางเตย,อินทรัตน์ ยอดบางเตย,อินทรัตน์ ยอดบางเตย,อินทรัตน์ ยอดบางเตย,,,,,,,,1945,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13026252,แถมสิน รัตนพันธุ์,แถมสิน รัตนพันธุ์,แถมสิน รัตนพันธุ์,แถมสิน รัตนพันธุ์,,Pamsin Rattanapan,Pamsin Rattanapan,,,,male,1929-12-04,,,,,,,,,,,,,,,,politician,,,,Памсин Раттанапан,,,,,,,Pamsin Rattanapan
Q16138835,ประเสริฐ บุญสัมพันธ์,ประเสริฐ บุญสัมพันธ์,ประเสริฐ บุญสัมพันธ์,ประเสริฐ บุญสัมพันธ์,,Prasead Bunsompan,Prasead Bunsompan,,,,male,1952-02-20,,,,,,,,,,,,,,,,politician,,,,Прасид Бунсомпан,,,,,,,Prasead Bunsompan
Q16139706,กิตติชัย ไตรรัตนศิริชัย,กิตติชัย ไตรรัตนศิริชัย,กิตติชัย ไตรรัตนศิริชัย,กิตติชัย ไตรรัตนศิริชัย,,Kittichai Triratanasirichai,Kittichai Triratanasirichai,,,,male,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,Kittichai Triratanasirichai
Q16140962,อาศิส พิทักษ์คุมพล,อาศิส พิทักษ์คุมพล,อาศิส พิทักษ์คุมพล,อาศิส พิทักษ์คุมพล,,,,,,,,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16141091,บุญสร้าง เนียมประดิษฐ์,บุญสร้าง เนียมประดิษฐ์,บุญสร้าง เนียมประดิษฐ์,บุญสร้าง เนียมประดิษฐ์,,,,,,,male,1948,,,,,,,,Category:Boonsrang Niumpradit,,,,,,汶桑·年巴迪,,politician,,,,,,,,,,,
Q16141164,สุรชัย เลี้ยงบุญเลิศชัย,สุรชัย เลี้ยงบุญเลิศชัย,สุรชัย เลี้ยงบุญเลิศชัย,สุรชัย เลี้ยงบุญเลิศชัย,,Surachai Boonlertchai,Surachai Boonlertchai,,,,male,1953-01-15,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c9/สุรชัย_เลี้ยงบุญเลิศชัย_2_(ครอบตัด).jpg,,,,,,,lawyer,,ສຸຣະໄຊ ລ້ຽງບຸນເລີດໄຊ,ສຸຣະໄຊ ເລີ້ຍງບຸນເລຶດໄຊ,Сурачай Бунлертчай,,,,,,,Surachai Boonlertchai
Q16141307,มณเฑียร บุญตัน,มณเฑียร บุญตัน,มณเฑียร บุญตัน,มณเฑียร บุญตัน,,Monthian Buntan,Monthian Buntan,,,,,1965,,,,,,,,,,,,,,,,politician,,,,,,,,,,,Monthian Buntan
Q16438854,นิพัทธ์ ทองเล็ก,นิพัทธ์ ทองเล็ก,นิพัทธ์ ทองเล็ก,นิพัทธ์ ทองเล็ก,,,,,,,,1955,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q16957022,ปรีชา จันทร์โอชา,ปรีชา จันทร์โอชา,ปรีชา จันทร์โอชา,ปรีชา จันทร์โอชา,,Pricha Chan-ocha,Pricha Chan-ocha,Pricha Chan-ocha,,,male,1956-07-08,,,,,,,,,,Pricha Chan-ocha,,,,,,military officer,,ປີຊາ ຈັນໂອຊາ,ປີຊາ ຈັນໂອຊາ,Прича Чан-Оча,,,,,,,Pricha Chan-ocha
Q18050886,พรทิพย์ จาละ,พรทิพย์ จาละ,พรทิพย์ จาละ,พรทิพย์ จาละ,,,,,,,female,1949,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q18050950,สมยศ พุ่มพันธุ์ม่วง,สมยศ พุ่มพันธุ์ม่วง,สมยศ พุ่มพันธุ์ม่วง,สมยศ พุ่มพันธุ์ม่วง,,Somyot Poompanmoung,Somyot Poompanmoung,Somyot Poompanmoung,,Somyot Poompanmoung,male,1954-12-27,,,,,,솜욧 품판무앙,솜욧 품판무앙,,https://upload.wikimedia.org/wikipedia/commons/9/99/Somyot_Poompanmoung.jpg,,,,,宋永·彭潘孟,,politician,,,,,,,,,,,Somyot Poompanmoung
Q18050972,เอก อังสนานนท์,เอก อังสนานนท์,เอก อังสนานนท์,เอก อังสนานนท์,,,,,,,,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q19622459,อำพน กิตติอำพน,อำพน กิตติอำพน,อำพน กิตติอำพน,อำพน กิตติอำพน,,Ampon Kittiampon,Ampon Kittiampon,,,,,1955,,,,,,,,,,,,,,,,politician,,,,,,,,,,,Ampon Kittiampon
Q20556449,กรรณภว์ ธนภรรคภวิน,กรรณภว์ ธนภรรคภวิน,กรรณภว์ ธนภรรคภวิน,กรรณภว์ ธนภรรคภวิน,,Kan Thanapakpawin,Kan Thanapakpawin,,,,male,1950-08-29,,,,,,,,,,,,,,,,politician,,,,Кан Тханапакпавин,,,,,,,Kan Thanapakpawin
Q20556468,กฤษฎา เจริญพานิช,กฤษฎา เจริญพานิช,กฤษฎา เจริญพานิช,กฤษฎา เจริญพานิช,,,,,,,male,1957,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20556483,กลชัย สุวรรณบูรณ์,กลชัย สุวรรณบูรณ์,กลชัย สุวรรณบูรณ์,กลชัย สุวรรณบูรณ์,,,,,,,,1951,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20556587,กัมปนาท รุดดิษฐ์,กัมปนาท รุดดิษฐ์,กัมปนาท รุดดิษฐ์,กัมปนาท รุดดิษฐ์,,,,,,,,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20556599,กาญจนารัตน์ ลีวิโรจน์,กาญจนารัตน์ ลีวิโรจน์,กาญจนารัตน์ ลีวิโรจน์,กาญจนารัตน์ ลีวิโรจน์,,Kranjanarat Liwirod,Kranjanarat Liwirod,,,,female,1955-06-01,,,,,,,,,,,,,,,,politician,,,,Кранджанарат Ливирод,,,,,,,Kranjanarat Liwirod
Q20556659,กิตติ วะสีนนท์,กิตติ วะสีนนท์,กิตติ วะสีนนท์,กิตติ วะสีนนท์,,Kitti Wasinon,Kitti Wasinon,,,,male,1951-11-23,,,,,,,,,,,,,,,,politician,,,,Китти Васинон,,,,,,,Kitti Wasinon
Q20556750,ไกรสร จันทร์สุวานิชย์,ไกรสร จันทร์สุวานิชย์,ไกรสร จันทร์สุวานิชย์,ไกรสร จันทร์สุวานิชย์,,,,,,,,1955,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20557081,จารึก อารีราชการัณย์,จารึก อารีราชการัณย์,จารึก อารีราชการัณย์,จารึก อารีราชการัณย์,,,,,,,,1932,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20557355,ฉัตรเฉลิม เฉลิมสุข,ฉัตรเฉลิม เฉลิมสุข,ฉัตรเฉลิม เฉลิมสุข,ฉัตรเฉลิม เฉลิมสุข,,,,,,,,1955,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20557560,ชัชวาลย์ สุขสมจิตร์,ชัชวาลย์ สุขสมจิตร์,ชัชวาลย์ สุขสมจิตร์,ชัชวาลย์ สุขสมจิตร์,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20557575,ชาตอุดม ติตถะสิริ,ชาตอุดม ติตถะสิริ,ชาตอุดม ติตถะสิริ,ชาตอุดม ติตถะสิริ,,,,,,,,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20557716,ชูเกียรติ รัตนชัยชาญ,ชูเกียรติ รัตนชัยชาญ,ชูเกียรติ รัตนชัยชาญ,ชูเกียรติ รัตนชัยชาญ,,,,,,,male,1955-12-08,,,,,,,,,,,,,,,,lawyer,,,,,,2017-07-27,,,,,
Q20558586,ตรีทศ สนแจ้ง,ตรีทศ สนแจ้ง,ตรีทศ สนแจ้ง,ตรีทศ สนแจ้ง,,Trithod Sonjang,Trithod Sonjang,,,,male,1956-05-01,,,,,,,,,,,,,,,,politician,,,,Тритход Сонджанг,,,,,,,Trithod Sonjang
Q20558860,ทรงธรรม โชคคณาพิทักษ์,ทรงธรรม โชคคณาพิทักษ์,ทรงธรรม โชคคณาพิทักษ์,ทรงธรรม โชคคณาพิทักษ์,,,,,,,,1954,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20559497,ธีรชัย นาควานิช,ธีรชัย นาควานิช,ธีรชัย นาควานิช,ธีรชัย นาควานิช,,Teerachai Narkvanich,Teerachai Narkvanich,,,Thirachai Nakwanich,male,1955-11-15,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4c/ธีรชัย_นาควานิช_11-06-2018_01_(ครอบตัด).jpg,,,,,,,politician,,,,,,,,,,,
Q20560072,บุญชัย โชควัฒนา,บุญชัย โชควัฒนา,บุญชัย โชควัฒนา,บุญชัย โชควัฒนา,,Boonchai Chokwatana,Boonchai Chokwatana,,,,male,1947,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/91/บุญชัย_โชควัฒนา.jpg,,,,,,,politician,,,,,,,,,,,
Q20561068,พรเพชร วิชิตชลชัย,พรเพชร วิชิตชลชัย,พรเพชร วิชิตชลชัย,พรเพชร วิชิตชลชัย,,Pornpetch Vichit Cholchai,Pornpetch Vichit Cholchai,Pornpetch Vichit Cholchai,,,male,1948,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/df/Photo_of_the_courtesy_call_of_Amb._Mary_Jo_A._Bernardo-Aragon_on_National_Legislative_Assembly_President_Prof._Pornpetch_Wichitcholchai.jpg,,,,,,,lawyer,,ພອນເພັດ ວິຊິດຊົນລະໄຊ,ພອນເພດ ວຶຊຶດຊນລະຊັຍ,,,,,,,,Pornpetch Vichit Cholchai
Q20561867,พีระศักดิ์ พอจิต,พีระศักดิ์ พอจิต,พีระศักดิ์ พอจิต,พีระศักดิ์ พอจิต,,,,,,,,1960,,,,,,,,,,,,,,,,lawyer,,ພີຣະສັກ ພໍຈິດ,ພີຣະສັກ ພໍຈິດ,,,,,,,,
Q20563462,วรพงษ์ สง่าเนตร,วรพงษ์ สง่าเนตร,วรพงษ์ สง่าเนตร,วรพงษ์ สง่าเนตร,,,,,,,,1955,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20563491,วลิต โรจนภักดี,วลิต โรจนภักดี,วลิต โรจนภักดี,วลิต โรจนภักดี,,,,,,,,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20563673,วิลาศ อรุณศรี,วิลาศ อรุณศรี,วิลาศ อรุณศรี,วิลาศ อรุณศรี,,,,,,,,1953,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20563846,ศิริชัย ดิษฐกุล,ศิริชัย ดิษฐกุล,ศิริชัย ดิษฐกุล,ศิริชัย ดิษฐกุล,,,,,,,,1955,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20563882,ศิษฐวัชร วงษ์สุวรรณ,ศิษฐวัชร วงษ์สุวรรณ,ศิษฐวัชร วงษ์สุวรรณ,ศิษฐวัชร วงษ์สุวรรณ,,,,,,,,1947,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20564279,สุชาติ หนองบัว,สุชาติ หนองบัว,สุชาติ หนองบัว,สุชาติ หนองบัว,,,,,,,male,1955,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20564326,สุรเชษฐ์ ชัยวงศ์,สุรเชษฐ์ ชัยวงศ์,สุรเชษฐ์ ชัยวงศ์,สุรเชษฐ์ ชัยวงศ์,,,,,,,,1955,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20564781,อักษรา เกิดผล,อักษรา เกิดผล,อักษรา เกิดผล,อักษรา เกิดผล,,,,,,,,1955,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q20564852,อาคม เติมพิทยาไพสิฐ,อาคม เติมพิทยาไพสิฐ,อาคม เติมพิทยาไพสิฐ,อาคม เติมพิทยาไพสิฐ,,,,,,,,1956,,,,,,,,,,,,,,,,politician,,,,,アーコッム・トゥムピットタヤピイシット,,,,,,
Q2301433,ทรงกิตติ จักกาบาตร์,ทรงกิตติ จักกาบาตร์,ทรงกิตติ จักกาบาตร์,ทรงกิตติ จักกาบาตร์,Songkitti Jaggabatara,Songkitti Jaggabatara,Songkitti Jaggabatara,Songkitti Jaggabatara,Songkitti Jaggabatara,Songkitti Jaggabatara,male,1950-12-22,/m/0gj8cq2,,,,,,,Category:Songkitti Jaggabatara,https://upload.wikimedia.org/wikipedia/commons/8/88/Songkitti_Chakkrabat.jpg,Songkitti Jaggabatara,,,,,,politician,,,,Сонгкитти Джаггабатара,,,,,,,Songkitti Jaggabatara
Q24174887,สมหมาย เกาฏีระ,สมหมาย เกาฏีระ,สมหมาย เกาฏีระ,สมหมาย เกาฏีระ,,,,,,,,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q24174888,เทพพงศ์ ทิพยจันทร์,เทพพงศ์ ทิพยจันทร์,เทพพงศ์ ทิพยจันทร์,เทพพงศ์ ทิพยจันทร์,,,,,,,male,1958,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b7/ผู้ช่วยผู้บัญชาการทหารบก.jpg,,,,,,,politician,,,,,,,,,,,
Q24174890,ณะ อารีนิจ,ณะ อารีนิจ,ณะ อารีนิจ,ณะ อารีนิจ,,Na Areenit,,,,,male,1956-12-06,,,,,,,,,,,,,,,,politician,,,,На Аринит,,,,,,На Арініт,Na Areenit
Q24174891,เฉลิมชัย สิทธิสาท,เฉลิมชัย สิทธิสาท,เฉลิมชัย สิทธิสาท,เฉลิมชัย สิทธิสาท,,Chalermchai Sitthisart,Chalermchai Sitthisart,,,Chalermchai Sitthisart,male,1957,,,,,,,,,,Chalermchai Sitthisart,,,,,,politician,,,,,,,,,,,Chalermchai Sitthisart
Q24174892,พิสิทธิ์ สิทธิสาร,พิสิทธิ์ สิทธิสาร,พิสิทธิ์ สิทธิสาร,พิสิทธิ์ สิทธิสาร,,,,,,,,1957,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q24174894,สุรางคณา วายุภาพ,สุรางคณา วายุภาพ,สุรางคณา วายุภาพ,สุรางคณา วายุภาพ,,,,,,,female,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/นางสุรางคณา_วายุภาพ.jpg,,,,,,,politician,,,,,,,,,,,
Q25538770,อนันตพร กาญจนรัตน์,อนันตพร กาญจนรัตน์,อนันตพร กาญจนรัตน์,อนันตพร กาญจนรัตน์,,,,,,,,1955,,,,,,,,,,,,,,,,politician,,,,,アナンタポン・カンシャナラット,,,,,,
Q25542483,สมศักดิ์ นิลบรรเจิดกุล,สมศักดิ์ นิลบรรเจิดกุล,สมศักดิ์ นิลบรรเจิดกุล,สมศักดิ์ นิลบรรเจิดกุล,,,,,,,,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q25543828,ศานิตย์ มหถาวร,ศานิตย์ มหถาวร,ศานิตย์ มหถาวร,ศานิตย์ มหถาวร,,,,,,,,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q28058488,ชัยชาญ ช้างมงคล,ชัยชาญ ช้างมงคล,ชัยชาญ ช้างมงคล,ชัยชาญ ช้างมงคล,,Chinchan Changmongkon,Chinchan Changmongkon,,,,male,1957-01-25,,,,,,,,,,,,,,,,politician,,,,Чинчан Чангмонгкон,,,,,,,Chinchan Changmongkon
Q28058490,จอม รุ่งสว่าง,จอม รุ่งสว่าง,จอม รุ่งสว่าง,จอม รุ่งสว่าง,,Jom Rongswang,Jom Rongswang,,,,male,1958-05-15,,,,,,,,,,,,,,,,politician,,,,Джом Ронгсванг,,,,,,,Jom Rongswang
Q28058514,สุรพงษ์ สุวรรณอัตถ์,สุรพงษ์ สุวรรณอัตถ์,สุรพงษ์ สุวรรณอัตถ์,สุรพงษ์ สุวรรณอัตถ์,,,,,,,male,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q28058515,สสิน ทองภักดี,สสิน ทองภักดี,สสิน ทองภักดี,สสิน ทองภักดี,,Sinsin Phakdi,Sinsin Phakdi,,,,male,1958,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/eb/พลเอกสสิน_ทองภักดี.png,,,,,,,politician,,,,,,,,,,,Sinsin Phakdi
Q28058551,วีระศักดิ์ ฟูตระกูล,วีระศักดิ์ ฟูตระกูล,วีระศักดิ์ ฟูตระกูล,วีระศักดิ์ ฟูตระกูล,,Wirasak Futrakul,Wirasak Futrakul,,,,male,1951-12-23,,,,,,,,,,,,,,,,politician,,,,Вирасак Футракул,ウィーラサック・フートラクーン,,,,,,
Q31350241,ปรีดี ดาวฉาย,ปรีดี ดาวฉาย,ปรีดี ดาวฉาย,ปรีดี ดาวฉาย,,Pridee Daochay,Pridee Daochay,,,,,1958-09-09,,,,,,,,,,,,,,,,politician,,,,Приди Даочай,,,,,,,Pridee Daochay
Q31350339,เจน นำชัยศิริ,เจน นำชัยศิริ,เจน นำชัยศิริ,เจน นำชัยศิริ,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q31350956,ประดิษฐ์ วรรณรัตน์,ประดิษฐ์ วรรณรัตน์,ประดิษฐ์ วรรณรัตน์,ประดิษฐ์ วรรณรัตน์,,Pradit Wanrat,Pradit Wanrat,,,,male,1958-07-11,,,,,,,,,,,,,,,,politician,,,,Прадит Ванрат,,,,,,,Pradit Wanrat
Q31350957,เฉลิมชัย บุญยะลีพรรณ,เฉลิมชัย บุญยะลีพรรณ,เฉลิมชัย บุญยะลีพรรณ,เฉลิมชัย บุญยะลีพรรณ,,,,,,,male,1959,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q31350959,นิสดารก์ เวชยานนท์,นิสดารก์ เวชยานนท์,นิสดารก์ เวชยานนท์,นิสดารก์ เวชยานนท์,,Nisdan Wechyanon,Nisdan Wechyanon,,,,female,1956-10-13,,,,,,,,,,,,,,,,politician,,,,Нисдан Вичаянон,,,,,,Нісдан Вічаянон,
Q31351207,เจตน์ ศิรธรานนท์,เจตน์ ศิรธรานนท์,เจตน์ ศิรธรานนท์,เจตน์ ศิรธรานนท์,,,,,,,,1949-04-11,,,,,,,,,,,,,,,,politician,,ເຈດ ສຶຣະທະນານນ,ເຈດ ສຶຣະທະນານນ,,,,,,,,
Q3739908,พงศพัศ พงษ์เจริญ,พงศพัศ พงษ์เจริญ,พงศพัศ พงษ์เจริญ,พงศพัศ พงษ์เจริญ,Pongsapat Pongcharoen,Pongsapat Pongcharoen,Pongsapat Pongcharoen,Pongsapat Pongcharoen,,Pongsapat Pongcharoen,male,1955-12-09,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Pongsapat_Pongcharoen.jpg,Pongsapat Pongcharoen,蓬沙帕,蓬沙帕,蓬沙帕,蓬沙帕,蓬沙帕,police officer,,,,,,,,,,,Pongsapat Pongcharoen
