uuid,female,male,other,skip,total
db96d11d-544f-4cb7-9013-b3811206f452,0,10,0,0,10
dbdb0cef-b672-4ef9-b678-27e81aa1a825,0,4,1,1,6
dbfea322-4542-40a3-8fc3-dc80f48d8947,10,0,0,0,10
dd464395-ff9d-48c8-8de1-394ed4d1b992,4,0,1,1,6
dd84c9cc-998e-4398-b516-de365a6b5211,0,7,0,0,7
de42b9d6-02e5-445d-b321-742191db6b11,4,0,1,3,8
df01265f-a201-40ef-b824-b616e1a0f093,1,2,1,4,8
df991d89-9d9a-49f2-b495-df7c23ca8ad6,0,10,0,0,10
e1549803-dd37-411f-b72c-705eebd48161,0,4,1,3,8
e29d1fc6-387c-4cc7-9409-a39d37bd5bed,7,0,0,0,7
e3219286-b9f1-4dbe-904b-c98b605e9612,0,8,1,0,9
e3b54494-74d5-4004-b3df-f45a4f80fa70,0,4,1,1,6
e4d5b19c-b0e5-4f04-a1ba-6c5741bc75d6,9,0,0,0,9
e7ebd70e-6c77-4ad1-9695-be6fb28f90e0,6,0,1,1,8
eaa9501b-c68e-402a-9132-28ef0951a2e1,0,7,0,0,7
ecb22a84-1788-46a6-a87e-50aa94e75503,0,3,1,6,10
eea150da-21eb-416a-ba3e-9431c793795c,0,4,1,0,5
eeca96d1-41ff-4bd1-b5af-0572230b1a79,0,4,1,2,7
ef89d1dc-e83c-4436-b0f2-25bd837481c5,0,4,1,0,5
f2b9aec9-632c-4a6d-ba51-f01f53d47054,0,4,0,2,6
f4d9d0a2-0eec-429d-8aa2-c39357b19367,4,0,1,2,7
fb3c842b-e188-4671-8afa-a499bb1a3a46,0,7,0,0,7
fc62020a-40a7-4bb7-8532-7d28b56ee5fd,0,5,0,2,7
fd2ffdcf-096b-46ba-9b30-2e9e8b90c1c2,7,0,0,0,7
fdb6d465-ecc4-4a40-ae4a-f769b59db3a4,9,0,0,0,9
fe66d77f-e6c6-4574-a558-318cc0fd138f,0,4,1,2,7
fe76b89a-b06e-4b9d-9622-cd5262d7a4bb,1,0,0,3,4
ff180a6f-9523-4390-85cc-98630ef90277,4,0,1,2,7
