id,name,sort_name,photo,email,facebook,twitter,source,honorific_prefix,start_date,end_date,area,party,term
bindra-mahesh,Mahesh Bindra,"Bindra, Mahesh",https://www.parliament.nz/media/2052/bindra-mahesh.C2yqKw.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%237538141d10061d5b171c1b11071435051407191c1418101b015b121a03015b1b0f,https://www.facebook.com/mahesh.bindra.7,https://twitter.com/MaheshBindra,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bindra-mahesh/,,2014-10-20,,List,NZ First,51
bishop-chris,Chris Bishop,"Bishop, Chris",https://www.parliament.nz/media/2030/bishop-chris.C2uZGg.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%2325664d574c560b474c564d4a5565554457494c4448404b510b424a53510b4b5f,https://www.facebook.com/chrisbishopmp,https://twitter.com/cjsbishop,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bishop-chris/,,2014-10-20,,List,National Party,51
bond-ria,Ria Bond,"Bond, Ria",https://www.parliament.nz/media/2029/bond-ria.DdiPJg.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23b3e1dad29dd1dcddd7f3c3d2c1dfdad2ded6ddc79dd4dcc5c79dddc9,https://www.facebook.com/RiaBondMPNZFirst,https://twitter.com/RiaBondMP,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bond-ria/,,2015-04-24,,List,NZ First,51
borrows-chester,Chester Borrows,"Borrows, Chester",https://www.parliament.nz/media/1269/chester-borrows-cropped.DdiRHw.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23abc8c3ced8dfced985c9c4d9d9c4dcd8ebdbcad9c7c2cac6cec5df85ccc4dddf85c5d1,https://www.facebook.com/chesterborrows,https://twitter.com/ChesterBorrows,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/borrows-chester/,,2014-10-20,,Whanganui,National Party,51
bridges-simon,Simon Bridges,"Bridges, Simon",https://www.parliament.nz/media/2058/bridgess.DJq5zQ.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23d0a3b9bdbfbefeb2a2b9b4b7b5a390a0b1a2bcb9b1bdb5bea4feb7bfa6a4febeaa,https://www.facebook.com/Simon.Bridges.MP,https://twitter.com/simonjbridges,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bridges-simon/,,2014-10-20,,Tauranga,National Party,51
browning-steffan,Steffan Browning,"Browning, Steffan",https://www.parliament.nz/media/1270/browning-steffan.C244Ng.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23e794938281818689c985958890898e8980a79786958b8e868a828993c980889193c9899d,https://www.facebook.com/steffanbrowningmp,https://twitter.com/SteffanBrowning,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/browning-steffan/,,2014-10-20,,List,Green Party,51
brownlee-gerry,Gerry Brownlee,"Brownlee, Gerry",https://www.parliament.nz/media/1271/brownlee-gerry3.C1fwxA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%2307606275757e2965756870696b6262477766756b6e666a626973296068717329697d,https://www.facebook.com/gerrybrownleemp,"",https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/brownlee-gerry/,,2014-10-20,,Ilam,National Party,51
carter-david,David Carter,"Carter, David",https://www.parliament.nz/media/1273/carter-david3.C1fwxA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23e38782958a87cd808291978691a39382918f8a828e868d97cd848c9597cd8d99,https://www.facebook.com/DavidCarterMP,https://twitter.com/DavidCarterMP,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/carter-david/,,2014-10-20,,List,National Party,51
clark-david,David Clark,"Clark, David",https://www.parliament.nz/media/1272/clark-david3.C1fwxA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%233f5b5e49565b115c535e4d547f4f5e4d53565e525a514b115850494b115145,https://www.facebook.com/DavidClarkMP/,https://twitter.com/DavidClarkNZ,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/clark-david/,Dr,2014-10-20,,Dunedin North,Labour Party,51
clendon-david,David Clendon,"Clendon, David",https://www.parliament.nz/media/2059/clendon-david.DdiSnA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23543035223d307a3738313a303b3a14243526383d3539313a207a333b22207a3a2e,https://www.facebook.com/david.clendon,https://twitter.com/davidclendon,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/clendon-david/,,2014-10-20,,List,Green Party,51
coates-barry,Barry Coates,"Coates, Barry",https://www.parliament.nz/media/3046/coates-barry.DZZyzA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23f19390838388df929e90859482b18190839d98909c949f85df969e8785df9f8b,https://www.facebook.com/barrycoatesnz,https://twitter.com/BarryCoates,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/coates-barry/,,2016-10-07,,List,Green Party,51
coleman-jonathan,Jonathan Coleman,"Coleman, Jonathan",https://www.parliament.nz/media/1275/coleman-jonathan3.C1fwxA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23c1abaeafa0b5a9a0afefa2aeada4aca0af81b1a0b3ada8a0aca4afb5efa6aeb7b5efafbb,https://www.facebook.com/jonathan.coleman.56,https://twitter.com/jcolemanmp,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/coleman-jonathan/,Dr,2014-10-20,,Northcote,National Party,51
collins-judith,Judith Collins,"Collins, Judith",https://www.parliament.nz/media/1276/collins-judith3.C1fwxA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23d7bda2b3bea3bff9b4b8bbbbbeb9a497a7b6a5bbbeb6bab2b9a3f9b0b8a1a3f9b9ad,https://www.facebook.com/judithcollinsmp,https://twitter.com/judithcollinsmp,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/collins-judith/,,2014-10-20,,Papakura,National Party,51
cosgrove-clayton,Clayton Cosgrove,"Cosgrove, Clayton",https://www.parliament.nz/media/1277/cosgrove-clayton3.C1fwxA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23f0939c9189849f9ede939f8397829f8695b08091829c99919d959e84de979f8684de9e8a,https://www.facebook.com/claytoncosgrovemp,"",https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/cosgrove-clayton/,,2014-10-20,,List,Labour Party,51
curran-clare,Clare Curran,"Curran, Clare",https://www.parliament.nz/media/1279/curran-clare.DdiTlw.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23a4c7c8c5d6c18ac7d1d6d6c1cae4d4c5d6c8cdc5c9c1cad08ac3cbd2d08acade,https://www.facebook.com/ClareCurranForDunedinSouth,https://twitter.com/ClareCurranMP,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/curran-clare/,,2014-10-20,,Dunedin South,Labour Party,51
davidson-marama,Marama Davidson,"Davidson, Marama",https://www.parliament.nz/media/1280/davidson-marama.DdiZ5g.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23602d0112010d014e2401160904130f0e201001120c09010d050e144e070f16144e0e1a,https://www.facebook.com/marama.davidson,https://twitter.com/MaramaDavidson,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/davidson-marama/,,2015-11-02,,List,Green Party,51
davis-kelvin,Kelvin Davis,"Davis, Kelvin",https://www.parliament.nz/media/2032/davis-kelvin.DdiaxQ.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%235d1638312b343373193c2b342e1d2d3c2f31343c30383329733a322b29733327,https://www.facebook.com/KelvinDavisLabour,https://twitter.com/NgatiBird,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/davis-kelvin/,,2014-10-20,,Te Tai Tokerau,Labour Party,51
dean-jacqui,Jacqui Dean,"Dean, Jacqui",https://www.parliament.nz/media/2060/dean-jacqui.C2zKYw.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%2385efe4e6f4f0ecabe1e0e4ebc5f5e4f7e9ece4e8e0ebf1abe2eaf3f1abebff,https://www.facebook.com/JacquiDeanMP,https://twitter.com/JacquiDeanMP,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/dean-jacqui/,,2014-10-20,,Waitaki,National Party,51
delahunty-catherine,Catherine Delahunty,"Delahunty, Catherine",https://www.parliament.nz/media/1283/delahunty-catherine5.C1fwxA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23a8cbc9dcc0cddac1c6cd86cccdc4c9c0ddc6dcd1e8d8c9dac4c1c9c5cdc6dc86cfc7dedc86c6d2,https://www.facebook.com/catherine.delahunty,https://twitter.com/greencatherine,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/delahunty-catherine/,,2014-10-20,,List,Green Party,51
doocey-matt,Matt Doocey,"Doocey, Matt",https://www.parliament.nz/media/2035/doocey-matt.Ddibfg.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23cca1adb8b8e2a8a3a3afa9b58cbcadbea0a5ada1a9a2b8e2aba3bab8e2a2b6,https://www.facebook.com/MattDoocey.Christchurch,"",https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/doocey-matt/,,2014-10-20,,Waimakariri,National Party,51
dowie-sarah,Sarah Dowie,"Dowie, Sarah",https://www.parliament.nz/media/1284/dowie-sarah.DdicUQ.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%2315667467747d3b717a627c7055657467797c7478707b613b727a63613b7b6f,https://www.facebook.com/SarahDowieInvercargill,https://twitter.com/NZsarahdowie,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/dowie-sarah/,,2014-10-20,,Invercargill,National Party,51
dunne-peter,Peter Dunne,"Dunne, Peter",https://www.parliament.nz/media/1285/dunne-peter5.C1fwxA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23a3d3c6d7c6d18dc7d6cdcdc6e3d3c2d1cfcac2cec6cdd78dc4ccd5d78dcdd9,"",https://twitter.com/PeterDunneMP,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/dunne-peter/,,2014-10-20,,Ōhāriu,United Future New Zealand,51
dyson-ruth,Ruth Dyson,"Dyson, Ruth",https://www.parliament.nz/media/1287/dyson-ruth5.C1fwxQ.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%23d3a1a6a7bbfdb7aaa0bcbd93a3b2a1bfbab2beb6bda7fdb4bca5a7fdbda9,https://www.facebook.com/ruthdyson.labour,https://twitter.com/RuthDysonMP,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/dyson-ruth/,,2014-10-20,,Port Hills,Labour Party,51
english-bill,Bill English,"English, Bill",https://www.parliament.nz/media/1286/english-bill5.C1fwxA.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%2352303b3e3e7c373c353e3b213a122233203e3b333f373c267c353d24267c3c28,https://www.facebook.com/pmbillenglish,https://twitter.com/pmbillenglish,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/english-bill/,,2014-10-20,,List,National Party,51
faafoi-kris,Kris Faafoi,"Faafoi, Kris",https://www.parliament.nz/media/1289/faafoi-kris.C24c5w.jpg,https://www.parliament.nz/cdn-cgi/l/email-protection%237e150c170d50181f1f1811173e0e1f0c12171f131b100a501911080a501004,https://www.facebook.com/krisfaafoimp,https://twitter.com/KrisinMana,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/faafoi-kris/,,2014-10-20,,Mana,Labour Party,51
