id,position,label,description,start_date,constituency,term,replaces,end_date,replaced_by,of,election
Q186074,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q19875535,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2015-04-28,"",51st New Zealand Parliament,Winston Peters,,,,
Q20983272,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q20983272,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2015-11-04,"",51st New Zealand Parliament,,,,,
Q2176896,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q2622925,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1981,St Kilda,,William Fraser,1996,"",,
Q2622925,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1996,Dunedin South,,"",1999,David Benson-Pope,,
Q2622925,Q5261068,Deputy Prime Minister of New Zealand,"",2002-08-15,,,Jim Anderton,2008-11-19,Bill English,,
Q2622925,Q6866129,New Zealand finance minister,in New Zealand,1999-12-05,,,Bill Birch,2008-11-19,Bill English,,
Q26845632,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2016-10-07,"",51st New Zealand Parliament,,,,,
Q27825309,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Rongotai,52nd New Zealand Parliament,,,,,
Q27950864,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Mount Roskill,52nd New Zealand Parliament,,,,,
Q27950864,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2016-12-03,Mount Roskill,51st New Zealand Parliament,,,,,"Mount Roskill by-election, 2016"
Q28137192,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q28600237,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Ōhariu,52nd New Zealand Parliament,,,,,
Q28839760,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Tukituki,52nd New Zealand Parliament,,,,,
Q2920241,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q3272521,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q3456546,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q3527980,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Te Tai Tonga,52nd New Zealand Parliament,,,,,
Q352998,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Manurewa,,Merv Wellington,,George Hawkins,,
Q352998,Q6866129,New Zealand finance minister,in New Zealand,1984-07-26,,,Robert Muldoon,1988-12-14,David Caygill,,
Q355398,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1999-11-27,Te Atatū,,,2011-11-26,,,
Q355398,Q6866068,Minister of Conservation,"",2002-08-15,,,Sandra Lee-Vercoe,2007-11-05,Steve Chadwick,,
Q355398,Q6866108,Minister of Education,minister in the government of New Zealand,2007-11-05,,,Steve Maharey,2008-10-19,Anne Tolley,,
Q3561074,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Dunedin North,52nd New Zealand Parliament,,,,,
Q3561080,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q3561087,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q3561087,Q6866227,Minister of Justice,Minister of Justice in New Zealand,2017-10-26,,,Amy Adams,,,,
Q3562630,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q3606816,Q1071117,Prime Minister of New Zealand,head of the New Zealand government,2017-10-26,,,Bill English,,,,
Q3606816,Q1255921,president,"non-political leader of an organization, company, community, club, trade union, university or other group","",,,,,,International Union of Socialist Youth,
Q3606816,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Mount Albert Electorate,52nd New Zealand Parliament,,,,,
Q3606816,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2008-11-08,"",49th New Zealand Parliament,,,,,
Q3606816,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2014-10-20,"",51st New Zealand Parliament,,2017-03-08,,,
Q3606816,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2017-03-08,Mount Albert Electorate,51st New Zealand Parliament,,,,,
Q3729808,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q3798833,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Hauraki-Waikato,52nd New Zealand Parliament,,,,,
Q3798833,Q991876,Minister of Māori Affairs,position,2017-10-25,,,,,,,
Q40969839,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41424038,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2018-04-03,,52nd New Zealand Parliament,Steven Joyce,,,,
Q41498722,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41498725,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41498728,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Christchurch Central,52nd New Zealand Parliament,,,,,
Q41498732,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",New Lynn,52nd New Zealand Parliament,,,,,
Q41498735,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41498738,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41498745,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41498748,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41498753,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41498755,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41498758,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41498761,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41672227,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Waikato,52nd New Zealand Parliament,,,,,
Q41672229,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",East Coast Bays,52nd New Zealand Parliament,,,,,
Q41672238,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Helensville,52nd New Zealand Parliament,,,,,
Q41672277,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Pakuranga,52nd New Zealand Parliament,,,,,
Q41673587,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Clutha-Southland,52nd New Zealand Parliament,,,,,
Q41673608,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Rangitata,52nd New Zealand Parliament,,,,,
Q41674202,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41675222,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Whanganui,52nd New Zealand Parliament,,,,,
Q41689955,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41699512,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q41699562,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Northland,52nd New Zealand Parliament,,,,,
Q42291428,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q4352603,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Ilam,52nd New Zealand Parliament,,,,,
Q4352603,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2008-11-19,,,Michael Cullen,,,,
Q4384608,Q1071117,Prime Minister of New Zealand,head of the New Zealand government,2016-12-12,,,John Key,2017-10-26,Jacinda Ardern,,
Q4384608,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,2018-03-13,Maureen Pugh,,
Q4384608,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1990-10-27,Wallace,,Derek Angus,1996-10-12,"",,
Q4384608,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1996-10-12,Clutha-Southland,,"",2014-09-20,Todd Barclay,,
Q4384608,Q5261068,Deputy Prime Minister of New Zealand,"",2008-11-19,,,Michael Cullen,2016-12-12,Paula Bennett,,
Q4384608,Q6508547,Leader of the Opposition,parliamentary position of the Parliament of New Zealand,2001-10-08,,,Jenny Shipley,2003-10-28,Don Brash,,
Q4384608,Q6866129,New Zealand finance minister,in New Zealand,2008-11-19,,,Michael Cullen,2016-12-12,Steven Joyce,,
Q4384608,Q6866214,Minister of Infrastructure,Cabinet position in New Zealand,2008-11-19,,,,2011-12-14,,,
Q444437,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q444691,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1999,Coromandel,,Murray McLean,2002,Sandra Goudie,,
Q4451124,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Palmerston North,52nd New Zealand Parliament,,,,,
Q4451134,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4451142,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Selwyn,52nd New Zealand Parliament,,,,,
Q4451142,Q6866227,Minister of Justice,Minister of Justice in New Zealand,"",,,,,,,
Q4451596,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4507790,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q466117,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q466137,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1999-11-27,Wairarapa,,Wyatt Creech,2005-09-17,John Hayes,,
Q4662039,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4723211,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q4730906,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4758928,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4766440,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4766440,Q6797770,Mayor of North Shore,"","",,,,,,,
Q4769089,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4769089,Q6508547,Leader of the Opposition,parliamentary position of the Parliament of New Zealand,2008-11-11,,,Bill English,2011-12-13,Grant Robertson,,
Q4769089,Q6508547,Leader of the Opposition,parliamentary position of the Parliament of New Zealand,2014-11-24,,,David Parker,,,,
Q4769089,Q6866167,Minister of Health,minister responsible for the New Zealand Ministry of Health and the District Health Boards,1999-12-10,,,Bill English,2005-10-19,Pete Hodgson,,
Q4769089,Q6866227,Minister of Justice,Minister of Justice in New Zealand,2007-10-31,,,Mark Burton,2008-11-19,Simon Power,,
Q4804168,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4805872,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4932085,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4961152,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4963418,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q4963589,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5024812,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5043325,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Kelston,52nd New Zealand Parliament,,,,,
Q5044250,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5052634,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5093475,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5106549,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q5106890,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Rimutaka,52nd New Zealand Parliament,,,,,
Q5108303,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5126149,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Dunedin South,52nd New Zealand Parliament,,,,,
Q5130200,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5131196,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5131196,Q6866081,Minister of Corrections,New Zealand minister,"",,,,,,,
Q5145261,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5180973,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5209184,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5212493,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",West Coast-Tasman,52nd New Zealand Parliament,,,,,
Q5212493,Q6866081,Minister of Corrections,New Zealand minister,"",,,,,,,
Q5222732,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5224982,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5228941,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5231315,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Hamilton East,52nd New Zealand Parliament,,,,,
Q5231322,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5232720,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5234037,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5257444,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5257753,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5271713,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5301028,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5302516,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5387408,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q540420,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",East Coast,52nd New Zealand Parliament,,,,,
Q540420,Q25998902,Minister of Social Development,minister in New Zealand,2014-10-13,,,Paula Bennett,,,,
Q540420,Q6866081,Minister of Corrections,New Zealand minister,"",,,,,,,
Q540420,Q6866108,Minister of Education,minister in the government of New Zealand,2008-11-19,,,Chris Carter,2011-11-25,Hekia Parata,,
Q5408237,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q55080917,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2018-06-09,Northcote,52nd New Zealand Parliament,Jonathan Coleman,,,,
Q5522873,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q5540327,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5548324,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5585019,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5694093,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5760914,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q57783,Q1071117,Prime Minister of New Zealand,head of the New Zealand government,2008-11-19,,,Helen Clark,2016-12-12,Bill English,,
Q57783,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q58291,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5882303,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5978594,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5978615,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q5978615,Q6866108,Minister of Education,minister in the government of New Zealand,"",,,,,,,
Q597909,Q10330337,Minister of Defence,minister in the government of New Zealand,2005-10-19,,,Mark Burton,2008-11-19,Wayne Mapp,,
Q597909,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1993-11-06,Roskill,,Gilbert Myles,1996-10-12,"",,
Q597909,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1996-10-12,New Lynn,,Jonathan Hunt,1999-11-27,"",,
Q597909,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1999-11-27,Mount Roskill,,"",2016-10-12,Michael Wood,,
Q597909,Q24998622,Leader of the New Zealand Labour Party,"",2008-11-19,,,,2011-12-13,David Shearer,,
Q597909,Q3409577,Mayor of Auckland,head of the Auckland Council,2016-11-01,,,Len Brown,,,,
Q597909,Q6508547,Leader of the Opposition,parliamentary position of the Parliament of New Zealand,2008-11-11,,,John Key,2011-12-13,David Shearer,,
Q597909,Q6866081,Minister of Corrections,New Zealand minister,2007,,,Damien O'Connor,2008,Judith Collins,,
