id,name,constituency,party,party_id,gender,district,tel,term,source
457,Hon. P. Dimba,Lilongwe South,Independent,Independent,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=457&mode=alps
390,Hon. P.S. Dzimbiri,Balaka West,Independent,Independent,F,Balaka,"",2014,http://www.parliament.gov.mw/mp.php?indexc=390&mode=alps
458,Hon. A. Dzonzi,Dowa West,Malawi Congress Party,MCP,M,Dowa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=458&mode=alps
391,Hon. V.G. Dzoole Mwale,Lilongwe Msozi South,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=391&mode=alps
459,Hon. E. Dr. Fabiano,Chiradzulu West,Democratic Progressive Party,DPP,M,Chiradzulu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=459&mode=alps
367,Hon. A.R. Gaffar,Blantyre Kabula,Independent,Independent,M,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=367&mode=alps
462,Hon. S.S. Ganda,Nsanje Lalanje,Independent,Independent,M,Nsanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=462&mode=alps
463,Hon. V.W. Ghambi,Karonga North,Democratic Progressive Party,DPP,M,Karonga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=463&mode=alps
460,Hon. T.T. Gowelo,Blantyre City West,Democratic Progressive Party,DPP,M,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=460&mode=alps
400,Hon. W.A. Gwengwe,Lilongwe South East,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=400&mode=alps
464,Hon. J.H. Hara,Mzimba Solora,Malawi Congress Party,MCP,M,Mzimba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=464&mode=alps
465,Hon. Z.G. Issa,Chikwawa Central,Independent,Independent,M,Chikwawa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=465&mode=alps
309,Hon. G. Jeffrey,Nkhotakota South,Democratic Progressive Party,DPP,F,Nkhotakota,"",2014,http://www.parliament.gov.mw/mp.php?indexc=309&mode=alps
466,Hon. H.L. Jiya,Lilongwe Msozi North,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=466&mode=alps
298,Hon. E. Jolobala,Machinga East,Independent,Independent,F,Machinga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=298&mode=alps
329,Hon. R.P. Jooma,Mangochi Monkey Bay,Peoples Party,PP,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=329&mode=alps
477,Hon. F.E. Jumbe,Salima Central,Malawi Congress Party,MCP,M,Salima,"",2014,http://www.parliament.gov.mw/mp.php?indexc=477&mode=alps
422,Hon. J. Dr. Kabwila,Salima North West,Malawi Congress Party,MCP,F,Salima,"",2014,http://www.parliament.gov.mw/mp.php?indexc=422&mode=alps
424,Hon. A.R. Kachale Banda,Zomba Malosa,Peoples Party,PP,M,Zomba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=424&mode=alps
406,Hon. K.H. Kachali,Mzimba South West,Peoples Party,PP,M,Mzimba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=406&mode=alps
409,Hon. A.A.N. Kachikho,Phalombe North,Democratic Progressive Party,DPP,F,Phalombe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=409&mode=alps
436,Hon. K.P. Kachingwe,Blantyre South West,Independent,Independent,M,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=436&mode=alps
405,Hon. E.J. Kaduya,Thyolo North,Democratic Progressive Party,DPP,M,Thyolo,"",2014,http://www.parliament.gov.mw/mp.php?indexc=405&mode=alps
433,Hon. B. Kadzamira,Ntchisi North,Independent,Independent,M,Ntchisi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=433&mode=alps
423,Hon. D.D.S. Kadzinja,Blantyre Bangwe,Democratic Progressive Party,DPP,M,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=423&mode=alps
417,Hon. P.N. Kainga,Zomba Central,Peoples Party,PP,F,Zomba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=417&mode=alps
421,Hon. C.J.F. Kajawa,Lilongwe Mpenu Nkhoma,Independent,Independent,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=421&mode=alps
354,Hon. S.J. Kaliati,Machinga Central,United Democratic Front,UDF,M,Machinga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=354&mode=alps
410,Hon. P.A. Kaliati,Mulanje West,Democratic Progressive Party,DPP,F,Mulanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=410&mode=alps
411,Hon. A.D. Kaliati,Mulanje Pasani,Democratic Progressive Party,DPP,M,Mulanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=411&mode=alps
366,Hon. J.A.N. Kalilani,Dowa Central,Democratic Progressive Party,DPP,F,Dowa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=366&mode=alps
438,Hon. W.L. Kalima,Ntchisi East,Malawi Congress Party,MCP,M,Ntchisi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=438&mode=alps
416,Hon. B.E. Kalindo,Mulanje South,Democratic Progressive Party,DPP,M,Mulanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=416&mode=alps
408,Hon. I. Kalosi,Mangochi North East,United Democratic Front,UDF,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=408&mode=alps
432,Hon. K. Kalua,Rumphi East,Peoples Party,PP,M,Rumphi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=432&mode=alps
430,Hon. E.W. Kamanga,Kasungu North East,Peoples Party,PP,M,Kasungu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=430&mode=alps
428,Hon. T. Kamangira,Nsanje South,Democratic Progressive Party,DPP,M,Nsanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=428&mode=alps
437,Hon. M.I. Kamuyambeni,Ntcheu West,Democratic Progressive Party,DPP,M,Ntcheu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=437&mode=alps
429,Hon. J.B. Kamwambi,Karonga North West,Democratic Progressive Party,DPP,M,Karonga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=429&mode=alps
414,Hon. G.J. Kamwanja,Likoma Islands,Democratic Progressive Party,DPP,M,Likoma,"",2014,http://www.parliament.gov.mw/mp.php?indexc=414&mode=alps
478,Hon. K. Kandodo Chiponda,Kasungu South East,Malawi Congress Party,MCP,F,Kasungu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=478&mode=alps
415,Hon. G.G. Kanjere,Ntcheu Bwanje South,Democratic Progressive Party,DPP,M,Ntcheu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=415&mode=alps
348,Hon. C.H.B. Kaphamtengo Yona,Salima North,Malawi Congress Party,MCP,M,Salima,"",2014,http://www.parliament.gov.mw/mp.php?indexc=348&mode=alps
407,Hon. M.M. Kapichira,Mangochi Malombe,United Democratic Front,UDF,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=407&mode=alps
382,Hon. I.A. Karim,Chikwawa South,Peoples Party,PP,M,Chikwawa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=382&mode=alps
365,Hon. W.Q.B. Karonga,Chiradzulu North,Independent,Independent,M,Chiradzulu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=365&mode=alps
412,Hon. F.L. Kasaila,Nsanje Central,Democratic Progressive Party,DPP,M,Nsanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=412&mode=alps
420,Hon. D.C. Katsonga,Mwanza Central,Chipani Cha Pfuko,CCP,M,Mwanza,"",2014,http://www.parliament.gov.mw/mp.php?indexc=420&mode=alps
434,Hon. S.D. Kawale,Dowa North East,Malawi Congress Party,MCP,M,Dowa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=434&mode=alps
431,Hon. M.F. Kazombo,Kasungu East,Malawi Congress Party,MCP,M,Kasungu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=431&mode=alps
413,Hon. G.B. Khamisa,Thyolo Central,Independent,Independent,M,Thyolo,"",2014,http://www.parliament.gov.mw/mp.php?indexc=413&mode=alps
418,Hon. M.M. Khembo,Neno South,Independent,Independent,F,Neno,"",2014,http://www.parliament.gov.mw/mp.php?indexc=418&mode=alps
427,Hon. R.S. Khumbanyiwa,Chikwawa East,United Democratic Front,UDF,M,Chikwawa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=427&mode=alps
426,Hon. N.M.M. Kilekwa,Mulanje South East,Independent,Independent,F,Mulanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=426&mode=alps
419,Hon. J.J.C.C. Kouwenhoven,Rumphi West,Independent,Independent,F,Rumphi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=419&mode=alps
425,Hon. P. Dr. Kumpalume,Blantyre West,Democratic Progressive Party,DPP,M,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=425&mode=alps
389,Hon. D. Lally,Machinga Likwenu,United Democratic Front,UDF,M,Machinga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=389&mode=alps
350,Hon. K.A. Liguluwe,Salima South East,Peoples Party,PP,M,Salima,"",2014,http://www.parliament.gov.mw/mp.php?indexc=350&mode=alps
364,Hon. A. Lipande,Ntcheu North,Democratic Progressive Party,DPP,M,Ntcheu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=364&mode=alps
361,Hon. M.C. Livuza Mpanga,Phalombe South,Independent,Independent,F,Phalombe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=361&mode=alps
403,Hon. C.L.B. Lowe,Lilongwe Central,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=403&mode=alps
404,Hon. E.H. Lozo,Neno North,Independent,Independent,M,Neno,"",2014,http://www.parliament.gov.mw/mp.php?indexc=404&mode=alps
378,Hon. E.E. Luka,Zomba Lisanjala,Democratic Progressive Party,DPP,M,Zomba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=378&mode=alps
399,Hon. J. Lunguzi,Dedza East,Malawi Congress Party,MCP,F,Dedza,"",2014,http://www.parliament.gov.mw/mp.php?indexc=399&mode=alps
439,Hon. A.T. Mailosi,Phalombe East,Independent,Independent,M,Phalombe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=439&mode=alps
375,Hon. J. Majawa,Mangochi South West,Independent,Independent,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=375&mode=alps
370,Hon. A.C.M. Major,Kasungu West,Malawi Congress Party,MCP,M,Kasungu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=370&mode=alps
308,Hon. W. Makala Ngozo,Lilongwe Mpenu,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=308&mode=alps
373,Hon. P.A Dr. Makina,Zomba Mtonya,Peoples Party,PP,M,Zomba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=373&mode=alps
334,Hon. E.A Makowa-Mwale,Nkhotakota South East,Malawi Congress Party,MCP,M,Nkhotakota,"",2014,http://www.parliament.gov.mw/mp.php?indexc=334&mode=alps
331,Hon. L.L.E Malola,Chikwawa Mkombezi,Democratic Progressive Party,DPP,M,Chikwawa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=331&mode=alps
377,Hon. B.B Malunga,Dedza Central East,Malawi Congress Party,MCP,M,Dedza,"",2014,http://www.parliament.gov.mw/mp.php?indexc=377&mode=alps
317,Hon. K Maluwa,Chikwawa West,Democratic Progressive Party,DPP,M,Chikwawa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=317&mode=alps
338,Hon. C.P Mangulenje,Zomba Chisi,Democratic Progressive Party,DPP,M,Zomba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=338&mode=alps
323,Hon. F Mapondo,Balaka South,Democratic Progressive Party,DPP,M,Balaka,"",2014,http://www.parliament.gov.mw/mp.php?indexc=323&mode=alps
363,Hon. N. Masangwi,Blantyre City East,Democratic Progressive Party,DPP,M,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=363&mode=alps
320,Hon. A.C. Masi,Lilongwe City West,Democratic Progressive Party,DPP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=320&mode=alps
336,Hon. P.M Mazizi,Nkhotakota Central,Malawi Congress Party,MCP,M,Nkhotakota,"",2014,http://www.parliament.gov.mw/mp.php?indexc=336&mode=alps
351,Hon. R.P. Mazobwe Zulu,Mchinji North,Peoples Party,PP,F,Mchinji,"",2014,http://www.parliament.gov.mw/mp.php?indexc=351&mode=alps
443,Hon. A. Mbaya,Mangochi East,United Democratic Front,UDF,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=443&mode=alps
372,Hon. V.W Mbewe,Blantyre City South East,Democratic Progressive Party,DPP,M,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=372&mode=alps
362,Hon. C.T. Mchacha,Thyolo West,Democratic Progressive Party,DPP,M,Thyolo,"",2014,http://www.parliament.gov.mw/mp.php?indexc=362&mode=alps
340,Hon. A.W Menyani,Dedza North West,Malawi Congress Party,MCP,M,Dedza,"",2014,http://www.parliament.gov.mw/mp.php?indexc=340&mode=alps
344,Hon. J.C.M Mhango,Rumphi North,Independent,Independent,M,Rumphi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=344&mode=alps
328,Hon. R.J Mhone,Nkhata Bay Central,Peoples Party,PP,M,Nkhata Bay,"",2014,http://www.parliament.gov.mw/mp.php?indexc=328&mode=alps
316,Hon. P.O. Mkanda,Lilongwe North,Malawi Congress Party,MCP,F,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=316&mode=alps
342,Hon. T Mkandawire,Blantyre City Central,Democratic Progressive Party,DPP,M,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=342&mode=alps
360,Hon. H.C.M. Mkandawire,Mzimba West,Peoples Party,PP,M,Mzimba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=360&mode=alps
442,Hon. F.E.L. Mkungula,Ntcheu Bwanje North,Independent,Independent,M,Ntcheu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=442&mode=alps
444,Hon. C.C. Mlombwa,Dedza South West,Malawi Congress Party,MCP,M,Dedza,"",2014,http://www.parliament.gov.mw/mp.php?indexc=444&mode=alps
369,Hon. C.C. Mnyenyembe,Mzimba East,Independent,Independent,M,Mzimba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=369&mode=alps
380,Hon. Y.A Mpaweni,Balaka Central East,United Democratic Front,UDF,M,Balaka,"",2014,http://www.parliament.gov.mw/mp.php?indexc=380&mode=alps
332,Hon. F.L Mphande,Nkhotakota North,Democratic Progressive Party,DPP,M,Nkhotakota,"",2014,http://www.parliament.gov.mw/mp.php?indexc=332&mode=alps
310,Hon. R Msowoya,Karonga Nyungwe,Malawi Congress Party,MCP,M,Karonga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=310&mode=alps
330,Hon. P.R.J Msusa,Mangochi Masongola,Independent,Independent,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=330&mode=alps
358,Hon. M.K. Mtonga,Karonga South,Peoples Party,PP,M,Karonga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=358&mode=alps
381,Hon. B.M Mtonga,Kasungu North West,Malawi Congress Party,MCP,M,Kasungu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=381&mode=alps
326,Hon. C.F Mukumbwa,Chitipa Central,Democratic Progressive Party,DPP,M,Chitipa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=326&mode=alps
396,Hon. F. Mulli,Phalombe Central,Democratic Progressive Party,DPP,M,Phalombe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=396&mode=alps
357,Hon. A.A. Muluzi,Machinga North East,United Democratic Front,UDF,M,Machinga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=357&mode=alps
325,Hon. C.O. Mulwafu,Chitipa East,Democratic Progressive Party,DPP,M,Chitipa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=325&mode=alps
359,Hon. G.M. Munkhondya,Chitipa Wenya,Peoples Party,PP,M,Chitipa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=359&mode=alps
397,Hon. J.T.K. Dr. Munthali,Chitipa North,Peoples Party,PP,M,Chitipa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=397&mode=alps
440,Hon. V.H. Musowa,Mulanje Bale,Independent,Independent,M,Mulanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=440&mode=alps
319,Hon. U Mussa,Salima South,Peoples Party,PP,M,Salima,"",2014,http://www.parliament.gov.mw/mp.php?indexc=319&mode=alps
482,Hon. H.A.R. Mussa,Chiradzulu East,Democratic Progressive Party,DPP,M,Chiradzulu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=482&mode=alps
345,Hon. B.R Mwale,Kasungu North,Peoples Party,PP,F,Kasungu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=345&mode=alps
356,Hon. J.M.N. Mwanamvekha,Chiradzulu South,Democratic Progressive Party,DPP,M,Chiradzulu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=356&mode=alps
441,Hon. F.T. Mwenifumbo,Karonga Central,Independent,Independent,M,Karonga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=441&mode=alps
303,Hon. A.M. Naliwa,Zomba Nsondole,Independent,Independent,M,Zomba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=303&mode=alps
300,Hon. D.B. Namachekecha Phiri,Phalombe North East,Independent,Independent,M,Phalombe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=300&mode=alps
307,Hon. B. Namasasu,Lilongwe City South East,Democratic Progressive Party,DPP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=307&mode=alps
355,Hon. K. Nankhumwa,Mulanje Central,Democratic Progressive Party,DPP,M,Mulanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=355&mode=alps
337,Hon. M.T. Navicha,Thyolo Thava,Democratic Progressive Party,DPP,F,Thyolo,"",2014,http://www.parliament.gov.mw/mp.php?indexc=337&mode=alps
299,Hon. S.K. Ndalama,Blantyre Rural East,Democratic Progressive Party,DPP,F,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=299&mode=alps
311,Hon. M. Ndau,Ntcheu Central,Democratic Progressive Party,DPP,M,Ntcheu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=311&mode=alps
301,Hon. G.H. Ndecha,Machinga South,United Democratic Front,UDF,M,Machinga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=301&mode=alps
315,Hon. W. Rev. Ndomondo,Machinga South East,Peoples Party,PP,M,Machinga,"",2014,http://www.parliament.gov.mw/mp.php?indexc=315&mode=alps
314,Hon. A.D. Ngoma Banda,Mzimba Luwerezi,Independent,Independent,F,Mzimba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=314&mode=alps
313,Hon. A.H. Ngumuya,Blantyre City South,Independent,Independent,M,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=313&mode=alps
398,Hon. C.S.M. Rev. Ngwira,Mzimba Hora,Peoples Party,PP,M,Mzimba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=398&mode=alps
305,Hon. L.U.J. Njikho,Mzuzu City,Independent,Independent,M,Mzimba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=305&mode=alps
302,Hon. J.R. Njobvuyalema,Lilongwe Mapuyu South,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=302&mode=alps
