id,name,type,party,area_id,area,gender,image,term,source
127,BENDOUKHA BENAMAR,National,MOUVEMENT POPULAIRE ALGERIEN,ocd-division/country:dz/wilayah:29,Mascara,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/79.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/127-bendoukha-benamar
128,BENFERHAT ABDERAHMANE,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:39,El Oued,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/91.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/128-benferhat-abderahmane
129,BENGUERNOUS KARIM,National,PARTI DES JEUNES,ocd-division/country:dz/wilayah:26,Medea,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/93.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/129-benguernous-karim
130,BENGUESMIA ISMAHANE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:5,Batna,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/94.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/130-benguesmia-ismahane
131,BENHADDAD MOHAMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:26,Medea,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/74.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/131-benhaddad-mohamed
132,BENHADOU FATIMA ZOHRA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:17,Djelfa,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/462.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/132-benhadou-fatima-zohra
133,BENINE YAHIA,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:39,El Oued,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/100.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/133-benine-yahia
134,BENKACIMI MOHAMMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:13,Tlemcen,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/9430.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/134-benkacimi-mohammed
135,BENKHALAD EP. BIKA AWATIF,National,PARTI EL FEDJR EL JADID,ocd-division/country:dz/wilayah:28,M'sila,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/76.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/135-benkhalad-ep-bika-awatif
136,BENKHALLEF LAKHDAR,National,FRONT POUR LA JUSTICE ET LE DEVELOPPEMENT (ADDALA),ocd-division/country:dz/wilayah:25,Constantine,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/77.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/136-benkhallef-lakhdar
137,BENLARBI NEE BENBOULAID NABILA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:5,Batna,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/66.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/137-benlarbi-nee-benboulaid-nabila
138,BENMAHDI NOREDDINE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:46,Aïn Temouchent,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/99.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/138-benmahdi-noreddine
139,BENMAKHLOUF MOHAMED KAMEL,Députés décédés,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:42,Tipaza,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/96.jpg,7,http://www.apn.dz/fr/les-membres/deputes-decedes/139-benmakhlouf-mohamed-kamel
140,BENMEDDAH AHMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:20,Saida,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/97.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/140-benmeddah-ahmed
141,BENMERABET FOUAD,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:21,Skikda,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/98.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/141-benmerabet-fouad
142,BENSAAD EP HADJOUDJ ILHEM,Députés décédés,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:17,Djelfa,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/81.jpg,7,http://www.apn.dz/fr/les-membres/deputes-decedes/142-bensaad-ep-hadjoudj-ilhem
143,BENSAHNOUNE NEE SADI FOUZIA,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:16,Alger,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/83.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/143-bensahnoune-nee-sadi-fouzia
144,BENSALEM BELKACEM,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:36,El Taref,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/82.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/144-bensalem-belkacem
145,BENTAHAR MOHAMED SEGHIR,Députés décédés,PARTI ENNOUR EL DJAZAIRI,ocd-division/country:dz/wilayah:40,Khenchla,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/65.jpg,7,http://www.apn.dz/fr/les-membres/deputes-decedes/145-bentahar-mohamed-seghir
146,BENTOURI EPOUSE KIROUANI CHERAZADE,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:16,Alger,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/71.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/146-bentouri-cherazade
147,BENTURKI OUMESSAAD,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:16,Alger,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/69.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/147-benturki-oumessaad
148,BENZENATI KHEIRA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:22,Sidi Bel Abbes,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/80.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/148-benzenati-kheira
149,BERKAINE NOURDINE,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:15,Tizi ouzou,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/37.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/149-berkaine-nourdine
150,BEROUMAN SOUAD,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:17,Djelfa,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/448.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/150-berouman-souad
151,BESSALAH AHMED,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:10,Bouira,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/43.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/151-bessalah-ahmed
152,BETATACHE AHMED,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:10,Bouira,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/38.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/152-betatache-ahmed
153,BEYAZA EP CHEBLI NABILA,National,MOUVEMENT POPULAIRE ALGERIEN,ocd-division/country:dz/wilayah:23,Annaba,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/148.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/153-beyaza-ep-chebli-nabila
154,BIBI MOHAMMED LAID,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:28,M'sila,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/9523.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/154-bibi-mohammed-laid
155,BOUABDALLAH ABDELWAHID,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:16,Alger,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/146.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/155-bouabdallah-abdelwahid
156,BOUABDALLAH MOHAMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:42,Tipaza,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/147.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/156-bouabdallah-mohamed
157,BOUAICHE CHAFAA,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:6,Bejaia,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/9524.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/157-bouaiche-chafaa
158,BOUALGA KADA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:14,Tiaret,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/9526.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/158-boualga-kada
159,BOUAZA DJILALI,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:14,Tiaret,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/149.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/159-bouaza-djilali
