id,position,label,description,start_date,term,end_date,replaces,replaced_by
Q5240772,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5345394,Q1758037,speaker,"presiding officer of a deliberative assembly, especially a legislative body",2001,,2011,,
Q5345394,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5345394,Q3556899,Vice President of Uganda,"",2011-05-24,,,,
Q5366225,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5382289,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5393381,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5490025,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5496029,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5496187,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5717757,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5724197,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5761037,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q57873,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q57873,Q2462330,Prime Minister of Uganda,Note - not Head of Government,2011-05-24,,2014-09-18,Apolo Nsibambi,Ruhakana Rugunda
Q57873,Q28404009,Attorney General of Uganda,"",2004-05-01,,2006-03-09,,
Q57873,Q6865949,Minister for Security,UK ministerial position,2009-02-24,,2011-05-24,,
Q58240,Q1161813,President of the United Nations General Assembly,position,2014-09-16,,2015-09-16,,
Q58240,Q121998,ambassador,diplomatic envoy,"",,,,
Q58240,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q58240,Q24262601,Minister of Foreign Affairs of Uganda,foreign affairs minister of Uganda,2005-01-13,,2014-09-16,,
Q58240,Q24262601,Minister of Foreign Affairs of Uganda,foreign affairs minister of Uganda,2015-11-19,,,,
Q6076821,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6096678,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6119076,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6129213,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6140434,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6153522,Q203184,First Lady,honorary title of the wife of a president or head of state,"",,,,
Q6153522,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6176542,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6180999,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6224194,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6226097,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6250155,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6318370,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6343791,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6346972,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6378429,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6404722,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6702541,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6702958,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6761316,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6761446,Q1055894,deputy,name for legislator in many countries,"",,,,
Q6761446,Q83307,minister,politician who holds significant public office in a national or regional government,"",,,,
Q6779980,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6787393,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6939908,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6944303,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q6944729,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7175509,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7176147,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7301855,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7329499,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7365019,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7367874,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7368409,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7378868,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7383142,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7403915,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7407448,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7422470,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7422653,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7459446,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7518558,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7519223,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7608889,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7635964,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7659743,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7686751,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7781207,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7815151,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7838817,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7931970,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q7983291,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q8023150,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q8069664,Q21296005,Member of the Parliament of Uganda,"","",,,,
