name,sort_name,wikidata,party,party_wikidata,constituency,constituency_wikidata,wikiname,term
Jani Mäkelä,"Mäkelä, Jani",Q20255240,Perussuomalaiset,Q634277,Kaakkois-Suomi,Q18691231,Jani Mäkelä,37
Jani Toivola,"Toivola, Jani",Q3267077,Vihreät,Q196695,Uusimaa,Q3736054,Jani Toivola,37
Jari Leppä,"Leppä, Jari",Q11866066,Keskusta,Q506591,Kaakkois-Suomi,Q18691231,Jari Leppä,37
Jari Lindström,"Lindström, Jari",Q11866071,Siniset,Q30337076,Kaakkois-Suomi,Q18691231,Jari Lindström,37
Jari Myllykoski,"Myllykoski, Jari",Q16988670,Vasemmistoliitto,Q385927,Satakunta,Q6304483,Jari Myllykoski,37
Jari Ronkainen,"Ronkainen, Jari",Q20254232,Perussuomalaiset,Q634277,Häme,Q6304614,Jari Ronkainen,37
Joakim Strand,"Strand, Joakim",Q20253029,RKP,Q845537,Vaasa,Q6304597,Joakim Strand,37
Johanna Karimäki,"Karimäki, Johanna",Q6216388,Vihreät,Q196695,Uusimaa,Q3736054,Johanna Karimäki,37
Johanna Ojala-Niemelä,"Ojala-Niemelä, Johanna",Q11866673,Sosiaalidemokraatit,Q499029,Lappi,Q6488275,Johanna Ojala-Niemelä,37
Joona Räsänen,"Räsänen, Joona",Q11866905,Sosiaalidemokraatit,Q499029,Uusimaa,Q3736054,Joona Räsänen,37
Juha Pylväs,"Pylväs, Juha",Q20254067,Keskusta,Q506591,Oulu,Q7110478,Juha Pylväs,37
Juha Rehula,"Rehula, Juha",Q779418,Keskusta,Q506591,Häme,Q6304614,Juha Rehula,37
Juha Sipilä,"Sipilä, Juha",Q1711532,Keskusta,Q506591,Oulu,Q7110478,Juha Sipilä,37
Juhana Vartiainen,"Vartiainen, Juhana",Q11867451,Kokoomus,Q304191,Helsinki,Q3736245,Juhana Vartiainen,37
Juho Eerola,"Eerola, Juho",Q5406257,Perussuomalaiset,Q634277,Kaakkois-Suomi,Q18691231,Juho Eerola,37
Jukka Gustafsson,"Gustafsson, Jukka",Q2613311,Sosiaalidemokraatit,Q499029,Pirkanmaa,Q6304273,Jukka Gustafsson,37
Jukka Kopra,"Kopra, Jukka",Q16300004,Kokoomus,Q304191,Kaakkois-Suomi,Q18691231,Jukka Kopra,37
Jussi Niinistö,"Niinistö, Jussi",Q6315653,Siniset,Q30337076,Uusimaa,Q3736054,Jussi Niinistö,37
Jutta Urpilainen,"Urpilainen, Jutta",Q241376,Sosiaalidemokraatit,Q499029,Vaasa,Q6304597,Jutta Urpilainen,37
Jyrki Kasvi,"Kasvi, Jyrki",Q5903411,Vihreät,Q196695,Uusimaa,Q3736054,Jyrki Kasvi,37
Kai Mykkänen,"Mykkänen, Kai",Q11868890,Kokoomus,Q304191,Uusimaa,Q3736054,Kai Mykkänen,37
Kaj Turunen,"Turunen, Kaj",Q6348813,Kokoomus,Q304191,Kaakkois-Suomi,Q18691231,Kaj Turunen,37
Kalle Jokinen,"Jokinen, Kalle",Q5411779,Kokoomus,Q304191,Häme,Q6304614,Kalle Jokinen (kokoomuslainen poliitikko),37
Kari Kulmala,"Kulmala, Kari",Q20253945,Siniset,Q30337076,Savo-Karjala,Q18691405,Kari Kulmala,37
Kari Tolvanen,"Tolvanen, Kari",Q11870004,Kokoomus,Q304191,Uusimaa,Q3736054,Kari Tolvanen,37
Kari Uotila,"Uotila, Kari",Q6370431,Vasemmistoliitto,Q385927,Uusimaa,Q3736054,Kari Uotila,37
Katja Hänninen,"Hänninen, Katja",Q16980516,Vasemmistoliitto,Q385927,Oulu,Q7110478,Katja Hänninen,37
Katja Taimela,"Taimela, Katja",Q5413287,Sosiaalidemokraatit,Q499029,Varsinais-Suomi,Q5450453,Katja Taimela,37
Katri Kulmuni,"Kulmuni, Katri",Q20253947,Keskusta,Q506591,Lappi,Q6488275,Katri Kulmuni,37
Kauko Juhantalo,"Juhantalo, Kauko",Q11870505,Keskusta,Q506591,Satakunta,Q6304483,Kauko Juhantalo,37
Kimmo Kivelä,"Kivelä, Kimmo",Q16299877,Siniset,Q30337076,Savo-Karjala,Q18691405,Kimmo Kivelä,37
Kimmo Tiilikainen,"Tiilikainen, Kimmo",Q964549,Keskusta,Q506591,Kaakkois-Suomi,Q18691231,Kimmo Tiilikainen,37
Krista Kiuru,"Kiuru, Krista",Q2332874,Sosiaalidemokraatit,Q499029,Satakunta,Q6304483,Krista Kiuru,37
Krista Mikkonen,"Mikkonen, Krista",Q11873020,Vihreät,Q196695,Savo-Karjala,Q18691405,Krista Mikkonen,37
Kristiina Salonen,"Salonen, Kristiina",Q11873046,Sosiaalidemokraatit,Q499029,Satakunta,Q6304483,Kristiina Salonen,37
Lasse Hautala,"Hautala, Lasse",Q9023263,Keskusta,Q506591,Vaasa,Q6304597,Lasse Hautala,37
Laura Huhtasaari,"Huhtasaari, Laura",Q20251661,Perussuomalaiset,Q634277,Satakunta,Q6304483,Laura Huhtasaari,37
Lauri Ihalainen,"Ihalainen, Lauri",Q596737,Sosiaalidemokraatit,Q499029,Keski-Suomi,Q5061084,Lauri Ihalainen,37
Lea Mäkipää,"Mäkipää, Lea",Q11875206,Siniset,Q30337076,Pirkanmaa,Q6304273,Lea Mäkipää,37
Leena Meri,"Meri, Leena",Q20252282,Perussuomalaiset,Q634277,Uusimaa,Q3736054,Leena Meri,37
Lenita Toivakka,"Toivakka, Lenita",Q11875437,Kokoomus,Q304191,Kaakkois-Suomi,Q18691231,Lenita Toivakka,37
Li Andersson,"Andersson, Li",Q4935864,Vasemmistoliitto,Q385927,Varsinais-Suomi,Q5450453,Li Andersson,37
Maarit Feldt-Ranta,"Feldt-Ranta, Maarit",Q4947758,Sosiaalidemokraatit,Q499029,Uusimaa,Q3736054,Maarit Feldt-Ranta,37
Mari-Leena Talvitie,"Talvitie, Mari-Leena",Q16990780,Kokoomus,Q304191,Oulu,Q7110478,Mari-Leena Talvitie,37
Maria Guzenina,"Guzenina, Maria",Q2334883,Sosiaalidemokraatit,Q499029,Uusimaa,Q3736054,Maria Guzenina,37
Maria Lohela,"Lohela, Maria",Q16984994,Siniset,Q30337076,Varsinais-Suomi,Q5450453,Maria Lohela,37
Maria Tolppanen,"Tolppanen, Maria",Q16990924,Sosiaalidemokraatit,Q499029,Vaasa,Q6304597,Maria Tolppanen,37
Marisanna Jarva,"Jarva, Marisanna",Q20251745,Keskusta,Q506591,Oulu,Q7110478,Marisanna Jarva,37
Markku Eestilä,"Eestilä, Markku",Q11881045,Kokoomus,Q304191,Savo-Karjala,Q18691405,Markku Eestilä,37
Markku Pakkanen,"Pakkanen, Markku",Q11881081,Keskusta,Q506591,Kaakkois-Suomi,Q18691231,Markku Pakkanen,37
Markku Rossi,"Rossi, Markku",Q16990187,Keskusta,Q506591,Savo-Karjala,Q18691405,Markku Rossi,37
Markus Lohi,"Lohi, Markus",Q16985005,Keskusta,Q506591,Lappi,Q6488275,Markus Lohi,37
Markus Mustajärvi,"Mustajärvi, Markus",Q11881193,Vasemmistoliitto,Q385927,Lappi,Q6488275,Markus Mustajärvi,37
Martti Mölsä,"Mölsä, Martti",Q4358308,Siniset,Q30337076,Pirkanmaa,Q6304273,Martti Mölsä,37
Martti Talja,"Talja, Martti",Q20253109,Keskusta,Q506591,Häme,Q6304614,Martti Talja,37
Mats Löfström,"Löfström, Mats",Q19827925,Åländsk Samling,Q11903314,Ahvenanmaa,Q16250421,Mats Löfström,37
Mats Nylund,"Nylund, Mats",Q6020029,RKP,Q845537,Vaasa,Q6304597,Mats Nylund,37
Matti Semi,"Semi, Matti",Q20254262,Vasemmistoliitto,Q385927,Savo-Karjala,Q18691405,Matti Semi,37
Matti Torvinen,"Torvinen, Matti",Q31093270,Siniset,Q30337076,Lappi,Q6488275,Matti Torvinen,37
Matti Vanhanen,"Vanhanen, Matti",Q182043,Keskusta,Q506591,Uusimaa,Q3736054,Matti Vanhanen,37
Mauri Pekkarinen,"Pekkarinen, Mauri",Q1854955,Keskusta,Q506591,Keski-Suomi,Q5061084,Mauri Pekkarinen,37
Merja Mäkisalo-Ropponen,"Mäkisalo-Ropponen, Merja",Q16989307,Sosiaalidemokraatit,Q499029,Savo-Karjala,Q18691405,Merja Mäkisalo-Ropponen,37
Mika Kari,"Kari, Mika",Q11882565,Sosiaalidemokraatit,Q499029,Häme,Q6304614,Mika Kari,37
Mika Lintilä,"Lintilä, Mika",Q16984784,Keskusta,Q506591,Vaasa,Q6304597,Mika Lintilä,37
Mika Niikko,"Niikko, Mika",Q6845542,Perussuomalaiset,Q634277,Uusimaa,Q3736054,Mika Niikko,37
Mika Raatikainen,"Raatikainen, Mika",Q16999977,Perussuomalaiset,Q634277,Helsinki,Q3736245,Mika Raatikainen,37
Mikaela Nylander,"Nylander, Mikaela",Q4970578,RKP,Q845537,Uusimaa,Q3736054,Mikaela Nylander,37
Mikko Alatalo,"Alatalo, Mikko",Q4826119,Keskusta,Q506591,Pirkanmaa,Q6304273,Mikko Alatalo,37
Mikko Kärnä,"Kärnä, Mikko",Q18633181,Keskusta,Q506591,Lappi,Q6488275,Mikko Kärnä,37
Mikko Savola,"Savola, Mikko",Q11882793,Keskusta,Q506591,Vaasa,Q6304597,Mikko Savola,37
Mirja Vehkaperä,"Vehkaperä, Mirja",Q11882986,Keskusta,Q506591,Oulu,Q7110478,Mirja Vehkaperä,37
Nasima Razmyar,"Razmyar, Nasima",Q11884029,Sosiaalidemokraatit,Q499029,Helsinki,Q3736245,Nasima Razmyar,37
Niilo Keränen,"Keränen, Niilo",Q11884366,Keskusta,Q506591,Oulu,Q7110478,Niilo Keränen,37
Olavi Ala-Nissilä,"Ala-Nissilä, Olavi",Q11885259,Keskusta,Q506591,Varsinais-Suomi,Q5450453,Olavi Ala-Nissilä,37
Olli Immonen,"Immonen, Olli",Q5410024,Perussuomalaiset,Q634277,Oulu,Q7110478,Olli Immonen,37
Olli Rehn,"Rehn, Olli",Q294411,Keskusta,Q506591,Helsinki,Q3736245,Olli Rehn,37
Olli-Poika Parviainen,"Parviainen, Olli-Poika",Q11885402,Vihreät,Q196695,Pirkanmaa,Q6304273,Olli-Poika Parviainen,37
Outi Alanko-Kahiluoto,"Alanko-Kahiluoto, Outi",Q3735621,Vihreät,Q196695,Helsinki,Q3736245,Outi Alanko-Kahiluoto,37
Outi Mäkelä,"Mäkelä, Outi",Q11886157,Kokoomus,Q304191,Uusimaa,Q3736054,Outi Mäkelä,37
Ozan Yanar,"Yanar, Ozan",Q18633498,Vihreät,Q196695,Helsinki,Q3736245,Ozan Yanar,37
Paavo Arhinmäki,"Arhinmäki, Paavo",Q657282,Vasemmistoliitto,Q385927,Helsinki,Q3736245,Paavo Arhinmäki,37
Paavo Väyrynen,"Väyrynen, Paavo",Q560930,Keskusta,Q506591,Lappi,Q6488275,Paavo Väyrynen,37
Paula Lehtomäki,"Lehtomäki, Paula",Q3180769,Keskusta,Q506591,Helsinki,Q3736245,Paula Lehtomäki,37
Paula Risikko,"Risikko, Paula",Q2983780,Kokoomus,Q304191,Vaasa,Q6304597,Paula Risikko,37
Pauli Kiuru,"Kiuru, Pauli",Q433545,Kokoomus,Q304191,Pirkanmaa,Q6304273,Pauli Kiuru,37
Pekka Haavisto,"Haavisto, Pekka",Q317485,Vihreät,Q196695,Helsinki,Q3736245,Pekka Haavisto,37
Pekka Puska,"Puska, Pekka",Q5407283,Keskusta,Q506591,Helsinki,Q3736245,Pekka Puska,37
Pentti Oinonen,"Oinonen, Pentti",Q4357345,Siniset,Q30337076,Savo-Karjala,Q18691405,Pentti Oinonen,37
Pertti Hakanen,"Hakanen, Pertti",Q20251571,Keskusta,Q506591,Pirkanmaa,Q6304273,Pertti Hakanen,37
Pertti Salolainen,"Salolainen, Pertti",Q326512,Kokoomus,Q304191,Helsinki,Q3736245,Pertti Salolainen,37
Peter Östman,"Östman, Peter",Q7177967,Kristillisdemokraatit,Q1138982,Vaasa,Q6304597,Peter Östman,37
Petri Honkonen,"Honkonen, Petri",Q20257511,Keskusta,Q506591,Keski-Suomi,Q5061084,Petri Honkonen,37
Petteri Orpo,"Orpo, Petteri",Q6029546,Kokoomus,Q304191,Varsinais-Suomi,Q5450453,Petteri Orpo,37
Pia Kauma,"Kauma, Pia",Q11887897,Kokoomus,Q304191,Uusimaa,Q3736054,Pia Kauma,37
Pia Viitanen,"Viitanen, Pia",Q11887901,Sosiaalidemokraatit,Q499029,Pirkanmaa,Q6304273,Pia Viitanen,37
Pilvi Torsti,"Torsti, Pilvi",Q11888151,Sosiaalidemokraatit,Q499029,Helsinki,Q3736245,Pilvi Torsti,37
Pirkko Mattila,"Mattila, Pirkko",Q7198035,Siniset,Q30337076,Oulu,Q7110478,Pirkko Mattila,37
Pirkko Ruohonen-Lerner,"Ruohonen-Lerner, Pirkko",Q7198040,Perussuomalaiset,Q634277,Uusimaa,Q3736054,Pirkko Ruohonen-Lerner,37
Päivi Räsänen,"Räsänen, Päivi",Q438819,Kristillisdemokraatit,Q1138982,Häme,Q6304614,Päivi Räsänen,37
Rami Lehto,"Lehto, Rami",Q20254037,Perussuomalaiset,Q634277,Häme,Q6304614,Rami Lehto,37
Reijo Hongisto,"Hongisto, Reijo",Q11890401,Siniset,Q30337076,Vaasa,Q6304597,Reijo Hongisto,37
Riitta Myller,"Myller, Riitta",Q458219,Sosiaalidemokraatit,Q499029,Savo-Karjala,Q18691405,Riitta Myller,37
Ritva Elomaa,"Elomaa, Ritva",Q3116526,Perussuomalaiset,Q634277,Varsinais-Suomi,Q5450453,Ritva Elomaa,37
Saara-Sofia Sirén,"Sirén, Saara-Sofia",Q20255727,Kokoomus,Q304191,Varsinais-Suomi,Q5450453,Saara-Sofia Sirén,37
Sami Savio,"Savio, Sami",Q20252907,Perussuomalaiset,Q634277,Pirkanmaa,Q6304273,Sami Savio,37
Sampo Terho,"Terho, Sampo",Q782439,Siniset,Q30337076,Helsinki,Q3736245,Sampo Terho,37
Sanna Lauslahti,"Lauslahti, Sanna",Q11892381,Kokoomus,Q304191,Uusimaa,Q3736054,Sanna Lauslahti,37
Sanna Marin,"Marin, Sanna",Q16986436,Sosiaalidemokraatit,Q499029,Pirkanmaa,Q6304273,Sanna Marin,37
Sanni Grahn-Laasonen,"Grahn-Laasonen, Sanni",Q5406165,Kokoomus,Q304191,Häme,Q6304614,Sanni Grahn-Laasonen,37
Sari Essayah,"Essayah, Sari",Q241563,Kristillisdemokraatit,Q1138982,Savo-Karjala,Q18691405,Sari Essayah,37
Sari Multala,"Multala, Sari",Q7424043,Kokoomus,Q304191,Uusimaa,Q3736054,Sari Multala,37
Sari Raassina,"Raassina, Sari",Q20254214,Kokoomus,Q304191,Savo-Karjala,Q18691405,Sari Raassina,37
Sari Sarkomaa,"Sarkomaa, Sari",Q6304972,Kokoomus,Q304191,Helsinki,Q3736245,Sari Sarkomaa,37
Sari Tanus,"Tanus, Sari",Q20254165,Kristillisdemokraatit,Q1138982,Pirkanmaa,Q6304273,Sari Tanus,37
Satu Hassi,"Hassi, Satu",Q264823,Vihreät,Q196695,Pirkanmaa,Q6304273,Satu Hassi,37
Satu Taavitsainen,"Taavitsainen, Satu",Q20254160,Sosiaalidemokraatit,Q499029,Kaakkois-Suomi,Q18691231,Satu Taavitsainen,37
Seppo Kääriäinen,"Kääriäinen, Seppo",Q3098641,Keskusta,Q506591,Savo-Karjala,Q18691405,Seppo Kääriäinen,37
Silvia Modig,"Modig, Silvia",Q1284472,Vasemmistoliitto,Q385927,Helsinki,Q3736245,Silvia Modig,37
Simon Elo,"Elo, Simon",Q11893562,Siniset,Q30337076,Uusimaa,Q3736054,Simon Elo,37
Sinuhe Wallinheimo,"Wallinheimo, Sinuhe",Q921096,Kokoomus,Q304191,Keski-Suomi,Q5061084,Sinuhe Wallinheimo,37
Sirkka-Liisa Anttila,"Anttila, Sirkka-Liisa",Q777316,Keskusta,Q506591,Häme,Q6304614,Sirkka-Liisa Anttila,37
Sirpa Paatero,"Paatero, Sirpa",Q16989600,Sosiaalidemokraatit,Q499029,Kaakkois-Suomi,Q18691231,Sirpa Paatero,37
Sofia Vikman,"Vikman, Sofia",Q4357930,Kokoomus,Q304191,Pirkanmaa,Q6304273,Sofia Vikman,37
Stefan Wallin,"Wallin, Stefan",Q983658,RKP,Q845537,Varsinais-Suomi,Q5450453,Stefan Wallin,37
Suna Kymäläinen,"Kymäläinen, Suna",Q13628790,Sosiaalidemokraatit,Q499029,Kaakkois-Suomi,Q18691231,Suna Kymäläinen,37
Susanna Huovinen,"Huovinen, Susanna",Q546665,Sosiaalidemokraatit,Q499029,Keski-Suomi,Q5061084,Susanna Huovinen,37
Susanna Koski,"Koski, Susanna",Q16300064,Kokoomus,Q304191,Vaasa,Q6304597,Susanna Koski,37
Tapani Tölli,"Tölli, Tapani",Q765588,Keskusta,Q506591,Oulu,Q7110478,Tapani Tölli,37
Tarja Filatov,"Filatov, Tarja",Q2565423,Sosiaalidemokraatit,Q499029,Häme,Q6304614,Tarja Filatov,37
Teuvo Hakkarainen,"Hakkarainen, Teuvo",Q4353146,Perussuomalaiset,Q634277,Keski-Suomi,Q5061084,Teuvo Hakkarainen,37
Thomas Blomqvist,"Blomqvist, Thomas",Q5579704,RKP,Q845537,Uusimaa,Q3736054,Thomas Blomqvist,37
Tiina Elovaara,"Elovaara, Tiina",Q20251436,Siniset,Q30337076,Pirkanmaa,Q6304273,Tiina Elovaara,37
Timo Harakka,"Harakka, Timo",Q16298585,Sosiaalidemokraatit,Q499029,Uusimaa,Q3736054,Timo Harakka,37
Timo Heinonen,"Heinonen, Timo",Q16298785,Kokoomus,Q304191,Häme,Q6304614,Timo Heinonen (poliitikko),37
Timo Kalli,"Kalli, Timo",Q6304985,Keskusta,Q506591,Satakunta,Q6304483,Timo Kalli,37
Timo Korhonen,"Korhonen, Timo",Q11897676,Keskusta,Q506591,Oulu,Q7110478,Timo Korhonen,37
Timo Soini,"Soini, Timo",Q355463,Siniset,Q30337076,Uusimaa,Q3736054,Timo Soini,37
Toimi Kankaanniemi,"Kankaanniemi, Toimi",Q346017,Perussuomalaiset,Q634277,Keski-Suomi,Q5061084,Toimi Kankaanniemi,37
Tom Packalén,"Packalén, Tom",Q11897991,Perussuomalaiset,Q634277,Helsinki,Q3736245,Tom Packalén,37
Touko Aalto,"Aalto, Touko",Q16158033,Vihreät,Q196695,Keski-Suomi,Q5061084,Touko Aalto,37
Tuomo Puumala,"Puumala, Tuomo",Q3542205,Keskusta,Q506591,Vaasa,Q6304597,Tuomo Puumala,37
Tuula Haatainen,"Haatainen, Tuula",Q11898869,Sosiaalidemokraatit,Q499029,Helsinki,Q3736245,Tuula Haatainen,37
Tytti Tuppurainen,"Tuppurainen, Tytti",Q11898995,Sosiaalidemokraatit,Q499029,Oulu,Q7110478,Tytti Tuppurainen,37
Ulla Parviainen,"Parviainen, Ulla",Q20252561,Keskusta,Q506591,Oulu,Q7110478,Ulla Parviainen,37
Veera Ruoho,"Ruoho, Veera",Q19842585,Kokoomus,Q304191,Uusimaa,Q3736054,Veera Ruoho,37
Veronica Rehn-Kivi,"Rehn-Kivi, Veronica",Q25369895,RKP,Q845537,Uusimaa,Q3736054,Veronica Rehn-Kivi,37
Vesa-Matti Saarakkala,"Saarakkala, Vesa-Matti",Q5399496,Siniset,Q30337076,Vaasa,Q6304597,Vesa-Matti Saarakkala,37
Ville Niinistö,"Niinistö, Ville",Q2366466,Vihreät,Q196695,Varsinais-Suomi,Q5450453,Ville Niinistö,37
Ville Skinnari,"Skinnari, Ville",Q5485318,Sosiaalidemokraatit,Q499029,Häme,Q6304614,Ville Skinnari,37
Ville Tavio,"Tavio, Ville",Q17384292,Perussuomalaiset,Q634277,Varsinais-Suomi,Q5450453,Ville Tavio,37
Ville Vähämäki,"Vähämäki, Ville",Q11901588,Perussuomalaiset,Q634277,Oulu,Q7110478,Ville Vähämäki,37
Wille Rydman,"Rydman, Wille",Q11902424,Kokoomus,Q304191,Helsinki,Q3736245,Wille Rydman,37
