id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q11881081,Markku Pakkanen,Q18691231,South-Eastern Finland,Q506591,Centre Party,"","",37
Q11881193,Markus Mustajärvi,Q6488275,Lapland,Q385927,Left Alliance,"","",37
Q11882565,Mika Kari,Q6304614,Tavastia,Q499029,Social Democratic Party of Finland,"","",37
Q11882793,Mikko Savola,Q6304597,Vaasa,Q506591,Centre Party,"","",37
Q11882986,Mirja Vehkaperä,Q7110478,Oulu,Q506591,Centre Party,"",2018-06-18,37
Q11884029,Nasima Razmyar,Q3736245,Helsinki constituency,Q499029,Social Democratic Party of Finland,"",2017-06-09,37
Q11884366,Niilo Keränen,Q7110478,Oulu,Q506591,Centre Party,"","",37
Q11885259,Olavi Ala-Nissilä,Q5450453,Finland Proper,Q506591,Centre Party,2015-04-22,"",37
Q11885402,Olli-Poika Parviainen,Q6304273,Pirkanmaa,Q196695,Green League,"","",37
Q11886157,Outi Mäkelä,Q3736054,Uusimaa,Q304191,National Coalition Party,"",2018-03-05,37
Q11887897,Pia Kauma,Q3736054,Uusimaa,Q304191,National Coalition Party,2017-07-30,"",37
Q11887901,Pia Viitanen,Q6304273,Pirkanmaa,Q499029,Social Democratic Party of Finland,"","",37
Q11888151,Pilvi Torsti,Q3736245,Helsinki constituency,Q499029,Social Democratic Party of Finland,2017-06-09,"",37
Q11890401,Reijo Hongisto,Q6304597,Vaasa,Q30337076,Blue Reform,"","",37
Q11892381,Sanna Lauslahti,Q3736054,Uusimaa,Q304191,National Coalition Party,"",2018-04-10,37
Q11893562,Simon Elo,Q3736054,Uusimaa,Q30337076,Blue Reform,2015-04-22,"",37
Q11897676,Timo Korhonen,Q7110478,Oulu,Q506591,Centre Party,"","",37
Q11897991,Tom Packalén,Q3736245,Helsinki constituency,Q634277,Finns Party,"","",37
Q11898869,Tuula Haatainen,Q3736245,Helsinki constituency,Q499029,Social Democratic Party of Finland,"","",37
Q11898995,Tytti Tuppurainen,Q7110478,Oulu,Q499029,Social Democratic Party of Finland,"","",37
Q11901588,Ville Vähämäki,Q7110478,Oulu,Q634277,Finns Party,"","",37
Q11902424,Wille Rydman,Q3736245,Helsinki constituency,Q304191,National Coalition Party,2015-04-22,"",37
Q1284472,Silvia Modig,Q3736245,Helsinki constituency,Q385927,Left Alliance,"","",37
Q13628790,Suna Kymäläinen,Q18691231,South-Eastern Finland,Q499029,Social Democratic Party of Finland,"","",37
Q16158033,Touko Aalto,Q5061084,Central Finland,Q196695,Green League,2015-04-22,"",37
Q16298585,Timo Harakka,Q3736054,Uusimaa,Q499029,Social Democratic Party of Finland,2015-04-22,"",37
Q16298785,Timo Heinonen,Q6304614,Tavastia,Q304191,National Coalition Party,"","",37
Q16299227,Antti Häkkänen,Q18691231,South-Eastern Finland,Q304191,National Coalition Party,2015-04-22,"",37
Q16299674,Emma Kari,Q3736245,Helsinki constituency,Q196695,Green League,2015-04-22,"",37
Q16299877,Kimmo Kivelä,Q18691405,Savonia-Karelia,Q30337076,Blue Reform,2015-04-22,"",37
Q16300004,Jukka Kopra,Q18691231,South-Eastern Finland,Q304191,National Coalition Party,"","",37
Q16300064,Susanna Koski,Q6304597,Vaasa,Q304191,National Coalition Party,2015-04-22,"",37
Q16980286,Anne Berner,Q3736054,Uusimaa,Q506591,Centre Party,2015-04-22,"",37
Q16980516,Katja Hänninen,Q7110478,Oulu,Q385927,Left Alliance,"","",37
Q16984784,Mika Lintilä,Q6304597,Vaasa,Q506591,Centre Party,"","",37
Q16984994,Maria Lohela,Q5450453,Finland Proper,Q30337076,Blue Reform,"","",37
Q16985005,Markus Lohi,Q6488275,Lapland,Q506591,Centre Party,"","",37
Q16986436,Sanna Marin,Q6304273,Pirkanmaa,Q499029,Social Democratic Party of Finland,2015-04-22,"",37
Q16988670,Jari Myllykoski,Q6304483,Satakunta,Q385927,Left Alliance,"","",37
Q16989307,Merja Mäkisalo-Ropponen,Q18691405,Savonia-Karelia,Q499029,Social Democratic Party of Finland,"","",37
Q16989600,Sirpa Paatero,Q18691231,South-Eastern Finland,Q499029,Social Democratic Party of Finland,"","",37
Q16990187,Markku Rossi,Q18691405,Savonia-Karelia,Q506591,Centre Party,"","",37
Q16990389,Hanna Sarkkinen,Q7110478,Oulu,Q385927,Left Alliance,"","",37
Q16990780,Mari-Leena Talvitie,Q7110478,Oulu,Q304191,National Coalition Party,2015-04-22,"",37
Q16990924,Maria Tolppanen,Q6304597,Vaasa,Q499029,Social Democratic Party of Finland,"","",37
Q16991103,Raija Vahasalo,Q3736054,Uusimaa,Q304191,National Coalition Party,2018-04-10,"",37
Q16999977,Mika Raatikainen,Q3736245,Helsinki constituency,Q634277,Finns Party,"","",37
Q1711532,Juha Sipilä,Q7110478,Oulu,Q506591,Centre Party,"","",37
Q17382244,Elina Lepomäki,Q3736054,Uusimaa,Q304191,National Coalition Party,"","",37
Q17384292,Ville Tavio,Q5450453,Finland Proper,Q634277,Finns Party,"","",37
Q182043,Matti Vanhanen,Q3736054,Uusimaa,Q506591,Centre Party,"","",37
Q1854955,Mauri Pekkarinen,Q5061084,Central Finland,Q506591,Centre Party,"","",37
Q18633181,Mikko Kärnä,Q6488275,Lapland,Q506591,Centre Party,2015-04-30,2018-06-12,37
Q18633498,Ozan Yanar,Q3736245,Helsinki constituency,Q196695,Green League,"","",37
Q19827925,Mats Löfström,Q16250421,Åland,Q11903314,Åland Coalition,"","",37
Q19842585,Veera Ruoho,Q3736054,Uusimaa,Q304191,National Coalition Party,2015-04-22,"",37
Q20251257,Anders Adlercreutz,Q3736054,Uusimaa,Q845537,Swedish People's Party of Finland,2015-04-22,"",37
Q20251436,Tiina Elovaara,Q6304273,Pirkanmaa,Q30337076,Blue Reform,2015-04-22,"",37
Q20251571,Pertti Hakanen,Q6304273,Pirkanmaa,Q506591,Centre Party,2015-04-22,"",37
Q20251577,Hanna Halmeenpää,Q7110478,Oulu,Q196695,Green League,2015-04-22,"",37
Q20251661,Laura Huhtasaari,Q6304483,Satakunta,Q634277,Finns Party,2015-04-22,"",37
Q20251745,Marisanna Jarva,Q7110478,Oulu,Q506591,Centre Party,2015-04-22,"",37
Q20252282,Leena Meri,Q3736054,Uusimaa,Q634277,Finns Party,2015-05-04,"",37
Q20252447,Ilmari Nurminen,Q6304273,Pirkanmaa,Q499029,Social Democratic Party of Finland,"","",37
Q20252561,Ulla Parviainen,Q7110478,Oulu,Q506591,Centre Party,"","",37
Q20252907,Sami Savio,Q6304273,Pirkanmaa,Q634277,Finns Party,"","",37
Q20253029,Joakim Strand,Q6304597,Vaasa,Q845537,Swedish People's Party of Finland,"","",37
Q20253109,Martti Talja,Q6304614,Tavastia,Q506591,Centre Party,"","",37
Q20253375,Eerikki Viljanen,Q3736054,Uusimaa,Q506591,Centre Party,"","",37
Q20253945,Kari Kulmala,Q18691405,Savonia-Karelia,Q30337076,Blue Reform,"","",37
Q20253947,Katri Kulmuni,Q6488275,Lapland,Q506591,Centre Party,2015-04-22,"",37
Q20253954,Antero Laukkanen,Q3736054,Uusimaa,Q1138982,Christian Democrats,"","",37
Q20254037,Rami Lehto,Q6304614,Tavastia,Q634277,Finns Party,"","",37
Q20254067,Juha Pylväs,Q7110478,Oulu,Q506591,Centre Party,"","",37
Q20254160,Satu Taavitsainen,Q18691231,South-Eastern Finland,Q499029,Social Democratic Party of Finland,"","",37
Q20254165,Sari Tanus,Q6304273,Pirkanmaa,Q1138982,Christian Democrats,"","",37
Q20254214,Sari Raassina,Q18691405,Savonia-Karelia,Q304191,National Coalition Party,"","",37
Q20254232,Jari Ronkainen,Q6304614,Tavastia,Q634277,Finns Party,"","",37
Q20254262,Matti Semi,Q18691405,Savonia-Karelia,Q385927,Left Alliance,"","",37
Q20255240,Jani Mäkelä,Q18691231,South-Eastern Finland,Q634277,Finns Party,"","",37
Q20255727,Saara-Sofia Sirén,Q5450453,Finland Proper,Q304191,National Coalition Party,"","",37
Q20257511,Petri Honkonen,Q5061084,Central Finland,Q506591,Centre Party,2015-04-22,"",37
Q2332874,Krista Kiuru,Q6304483,Satakunta,Q499029,Social Democratic Party of Finland,"","",37
Q233299,Jaana Pelkonen,Q3736245,Helsinki constituency,Q304191,National Coalition Party,"","",37
Q2334883,Maria Guzenina-Richardson,Q3736054,Uusimaa,Q499029,Social Democratic Party of Finland,"","",37
Q2360756,Eero Heinäluoma,Q3736245,Helsinki constituency,Q499029,Social Democratic Party of Finland,"","",37
Q2366466,Ville Niinistö,Q5450453,Finland Proper,Q196695,Green League,"","",37
Q241376,Jutta Urpilainen,Q6304597,Vaasa,Q499029,Social Democratic Party of Finland,"","",37
Q241563,Sari Essayah,Q18691405,Savonia-Karelia,Q1138982,Christian Democrats,2015-04-22,"",37
Q25369895,Veronica Rehn-Kivi,Q3736054,Uusimaa,Q845537,Swedish People's Party of Finland,2016-08-09,"",37
Q2565423,Tarja Filatov,Q6304614,Tavastia,Q499029,Social Democratic Party of Finland,"","",37
Q2613311,Jukka Gustafsson,Q6304273,Pirkanmaa,Q499029,Social Democratic Party of Finland,"","",37
Q264823,Satu Hassi,Q6304273,Pirkanmaa,Q196695,Green League,2015-04-22,"",37
Q2850448,Anna-Maja Henriksson,Q6304597,Vaasa,Q845537,Swedish People's Party of Finland,"","",37
Q28778236,Mia Laiho,Q3736054,Uusimaa,Q304191,National Coalition Party,2018-03-05,"",37
Q28781173,Riitta Mäkinen,Q5061084,Central Finland,Q499029,Social Democratic Party of Finland,2018-06-15,"",37
Q28787667,Hanna-Leena Mattila,Q7110478,Oulu,Q506591,Centre Party,2018-06-05,"",37
Q28787888,Matti Torvinen,Q6488275,Lapland,Q30337076,Blue Reform,2017-07-01,"",37
Q293122,Eva Biaudet,Q3736245,Helsinki constituency,Q845537,Swedish People's Party of Finland,2015-04-22,"",37
Q294411,Olli Rehn,Q3736245,Helsinki constituency,Q506591,Centre Party,"",2017-02-01,37
Q2977831,Ben Zyskowicz,Q3736245,Helsinki constituency,Q304191,National Coalition Party,"","",37
Q2983780,Paula Risikko,Q6304597,Vaasa,Q304191,National Coalition Party,"","",37
Q3098641,Seppo Kääriäinen,Q18691405,Savonia-Karelia,Q506591,Centre Party,2015-04-22,"",37
Q3116526,Kike Elomaa,Q5450453,Finland Proper,Q634277,Finns Party,"","",37
Q317485,Pekka Haavisto,Q3736245,Helsinki constituency,Q196695,Green League,"","",37
Q3180769,Paula Lehtomäki,Q3736245,Helsinki constituency,Q506591,Centre Party,2017-02-01,2017-02-09,37
Q326512,Pertti Salolainen,Q3736245,Helsinki constituency,Q304191,National Coalition Party,"","",37
Q3267077,Jani Toivola,Q3736054,Uusimaa,Q196695,Green League,"","",37
Q346017,Toimi Kankaanniemi,Q5061084,Central Finland,Q634277,Finns Party,"","",37
Q3542205,Tuomo Puumala,Q6304597,Vaasa,Q506591,Centre Party,"","",37
Q355463,Timo Soini,Q3736054,Uusimaa,Q30337076,Blue Reform,"","",37
Q3735621,Outi Alanko-Kahiluoto,Q3736245,Helsinki constituency,Q196695,Green League,"","",37
Q433545,Pauli Kiuru,Q6304273,Pirkanmaa,Q304191,National Coalition Party,"","",37
Q4349014,Anu Vehviläinen,Q18691405,Savonia-Karelia,Q506591,Centre Party,"","",37
Q4353146,Teuvo Hakkarainen,Q5061084,Central Finland,Q634277,Finns Party,"","",37
Q4357345,Pentti Oinonen,Q18691405,Savonia-Karelia,Q30337076,Blue Reform,"","",37
Q4357930,Sofia Vikman,Q6304273,Pirkanmaa,Q304191,National Coalition Party,"","",37
Q4357986,Heli Järvinen,Q18691231,South-Eastern Finland,Q196695,Green League,2015-04-22,"",37
Q4358308,Martti Mölsä,Q6304273,Pirkanmaa,Q30337076,Blue Reform,"","",37
Q438819,Päivi Räsänen,Q6304614,Tavastia,Q1138982,Christian Democrats,"","",37
Q458219,Riitta Myller,Q18691405,Savonia-Karelia,Q499029,Social Democratic Party of Finland,"","",37
Q4768564,Anne Louhelainen,Q6304614,Tavastia,Q30337076,Blue Reform,"","",37
Q4826119,Mikko Alatalo,Q6304273,Pirkanmaa,Q506591,Centre Party,"","",37
Q4935864,Li Andersson,Q5450453,Finland Proper,Q385927,Left Alliance,2015-04-22,"",37
Q4947758,Maarit Feldt-Ranta,Q3736054,Uusimaa,Q499029,Social Democratic Party of Finland,"","",37
Q4959500,Anna Kontula,Q6304273,Pirkanmaa,Q385927,Left Alliance,"","",37
Q4970578,Mikaela Nylander,Q3736054,Uusimaa,Q845537,Swedish People's Party of Finland,"","",37
Q4981024,Anneli Kiljunen,Q18691231,South-Eastern Finland,Q499029,Social Democratic Party of Finland,"","",37
Q4984722,Anne-Mari Virolainen,Q5450453,Finland Proper,Q304191,National Coalition Party,"","",37
Q503143,Alexander Stubb,Q3736054,Uusimaa,Q304191,National Coalition Party,"",2017-07-30,37
Q5347129,Eero Lehti,Q3736054,Uusimaa,Q304191,National Coalition Party,"","",37
Q5399496,Vesa-Matti Saarakkala,Q6304597,Vaasa,Q30337076,Blue Reform,"","",37
Q5406165,Sanni Grahn-Laasonen,Q6304614,Tavastia,Q304191,National Coalition Party,"","",37
Q5406257,Juho Eerola,Q18691231,South-Eastern Finland,Q634277,Finns Party,2015-04-22,"",37
Q5407283,Pekka Puska,Q3736245,Helsinki constituency,Q506591,Centre Party,2017-02-09,"",37
Q5410024,Olli Immonen,Q7110478,Oulu,Q634277,Finns Party,"","",37
Q5411779,Kalle Jokinen,Q6304614,Tavastia,Q304191,National Coalition Party,"","",37
Q5413089,Harry Harkimo,Q3736054,Uusimaa,Q304191,National Coalition Party,2015-04-22,2018-04-19,37
Q5413089,Harry Harkimo,Q3736054,Uusimaa,Q327591,independent politician,2018-04-20,2018-04-26,37
Q5413089,Harry Harkimo,Q3736054,Uusimaa,Q52157683,Liike Nyt,2018-04-27,"",37
Q5413287,Katja Taimela,Q5450453,Finland Proper,Q499029,Social Democratic Party of Finland,"","",37
Q546665,Susanna Huovinen,Q5061084,Central Finland,Q499029,Social Democratic Party of Finland,"",2018-06-14,37
Q5485318,Ville Skinnari,Q6304614,Tavastia,Q499029,Social Democratic Party of Finland,2015-04-22,"",37
Q5489994,Hannakaisa Heikkinen,Q18691405,Savonia-Karelia,Q506591,Centre Party,2015-04-22,"",37
Q55393934,Eija Nivala,Q7110478,Oulu,Q506591,Centre Party,2018-06-18,2018-06-25,37
Q5579704,Thomas Blomqvist,Q3736054,Uusimaa,Q845537,Swedish People's Party of Finland,"","",37
Q560930,Paavo Väyrynen,Q6488275,Lapland,Q506591,Centre Party,"",2015-04-27,37
Q560930,Paavo Väyrynen,Q6488275,Lapland,Q506591,Centre Party,2018-06-12,"",37
Q5648706,Hanna Kosonen,Q18691231,South-Eastern Finland,Q506591,Centre Party,"","",37
Q58121,Erkki Tuomioja,Q3736245,Helsinki constituency,Q499029,Social Democratic Party of Finland,"","",37
Q5880671,Harri Jaskari,Q6304273,Pirkanmaa,Q304191,National Coalition Party,"","",37
Q5899369,Ilkka Kantola,Q5450453,Finland Proper,Q499029,Social Democratic Party of Finland,"","",37
Q5903411,Jyrki Kasvi,Q3736054,Uusimaa,Q196695,Green League,2015-04-22,"",37
Q596737,Lauri Ihalainen,Q5061084,Central Finland,Q499029,Social Democratic Party of Finland,2015-04-22,"",37
Q6020029,Mats Nylund,Q6304597,Vaasa,Q845537,Swedish People's Party of Finland,"","",37
Q6029546,Petteri Orpo,Q5450453,Finland Proper,Q304191,National Coalition Party,"","",37
Q6050630,Arto Pirttilahti,Q6304273,Pirkanmaa,Q506591,Centre Party,"","",37
Q6216388,Johanna Karimäki,Q3736054,Uusimaa,Q196695,Green League,"","",37
Q6304972,Sari Sarkomaa,Q3736245,Helsinki constituency,Q304191,National Coalition Party,"","",37
Q6304985,Timo Kalli,Q6304483,Satakunta,Q506591,Centre Party,"","",37
Q6315653,Jussi Niinistö,Q3736054,Uusimaa,Q30337076,Blue Reform,"","",37
Q6348813,Kaj Turunen,Q18691231,South-Eastern Finland,Q304191,National Coalition Party,"","",37
Q6370431,Kari Uotila,Q3736054,Uusimaa,Q385927,Left Alliance,"","",37
Q657282,Paavo Arhinmäki,Q3736245,Helsinki constituency,Q385927,Left Alliance,"","",37
Q6845542,Mika Niikko,Q3736054,Uusimaa,Q634277,Finns Party,"","",37
Q7044113,Anne Kalmari,Q5061084,Central Finland,Q506591,Centre Party,"","",37
Q7045446,Annika Saarikko,Q5450453,Finland Proper,Q506591,Centre Party,"","",37
Q7177967,Peter Östman,Q6304597,Vaasa,Q1138982,Christian Democrats,"","",37
Q718650,Ilkka Kanerva,Q5450453,Finland Proper,Q304191,National Coalition Party,"","",37
Q7198035,Pirkko Mattila,Q7110478,Oulu,Q30337076,Blue Reform,"","",37
Q7198040,Pirkko Ruohonen-Lerner,Q3736054,Uusimaa,Q634277,Finns Party,"",2015-05-04,37
Q7276180,Esko Kiviranta,Q5450453,Finland Proper,Q506591,Centre Party,"","",37
Q7424043,Sari Multala,Q3736054,Uusimaa,Q304191,National Coalition Party,"","",37
Q765588,Tapani Tölli,Q7110478,Oulu,Q506591,Centre Party,"","",37
Q777316,Sirkka-Liisa Anttila,Q6304614,Tavastia,Q506591,Centre Party,"","",37
Q779418,Juha Rehula,Q6304614,Tavastia,Q506591,Centre Party,"","",37
Q782439,Sampo Terho,Q3736245,Helsinki constituency,Q30337076,Blue Reform,"","",37
Q9023263,Lasse Hautala,Q6304597,Vaasa,Q506591,Centre Party,"","",37
Q921096,Sinuhe Wallinheimo,Q5061084,Central Finland,Q304191,National Coalition Party,"","",37
Q964549,Kimmo Tiilikainen,Q18691231,South-Eastern Finland,Q506591,Centre Party,"","",37
Q983658,Stefan Wallin,Q5450453,Finland Proper,Q845537,Swedish People's Party of Finland,"","",37
