name,area,area_id,party,source,gender,age,term
Mokherane Tsatsanyane Chalthin,Stadium Area,31,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,40,10
Mokhethi Joseph Khutliso,Maletsunyane,47,BANC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,47,10
Mokoma Letsitsi Khobohelo,Mantšonyane,72,LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,34,10
Molefe Mpalipali Michael,Maliepetsane,51,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,64,10
Molefi Phamotse Simon,Likhoele,53,BBDP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,24,10
Monaheng Lebohang,Thaba - Putsoa,40,BNP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,58,10
Monyane Moleleki,Machache,39,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,"",10
Mooki Jobo Sello,Bobatsi,80,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,32,10
Moshe Leoma,Matlakeng,11,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,43,10
Moshoeshoe Fako,Mabote,29,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,49,10
Motebang Koma,Koro - Koro,42,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,68,10
Mothejoa Metsing,Mahobong,9,LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,48,10
Motlalentoa Letsosa,Qalabane,54,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,41,10
Motlalepula Sello,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Motlohi Maliehe,Botha-Bothe,5,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,56,10
Mots'oane Libe George,Mphosong,7,ADC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,31,10
Mphosi Nkhase Sidney,Pela-Tšoeu,10,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,59,10
Nkaku Ernest Kabi,Qeme,43,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,41,10
Nthabiseng Makoae,Proportional Representation,"",BNP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Ntlhoi Motsamai,Hloahloeng,63,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,52,10
Nyapane Edward Kaya,Mechachane,1,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,40,10
Palo Leteetee,Qhalasi,57,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,57,10
Peea Sethunt'sa Simon,Thaba-Moea,73,NIP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,40,10
Pheane Ntshihele,Proportional Representation,"",MEC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Phutuhelo Daniel Mafereka,Mpharane,61,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,51,10
Ramakoae Molise 'Mat'sepo,Matsieng,45,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,60,10
Raphoto Makalo Pascaline,Sebapala,66,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,63,10
Rapitso Mahooana George Khati,Moyeni,65,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,42,10
Samonyane Ntsekele,Tsikoane,14,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,41,10
Sehloho Monatsi,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Sekola Lepota,Makhaleng,46,INDEPENDENT,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,50,10
Selibe Machoboroane,Thabana-Morena,52,LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,38,10
Semano Henry Sekatle,Lebakeng,70,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,60,10
Senauoane 'Mamoipone,Thaba-Tseka,74,ADC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,53,10
Sentje Leornad Lebona,Mohale's Hoek,58,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,58,10
Serialong Qoo,Malingoaneng,77,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,50,10
Sofonia Thabo Joseph,Thaba - Bosiu,38,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,65,10
Sotlehang Sidwell Sekhamane,Maputsoe,15,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,53,10
Teboho Sekata,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Tefo Fabian Mapasela,Mokhotlong,79,"",http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Temeki Phoenix Tsólo,Mafeteng,55,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,44,10
Thabang Linus Kholumo,Qalo,4,KHOEETSA/PFD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,52,10
Thabiso Molapo,Proportional Representation,"",DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Thabo Ramatla,Proportional Representation,"",MEC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Thato Ntsibolane,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Theresa Monyooe,Proportional Representation,"",PFD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Thesele Maseribane,Proportional Representation,"",BNP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Thulo Mahlakeng,Proportional Representation,"",BCP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Thuso Litjobo,Proportional Representation,"",AD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Tlokotsi Gerard Monyooko,Hololo,2,HDP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,48,10
Tsehlo Moses Ramarou,Leribe,12,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,46,10
Tseleng Mosenyetsi,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Tsoinyana Samuel Rapapa,Mosalemane,19,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,52,10
Tséliso Joseph Kalake,Thupa-Kubu,26,RCL,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,39,10
Tsépang Mosena,Proportional Representation,"",MEC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Tsóeu Molise Joseph,Tsóana Makhulo,25,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,44,10
Tsˆeliso Mokhosi,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Tumaole Clement Lerafa,Moteete,3,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,47,10
Tšoeu Phineas Mokeretla,Mashai,76,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,54,10
Vicent Moketsi Malebo,Proportional Representation,"",MFP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
kose Makoa,Proportional Representation,"",AD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
