party,page_id,district,term_id,image,name,region,details_url,chamber,term,constituency
MAPAR,nasser-ahmed,Antsiranana II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/45.jpg,NASSER Ahmed,Diana,http://www.assemblee-nationale.mg/?depute=nasser-ahmed,National Assembly,2013,Antsiranana II
MAPAR,ndahimananjara-nee-randrianarison-benedicte-benedicte-johanita,Toamasina I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/46.jpg,RASOLOFO Samuelson Jean Baptiste,Atsinanana,http://www.assemblee-nationale.mg/?depute=ndahimananjara-nee-randrianarison-benedicte-benedicte-johanita,National Assembly,2013,Toamasina I
MAPAR,ndremanjary-paraina-odilon,Farafangana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/47.jpg,NDREMANJARY Paraina Odilon,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=ndremanjary-paraina-odilon,National Assembly,2013,Farafangana
Indépendant,nicolas-stephan-alphonse,Mahajanga I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/48.jpg,NICOLAS Stéphan Alphonse,Boeny,http://www.assemblee-nationale.mg/?depute=nicolas-stephan-alphonse,National Assembly,2013,Mahajanga I
Leader Fanilo,nivo-rufin,Farafangana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/49.jpg,NIVO Rufin,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=nivo-rufin,National Assembly,2013,Farafangana
MAPAR,rabarison-joseph-aime,Anosibe An’Ala,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/50.jpg,RABARISON Joseph Aimé,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rabarison-joseph-aime,National Assembly,2013,Anosibe An’Ala
Indépendant,rabearisoa-jean-claude,Kandreho,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/51.jpg,RABEARISOA Jean Claude,Betsiboka,http://www.assemblee-nationale.mg/?depute=rabearisoa-jean-claude,National Assembly,2013,Kandreho
M. RAVALOMANANA,rabekijana-solofo-hery,Amparafaravola,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/52.jpg,RABEKIJANA Solofo Hery,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rabekijana-solofo-hery,National Assembly,2013,Amparafaravola
MAPAR,rabemananjara-celestine,Arivonimamo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/53.jpg,RABEMANANJARA Célestine,Itasy,http://www.assemblee-nationale.mg/?depute=rabemananjara-celestine,National Assembly,2013,Arivonimamo
VP-MMM,rabenirina-jean-jacques,Betioky Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/54.jpg,ANDRIAMAROTIA Ludovic Edmond,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=rabenirina-jean-jacques,National Assembly,2013,Betioky Atsimo
M. RAVALOMANANA,rabenirina-jean-rene,Andilamena,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/55.jpg,RABENIRINA Jean Réné,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rabenirina-jean-rene,National Assembly,2013,Andilamena
Indépendant,rabenirina-maminiaina-solondraibe,Ambohidratrimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/56.jpg,RABENIRINA Maminiaina Solondraibe,Analamanga,http://www.assemblee-nationale.mg/?depute=rabenirina-maminiaina-solondraibe,National Assembly,2013,Ambohidratrimo
VP-MMM,rabetafika-norovelomampionona-roberthine,Isandra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/57.jpg,RABETAFIKA Norovelomampionona Roberthine,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=rabetafika-norovelomampionona-roberthine,National Assembly,2013,Isandra
MAPAR,rafenomanantsoa-tsirimaharo-ny-aina,Antananarivo III,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/58.jpg,RAFENOMANANTSOA Tsirimaharo Ny Aina,Analamanga,http://www.assemblee-nationale.mg/?depute=rafenomanantsoa-tsirimaharo-ny-aina,National Assembly,2013,Antananarivo III
MAPAR,rahantanirina-lalao,Mahajanga I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/59.jpg,RAHANTANIRINA Lalao,Boeny,http://www.assemblee-nationale.mg/?depute=rahantanirina-lalao,National Assembly,2013,Mahajanga I
M. RAVALOMANANA,rahantasoa-lydia-aimee-vololona,Manjakandriana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/60.jpg,RAHANTASOA Lydia Aimée Vololona,Analamanga,http://www.assemblee-nationale.mg/?depute=rahantasoa-lydia-aimee-vololona,National Assembly,2013,Manjakandriana
Indépendant,raharijaona,Anjozorobe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/61.jpg,RAHARIJAONA -,Analamanga,http://www.assemblee-nationale.mg/?depute=raharijaona,National Assembly,2013,Anjozorobe
MAPAR,raharimalala-marie-lydia,Fandriana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/62.jpg,ANDRIAMIFALISON Réné Rakotonirina,Amoronimania,http://www.assemblee-nationale.mg/?depute=raharimalala-marie-lydia,National Assembly,2013,Fandriana
M. RAVALOMANANA,raharimanarivo-voahanginiaina,Antananarivo Atsimondrano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/63.jpg,RAHARIMANARIVO Voahanginiaina,Analamanga,http://www.assemblee-nationale.mg/?depute=raharimanarivo-voahanginiaina,National Assembly,2013,Antananarivo Atsimondrano
VP-MMM,raharinirina-sydonie,Mananara Avaratra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/64.jpg,RAHARINIRINA Sydonie,Analanjirofo,http://www.assemblee-nationale.mg/?depute=raharinirina-sydonie,National Assembly,2013,Mananara Avaratra
MAPAR,raharoarilala-tinoka-roberto-michael,Sakaraha,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/65.jpg,RAHAROARILALA Tinoka Roberto Michael,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=raharoarilala-tinoka-roberto-michael,National Assembly,2013,Sakaraha
MAPAR,rahasimanana-paul-bert,Antananarivo IV,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/66.jpg,RAHASIMANANA Paul Bert,Analamanga,http://www.assemblee-nationale.mg/?depute=rahasimanana-paul-bert,National Assembly,2013,Antananarivo IV
MAPAR,rahelihanta-jocelyne,Antsiranana I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/67.jpg,RAHELIHANTA Jocelyne,Diana,http://www.assemblee-nationale.mg/?depute=rahelihanta-jocelyne,National Assembly,2013,Antsiranana I
MAPAR,raherisoa-vololona-victorine,Antananarivo VI,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/68.jpg,RAHERISOA Vololona Victorine,Analamanga,http://www.assemblee-nationale.mg/?depute=raherisoa-vololona-victorine,National Assembly,2013,Antananarivo VI
MAPAR,raholdina-ranaivo-herinantsoina-ranaivo-herinantsoina,Antananarivo V,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/69.jpg,RAHOLDINA Ranaivo Herinantsoina,Analamanga,http://www.assemblee-nationale.mg/?depute=raholdina-ranaivo-herinantsoina-ranaivo-herinantsoina,National Assembly,2013,Antananarivo V
Indépendant,raholijaona-harson,Tsiroanomandidy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/70.jpg,RAHOLIJAONA Harson,Bongolava,http://www.assemblee-nationale.mg/?depute=raholijaona-harson,National Assembly,2013,Tsiroanomandidy
MAPAR,rajaobelina-lova-herizo,Moramanga,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/71.jpg,RAJAOBELINA Lova Herizo,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rajaobelina-lova-herizo,National Assembly,2013,Moramanga
M. RAVALOMANANA,rajaonson-lantoarijaona-maminiriana-tsitohaina,Antananarivo III,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/72.jpg,RAJAONSON Lantoarijaona Maminiriana Tsitohaina,Analamanga,http://www.assemblee-nationale.mg/?depute=rajaonson-lantoarijaona-maminiriana-tsitohaina,National Assembly,2013,Antananarivo III
MAPAR,rajaozanany-jean-claude,Mandritsara,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/73.jpg,RAJAOZANANY Jean Claude,Sofia,http://www.assemblee-nationale.mg/?depute=rajaozanany-jean-claude,National Assembly,2013,Mandritsara
Indépendant,rakotobe-emiline,Amparafaravola,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/74.jpg,RAKOTOBE Emiline,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rakotobe-emiline,National Assembly,2013,Amparafaravola
MAPAR,rakotomalala-lucien,Morombe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/75.jpg,RAKOTOMALALA Lucien,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=rakotomalala-lucien,National Assembly,2013,Morombe
Leader Fanilo,rakotomamonjy-jean-max,Andapa,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/76.jpg,RAKOTOMAMONJY Jean Max,Sava,http://www.assemblee-nationale.mg/?depute=rakotomamonjy-jean-max,National Assembly,2013,Andapa
MAPAR,rakotomanga-lantoarivola-sedera,Antananarivo II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/77.jpg,RAKOTOMANGA Lantoarivola Sedera,Analamanga,http://www.assemblee-nationale.mg/?depute=rakotomanga-lantoarivola-sedera,National Assembly,2013,Antananarivo II
M. RAVALOMANANA,rakotomanjato-rodin-edmond-georges,Arivonimamo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/78.jpg,RAKOTOMANJATO Rodin Edmond Georges,Itasy,http://www.assemblee-nationale.mg/?depute=rakotomanjato-rodin-edmond-georges,National Assembly,2013,Arivonimamo
Hasin’i Madagasikara,rakotonirina-joe-ernest,Iakora,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/79.jpg,RAKOTONIRINA Joe Ernest,Ihorombe,http://www.assemblee-nationale.mg/?depute=rakotonirina-joe-ernest,National Assembly,2013,Iakora
Indépendant,rakotosolofondrabe-zakamady-zakamady,Ambositra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/80.jpg,RAKOTOSOLOFONDRABE Zakamady,Amoronimania,http://www.assemblee-nationale.mg/?depute=rakotosolofondrabe-zakamady-zakamady,National Assembly,2013,Ambositra
Indépendant,ralinjanahary-tsitohaina-valimandresy,Ikalamavony,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/81.jpg,RALINJANAHARY Tsitohaina Valimandresy,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=ralinjanahary-tsitohaina-valimandresy,National Assembly,2013,Ikalamavony
MAPAR,ramahasindy-koko-herisoa,Midongy Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/82.jpg,RAMAHASINDRY Koko Herisoa,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=ramahasindy-koko-herisoa,National Assembly,2013,Midongy Atsimo
MAPAR,ramaherijaona-hajanirina-lanto,Tsiroanomandidy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/83.jpg,RAMAHERIJAONA Hajanirina Lanto,Bongolava,http://www.assemblee-nationale.mg/?depute=ramaherijaona-hajanirina-lanto,National Assembly,2013,Tsiroanomandidy
MAPAR,ramamonjisoa-virapin,Fianarantsoa I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/84.jpg,RATOVOSON Manoelina Hery,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=ramamonjisoa-virapin,National Assembly,2013,Fianarantsoa I
Indépendant,ramarolahy-maurice,Antsalova,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/85.jpg,RAMAROLAHY Maurice,Melaky,http://www.assemblee-nationale.mg/?depute=ramarolahy-maurice,National Assembly,2013,Antsalova
Indépendant,rambolamanana-jean-guy-honore,Betafo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/86.jpg,RAMBOLAMANANA Jean Guy Honoré,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=rambolamanana-jean-guy-honore,National Assembly,2013,Betafo
MAPAR,randria-joseph,Beloha,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/87.jpg,RANDRIA Joseph,Androy,http://www.assemblee-nationale.mg/?depute=randria-joseph,National Assembly,2013,Beloha
Indépendant,ranaivoson-andrianavalona-fanomezanjaka-pierrot,Fenoarivo Be,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/88.jpg,RANAIVOSON ANDRIANAVALONA Fanomezanjaka Pierrot,Bongolava,http://www.assemblee-nationale.mg/?depute=ranaivoson-andrianavalona-fanomezanjaka-pierrot,National Assembly,2013,Fenoarivo Be
Indépendant,ramparany-ramanana-anthelme,Manajary,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/89.jpg,MANANJARA Ruffine Aurelie,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=ramparany-ramanana-anthelme,National Assembly,2013,Manajary
Indépendant,randriamahefa-henri-charles,Moramanga,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/90.jpg,RANDRIAMAHEFA Henri Charles,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=randriamahefa-henri-charles,National Assembly,2013,Moramanga
M. RAVALOMANANA,randriamampianina-ramilison,Antanifotsy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/91.jpg,RANDRIAMAMPIANINA Ramilison,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=randriamampianina-ramilison,National Assembly,2013,Antanifotsy
M. RAVALOMANANA,randriamandimbisoa-felix-marie-louis,Antananarivo IV,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/92.jpg,RANDRIAMANDIMBISOA Félix Marie Louis,Analamanga,http://www.assemblee-nationale.mg/?depute=randriamandimbisoa-felix-marie-louis,National Assembly,2013,Antananarivo IV
M. RAVALOMANANA,randriambolaina-gerry,Antananarivo Avaradrano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/93.jpg,RANDRIAMBOLAINA Gerry,Analamanga,http://www.assemblee-nationale.mg/?depute=randriambolaina-gerry,National Assembly,2013,Antananarivo Avaradrano
Indépendant,randriamialisoa-willison,Ambatomainty,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/94.jpg,RANDRIAMIALISOA Willison,Melaky,http://www.assemblee-nationale.mg/?depute=randriamialisoa-willison,National Assembly,2013,Ambatomainty
Indépendant,randrianandraina-theophile-christian,Benenitra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/95.jpg,RANDRIANANDRAINA Théophile Christian,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=randrianandraina-theophile-christian,National Assembly,2013,Benenitra
M. RAVALOMANANA,randrianantenaina-olivier-anthonny-jose,Antsirabe II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/96.jpg,RANDRIANANTENAINA Olivier Anthonny José,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=randrianantenaina-olivier-anthonny-jose,National Assembly,2013,Antsirabe II
M. RAVALOMANANA,randrianarisoa-guy-celin-rivoniaina,Antananarivo V,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/97.jpg,RANDRIANARISOA Guy Célin Rivoniaina,Analamanga,http://www.assemblee-nationale.mg/?depute=randrianarisoa-guy-celin-rivoniaina,National Assembly,2013,Antananarivo V
Indépendant,rakotonimanana-solonirina-andriambelovololona,Brickaville,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/98.jpg,RAMAHATODISOLOMANANA Voanalaroy,Atsinanana,http://www.assemblee-nationale.mg/?depute=rakotonimanana-solonirina-andriambelovololona,National Assembly,2013,Brickaville
