id,name,suplente,area,party,image,term,source
h.d._florentino_abrego_lezcano,FLORENTINO ABREGO LEZCANO,"Morales Beitía, Hernán Antonio",4-1,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491154129.6522.D-FLORENTINO_ABREGO2_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._francisco_jose_aleman_mendoza,FRANCISCO JOSE ALEMAN MENDOZA,"González Camarena, Maira Esther",8-6,Partido Molirena,http://www.asamblea.gob.pa/img/320x240_1491146401.3691.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._gabriel_soto_martinez,GABRIEL SOTO MARTINEZ,"Toribio Samaniego, Luis Adriano",8-1,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491149958.582.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._hector_eduardo_aparicio_diaz,HECTOR EDUARDO APARICIO DIAZ,"Aizpurua Adames, Manuel Enrique",9-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491147444.8194.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._hector_valdes_carrasquilla,HECTOR VALDES CARRASQUILLA,"Lee Vásquez, Víctor Manuel",8-6,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491149899.5021.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._iracema_ayarza_de,IRACEMA AYARZA DE,"CEREZO RODRIGUEZ, RICARDO ZOILO",3-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491147806.3947.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._ivan_picota_benitez,IVAN PICOTA BENITEZ,"Forero Gómez, Edgardo Alfonso",8-7,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491151723.6042.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._jaime_pedrol_guerra,JAIME PEDROL GUERRA,"Bejerano Bejerano, Nicolás",12-2,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491151859.6664.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._javier_o._ortega_s,JAVIER O. ORTEGA S,"Oro Solís de Torrijos, Vielka Edith",8-8,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491152218.7115.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._jorge_alberto_rosas,JORGE ALBERTO ROSAS,"Guerra Atencio, Armando",4-6,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491151047.3616.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._jorge_ivan_arrocha_rosario,JORGE IVAN ARROCHA ROSARIO,"Pascual Otero, Dionicio",2-1,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491147664.3631.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._jose_antonio_dominguez_alvarez,JOSE ANTONIO DOMINGUEZ ALVAREZ,"Domínguez Barahona, Jorge Aquiles",8-6,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491148788.7645.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._jose_luis_varela_rodriguez,JOSE LUIS VARELA RODRIGUEZ,"Arosemena Athanasiadis, Alberto Aristides",6-2,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491149742.4523.D-JOSE_LUIS-VARELA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._jose_muñoz_molina,JOSE MUÑOZ MOLINA,"Muñoz M. de Ramírez, Mabia María",8-10,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491152189.9576.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._josé_luis_castillo_gómez,JOSÉ LUIS CASTILLO GÓMEZ,"Aguilar Franceschi, Carlos Eugenio",4-3,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491148076.142.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._juan_bautista_moya_montes,JUAN BAUTISTA MOYA MONTES,"",8-8,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_,2014,http://www.asamblea.gob.pa/diputados/
h.d._juan_bautista_serrano_jimenez,JUAN BAUTISTA SERRANO JIMENEZ,"Pérez Famanía, Jacobo",4-4,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491150013.3922.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._juan_carlos_arango_reese,JUAN CARLOS ARANGO REESE,"Vergara Cárdenas, Edwin Emilio",8-3,Partido Popular,http://www.asamblea.gob.pa/img/320x240_1491147480.7457.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._juan_manuel_poveda_guevara,JUAN MANUEL POVEDA GUEVARA,"Martínez Guevara, Ernesto",9-4,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491151602.665.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._juan_miguel_rios_gonzalez,JUAN MIGUEL RIOS GONZALEZ,"Vega Tello, Luis Alberto",6-3,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491151141.234.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._katleen_levy_g,KATLEEN LEVY G,"Oda, Dimas Ascanio",8-10,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491151783.08.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._leandro_avila,LEANDRO AVILA,"Caballero Hurtado, Cristian Nivaldo",8-6,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491147740.0354.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._luis_alexander_barria_moscoso,LUIS ALEXANDER BARRIA MOSCOSO,"Guardia Quijada, David Victoriano",8-9,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491147863.9518.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._luis_eduardo_quiros,LUIS EDUARDO QUIROS,"Broce Urriola, Edison Augusto",8-8,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491151519.3933.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._manuel_cohen_salerno,MANUEL COHEN SALERNO,"Ríos Villalobos, Francisco Luis",6-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491148559.4809.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._maria_del_carmen_delgado_blandon,MARIA DEL CARMEN DELGADO BLANDON,"Corrales Frías, Abilio Anel",3-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491148764.0617.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._mariela_del_c._vega_arrivillaga,MARIELA DEL C. VEGA ARRIVILLAGA,"Nelson Domínguez, Mario Eliecer",7-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491149608.7707.D-MARIELA_VEGA2_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._mario_augusto_lazarus_navalo,MARIO AUGUSTO LAZARUS NAVALO,"Bennett Rivera, Samuel Ricardo",3-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491151662.2939.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._mario_b._miller_l,MARIO B. MILLER L,"Baker Abrego, Celestino",1-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491151895.5866.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._marylin_e._vallarino_de_sellhorn,MARYLIN E. VALLARINO DE SELLHORN,"Sellhorn Carrillo, Agustín R.",8-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491149776.2079.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._melitón_alejandro_arrocha_ruiz,MELITÓN ALEJANDRO ARROCHA RUIZ,JUAN BAUTISTA MOYA MONTES,8-8,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491152410.6503.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._miguel_fanovich,MIGUEL FANOVICH,"Moreno González, José Bernardo",4-1,Partido Molirena,http://www.asamblea.gob.pa/img/320x240_1491148886.2162.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._miguel_lorenzo_salas_oglesby,MIGUEL LORENZO SALAS OGLESBY,"Mitre Tejada, Juan Eloy",3-1,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491150950.7341.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._nelson_jackson_palma,NELSON JACKSON PALMA,"Mack, Pascual",3-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491151166.8986.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._nestor_a._guardia_jaen,NESTOR A. GUARDIA JAEN,"Ramos Tuñón, Daniel",2-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491149712.0678.D-NESTOR_GUARDIA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._noriel_salerno_estevez,NORIEL SALERNO ESTEVEZ,"Castillo Bernal, Noriel Abdiel",2-4,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491151017.8229.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._pedro_miguel_gonzalez_pinzon,PEDRO MIGUEL GONZALEZ PINZON,"Puga García, Carlos Enrique",9-3,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491149493.8356.D-PEDRO_M_GONZALEZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._quibian_teribe_panay_gonzalez,QUIBIAN TERIBE PANAY GONZALEZ,"Martínez Gordon, Miguel Ángelo",8-9,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491152299.9436.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._raul_a._hernandez_l,RAUL A. HERNANDEZ L,"León González, Eric Alberto",2-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491150883.4468.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._raul_gilberto_pineda_vergara,RAUL GILBERTO PINEDA VERGARA,"Plata Hernández, Enrique Abdiel",8-6,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491151633.5227.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._roberto_antonio_ayala,ROBERTO ANTONIO AYALA,"Díaz Sánchez, Diomedes Jacinto",8-5,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491147776.3186.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._rony_ronald_arauz_gonzalez,RONY RONALD ARAUZ GONZALEZ,"Araúz, Eric Nelson",4-3,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491147554.0632.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._rosa_canto,ROSA CANTO,"González Bedoya, José Higinio",8-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491147929.2274.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._ruben_dario_frias_ortega,RUBEN DARIO FRIAS ORTEGA,"Frías O. de Herrera, Ana Tilsia",8-5,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491148913.5152.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._ruben_de_leon_sanchez,RUBEN DE LEON SANCHEZ,"Tristán Benavides, José Gertrudis",9-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491148658.2565.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._salvador_real_chen,SALVADOR REAL CHEN,"Rosales Guainora, Naiper",5-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491151428.016.D_SALVADOR_REAL_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._samir_gozaine_abdelmalak,SAMIR GOZAINE ABDELMALAK,"Álvarez Herrera, Edgardo Dimas",4-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491149569.0418.D_SAMIR_GOZAINE_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._sergio_rafael_galvez_evers,SERGIO RAFAEL GALVEZ EVERS,"Lombana Franceschi, Diego Enrique",8-7,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491149015.19.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._vidal_garcia,VIDAL GARCIA,"García Palacio, José Luis",8-9,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491149399.7078.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._yanibel_abrego_smith,YANIBEL ABREGO SMITH,"Rodríguez Medina, Maximino",8-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491145627.25.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._zulay_leyset_rodriguez_lu,ZULAY LEYSET RODRIGUEZ LU,"Sanjur Otero, César Diomedes",8-6,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491151077.3207.jpg,2014,http://www.asamblea.gob.pa/diputados/
