name,party,wikiname,term,type,source
Abdoulahat Seck,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aïssatou Diouf,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Papa Biram Touré,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Babacar Diame,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Adama Sylla,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Cheikh Diop Dionne,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Fallou Fall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Elhadji Mangane,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Nafi Ndiogou,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Cheikh Ndiaye,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mamadou Moustapha Ndiaye,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mouhamed Khouraichi Niass,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Thiane Sakho,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aliou Kebe,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Khoredia Sane,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Elhadji Mamdou Sall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Sadio Dansokho,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Alpha Balde,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aiyatou Taibou Balde,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Inthy Boiro,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Amadou Tidiane Talla,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mariama Diallo,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Sangone Sall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Seynabou Dieng,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Adama Sow,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mingue Lam,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mbery Sylla,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Anta Sarr,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mamadou Sadio Diallo,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mairame Kane,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Seydou Diallo,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Coumba Hamidou Deme,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aliou Dembo Sow,Benno Bok Yaakaar,Aliou Dembo Sow,2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Amadou Mame Diop,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aminata Mbaye,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Moussa Abdoul Thiam,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aïssata Tall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aminata Gueye,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ahmadou Dia,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Elhadji Amath Cisse,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mariama Mane,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Bakary Danfa,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Boubacar Villiemmbo Biaye,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Khady Mane,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ibrahima Baba Sall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Bintou Diakho,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Djimo Souaré,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Oumar Sy,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ndiole Diouf,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mame Balla Lo,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Diya Kante,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ousmane Tanor Dieng,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Sira Ndiaye Diouf,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Garmy Fall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mamadou Faye,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Cheikh Tidiane Diouf,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aïssatou Bambado Sall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ibrahima Sane,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Oulimata Mane,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aime Assine,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mamadou Badji,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aramatoulaye Diatta,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mouhamad Dieng,Parti démocratique sénégalais,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Nafy Ngom,Parti démocratique sénégalais,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mamadou Cissé,Parti démocratique sénégalais,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Moustapha Niasse,Benno Bok Yaakaar,Moustapha Niasse,2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Awa Gueye,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Moustapha Cissé Lô,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Yetta Sow,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Samba Koité,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aïssata Daouda Dia,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Djibril War,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aïssatou Sow Diawara,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Oumar Sarr,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Thillo Sarr,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mouhamed Diedhiou,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Khary Diaw,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mouhamadou Ngom,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Katy Cisse,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Barthelemy Toye Dias,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Magatte Mbodj,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Abdou Mbow,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mously Diakhate,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Cheikh Tidiane Ndiaye,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aminata Diallo,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Thierno Bocoum,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Marie-Thérèse Aida Seck,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Samba Dioulde Thiam,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Yaye Ndao Diop,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Daouda Dia,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ndeye Lucie Cissé,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Samba Demba Ndiaye,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Awa Diagne,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mar Diouf,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Haoua Dia,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Abdou Ndiaye,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
