id,position,label,description,start_date,term,end_date,replaces,replaced_by,of,constituency
Q16712255,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q16720096,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q182452,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,1993-12-12,,,,,,
Q18277467,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q18278938,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q183279,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q18399109,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q18405293,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q18543373,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q18634007,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q18634652,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q18635188,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q187247,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,1999,,2007,,,,Novosibirsk Oblast
Q187247,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,2007,,,,,,Stavropol Krai
Q18740972,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q18741317,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q18923796,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19365969,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19366074,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19521683,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19521750,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q1958500,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q19588470,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19614088,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19615162,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19615418,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19617363,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19618650,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19619171,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19619195,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19631941,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q1966094,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q1980296,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19817635,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,2011-12-21,,2016-10-05,,,,
Q19817638,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19817849,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818040,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818048,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818053,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818061,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818062,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818064,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818066,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818067,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818068,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818069,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818073,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818078,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19818081,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19844165,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19861739,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19861744,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q1990789,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q19910548,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q200015,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q20202264,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q2029643,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q2037108,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q21088166,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q21091702,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q21094223,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q21096796,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q21099076,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q21130887,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q21131026,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q21154292,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q233812,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q2384738,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q2390534,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q2390534,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q2597507,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q2597507,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q268338,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q268338,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q27049394,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q27507127,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q27758432,Q486839,member of parliament,representative of the voters to a parliament,"",,,,,,
Q28006887,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q2833421,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q28496518,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q28496580,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q28530091,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q28543758,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",7th State Duma of the Russian Federation,,,,,
Q28800397,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q29865367,Q4147423,mayor (Russia),"","",,,,,,
Q29865463,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",7th State Duma of the Russian Federation,,,,,
Q29883665,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q2995350,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q30345177,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",7th State Duma of the Russian Federation,,,,,
Q30880619,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q313452,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q3148435,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q316864,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q319517,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q3196127,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q3492123,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q351025,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q368947,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q368947,Q4376672,Chairman of the Federation Council of Russia,presiding officer of the upper house of the Russian parliament,"",,,,,,
Q37607146,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4054291,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4054921,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4055171,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4059843,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4062385,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4064792,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4065431,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4066230,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4067585,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4069084,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4071023,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4071033,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4079281,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4079299,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4085247,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4085843,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4094838,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4097351,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4098685,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4098702,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4099632,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4099750,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4101314,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4104566,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4104665,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4114095,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4123361,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4123361,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4128570,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4131198,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4132910,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4133962,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4134042,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4135981,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4138366,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4142768,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4142768,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4143172,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4144816,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4146431,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4148178,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4148825,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4151599,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4156642,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4157919,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4162799,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4167009,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4167730,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4174205,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4178234,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4179057,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4180012,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4181748,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4182899,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4182909,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4186753,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4189285,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4193697,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4194129,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4194287,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4194353,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4194353,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4194353,Q24933296,,"","",,,,,,
Q4196259,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4197645,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4199045,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4203535,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4205735,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4209162,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4209170,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4209170,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4211206,Q19829755,Head of the City of Vologda,senior executive officer of the municipal formation “the City of Vologda”,2008-11-01,,"",,"",,
Q4217989,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4218102,Q15628644,member of the Supreme Soviet of the Soviet Union,political representative in the Soviet Union,"",,,,,,
Q4218102,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4218103,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4228317,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4228319,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q42295860,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",7th State Duma of the Russian Federation,,,,,
Q42296283,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",6th State Duma of the Russian Federation,,,,,
Q4229968,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4229982,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4233329,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4235599,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4236030,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4237276,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4239752,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4239942,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4245378,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4245509,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4246171,Q14805701,Deputy Chairman of the Government of the Russian Federation,"","",,,,,,
Q4246171,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4246187,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4246222,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4247879,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4255784,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4256802,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4262428,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4264140,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4264140,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4266092,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4275338,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4276043,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4279744,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4281253,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4281893,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4289876,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4292925,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4292925,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4293669,Q486839,member of parliament,representative of the voters to a parliament,2007,,,,,Legislative Assembly of Saint Petersburg,
Q4296811,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4298022,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4299728,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4303668,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4306739,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4307657,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4309028,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4313023,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4315683,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4320204,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4321122,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4321346,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4321347,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4322667,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q43231501,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,2016-09-18,7th State Duma of the Russian Federation,,,,,
Q4327591,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4330068,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q43426301,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",7th State Duma of the Russian Federation,,,,,
Q43427636,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",6th State Duma of the Russian Federation,,,,,
Q4344022,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4347372,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4360858,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4360860,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",5th State Duma of the Russian Federation,,,,,
Q4360873,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4362360,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4362360,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4364915,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4365068,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4365364,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4365364,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4368820,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4371938,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4371978,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,2007-12,,,,,,
Q4372604,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4372604,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4380372,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4384817,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4388294,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4391353,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4392436,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4394133,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4397135,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4397186,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4397186,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4399366,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4400897,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4402418,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4403533,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4408077,Q4147440,mayor of Perm,"head of municipal government in Perm, Russia","",,,,,,
Q4408116,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4408310,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4410106,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4418960,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4419452,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4419490,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4422296,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4422468,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4424776,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4425021,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4425021,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4425789,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4426959,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4428009,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q44371,Q15628644,member of the Supreme Soviet of the Soviet Union,political representative in the Soviet Union,1966,,1974,,,,
Q44371,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,2011,,,,,,
Q44371,Q41961533,member of the Presidium of the Supreme Soviet,executive authority in the USSR,1974,,1989,,,,
Q4441872,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4450041,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4451621,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4455642,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4456745,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
