id,name,image,source,faction,area,birth_date,start_date,end_date,area_id,term
1756586,Тумусов Федот Семёнович,http://www.duma.gov.ru/upload/iblock/788/7880b4251467d0a6bb9d6569f7d53ead.jpg,http://www.duma.gov.ru/structure/deputies/1756586/,«СПРАВЕДЛИВАЯРОССИЯ»,Республика Саха (Якутия),1955-06-30,2016-09-18,,0024,7
1756587,Третьяк Владислав Александрович,http://www.duma.gov.ru/upload/iblock/89c/89cc14164af34272a5a0259e2fa1eb8c.jpg,http://www.duma.gov.ru/structure/deputies/1756587/,«ЕДИНАЯРОССИЯ»,Ульяновская область,1952-04-25,2016-09-18,,0188,7
1756588,Ткачев Алексей Николаевич,http://www.duma.gov.ru/upload/iblock/526/52666958a6076afe95e02580c2c4b50c.jpg,http://www.duma.gov.ru/structure/deputies/1756588/,«ЕДИНАЯРОССИЯ»,Краснодарский край,1957-03-01,2016-09-18,,,7
1756589,Тимофеева Ольга Викторовна,http://www.duma.gov.ru/upload/iblock/6ed/6edae9222538590ebdc8ed6876d2dee3.jpg,http://www.duma.gov.ru/structure/deputies/1756589/,«ЕДИНАЯРОССИЯ»,Республика КалмыкияСтавропольский крайАстраханская областьРостовская область,1977-08-19,2016-09-18,,,7
1756590,Терешкова Валентина Владимировна,http://www.duma.gov.ru/upload/iblock/9fd/9fdf712f6974a5e2ad318f0a34213403.jpg,http://www.duma.gov.ru/structure/deputies/1756590/,«ЕДИНАЯРОССИЯ»,Ивановская областьКостромская областьТверская областьЯрославская область,1937-03-06,2016-09-18,,,7
1756591,Терентьев Михаил Борисович,http://www.duma.gov.ru/upload/iblock/e24/e2444b0505eab9e1d0b031d67372a89a.jpg,http://www.duma.gov.ru/structure/deputies/1756591/,«ЕДИНАЯРОССИЯ»,Московская область,1970-05-14,2016-09-18,,,7
1756592,Терентьев Александр Васильевич,http://www.duma.gov.ru/upload/iblock/5b3/5b3e2b05d922f619fbd9e9d8c4991120.jpg,http://www.duma.gov.ru/structure/deputies/1756592/,«СПРАВЕДЛИВАЯРОССИЯ»,Республика АлтайРеспублика ТываРеспублика ХакасияАлтайский край,1961-01-01,2016-09-18,,,7
1756593,Тен Сергей Юрьевич,http://www.duma.gov.ru/upload/iblock/b05/b0563c2389d70cbc10b4bb816f75deb8.jpg,http://www.duma.gov.ru/structure/deputies/1756593/,«ЕДИНАЯРОССИЯ»,Иркутская область,1976-08-25,2016-09-18,,0095,7
1756595,Тарасенко Михаил Васильевич,http://www.duma.gov.ru/upload/iblock/c3f/c3f318a3a1ae0c5dfad6955f965784a2.jpg,http://www.duma.gov.ru/structure/deputies/1756595/,«ЕДИНАЯРОССИЯ»,Липецкая область,1947-11-21,2016-09-18,,0115,7
1756596,Тайсаев Казбек Куцукович,http://www.duma.gov.ru/upload/iblock/d49/d4957cf54d8af8c73d00a482b356aef4.jpg,http://www.duma.gov.ru/structure/deputies/1756596/,КПР,все субъекты Российской Федерации,1967-02-12,2016-09-18,,,7
1756597,Сысоев Владимир Владимирович,http://www.duma.gov.ru/upload/iblock/ed3/ed3adb958aecdb87acd6c3dc5f909d55.jpg,http://www.duma.gov.ru/structure/deputies/1756597/,ЛДПР,Ханты-Мансийский автономный округ – ЮграЯмало-Ненецкий автономный округТюменская область,1973-06-21,2016-09-18,,,7
1756598,Сухарев Иван Константинович,http://www.duma.gov.ru/upload/iblock/774/774ca72312290de3a23304610a76052f.jpg,http://www.duma.gov.ru/structure/deputies/1756598/,ЛДПР,Республика Башкортостанодномандатные округа: Уфимский № 3Благовещенский № 4Белорецкий № 5Республика ИнгушетияУдмуртская Республика,1978-06-10,2016-09-18,,,7
1756599,Строкова Елена Викторовна,http://www.duma.gov.ru/upload/iblock/292/292335635e71c6cbde992737d63a8081.jpg,http://www.duma.gov.ru/structure/deputies/1756599/,ЛДПР,Московская областьодномандатные округа: Балашихинский № 117Дмитровский № 118Красногорский № 120Одинцовский № 122Сергиево-Посадский № 125Щелковский № 127Республика АлтайАлтайский край,1976-02-17,2016-09-18,,,7
1756600,Старовойтов Александр Сергеевич,http://www.duma.gov.ru/upload/iblock/fa8/fa89f32cd32f1977d20909d653398a1a.jpg,http://www.duma.gov.ru/structure/deputies/1756600/,ЛДПР,Белгородская областьРеспублика Северная Осетия - АланияОрловская область,1972-01-28,2016-09-18,,,7
1756601,Смолин Олег Николаевич,http://www.duma.gov.ru/upload/iblock/139/1397c2d7c60762936d741bfc8df6c4c1.jpg,http://www.duma.gov.ru/structure/deputies/1756601/,КПР,Омская область,1952-02-10,2016-09-18,,0140,7
1756602,Слуцкий Леонид Эдуардович,http://www.duma.gov.ru/upload/iblock/d3d/d3da8458e6165be93fbc0a6c87c1c326.jpg,http://www.duma.gov.ru/structure/deputies/1756602/,ЛДПР,все субъекты Российской Федерации,1968-01-04,2016-09-18,,,7
1756603,Скруг Валерий Степанович,http://www.duma.gov.ru/upload/iblock/964/96461d35da1ee458b064b33c6e07353a.jpg,http://www.duma.gov.ru/structure/deputies/1756603/,«ЕДИНАЯРОССИЯ»,Белгородская областьКурская областьОрловская область,1963-06-20,2016-09-18,,,7
1756604,Скоч Андрей Владимирович,http://www.duma.gov.ru/upload/iblock/899/8991c3e9c3225f432efb4903d50f682a.jpg,http://www.duma.gov.ru/structure/deputies/1756604/,«ЕДИНАЯРОССИЯ»,Белгородская область,1966-01-30,2016-09-18,,0076,7
1756605,Скоробогатько Александр Иванович,http://www.duma.gov.ru/upload/iblock/4b0/4b03335a4c0f250b50260fc37478bc75.jpg,http://www.duma.gov.ru/structure/deputies/1756605/,«ЕДИНАЯРОССИЯ»,Краснодарский край,1967-09-25,2016-09-18,2016-12-02,,7
1756606,Синельщиков Юрий Петрович,http://www.duma.gov.ru/upload/iblock/49d/49d3118196a909bcdf98cd971c39f675.jpg,http://www.duma.gov.ru/structure/deputies/1756606/,КПР,Республика Татарстан (Татарстан)Ульяновская область,1947-09-26,2016-09-18,,,7
1756607,Симановский Леонид Яковлевич,http://www.duma.gov.ru/upload/iblock/70e/70e1efdc5cfef59671196965544de97a.jpg,http://www.duma.gov.ru/structure/deputies/1756607/,«ЕДИНАЯРОССИЯ»,Оренбургская областьСамарская областьУльяновская область,1949-07-19,2016-09-18,,,7
1756609,Сибагатуллин Фатих Саубанович,http://www.duma.gov.ru/upload/iblock/0ca/0ca0943590b573b22fbe7c791b1415c5.jpg,http://www.duma.gov.ru/structure/deputies/1756609/,«ЕДИНАЯРОССИЯ»,Республика Татарстан (Татарстан),1950-05-01,2016-09-18,,0026,7
1756610,Селимханов Магомед Саламович,http://www.duma.gov.ru/upload/iblock/14a/14ab7904e0dc82d7579186f556092121.jpg,http://www.duma.gov.ru/structure/deputies/1756610/,«ЕДИНАЯРОССИЯ»,Чеченская Республика,1976-01-31,2016-09-18,,,7
1756611,Селезнев Валерий Сергеевич,http://www.duma.gov.ru/upload/iblock/e3e/e3ec089432a26d1ef32e5212f0ad49b7.jpg,http://www.duma.gov.ru/structure/deputies/1756611/,ЛДПР,Республика Саха (Якутия)Камчатский крайХабаровский крайАмурская областьМагаданская областьСахалинская областьЕврейская автономная областьЧукотский автономный округ,1964-09-05,2016-09-18,,,7
1756612,Свищев Дмитрий Александрович,http://www.duma.gov.ru/upload/iblock/a02/a026340e7c66fd6fadb2318d52c7cae2.jpg,http://www.duma.gov.ru/structure/deputies/1756612/,ЛДПР,все субъекты Российской Федерации,1969-05-22,2016-09-18,,,7
1756613,Свинцов Андрей Николаевич,http://www.duma.gov.ru/upload/iblock/eaa/eaa00d9f9ba8d8ebb22b234c5bc0569f.jpg,http://www.duma.gov.ru/structure/deputies/1756613/,ЛДПР,Московская областьодномандатные округа: Коломенский № 119Люберецкий № 121Орехово-Зуевский № 123Подольский № 124Серпуховский № 126Ивановская областьКостромская область,1978-11-12,2016-09-18,,,7
1756615,Сафаралиев Гаджимет Керимович,http://www.duma.gov.ru/upload/iblock/a15/a15dd4f65b366875b01917ff37556a20.jpg,http://www.duma.gov.ru/structure/deputies/1756615/,«ЕДИНАЯРОССИЯ»,Республика Дагестан,1950-06-26,2016-09-18,,,7
1756616,Саралиев Шамсаил Юнусович,http://www.duma.gov.ru/upload/iblock/a54/a545c9c4d96342bef300736fda00e320.jpg,http://www.duma.gov.ru/structure/deputies/1756616/,«ЕДИНАЯРОССИЯ»,Чеченская Республика,1973-11-05,2016-09-18,,,7
