id,name,youtube,area
MurrayRankin,Murray Rankin,http://www.youtube.com/user/MurrayRankinNDP,Victoria
PLDusseault,Pierre-Luc Dusseault,http://www.youtube.com/user/PLDusseault,Sherbrooke
PaulDewar,Paul Dewar,http://www.youtube.com/user/PaulDewarMP,Frontenac
PeggyNashNDP,Peggy Nash,http://www.youtube.com/user/peggynash,Parkdale—High Park
RCoteBL2011,Raymond Côté,http://www.youtube.com/user/RaymondCoteNPD,Beauport—Limoilou
RE_Brosseau,Ruth Ellen Brosseau,http://www.youtube.com/user/RuthEllenBrosseau,Berthier—Maskinong
RalphGoodale,Ralph Goodale,http://www.youtube.com/user/RalphGoodale,Wascana
RandyHobackMP,Randy Hoback,http://www.youtube.com/user/randyhobackmp,Prince Albert
RathikaS,Rathika Sitsabaiesan,http://www.youtube.com/user/rathikaTV,Scarborough—Rouge 
RickDykstra,Rick Dykstra,http://www.youtube.com/user/rickdykstr,La Prairie
Rob_Clarke_MP,Rob Clarke,http://www.youtube.com/user/MPRobClarke,
RobertAubinNPD,Robert Aubin,http://www.youtube.com/user/RobertAubinNPD,Trois-Rivières
RobertNDP,Robert Chisholm,http://www.youtube.com/user/RobertNDP,Dartmouth—Cole Har
RobertSopuck,Robert Sopuck,http://www.youtube.com/user/RobertSopuck,Dauphin-Swan River-N
RodgerCuzner,Rodger Cuzner,http://www.youtube.com/user/RTCuzner,Cape Breton—Canso
RomeoSaganash,Romeo Saganash,http://www.youtube.com/user/RomeoSaganash,Abitibi—Baie-James
RosaneDL,Rosane Doré Lefebvre,http://www.youtube.com/user/RosaneDL,Alfred-Pellan
SanaNPD,Sana Hassainia,http://www.youtube.com/user/SanaHassainiaNPD,Verchères—Les Pat
TarikBrahmi,Tarik Brahmi,http://www.youtube.com/user/tarikbrahmi,Saint-Jean
ThomasMulcair,Thomas Mulcair,http://www.youtube.com/user/ThomasMulcairVideo,Outremont
alexboulerice,Alexandre Boulerice,http://www.youtube.com/user/RosemontNPD,Rosemont—La Petite
andrew-cash,Andrew Cash,http://www.youtube.com/user/AndrewCashMP,
brentrathgeber,Brent Rathgeber,http://www.youtube.com/user/brentrathgeber1,Edmonton—St. Alber
brian-masse,Brian Masse,http://www.youtube.com/user/MasseMP,
brownbarrie,Patrick Brown,http://www.youtube.com/user/patrickbrownmp,Okanagan—Coquihall
brucehyer,Bruce Hyer,http://www.youtube.com/user/BruceHyerMP,Thunder Bay—Superi
cherylgallant,Cheryl Gallant,http://www.youtube.com/user/cherylgallant,RenfrewNipissing
chris-charlton,Chris Charlton,http://www.youtube.com/user/chrischarltonmp,
chriswarkentin,Chris Warkentin,http://www.youtube.com/user/chriswarkentin,Peace River
claude-gravelle,Claude Gravelle,http://www.youtube.com/user/claudegravellemp,
claude_patry,Claude Patry,http://www.youtube.com/user/bureaudeclaudepatry,Jonquière—Alma
costasmenegakis,Costas Menegakis,http://www.youtube.com/user/CostasMenegakisMP,
danalbas,Dan Albas,http://www.youtube.com/user/danalbas,
dany-morin,Dany Morin,http://www.youtube.com/user/drdanymorin,
darylkramp,Daryl Kramp,http://www.youtube.com/user/mpkramp,Prince Edward—Hast
david-sweet,David Sweet,http://www.youtube.com/user/DavidSweetMP,
deepak-obhrai,Deepak Obhrai,http://www.youtube.com/user/deepakobhrai,
denis-lebel,Denis Lebel,http://www.youtube.com/user/denislebel,
denisesavoie,Denise Savoie,http://www.youtube.com/user/denisesavoie,
diane-ablonczy,Diane Ablonczy,http://www.youtube.com/user/mpdianeablonczy,
diane-finley,Diane Finley,http://www.youtube.com/user/DianeFinley,
dominic-leblanc,Dominic LeBlanc,http://www.youtube.com/user/DominicLeblancMP,
ed-fast,Ed Fast,http://www.youtube.com/user/EdFastMP,
evepeclet,Ève Péclet,http://www.youtube.com/user/EvePeclet,La Pointe-de-l'Île
findonnelly,Fin Donnelly,http://www.youtube.com/user/findonnelly,
frana-oise-boivin,Françoise Boivin,http://www.youtube.com/user/npdfan1,
francis-scarpaleggia,Francis Scarpaleggia,http://www.youtube.com/user/FrancisScarpaleggia,
francoispilon,François Pilon,http://www.youtube.com/user/PilonFrancois,Laval—Les Îles
geoffregan,Geoff Regan,http://www.youtube.com/user/GeoffRegan,Halifax West
gerald-keddy,Gerald Keddy,http://www.youtube.com/user/GeraldKeddyMP,
guycaron13,Guy Caron,http://www.youtube.com/user/NPDGuyCaron,
harold-albrecht,Harold Albrecht,http://www.youtube.com/user/HaroldAlbrecht1,
hoangmai_npd,Hoang Mai,http://www.youtube.com/user/HoangMaiMP,Brossard—La Prairi
irenemathyssen,Irene Mathyssen,http://www.youtube.com/user/IreneMathyssen,London—Fanshawe
isabelle-morin,Isabelle Morin,http://www.youtube.com/user/IsabelleMorinNPD,
jamesbezan,James Bezan,http://www.youtube.com/user/jamesbezan,Selkirk—Interlake
jasbirsandhu,Jasbir Sandhu,http://www.youtube.com/user/mpjasbirsandhu,Surrey North
jeancrowder,Jean Crowder,http://www.youtube.com/user/jeancrowder,
jinnysims,Jinny Sims,http://www.youtube.com/user/JinnySimsNDP,Newton—North Delta
joecomartin,Joe Comartin,http://www.youtube.com/user/JoeComartinMP,Windsor—Tecumseh
john-mccallum,John McCallum,http://www.youtube.com/user/JohnMcCallumMP,
john-mckay,John Mckay,http://www.youtube.com/user/honjohnmckaymp,
john-rafferty,John Rafferty,http://www.youtube.com/user/JohnRaffertyMP,
joycemurray,Joyce Murray,http://www.youtube.com/user/Joyce4Quadra,Vancouver Quadra
kelly-block,Kelly Block,http://www.youtube.com/user/kellyblockmp,
kennedystewart,Kennedy Stewart,http://www.youtube.com/user/ElectKennedyStewart,Burnaby—Douglas
kenneyjason,Jason Kenney,http://www.youtube.com/user/JasonKenneyMP,Jeanne-Mance-Viger
laurie-hawn,Laurie Hawn,http://www.youtube.com/user/HawnL,
laurinliu,Laurin Liu,http://www.youtube.com/user/laurinliu,Rivire-des-Mille-
leonaaglukkaq,Leona Aglukkaq,http://www.youtube.com/user/leonaonh1n1,Nunavut
linda-duncan,Linda Duncan,http://www.youtube.com/user/duncal1b,
lois-brown,Lois Brown,http://www.youtube.com/user/loisbrownmp,
malcolm-allen,Malcolm Allen,http://www.youtube.com/user/malcolmallenmp,
mark-adler,Mark Adler,http://www.youtube.com/user/MarkAdlerMP,
mike-lake,Mike Lake,http://www.youtube.com/user/mikelakeoffice,
mike-sullivan,Mike Sullivan,http://www.youtube.com/user/MikeSullivanMP,
mp_jacob,Pierre Jacob,http://www.youtube.com/user/MPPierrejacob,
mpcharmaineborg,Charmaine Borg,http://www.youtube.com/user/charmaineborgnpd,Terrebonne—Blainvi
mpeveadams,Eve Adams,http://www.youtube.com/user/eveadamsmp,Mississauga—Brampt
myla-ne-freeman,Mylène Freeman,http://www.youtube.com/user/MyleneFreemanMP,
nathancullen,Nathan Cullen,http://www.youtube.com/user/NathanCullenMP,Skeena—Bulkley Val
nikiashton,Niki Ashton,http://www.youtube.com/user/nikiashtonndp,Nelligan
nwtdennis,Dennis Bevington,http://www.youtube.com/user/BevingtonDennis,Western Arctic
nycole_turmel,Nycole Turmel,http://www.youtube.com/user/TurmelNPD,Hull—Aylmer
peter-kent,Peter Kent,http://www.youtube.com/user/PeterKentTV,
pierrenantel,Pierre Nantel,http://www.youtube.com/user/pierrenanteldotcom,Longueuil—Pierre-B
r_garrison,Randall Garrison,http://www.youtube.com/user/RandallGarrisonMP,Esquimalt—Juan de 
ray-boughen,Ray Boughen,http://www.youtube.com/user/RayBoughen,
robertrgoguen,Robert Goguen,http://www.youtube.com/user/goguenrobert,MonctonRiverview
rodney-weston,Rodney Weston,http://www.youtube.com/user/WestonRodney,
scott-simms,Scott Simms,http://www.youtube.com/user/ScottSimmsLib,
sylvainchicoine,Sylvain Chicoine,http://www.youtube.com/user/ChicoineSylvainNPD,Châteauguay—Saint
tbenskin,Tyrone Benskin,http://www.youtube.com/user/tyronebenskin,Jeanne-Le Ber
wayne-marston,Wayne Marston,http://www.youtube.com/user/waynemarston,
