id,name,twitter,area
Joe_Preston,Joe Preston,@Joe_Preston,Elgin—Middlesex—
JohnBCarmichael,John Carmichael,@JohnBCarmichael,Don Valley West
JohnBairdOWN,John Baird,@JohnBairdOWN,Ottawa West—Nepean
JohnDuncanMP,John Duncan,@JohnDuncanMP,Vancouver Island Nor
JohnMcCallumMP,John McCallum,@JohnMcCallumMP,Markham—Unionville
JohnMcKayLib,John Mckay,@JohnMcKayLib,Saint-Hyacinthe—Ba
JohnRaffertyMP,John Rafferty,@JohnRaffertyMP,Thunder Bay—Rainy 
Jonathan_tremb,Jonathan Tremblay,@Jonathan_tremb,Montmorency—Charle
Joyce_Bateman,Joyce Bateman,@Joyce_Bateman,Winnipeg South
JudyFoote,Judy Foote,@JudyFoote,Random—Burin—St.
JudySgro,Judy Sgro,@JudySgro,York West
JulianFantino,Julian Fantino,@JulianFantino,Vaughan
JustinTrudeau,Justin Trudeau,@JustinTrudeau,Papineau
KLDF2011,Kerry-Lynne Findlay,@KLDF2011,Delta—Richmond Eas
KeithAshfield11,Keith Ashfield,@KeithAshfield11,Fredericton
KellieLeitch,Kellie Leitch,@KellieLeitch,Simcoe—Grey
KellyBlockcpc,Kelly Block,@KellyBlockcpc,Nunavut
KentThornhillMP,Peter Kent,@KentThornhillMP,Thornhill
Kevin_Lamoureux,Kevin Lamoureux,@Kevin_Lamoureux,Winnipeg North
KirstyDuncanMP,Kirsty Duncan,@KirstyDuncanMP,Etobicoke North
KyleSeeback,Kyle Seeback,@KyleSeeback,Brampton West
LaVarMP,LaVar Payne,@LaVarMP,Medicine Hat
LaroseJF,Jean-François Larose,@LaroseJF,Repentigny
LibbyDavies,Libby Davies,@LibbyDavies,Vancouver East
LindaDuncanMP,Linda Duncan,@LindaDuncanMP,Edmonton—Strathcon
Lynne_Yelich,Lynne Yelich,@Lynne_Yelich,Blackstrap
MC_Morin_NPD,Marie-Claude Morin,@MC_Morin_NPD,Saint-Hyacinthe—Ba
MPGregKerr,Greg Kerr,@MPGregKerr,West Nova
MPJoySmith,Joy Smith,@MPJoySmith,Kildonan—St. Paul
MPJulian,Peter Julian,@MPJulian,Beloeil-Chambly
MPLaurieHawn,Laurie Hawn,@MPLaurieHawn,Edmonton Centre
MPNinaGrewal,Nina Grewal,@MPNinaGrewal,Fleetwood—Port Kel
MPerreaultNPD,Manon Perreault,@MPerreaultNPD,Montcalm
MPmarkwarawa,Mark Warawa,@MPmarkwarawa,Langley
MacKayCPC,Peter MacKay,@MacKayCPC,Central Nova
Malcolm_AllenMP,Malcolm Allen,@Malcolm_AllenMP,Welland
MarcGarneau,Marc Garneau,@MarcGarneau,Westmount—Ville-Ma
MarjBoutinSweet,Marjolaine Boutin-Sweet,@MarjBoutinSweet,Hochelaga
MarkAdlerMP,Mark Adler,@MarkAdlerMP,York Centre
MarkEyking_MP,Mark Eyking,@MarkEyking_MP,Sydney—Victoria
MathieuRavignat,Mathieu Ravignat,@MathieuRavignat,Pontiac
MattDube,Matthew Dubé,@MattDube,Chambly—Borduas
MatthewKellway,Matthew Kellway,@MatthewKellway,Beaches—East York
MaximeBernier,Maxime Bernier,@MaximeBernier,Beauce
MeganLeslieMP,Megan Leslie,@MeganLeslieMP,Halifax
MichelleRempel,Michelle Rempel,@MichelleRempel,Calgary Centre-North
MikeLakeMP,Mike Lake,@MikeLakeMP,Edmonton—Mill Wood
MikeSullivanMP,Mike Sullivan,@MikeSullivanMP,York South—Weston
MikeWallaceMP,Mike Wallace,@MikeWallaceMP,Burlington
MinRonaAmbrose,Rona Ambrose,@MinRonaAmbrose,Edmonton—Spruce Gr
MinStevenBlaney,Steven Blaney,@MinStevenBlaney,Lévis—Bellechasse
MinTimUppal,Tim Uppal,@MinTimUppal,Edmonton—Sherwood 
Min_BValcourt,Bernard Valcourt,@Min_BValcourt,Madawaska—Restigou
MooreNpd,Christine Moore,@MooreNpd,Abitibi—Témiscami
MountainManMP,Massimo Pacetti,@MountainManMP,Saint-Léonard—Sai
MurrayRankin,Murray Rankin,@MurrayRankin,Victoria
MyleneFreeman,Mylène Freeman,@MyleneFreeman,Argenteuil—Papinea
NortheastShory,Devinder Shory,@NortheastShory,Calgary Northeast
PJacobNPD,Pierre Jacob,@PJacobNPD,Brome—Missisquoi
PLDusseault,Pierre-Luc Dusseault,@PLDusseault,Sherbrooke
ParmGill,Parm Gill,@ParmGill,Brampton—Springdal
PatMartinMP,Pat Martin,@PatMartinMP,Winnipeg Centre
PaulCalandra,Paul Calandra,@PaulCalandra,Oak Ridges—Markham
PaulDewar,Paul Dewar,@PaulDewar,Frontenac
PeggyNashNDP,Peggy Nash,@PeggyNashNDP,Parkdale—High Park
PeterGoldring,Peter Goldring,@PeterGoldring,Edmonton East
PeterPenashue,Peter Penashue,@PeterPenashue,Labrador
PeterStofferMP,Peter Stoffer,@PeterStofferMP,Sackville—Eastern 
Phil4Brant,Phil McColeman,@Phil4Brant,Brant
PierrePoilievre,Pierre Poilievre,@PierrePoilievre,Nepean—Carleton
RCoteBL2011,Raymond Côté,@RCoteBL2011,Beauport—Limoilou
RE_Brosseau,Ruth Ellen Brosseau,@RE_Brosseau,Berthier—Maskinong
RalphGoodale,Ralph Goodale,@RalphGoodale,Wascana
RandyHobackMP,Randy Hoback,@RandyHobackMP,Prince Albert
RandyKampMP,Randy Kamp,@RandyKampMP,Pitt Meadows—Maple
RathikaS,Rathika Sitsabaiesan,@RathikaS,Scarborough—Rouge 
RayBoughenMP,Ray Boughen,@RayBoughenMP,Palliser
RichardIHosein,Richard Hosein,@RichardIHosein,Fleetwood—Port Kel
RickDykstra,Rick Dykstra,@RickDykstra,La Prairie
RickNorlock,Rick Norlock,@RickNorlock,Northumberland—Qui
RobClarkeMP,Rob Clarke,@RobClarkeMP,Desnethé—Missinip
RobMerrifieldMP,Rob Merrifield,@RobMerrifieldMP,Yellowhead
RobMoore_CPC,Rob Moore,@RobMoore_CPC,Fundy Royal
RobNicholsonCPC,Rob Nicholson,@RobNicholsonCPC,Niagara Falls
RobertAubinNPD,Robert Aubin,@RobertAubinNPD,Trois-Rivières
RobertNDP,Robert Chisholm,@RobertNDP,Dartmouth—Cole Har
RobertSopuck,Robert Sopuck,@RobertSopuck,""
RodgerCuzner,Rodger Cuzner,@RodgerCuzner,Cape Breton—Canso
RomeoSaganash,Romeo Saganash,@RomeoSaganash,Abitibi—Baie-James
RonCannan,Ron Cannan,@RonCannan,Kelowna—Lake Count
RosaneDL,Rosane Doré Lefebvre,@RosaneDL,Alfred-Pellan
SanaNPD,Sana Hassainia,@SanaNPD,Verchères—Les Pat
ScarpaleggiaMP,Francis Scarpaleggia,@ScarpaleggiaMP,Lac-Saint-Louis
ScottAndrewsMP,Scott Andrews,@ScottAndrewsMP,Avalon
ScottReidCPC,Scott Reid,@ScottReidCPC,LanarkFrontenac
Scott_Simms,Scott Simms,@Scott_Simms,BonavistaGander
ShellyGloverMIN,Shelly Glover,@ShellyGloverMIN,Saint Boniface
StellaAmbler,Stella Ambler,@StellaAmbler,Mississauga South
SusanTruppe,Susan Truppe,@SusanTruppe,London North Centre
TarikBrahmi,Tarik Brahmi,@TarikBrahmi,Saint-Jean
TedMenzies,Ted Menzies,@TedMenzies,Macleod
TedOpitz,Ted Opitz,@TedOpitz,Etobicoke Centre
TerenceYoungMP,Terence Young,@TerenceYoungMP,Oakville
ThomasMulcair,Thomas Mulcair,@ThomasMulcair,Outremont
TomLukiwski,Tom Lukiwski,@TomLukiwski,Regina—Lumsden—L
TonyclementCPC,Tony Clement,@TonyclementCPC,Parry Sound—Muskok
WMarstonNDP,Wayne Marston,@WMarstonNDP,Hamilton East—Ston
WaiYoung,Wai Young,@WaiYoung,Vancouver South
WayneEaster,Wayne Easter,@WayneEaster,Malpeque
WoodworthMP,Stephen Woodworth,@WoodworthMP,Kitchener Centre
YvonneJJones,Yvonne Jones,@YvonneJJones,Labrador
alexboulerice,Alexandre Boulerice,@alexboulerice,Rosemont—La Petite
andrewscheer,Andrew Scheer,@andrewscheer,Regina—Qu'Appelle
blainecalkinsmp,Blaine Calkins,@blainecalkinsmp,Wetaskiwin
bobzimmermp,Bob Zimmer,@bobzimmermp,Prince George—Peac
brentrathgeber,Brent Rathgeber,@brentrathgeber,Edmonton—St. Alber
brownbarrie,Patrick Brown,@brownbarrie,Okanagan—Coquihall
bruce_stanton,Bruce Stanton,@bruce_stanton,Simcoe North
brucehyer,Bruce Hyer,@brucehyer,Thunder Bay—Superi
btrottier,Bernard Trottier,@btrottier,Etobicoke—Lakeshor
calxandr,Chris Alexander,@calxandr,Ajax—Pickering
cchisu,Corneliu Chisu,@cchisu,Pickering—Scarboro
cherylgallant,Cheryl Gallant,@cherylgallant,RenfrewNipissing
chrischarltonmp,Chris Charlton,@chrischarltonmp,Hamilton Mountain
christianparad,Christian Paradis,@christianparad,Mégantic—L'Érabl
chriswarkentin,Chris Warkentin,@chriswarkentin,Peace River
claude_patry,Claude Patry,@claude_patry,Jonquière—Alma
clearyndp,Ryan Cleary,@clearyndp,St. John's South—M
danharrisndp,Dan Harris,@danharrisndp,Scarborough Southwes
darylkramp,Daryl Kramp,@darylkramp,Prince Edward—Hast
davidtilson,David Tilson,@davidtilson,Dufferin—Caledon
deepakobhrai,Deepak Obhrai,@deepakobhrai,Calgary East
denisesavoie,Denise Savoie,@denisesavoie,Nicolet-Yamaska
dianeablonczymp,Diane Ablonczy,@dianeablonczymp,Calgary—Nose Hill
drdanymorin,Dany Morin,@drdanymorin,Chicoutimi—Le Fjor
