id,name,facebook,area
ThomasMulcair,Thomas Mulcair,http://www.facebook.com/ThomasMulcair,Outremont
TomLukiwski,Tom Lukiwski,http://www.facebook.com/TomLukiwski,Regina—Lumsden—L
WayneEaster,Wayne Easter,http://www.facebook.com/people/Wayne-Easter/1132506639,Malpeque
alex-atamanenko,Alex Atamanenko,http://www.facebook.com/pages/Alex-Atamanenko-MP/180017678676108,
alexboulerice,Alexandre Boulerice,http://https://www.facebook.com/pages/Alexandre-Boulerice-NPD/26089638685,Rosemont—La Petite
andrew-cash,Andrew Cash,http://www.facebook.com/cashfortoronto,
barry-devolin,Barry Devolin,http://www.facebook.com/pages/Barry-Devolin/162598724536,
bernard-valcourt,Bernard Valcourt,http://www.facebook.com/pages/Bernard-Valcourt/214030968613999,
bev-shipley,Bev Shipley,http://www.facebook.com/pages/Bev-Shipley-MP/15833340231,
blaine-calkins,Blaine Calkins,http://www.facebook.com/pages/Blaine-Calkins/208129505866377,
blake-richards,Blake Richards,http://www.facebook.com/vote.blake,
brad-butt,Brad Butt,http://www.facebook.com/pages/Brad-Butt-Mississauga-Streetsville/137534009648126,
brentrathgeber,Brent Rathgeber,http://www.facebook.com/pages/Brent-Rathgeber/7919257335,Edmonton—St. Alber
brian-masse,Brian Masse,http://www.facebook.com/brianmassemp,
brownbarrie,Patrick Brown,http://www.facebook.com/pages/Patrick-Brown/34647715496,Okanagan—Coquihall
bruce-stanton,Bruce Stanton,http://www.facebook.com/pages/Bruce-Stanton/6236822310,
brucehyer,Bruce Hyer,http://www.facebook.com/brucehyer,Thunder Bay—Superi
bryan-hayes,BRYAN HAYES,http://www.facebook.com/electbryanhayes,
calxandr,Chris Alexander,http://www.facebook.com/electchrisalexander,Ajax—Pickering
candice-hoeppner,Candice Hoeppner,http://www.facebook.com/pages/Candice-Hoeppner/144290685591209,
carol-hughes,Carol Hughes,http://www.facebook.com/pages/Carol-Hughes/38326584416,
cherylgallant,Cheryl Gallant,http://www.facebook.com/pages/Cheryl-Gallant/38468699178,RenfrewNipissing
chris-charlton,Chris Charlton,http://www.facebook.com/pages/Chris-Charlton/25222718654,
christianparad,Christian Paradis,http://www.facebook.com/christian.paradis1,Mégantic—L'Érabl
chriswarkentin,Chris Warkentin,http://www.facebook.com/chriswarkentin,Peace River
claude-gravelle,Claude Gravelle,http://www.facebook.com/pages/Claude-Gravelle/35478778040,
claude_patry,Claude Patry,http://www.facebook.com/people/Claude-Patry/100000740359338,Jonquière—Alma
costasmenegakis,Costas Menegakis,https://www.facebook.com/CostasMenegakis,
danalbas,Dan Albas,https://www.facebook.com/dan.albas.3,
dany-morin,Dany Morin,http://www.facebook.com/DanyMorinNPD,
darylkramp,Daryl Kramp,http://www.facebook.com/pages/Daryl-Kramp/26687305428,Prince Edward—Hast
dave-van-kesteren,Dave Van Kesteren,http://www.facebook.com/davevankesteren,
david-sweet,David Sweet,http://www.facebook.com/pages/David-Sweet/14043761823,
dean-del-mastro,Dean Del Mastro,http://www.facebook.com/pages/Dean-Del-Mastro/17964523841,
deepak-obhrai,Deepak Obhrai,http://www.facebook.com/m.u.greens,
denis-lebel,Denis Lebel,http://www.facebook.com/pages/Denis-Lebel/137888079554744,
denisesavoie,Denise Savoie,http://www.facebook.com/DeniseSavoieVictoria,
devinder-shory,Devinder Shory,http://www.facebook.com/pages/Devinder-Shory-MP-Calgary-Northeast/193683334133,
diane-ablonczy,Diane Ablonczy,http://www.facebook.com/pages/Hon-Diane-Ablonczy/9147373095,
diane-finley,Diane Finley,http://www.facebook.com/?ref=home#!/pages/Annie-Durette-Parti-vert-Joliette/137949029607901,
dominic-leblanc,Dominic LeBlanc,http://www.facebook.com/pages/Dominic-LeBlanc/19671249720,
earl-dreeshen,Earl Dreeshen,http://www.facebook.com/pages/Earl-Dreeshen/10400775935,
ed-fast,Ed Fast,http://www.facebook.com/EdFastMP,
electdavidwilks,David Wilks,http://www.facebook.com/dw4mp,Kootenay—Columbia
emichaudNPD,Élaine Michaud,http://www.facebook.com/ElaineMichaudNPD,Portneuf—Jacques-C
evepeclet,Ève Péclet,http://www.facebook.com/profile.php?id=100002670302373,La Pointe-de-l'Île
findonnelly,Fin Donnelly,http://www.facebook.com/pages/Fin-Donnelly/107434010722,
fortjf,Jean-François Fortin,http://www.facebook.com/pages/Jean-Fran%C3%A7ois-Fortin/115010982772,Haute-Gaspésie—La
frana-oise-boivin,Françoise Boivin,http://www.facebook.com/francoiseboivingatineau,
francis-scarpaleggia,Francis Scarpaleggia,http://www.facebook.com/pages/Francis-Scarpaleggia/19752301664,
francoispilon,François Pilon,http://www.facebook.com/pages/François-Pilon-NPD-Laval-Les-Îles/320062026235,Laval—Les Îles
gary-goodyear,Gary Goodyear,http://www.facebook.com/pages/Gary-Goodyear/285972627443,
geoffregan,Geoff Regan,http://www.facebook.com/pages/Geoff-Regan/19891033712,Halifax West
gerald-keddy,Gerald Keddy,http://www.facebook.com/pages/Gerald-Keddy/107252069321479,
gerry-byrne,Gerry Byrne,http://www.facebook.com/pages/Gerry-Byrne/7861491675,
greg-kerr,Greg Kerr,http://www.facebook.com/MPGregKerr,
guycaron13,Guy Caron,http://www.facebook.com/GuyCaronNPD,
harold-albrecht,Harold Albrecht,http://www.facebook.com/Harold.Albrecht.MP,
hoangmai_npd,Hoang Mai,http://www.facebook.com/hoangmainpd,Brossard—La Prairi
irenemathyssen,Irene Mathyssen,http://www.facebook.com/pages/Irene-Mathyssen/7711496179,London—Fanshawe
isabelle-morin,Isabelle Morin,http://www.facebook.com/pages/Isabelle-Morin-NPD-NDP-NDG-Lachine/195596620477060,
jamesbezan,James Bezan,http://www.facebook.com/pages/James-Bezan/125060049072,Selkirk—Interlake
jasbirsandhu,Jasbir Sandhu,http://www.facebook.com/sandhuj,Surrey North
jeancrowder,Jean Crowder,http://www.facebook.com/pages/Jean-Crowder/26407042595,
jflarose,Jean-François Larose,http://www.facebook.com/LaroseJeanfrancois,
jim-karygiannis,Jim Karygiannis,http://www.facebook.com/pages/Jim-Karygiannis/161160802907,
jinnysims,Jinny Sims,http://www.facebook.com/jinnysims,Newton—North Delta
joecomartin,Joe Comartin,http://www.facebook.com/group.php?gid=30483377553,Windsor—Tecumseh
joeoliver1,Joe Oliver,http://www.facebook.com/FansofJoeOliver,Eglinton—Lawrence
john-mccallum,John McCallum,http://www.facebook.com/McCallumj1,
john-mckay,John Mckay,http://www.facebook.com/pages/John-McKay/6925006708,
john-rafferty,John Rafferty,http://www.facebook.com/pages/John-Rafferty/19098359045,
joycemurray,Joyce Murray,http://www.facebook.com/pages/Joyce-Murray/8336827841,Vancouver Quadra
kelly-block,Kelly Block,http://www.facebook.com/pages/Kelly-Block-SaskatoonRosetownBiggar/75570595197,
kennedystewart,Kennedy Stewart,http://www.facebook.com/kennedy.stewart,Burnaby—Douglas
kenneyjason,Jason Kenney,http://www.facebook.com/pages/Jason-Kenney/29829307640,Jeanne-Mance-Viger
kirsty-duncan,Kirsty Duncan,http://www.facebook.com/pages/Kirsty-Duncan/12293731397,
laurie-hawn,Laurie Hawn,http://www.facebook.com/mplauriehawn,
laurinliu,Laurin Liu,http://www.facebook.com/LaurinLiuNPD,Rivire-des-Mille-
lawrence-macaulay,Lawrence MacAulay,http://www.facebook.com/home.php?sk=group_102940606457412&ap=1,
leonaaglukkaq,Leona Aglukkaq,http://www.facebook.com/pages/Leona-Aglukkaq/338714247581,Nunavut
linda-duncan,Linda Duncan,http://www.facebook.com/pages/Linda-Duncan/31779288732,
lois-brown,Lois Brown,http://www.facebook.com/pages/Lois-Brown/71524612182,
lraitt,Lisa Raitt,http://www.facebook.com/pages/Lisa-Raitt/26847738324,Halton
lysane-blanchettelamothe,Lysane Blanchette-Lamothe,http://www.facebook.com/LysanePierrefondsDollard,
malcolm-allen,Malcolm Allen,http://www.facebook.com/malcolmallenmp,
mark-adler,Mark Adler,https://www.facebook.com/YorkCentre,
mark-warawa,Mark Warawa,http://www.facebook.com/markwarawa,
markstrahl,Mark Strahl,http://www.facebook.com/pages/Mark-Strahl/137319586340309,Chilliwack—Fraser 
massimo-pacetti,Massimo Pacetti,http://www.facebook.com/pages/Massimo-Pacetti/22800125080,
maximebernier,Maxime Bernier,http://www.facebook.com/pages/Maxime-Bernier/10419173702,
michelle-rempel,Michelle Rempel,http://www.facebook.com/pages/Michelle-Rempel-for-Calgary-Centre-North/126806667378661,
mike-sullivan,Mike Sullivan,http://www.facebook.com/pages/Elect-Mike-Sullivan-MP-for-York-South-Weston/161602783896439,
mike-wallace,Mike Wallace,http://www.facebook.com/pages/Re-Elect-Mike-Wallace/199863406702940,
mp_jacob,Pierre Jacob,https://www.facebook.com/PierreJacobNPD,
mpcharmaineborg,Charmaine Borg,http://www.facebook.com/pages/Charmaine-Borg/232241296787950,Terrebonne—Blainvi
mpeveadams,Eve Adams,https://www.facebook.com/eve.adams,Mississauga—Brampt
mpjoysmith,Joy Smith,http://www.facebook.com/mpjoysmith,
myla-ne-freeman,Mylène Freeman,http://www.facebook.com/MyleneFreemanMP,
nathancullen,Nathan Cullen,http://www.facebook.com/nathan.cullen1,Skeena—Bulkley Val
nikiashton,Niki Ashton,http://www.facebook.com/pages/Niki-Ashton/52228755816,Nelligan
nwtdennis,Dennis Bevington,http://www.facebook.com/pages/Dennis-Bevington/28453715670,Western Arctic
nycole_turmel,Nycole Turmel,http://www.facebook.com/pages/Nycole-Turmel-candidate-du-NPD-pourfor-Hull-Aylmer/152691411456251,Hull—Aylmer
pat-martin,Pat Martin,http://www.facebook.com/pages/Pat-Martin/6587713095,
paulinaayalaNPD,Paulina Ayala,https://www.facebook.com/pages/Paulina-Ayala/238283919554032,Honoré-Mercier
peter-kent,Peter Kent,http://www.facebook.com/apps/application.php?id=135514873168072,
peterbraid,Peter Braid,http://www.facebook.com/PeterBraid,Kitchener—Waterloo
pierre-poilievre,Pierre Poilievre,http://www.facebook.com/p.poilievre,
pierrenantel,Pierre Nantel,http://www.facebook.com/pierrenantel,Longueuil—Pierre-B
r_garrison,Randall Garrison,http://www.facebook.com/RandallGarrisonPage,Esquimalt—Juan de 
ray-boughen,Ray Boughen,https://www.facebook.com/ray.boughen,
rick-norlock,Rick Norlock,http://www.facebook.com/pages/Re-Elect-Rick-Norlock-MP-Northumberland-Quinte-West/224714965430,
rob-anders,Rob Anders,http://www.facebook.com/pages/Rob-Anders/10421606980,
robertrgoguen,Robert Goguen,http://www.facebook.com/VoteGoguen,MonctonRiverview
rodney-weston,Rodney Weston,http://www.facebook.com/pages/Rodney-Weston/115607331815836,
rona-ambrose,Rona Ambrose,http://www.facebook.com/ronaambrose,
russ-hiebert,Russ Hiebert,http://www.facebook.com/russhiebert,
scott-armstrong,Scott Armstrong,http://en-gb.facebook.com/people/Scott-Armstrong/523045844,
scott-simms,Scott Simms,http://www.facebook.com/MPScottSimms,
scottbrison,Scott Brison,http://www.facebook.com/pages/Scott-Brison/21243036640,Kings—Hants
sean-casey,Sean Casey,http://www.facebook.com/profile.php?id=100001893782800,
stellaambler,Stella Ambler,http://www.facebook.com/pages/Mississauga-ON/Stella-Ambler/135858743139392,
stephanedion,Stéphane Dion,http://www.facebook.com/pages/St%C3%A9phane-Dion/7874631159,Saint-Laurent—Cart
stephen-woodworth,Stephen Woodworth,http://www.facebook.com/pages/Stephen-Woodworth/8726117218,
stevenjfletcher,Steven Fletcher,http://www.facebook.com/StevenFletcherMP,Charleswood—St. Ja
sylvainchicoine,Sylvain Chicoine,http://www.facebook.com/pages/Sylvain-Chicoine/120841667990877,Châteauguay—Saint
tbenskin,Tyrone Benskin,http://www.facebook.com/pages/Tyrone-Benskin/105638686181284,Jeanne-Le Ber
tedhsu,Ted Hsu,http://www.facebook.com/pages/Ted-Hsu/315489079651,Kingston and the Isl
terence-young,Terence Young,http://www.facebook.com/TerenceYoungMP,
wai-young,Wai Young,http://www.facebook.com/WaiYoungVancouverSouth,
wayne-marston,Wayne Marston,http://www.facebook.com/pages/Wayne-Marston/7960839407,
yvon-godin,Yvon Godin,http://www.facebook.com/pages/Yvon-Godin/78947535300,
