id,name,executive,party,constituency,source,term
24,Joy Kwaje Eluzai,Chairperson,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
25,Kom Kom Geng,Chairperson,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
26,Angelina Nyamouka Magoun,Chairperson,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
27,James Lual Deng,Chairperson,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
28,Henry Dilah Odwar,Chairperson,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
29,Pascal Bandindi Uru,Chairperson,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
30,Debora Ajok Garang,Chairperson,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
31,Dr. Martha Martin Dak,Chairperson,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
32,James Janka Duku,Chairperson,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
33,Stephen Ajongo Akol,Chairperson,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
34,Rev. Mathew Mathiang Deang,Chairperson,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
35,James Reat Gony,Chairperson,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
36,Mary Kiden Kimbo,Chairperson,Independent,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
37,David Okuer Akwany,D/Chairperson,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
38,Henry Omai Akolawin,D/Chairperson,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
39,Kur Akol Deng,D/Chairperson,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
40,Parmena Awerial Along,D/Chairperson,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
41,Umjuma Juma Sabil,D/Chairperson,SPLM,Western B. G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
42,Lucy Iyaya Loki,D/Chairperson,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
43,Kutin Bayak Gil,D/Chairperson,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
44,Remijo Lasu Peter,D/Chairperson,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
45,Ruai Kuol Jal,D/Chairperson,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
46,Jasmine Samuel Adakayi,D/Chairperson,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
47,Mary Atong Bak,D/Chairperson,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
48,Mary Nawai Martin,D/Chairperson,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
49,Mary Kiden Enoka,D/Chairperson,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
50,Akuot Deng Kawal,D/Chairperson,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
51,Gordon Matot Tut,D/Chairperson,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
52,Ngong Deng Gum,D/Chairperson,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
53,Betty Achan Ogwaro,D/Chairperson,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
54,Asha Abboz Akuei,D/Chairperson,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
55,Abuk Malual Aken,Member,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
56,Abuk Payit Ayik,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
57,Achol Barouk Akasha,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
58,Adeng Leek Deng,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
59,Agyou Agyou Thiep,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
60,Akon Bol Akok,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
61,Alfred Wol Acwal,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
62,Akon Diang Athian,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
63,Akot Dau Niyok,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
64,Angelo Lokinga Lohita,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
65,Angoryang Mark Loifidi,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
66,Arop Madut Arop,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
67,Aya Janet Alex,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
68,Bataria Mirror Maker,Member,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
69,Beatrice Aber Samson,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
70,Benjamin Malek Alier,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
71,Barnardo Kpasira Martin,Member,SPLM,Western B. G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
72,Bidali Moses Onesimo,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
73,Bellario Ahoy Ngong,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
74,Bul Andrea Cosmas,Member,Independent,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
75,Charles Majak Alier,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
76,Charles Wello Onyony,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
77,Dr. David Nailo Mayo,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
78,David Gai Chan,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
79,David Unyo Demey,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
80,David Yien Bilieth ,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
81,Deng Dau Deng,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
82,Dousman Joyce James,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
83,Elias Mathuc,Member,SPLM,Western B. G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
84,Elizabeth Adut Mel,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
85,Elizabeth Nyaluac Tap,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
86,Emelia Aluel Bol,Member,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
87,Elizabeth Nyawac Chol,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
88,Fatima Nyawang Biliu,Member,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
89,Festo Faustino Kumba,Member,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
90,Francis Lokurnyang Angou,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
91,Garang Deng Akong,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
92,Gatwech Lam Puoch,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
93,Gathuak Riak Jak,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
94,George Costa Faustino,Member,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
95,Grace Amo Alex,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
96,Gadwani Lopuke Cormoi,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
97,Henry Stephen Danga,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
98,Ismail Mathew Mukhter,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
99,Jacob Dau Kuol,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
100,James Gatkur Wishierbal,Member,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
101,James Kueth Chol,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
102,John Chol Machar,Member,Independent,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
103,John Ivo Mounto,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
104,John Jok Chol,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
105,Josephine Napwon Cosmos,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
106,Julius Ajeo Moilinga,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
107,Juma AlI Malau,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
108,Juma Amiro Dobo,Member,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
109,June Malek Kur,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
110,Kong Dak Jishlive,Member,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
111,Kornelio Mawien Dhor,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
112,Kuany Ayom Deng,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
113,Kuony War Jok,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
114,Kuot Deng Kuot,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
115,Listisia Ihure Santino,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
116,Machok Majong Jong,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
117,Madalena Pita Emilion,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
118,Majok Yak Majok,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
119,Majok Dut Muorwel,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
120,Maker Deng Malou,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
121,Manasseh Magok Rundial,Member,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
122,Mark Lotede Lowi,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
123,Mark Nyipouch Ubong,Member,SPLM,Western B. G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
124,Mary Rero Jwac,Member,SPLM-DC,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
125,Martha Akuany Deng,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
126,Martha Atong Mansor,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
127,Martin Ohuro Okeruk,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
128,Mary Puru Michael,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
129,Mary Nyaulang Ret,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
130,Mary Bicensio Wani,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
131,Mat Ron War Roy,Member,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
132,Martha Ayuek Yac,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
133,Mel Wal Achien Yor,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
134,Michael Muot Dieu,Member,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
135,Mohammed Ahmed Musa,Member,SPLM,Western B. G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
136,Monica Ayen Maguat,Member,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
137,Nyachut Arok,Member,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
138,Negere Joseph Paciko,Member,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
139,Nibol Daniel Dhieu,Member,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
140,Nyanyang Lok Rich,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
141,Nyibol Bol Matip,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
142,Ohidei Victor Omuho,Member,Independent,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
143,Peter Bashir Gbandi,Member,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
144,Prof. Paul Logale Jumi,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
145,Paulino Laku Kedia,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
146,Peter Longole Kuam,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
147,Philip Thon Leek,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
148,Ramadan El Amin,Member,SPLM,Western B. G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
149,Rebecca Atuet Makuet,Member,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
150,Riek Maniel Ayuel,Member,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
151,Rejoice Bauda Simon,Member,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
152,Dr. Richard K. Mulla,Member,Independent,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
153,Samuel Aban Achin,Member,SPLM-DC,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
154,Samuel Duwar Deng,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
155,Sebur John Mansuk,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
156,Simon Deng Duang,Member,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
157,Simon Malual Deng,Member,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
158,Suzan Wasuk Sokiri,Member,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
159,Timothy Taban Tuch,Member,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
160,Dr. Theophilus Ochang Lotti,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
161,Tongun Lado Rombek,Member,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
162,Tulio Odongi Ayahus,Member,SPLM,Eastern Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
163,Victoria Adhar Arop,Member,SPLM,Warraaap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
164,Vosca Martin Kumbori,Member,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
165,Weu Kong Koyang,Member,Independent,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
166,Zakaria Matur Makuer,Member,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
167,Dr. Riek Machar Teny,Vice President,SPLM,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
