id,name,given_name,patronymic_name,family_name,area,term,start_date,end_date,image,party,source_url,faction,faction_id,area_id,identifier__rada
11596,Войцеховська Світлана Михайлівна,Світлана,Михайлівна,Войцеховська,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf46.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/11596,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,11596
11620,Присяжнюк Олександр Анатолійович,Олександр,Анатолійович,Присяжнюк,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf53.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/11620,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,11620
11694,Левус Андрій Мар'янович,Андрій,Мар'янович,Левус,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf23.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/11694,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,11694
11728,Євтушок Сергій Миколайович,Сергій,Миколайович,Євтушок,Рівненська область,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d156_1.jpg,,http://itd.rada.gov.ua/mps/info/page/11728,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,156,11728
11999,Суслова Ірина Миколаївна,Ірина,Миколаївна,Суслова,Загальнодержавному багатомандатному округу,8,2014-11-27,2015-02-11,http://static.rada.gov.ua/dep_img8/sp6.jpg,"Політична партія ""Об'єднання ""САМОПОМІЧ""",http://itd.rada.gov.ua/mps/info/page/11999,"Фракція Політичної партії ""Об'єднання ""САМОПОМІЧ""",2614,,11999
11999,Суслова Ірина Миколаївна,Ірина,Миколаївна,Суслова,Загальнодержавному багатомандатному округу,8,2015-02-11,2016-03-30,http://static.rada.gov.ua/dep_img8/sp6.jpg,"Політична партія ""Об'єднання ""САМОПОМІЧ""",http://itd.rada.gov.ua/mps/info/page/11999,Позафракційні,,,11999
11999,Суслова Ірина Миколаївна,Ірина,Миколаївна,Суслова,Загальнодержавному багатомандатному округу,8,2015-02-12,2016-03-29,http://static.rada.gov.ua/dep_img8/sp6.jpg,"Політична партія ""Об'єднання ""САМОПОМІЧ""",http://itd.rada.gov.ua/mps/info/page/11999,Позафракційні,,,11999
11999,Суслова Ірина Миколаївна,Ірина,Миколаївна,Суслова,Загальнодержавному багатомандатному округу,8,2016-03-30,,http://static.rada.gov.ua/dep_img8/sp6.jpg,"Політична партія ""Об'єднання ""САМОПОМІЧ""",http://itd.rada.gov.ua/mps/info/page/11999,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,11999
12003,Медуниця Олег Вячеславович,Олег,Вячеславович,Медуниця,Сумська область,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d157_1.jpg,,http://itd.rada.gov.ua/mps/info/page/12003,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,157,12003
12265,Власенко Сергій Володимирович,Сергій,Володимирович,Власенко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/but15.jpg,"політична партія Всеукраїнське об'єднання ""Батьківщина""",http://itd.rada.gov.ua/mps/info/page/12265,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,,12265
12270,Сочка Олександр Олександрович,Олександр,Олександрович,Сочка,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf50.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/12270,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,12270
12272,Дубіль Валерій Олександрович,Валерій,Олександрович,Дубіль,Загальнодержавному багатомандатному округу,8,2015-06-16,2015-06-16,http://static.rada.gov.ua/dep_img8/but19.jpg,"політична партія Всеукраїнське об'єднання ""Батьківщина""",http://itd.rada.gov.ua/mps/info/page/12272,Позафракційні,,,12272
12272,Дубіль Валерій Олександрович,Валерій,Олександрович,Дубіль,Загальнодержавному багатомандатному округу,8,2015-06-17,,http://static.rada.gov.ua/dep_img8/but19.jpg,"політична партія Всеукраїнське об'єднання ""Батьківщина""",http://itd.rada.gov.ua/mps/info/page/12272,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,,12272
12290,Амельченко Василь Васильович,Василь,Васильович,Амельченко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/rp21.jpg,Радикальна Партія Олега Ляшка,http://itd.rada.gov.ua/mps/info/page/12290,Фракція Радикальної партії Олега Ляшка,2615,,12290
12455,Кириченко Олексій Миколайович,Олексій,Миколайович,Кириченко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/rp18.jpg,Радикальна Партія Олега Ляшка,http://itd.rada.gov.ua/mps/info/page/12455,Фракція Радикальної партії Олега Ляшка,2615,,12455
13379,Новак Наталія Василівна,Наталія,Василівна,Новак,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp16.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/13379,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,13379
1351,Кириленко Іван Григорович,Іван,Григорович,Кириленко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/but14.jpg,"політична партія Всеукраїнське об'єднання ""Батьківщина""",http://itd.rada.gov.ua/mps/info/page/1351,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,,1351
13562,Омельянович Денис Сергійович,Денис,Сергійович,Омельянович,Донецька область,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d49_1.jpg,,http://itd.rada.gov.ua/mps/info/page/13562,"Фракція Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",2616,49,13562
13646,Курячий Максим Павлович,Максим,Павлович,Курячий,Дніпропетровська область,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d25_1.jpg,,http://itd.rada.gov.ua/mps/info/page/13646,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,25,13646
13694,Кісельов Андрій Миколайович,Андрій,Миколайович,Кісельов,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/ob17.jpg,"Політична партія ""Опозиційний блок""",http://itd.rada.gov.ua/mps/info/page/13694,"Фракція Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",2616,,13694
