id,name,area,party,term
kpatcha_sourou,KPATCHA Sourou,HAHO,UNIR,2018
kpeevey_gaby-gadzo,KPEEVEY Gaby-Gadzo,KLOTO-KPELE,MPDD,2018
kpomegbe_anani_kokou,KPOMEGBE Anani Kokou,VO,UFC,2018
kwasi_kwadzo_dzodzro,KWASI Kwadzo Dzodzro,KLOTO-KPELE,UNIR,2018
lawson_boe-allah_raymonde_kayi,LAWSON BOE-ALLAH Raymonde Kayi,GOLFE-AGOE-NYIVE,UNIR,2018
modibo_eklou_essohanam_balakiyem,MODIBO Eklou Essohanam Balakiyem,TCHAOUDJO,UNIR,2018
monkpebor_koundjam,MONKPEBOR Koundjam,DANKPEN,INDEPENDANT/POUR CONSTRUIRE,2018
n'kere_komi,N'KERE Komi,KERAN,UNIR,2018
nadjo_n'ladon,NADJO N'ladon,DANKPEN,INDEPENDANT/POUR CONSTRUIRE,2018
nanfame_nana,NANFAME Nana,OTI /OTI-SUD,UNIR,2018
nayone_dindiogue_denis,NAYONE Dindiogue Denis,TANDJOUARE,INDEPENDANT/ LIR (LISTE DES INDEPENDANTS POUR LA REPUBLIQUE),2018
nomagnon_akossiwa_gnonoufia,NOMAGNON Akossiwa Gnonoufia,ZIO,INDEPENDANTS/(CRAD) CERCLE DE REFLEXION ET D'ACTION POUR LE DEVELOPPEMENT,2018
nonon_kpamnona_diera-bariga,NONON KPAMNONA Diera-Bariga,BLITTA,UNIR,2018
obeku_beausoleil_romuald,OBEKU Beausoleil Romuald,WAWA-AKEBOU,INDEPENDANT/ CONSCIENCE PATRIOTIQUE,2018
ouro-bawinay_tchatomby,OURO-BAWINAY Tchatomby,SOTOUBOUA-MÔ,UNIR,2018
outchantcha_awima_atoute,OUTCHANTCHA Awima Atoute,KERAN,UNIR,2018
passoli_abelim,PASSOLI Abelim,SOTOUBOUA-MÔ,UNIR,2018
sandani_arzouma_felidja,SANDANI Arzouma Felidja,KPENDJAL/ KPENDJAL-OUEST,UNIR,2018
sankoumbine_kanfitine,SANKOUMBINE Kanfitine,KPENDJAL/ KPENDJAL-OUEST,UNIR,2018
sodokin_koffi,SODOKIN Koffi,MOYEN-MONO,UNIR,2018
soklingbe_senou,SOKLINGBE Senou,OGOU-ANIE,UNIR,2018
sonka_gnandi,SONKA Gnandi,BASSAR,NET,2018
sossou_viwoto_sowonou_yaovi,SOSSOU Viwoto Sowonou Yaovi,MOYEN-MONO,UNIR,2018
taama_komandega,TAAMA Komandega,EST-MONO,NET,2018
tcha-kondo_zoureyhatou,TCHA-KONDO Zoureyhatou,ASSOLI,UNIR,2018
tchalim_tchitchao,TCHALIM Tchitchao,KOZAH,UNIR,2018
tchede_issa_bouraïma_kanfitine,TCHEDE ISSA Bouraïma Kanfitine,TONE-CINKASSE,UNIR,2018
tengue_kokou_edem,TENGUE Kokou Edem,HAHO,UNIR,2018
tetou_torou,TETOU Torou,DOUFELGOU,UNIR,2018
tiem_bolidja,TIEM Bolidja,TONE-CINKASSE,UNIR,2018
touh_pahorsiki,TOUH Pahorsiki,BINAH,UNIR,2018
tsegan_yawa_djigbodi,TSEGAN Yawa Djigbodi,KLOTO-KPELE,UNIR,2018
tsolenyanu_koffi,TSOLENYANU Koffi,ZIO,INDEPENDANTS/(CRAD) CERCLE DE REFLEXION ET D'ACTION POUR LE DEVELOPPEMENT,2018
yawanke_wake_gbati,YAWANKE Wake Gbati,BASSAR,UNIR,2018
yaya_sani,YAYA Sani,BINAH,UNIR,2018
yentoumi_kodjo_ikpaledou,YENTOUMI Kodjo Ikpaledou,WAWA-AKEBOU,UNIR,2018
de_souza_léonardina_rita_doris,de SOUZA Léonardina Rita Doris,GOLFE-AGOE-NYIVE,UFC,2018
