name,honorific_prefix,party,area,gender,term
EWOVOR Kossi Messan W.,M,UNIR,DANYI,male,2013
FABRE Jean-Pierre,M,ANC,GRAND LOME,male,2013
FOFANA Soffoh,M,ANC,ASSSOLI,male,2013
GAGOU KOKOU,M,UNIR,LACS-BAS MONO,male,2013
GNAKOUAFRE A. S. Suhn-Badu,Mme,UNIR,BLITTA,female,2013
GNATCHO Komla Mawuena,M,UNIR,AMOU,male,2013
GNONGBO Tak Youssif,M,UNIR,ASSOLI,male,2013
GOGUE Tchaboure,M,ADDI,TANDJOUARE,male,2013
HODIN Eke Kokou,M,UNIR,OGOU-ANIE,male,2013
HOWANOU Edoh,M,UNIR,MOYEN-MONO,male,2013
IBRAHIMA Memounatou,Mme,UNIR,DANKPEN,female,2013
JIMONGOU Sambiani Kpandou,M,UFC,TONE-CINKASSE,male,2013
JONDOH Comlavi Dzigbodi,M,ANC,GRAND LOME,male,2013
KAMPATIBE Nagbandja,M,ADDI,TONE-CINKASSE,male,2013
KATAGNA Essodina,M,UNIR,BINAH,male,2013
KATIN Djagre,M,UNIR,BASSAR,male,2013
KERTCHO Komina,M,UNIR,WAWA-AKEBOU,male,2013
KETOGLO Yao Victor,M,ANC,ZIO,male,2013
KISSI Kofi Hotounou,M,ARC-EN-CIEL,VO,male,2013
KOFFI Kossiko Kalenyo,M,ARC-EN-CIEL,YOTO,male,2013
KOLANI Yobate,Mme,UNIR,TANDJOUARE,female,2013
KOSSIGAN Kodjogan M.,M,UNIR,HAHO,male,2013
KOUKPOKPA Issolemo Epse BAGNA,Mme,Indépendant SURSAUT NATIONAL,BASSAR,female,2013
KPADENOU Amoussouvi,M,ANC,LACS-BAS MONO,male,2013
KPATCHA Komi,M,UNIR,KOZAH,male,2013
KPOGO Kodjo,M,ANC,GRAND LOME,male,2013
KPOHOU Sim,M,UNIR,SOTOUBOUA,male,2013
LABITOKO Kadjila,M,UNIR,DOUFELGOU,male,2013
LAWSON Latevi Calvin Georges,M,ANC,GRAND LOME,male,2013
LAWSON-Banku Boevi Patrick,M,ANC,LACS-BAS MONO,male,2013
MALLE Kayaba,M,UNIR,TONE-CINKASSE,male,2013
NASSOU Alouadjou K.,M,UNIR,KERAN,male,2013
NAYO Koffi Bessewu,M,UNIR,AMOU,male,2013
NONON K. Diera-Bariga,M,UNIR,BLITTA,male,2013
OGBLOMESSE Koku M.,M,UNIR,DANYI,male,2013
ORE DJIMON,M,INDEPENDANT,EST-MONO,male,2013
OSSEYI Yawovi,M,UNIR,AMOU,male,2013
OURO-AKPO Tchagnaou,M,ANC,TCHAOUDJO,male,2013
PENN Lare Batouth,M,UNIR,OTI,male,2013
SAMBIANI Yentema A.,M,UNIR,KPENDJAL,male,2013
SEGO Etse Franck,M,UNIR,ZIO,male,2013
SENOU Komlan,M,ARC-EN-CIEL,YOTO,male,2013
SEWOA Adjoa M. S.,Mme,UNIR,ZIO,female,2013
SOGOYOU Bekeyi E.,M,UNIR,TCHAOUDJO,male,2013
TARGONE Sambiri N’wakin,M,ANC,DANKPEN,male,2013
TCHAMON Abalea,M,UNIR,DOUFELGOU,male,2013
TCHAO Padumhekou,M,UNIR,SOTOUBOUA,male,2013
TCHASSE Awedeou,M,UNIR,SOTOUBOUA,male,2013
TELOU Mila – Belle,Mme,UNIR,KOZAH,female,2013
TIGNOKPA Ayawovi D.,Mme,UNIR,BASSAR,female,2013
TOUSSA Komi Gameli,M,UNIR,KLOTO-KPELE,male,2013
TSEGAN Yawa Djigbodi,Mme,UNIR,KLOTO-KPELE,female,2013
VODIS Yawo,M,ANC,ZIO,male,2013
YAKPO Kossi,M,UNIR,WAWA-AKEBOU,male,2013
YENTOUMI Kodjo Ikpaledou,M,UNIR,WAWA-AKEBOU,male,2013
