name,area,image,term,source,id
John Philips,Governor’s Appointed Member,https://lh4.googleusercontent.com/-ZZdvuyz9lN4/VE_tqtKkudI/AAAAAAAAAP8/Gc66Nx5ECOo/w721-h577-no/hon-john-philips.JPG,2012,https://www.gov.tc/index.php/government/house-of-assembly,john_philips
Josephine Conolly,All Island District,https://lh5.googleusercontent.com/-pNXe7tMdaaM/VE_tqz8oydI/AAAAAAAAAPU/jzLK8GTUfbA/w721-h577-no/hon-josephine-conolly.JPG,2012,https://www.gov.tc/hon-josephine-connolly,josephine_conolly
Karen Evadne Malcolm,All Island District,https://scontent-dft4-1.xx.fbcdn.net/v/t1.0-9/14572754_1460404263976288_7359188250111363082_n.jpg?oh=3c5e3f580506766d8c0351856456af25&oe=58E34868,2012,https://www.gov.tc/index.php/government/house-of-assembly#,karen_evadne_malcolm
Lillian Swann-Misick,Governor’s Appointed Member,https://lh5.googleusercontent.com/-lGg6MF_USn4/VE_tnWF21gI/AAAAAAAAAOU/FKBwsrZBiwg/w721-h577-no/gov-appointed.png,2012,https://www.gov.tc/index.php/government/house-of-assembly,lillian_swann-misick
Norman Benjamin Saunders,South Caicos,https://lh3.googleusercontent.com/-0RxfNPyCYCo/VE_trBrFuhI/AAAAAAAAAPc/cLbhuQXwqfI/w721-h577-no/hon-norman-saunders.JPG,2012,https://www.gov.tc/index.php/government/house-of-assembly,norman_benjamin_saunders
Porsha Monique Stubbs-Smith,The Bight,https://lh3.googleusercontent.com/-8Bwmp2S-Zfg/VE_tran2tWI/AAAAAAAAAPs/gU4ajC-hMsk/w721-h577-no/hon-porsha-stubbs-smith.JPG,2012,https://www.gov.tc/index.php/government/house-of-assembly,porsha_monique_stubbs-smith
Ricardo Don-Hue Gardiner,North and Middle Caicos,https://lh6.googleusercontent.com/-Obv6dn5OE5s/VE_tr2MJ8sI/AAAAAAAAAPw/tx-dFCrpWBA/w721-h577-no/hon-ricardo-don-hue-gardiner.JPG,2012,https://www.gov.tc/hon-ricardo-don-hue-gardiner/,ricardo_don-hue_gardiner
Ruth Delores Blackman,South Caicos,https://lh3.googleusercontent.com/-v92p1uCR0yE/VE_tutNBQRI/AAAAAAAAAQ4/7fM0dzhIzv4/w721-h577-no/pnp-appointed.JPG,2012,https://www.gov.tc/index.php/government/house-of-assembly,ruth_delores_blackman
Sean Rickard Astwood,Five Cays,https://lh4.googleusercontent.com/-gT4HiPMc2Sk/VE_tsyBPfjI/AAAAAAAAAQM/EC6y3WfJAhM/w721-h577-no/hon-sean-astwood.JPG,2012,https://www.gov.tc/index.php/government/house-of-assembly#,sean_rickard_astwood
Sharlene Linette Catrwright-Robinson,All Island District,https://lh3.googleusercontent.com/-PhisVKBnhGU/VE_tt4TmZFI/AAAAAAAAAQ0/HPXv54geCmU/w721-h577-no/hon-sharlene-cartwright-robinson.png,2012,https://www.gov.tc/index.php/government/house-of-assembly#,sharlene_linette_catrwright-robinson
Vaden Delroy Williams,Wheeland,https://lh6.googleusercontent.com/-R71ffV0z9GE/VE_tpSuZm6I/AAAAAAAAAO0/UlbEPM2Pql8/w769-h577-no/hon-delroy-williams.JPG,2012,https://www.gov.tc/index.php/government/house-of-assembly#,vaden_delroy_williams
